;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-06-13T15:30:00+02:00;10.17;10.55;9.9;9.95;11.5304;10.2375;10.825;5.471227018;3.4824305;4.271838879;
1;2016-06-14T15:30:00+02:00;9.87;10.33;9.78;9.95;11.4276;10.269;10.765;5.506511472;3.55488492;4.215669844;
2;2016-06-15T15:30:00+02:00;9.9;10.54;9.86;10.19;11.3366;10.317;10.737;5.641415395;2.9888142;4.187480055;
3;2016-06-16T15:30:00+02:00;10.14;10.19;9.8;10.15;11.242;10.356;10.648;5.577237092;4.993372065;4.264696742;
4;2016-06-17T15:30:00+02:00;10.25;10.26;9.85;9.87;11.1454;10.4095;10.539;5.322715241;4.147637225;4.256105406;
5;2016-06-20T15:30:00+02:00;10.28;10.67;10.17;10.2;11.0348;10.4635;10.418;5.370572482;3.41419636;4.279509673;
6;2016-06-21T15:30:00+02:00;10.25;10.265;9.92;10.1;10.9186;10.47;10.287;5.022083699;1.538399775;4.124728797;
7;2016-06-22T15:30:00+02:00;10.1;10.35;10.06;10.3;10.8162;10.475;10.173;4.874807845;2.847756275;4.023974896;
8;2016-06-23T15:30:00+02:00;10.39;10.53;10.29;10.51;10.7056;10.495;10.148;4.751507595;2.36341353;3.9054135;
9;2016-06-24T15:30:00+02:00;9.86;9.9658;9.7;9.82;10.577;10.476;10.104;4.73677661;5.797497506;3.978410772;
10;2016-06-27T15:30:00+02:00;9.77;9.77;9.07;9.2;10.4446;10.427;10.029;4.896775827;4.26602598;4.004426524;
11;2016-06-28T15:30:00+02:00;9.53;9.92;9.52;9.9;10.3204;10.3945;10.024;4.88355889;1.9883232;3.882725847;
12;2016-06-29T15:30:00+02:00;10.18;10.4886;10.0;10.4;10.294;10.391;10.045;4.923578734;2.157593;3.641107545;
13;2016-06-30T15:30:00+02:00;10.44;11.17;10.44;11.15;10.2894;10.3965;10.145;4.984133092;4.319849805;3.633498079;
14;2016-07-01T15:30:00+02:00;11.1;11.5;10.96;11.22;10.2936;10.4095;10.28;4.983075352;2.20424686;3.522581168;
15;2016-07-05T15:30:00+02:00;11.07;11.07;10.37;10.6;10.2738;10.369;10.32;5.041793987;3.0412104;3.39031355;
16;2016-07-06T15:30:00+02:00;10.44;11.005;10.34;10.77;10.2676;10.337;10.387;5.190027385;3.145890135;3.399643663;
17;2016-07-07T15:30:00+02:00;10.82;11.2;10.82;11.1;10.2716;10.32;10.467;5.254910675;1.95577236;3.322219451;
18;2016-07-08T15:30:00+02:00;11.2;11.48;11.19;11.3;10.2688;10.347;10.546;4.963512294;2.585207455;3.269888028;
19;2016-07-11T15:30:00+02:00;11.49;11.53;10.86;11.07;10.2634;10.3875;10.671;4.887843433;5.14470703;3.296861429;
20;2016-07-12T15:30:00+02:00;11.24;11.6;10.78;11.56;10.2706;10.468;10.907;4.939894556;3.85591734;3.315535771;
21;2016-07-13T15:30:00+02:00;11.62;11.79;11.52;11.58;10.2798;10.5495;11.075;4.775895962;2.35852911;3.255717981;
22;2016-07-14T15:30:00+02:00;11.71;11.785;11.451;11.56;10.298;10.618;11.191;4.576907167;2.520978202;3.232326181;
23;2016-07-15T15:30:00+02:00;11.65;11.88;11.384;11.76;10.321;10.6985;11.252;4.595777189;2.498751344;3.107595145;
24;2016-07-18T15:30:00+02:00;11.9;12.05;11.66;11.76;10.3442;10.793;11.306;4.554893784;2.449895025;3.022708035;
25;2016-07-19T15:30:00+02:00;11.73;11.78;11.5;11.51;10.3632;10.8585;11.397;4.430811872;1.13663436;2.908829935;
26;2016-07-20T15:30:00+02:00;11.94;11.95;11.51;11.86;10.3952;10.9465;11.506;4.448058883;2.96017107;2.979918499;
27;2016-07-21T15:30:00+02:00;11.86;12.21;11.7512;12.06;10.4666;11.0345;11.602;4.4991378;2.927208017;2.983891086;
28;2016-07-22T15:30:00+02:00;12.11;12.27;12.02;12.24;10.5286;11.121;11.696;4.486513069;1.910372065;2.961239013;
29;2016-07-25T15:30:00+02:00;12.27;12.49;12.165;12.33;10.5984;11.2465;11.822;4.483082702;2.355304478;2.789129362;
30;2016-07-26T15:30:00+02:00;12.36;12.79;12.36;12.67;10.6688;11.42;11.933;4.271143381;3.183499575;2.735003042;
31;2016-07-27T15:30:00+02:00;13.31;13.52;12.51;12.74;10.7372;11.562;12.049;4.464736406;2.61669178;2.766421471;
