;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2015-12-30T15:30:00+01:00;23.5;23.84;23.5;23.67;23.2982;23.4965;23.278;2.849174393;3.11286537;4.553130966;
1;2015-12-31T15:30:00+01:00;23.57;23.84;23.19;23.22;23.3402;23.4525;23.261;2.89160791;4.96481601;4.652377221;
2;2016-01-04T15:30:00+01:00;22.82;22.96;22.11;22.15;23.374;23.373;23.168;2.946175088;3.977540175;4.630215701;
3;2016-01-05T15:30:00+01:00;22.3;22.33;21.89;22.1;23.3938;23.2515;23.102;2.854694478;2.7369969;4.568169653;
4;2016-01-06T15:30:00+01:00;21.86;22.01;21.595;21.69;23.3976;23.133;22.986;2.820747978;2.086630065;4.516091266;
5;2016-01-07T15:30:00+01:00;21.26;21.47;21.09;21.21;23.398;22.9765;22.797;2.707620456;3.36826224;4.353646323;
6;2016-01-08T15:30:00+01:00;21.25;21.37;20.5;20.52;23.3926;22.8315;22.528;2.633368379;4.00666591;4.305130648;
7;2016-01-11T15:30:00+01:00;20.6;20.76;20.18;20.66;23.3804;22.698;22.226;2.666301778;2.88532838;4.02640769;
8;2016-01-12T15:30:00+01:00;20.71;20.957;20.09;20.54;23.3734;22.588;21.928;2.689858059;3.447558054;3.798777371;
9;2016-01-13T15:30:00+01:00;20.56;20.64;19.86;19.98;23.3636;22.4115;21.574;2.687469431;4.33048275;3.646195159;
10;2016-01-14T15:30:00+01:00;20.01;20.25;19.75;19.98;23.3294;22.2415;21.205;2.613834596;2.53672;3.574819243;
11;2016-01-15T15:30:00+01:00;19.39;19.91;19.15;19.83;23.2716;22.0635;20.866;2.676257654;4.32122733;3.635741377;
12;2016-01-19T15:30:00+01:00;20.04;20.05;19.28;19.49;23.1718;21.884;20.6;2.736634304;2.764328715;3.60378477;
13;2016-01-20T15:30:00+01:00;19.28;20.225;19.06;19.93;23.0824;21.7425;20.383;2.952784934;2.974463775;3.307996575;
14;2016-01-21T15:30:00+01:00;19.93;20.37;19.8;19.95;22.9968;21.5975;20.209;2.99095086;2.79105177;3.328144628;
15;2016-01-22T15:30:00+01:00;20.51;20.965;20.0;20.78;22.9254;21.4815;20.166;3.10365476;3.341494568;3.357923989;
16;2016-01-25T15:30:00+01:00;20.53;20.92;20.28;20.32;22.843;21.337;20.146;3.179158983;4.084465;3.429496635;
17;2016-01-26T15:30:00+01:00;20.45;20.99;20.45;20.92;22.7686;21.199;20.172;3.138362236;2.43070464;3.43167303;
18;2016-01-27T15:30:00+01:00;20.78;20.9;20.31;20.44;22.6968;21.045;20.162;3.200206263;3.030480375;3.419674955;
19;2016-01-28T15:30:00+01:00;20.67;20.71;20.2838;20.44;22.636;20.891;20.208;3.215078657;1.661765671;3.242692385;
20;2016-01-29T15:30:00+01:00;20.52;21.57;20.52;21.53;22.5966;20.784;20.363;3.398586185;5.662557105;3.370176972;
21;2016-02-01T15:30:00+01:00;21.4;21.49;20.99;21.19;22.5476;20.6825;20.499;3.377543905;2.32626852;3.238249597;
22;2016-02-02T15:30:00+01:00;20.98;21.29;20.81;20.88;22.483;20.619;20.638;3.300652359;1.7519915;3.126972163;
23;2016-02-03T15:30:00+01:00;21.07;21.31;20.55;21.04;22.4246;20.566;20.749;3.385064689;1.94050402;3.087147519;
24;2016-02-04T15:30:00+01:00;20.95;21.42;20.87;20.94;22.3608;20.5285;20.848;3.42074572;2.024950925;3.084063562;
25;2016-02-05T15:30:00+01:00;20.85;20.99;20.16;20.21;22.2758;20.4785;20.791;3.536508804;2.784599925;3.054880447;
26;2016-02-08T15:30:00+01:00;20.04;20.565;19.75;20.47;22.1898;20.476;20.806;3.530642796;2.378282638;2.973461283;
27;2016-02-09T15:30:00+01:00;20.24;20.61;19.95;20.1;22.0922;20.448;20.724;3.55234969;2.5240488;2.955397304;
28;2016-02-10T15:30:00+01:00;20.28;21.0;20.28;20.39;21.997;20.4405;20.719;3.514085488;2.26422864;2.896230833;
29;2016-02-11T15:30:00+01:00;19.99;20.59;19.99;20.46;21.912;20.4645;20.721;3.467785903;1.38128233;2.748770812;
30;2016-02-12T15:30:00+01:00;20.72;20.89;20.35;20.64;21.8386;20.4975;20.632;3.473881757;1.67844738;2.705857181;
31;2016-02-16T15:30:00+01:00;20.87;21.1;20.62;20.94;21.7754;20.553;20.607;3.39184019;2.04924468;2.592258049;
32;2016-02-17T15:30:00+01:00;21.1;21.41;20.69;20.96;21.7198;20.6265;20.615;3.366148493;3.7932521;2.643704218;
33;2016-02-18T15:30:00+01:00;20.92;21.0;20.0;20.85;21.6462;20.6725;20.596;3.310534642;2.700711;2.630016579;
34;2016-02-19T15:30:00+01:00;20.8;21.04;20.5525;20.97;21.5844;20.7235;20.599;3.285193959;3.112325183;2.64608025;
