;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-10-19T15:30:00+02:00;86.24;87.96;85.34;86.92;95.2164;93.215;88.755;2.371361995;208.0437906;171.5029639;
1;2017-10-20T15:30:00+02:00;87.36;87.72;85.93;86.78;94.8294;92.7745;88.004;2.356707829;100.435687;168.0687671;
2;2017-10-23T15:30:00+02:00;86.55;87.44;85.58;85.91;94.4008;92.173;87.483;2.299742268;116.3588913;160.8864432;
3;2017-10-24T15:30:00+02:00;85.73;85.93;83.5;84.25;93.8994;91.506;86.724;2.366303882;151.5946122;162.7260013;
4;2017-10-25T15:30:00+02:00;83.71;84.06;81.82;83.31;93.824;90.705;86.115;2.398477687;170.2471228;165.0668604;
5;2017-10-26T15:30:00+02:00;82.89;87.64;81.31;85.65;93.7068;90.0125;86.024;2.736672186;272.8047476;173.0764708;
6;2017-10-27T15:30:00+02:00;85.14;85.65;81.805;81.93;93.4884;89.149;85.666;2.882495533;245.1386304;176.0254175;
7;2017-10-30T14:30:00+01:00;81.93;82.13;81.13;82.0;93.2632;88.281;85.265;2.875520483;188.5500352;177.9371896;
8;2017-10-31T14:30:00+01:00;82.17;83.1523;81.68;81.74;92.9942;87.419;84.63;2.87123494;89.13084099;177.7578493;
9;2017-11-01T14:30:00+01:00;82.33;82.74;80.68;80.75;92.6932;86.71;83.924;2.790919264;94.58479957;169.0800046;
10;2017-11-02T14:30:00+01:00;81.02;82.91;80.21;81.69;92.4562;86.078;83.401;2.839035147;136.1313066;166.1734353;
11;2017-11-03T14:30:00+01:00;81.39;82.38;80.27;81.8;92.2302;85.4535;82.903;2.864798939;90.1533167;164.4473936;
12;2017-11-06T15:30:00+01:00;81.53;81.81;80.31;80.71;91.9284;84.933;82.383;2.766957255;95.15884686;160.1564922;
13;2017-11-07T15:30:00+01:00;80.66;80.83;78.9;79.38;91.6228;84.31;81.896;2.814555117;100.7976165;159.4165083;
14;2017-11-08T15:30:00+01:00;79.2;80.62;78.81;79.41;91.3086;83.8105;81.506;2.76231044;257.7517564;165.3787124;
15;2017-11-09T15:30:00+01:00;79.56;81.09;79.14;80.45;90.9814;83.505;80.986;2.711501277;152.0989684;161.9199395;
16;2017-11-10T15:30:00+01:00;80.16;81.99;80.0;81.22;90.6478;83.2905;80.915;2.749658479;157.3231491;161.3039411;
17;2017-11-13T15:30:00+01:00;80.72;82.82;80.46;82.28;90.3322;83.104;80.943;2.81991853;317.9439593;166.7477023;
18;2017-11-14T15:30:00+01:00;94.88;102.89;94.75;95.72;90.312;83.4855;82.341;3.088797127;1003.400492;207.7202552;
19;2017-11-15T15:30:00+01:00;93.93;95.49;91.37;91.58;90.2314;83.674;83.424;3.231911883;287.2010171;211.7424794;
20;2017-11-16T15:30:00+01:00;92.0;92.77;89.24;90.5;90.1708;83.853;84.305;3.276189514;208.3075328;211.7556665;
21;2017-11-17T15:30:00+01:00;91.02;91.44;89.13;89.27;90.0756;83.9775;85.052;3.301620968;139.8713277;213.7274485;
22;2017-11-20T15:30:00+01:00;89.21;91.68;88.24;91.43;90.0162;84.2535;86.124;3.387873655;134.7889572;214.6489518;
23;2017-11-21T15:30:00+01:00;90.94;90.95;88.9;88.93;89.8496;84.4875;87.079;3.357662761;144.8397695;214.3112097;
24;2017-11-22T15:30:00+01:00;89.2;90.31;88.82;89.62;89.64;84.803;88.1;3.304654419;81.30227049;209.8639671;
25;2017-11-24T15:30:00+01:00;89.64;89.9;88.96;89.23;89.4242;84.982;88.978;2.968236138;46.81624728;198.564542;
26;2017-11-27T15:30:00+01:00;89.61;90.7839;89.04;89.87;89.2314;85.379;89.843;2.831153951;77.21287609;190.1682543;
27;2017-11-28T15:30:00+01:00;89.89;92.91;89.63;92.84;89.1166;85.921;90.899;2.952498918;104.5417532;185.9678402;
28;2017-11-29T15:30:00+01:00;93.96;100.37;93.405;99.95;89.2186;86.8315;91.322;3.235211529;377.4178928;200.3821928;
29;2017-11-30T15:30:00+01:00;99.58;101.65;98.67;101.0;89.3436;87.844;92.264;3.258555092;235.7668243;207.441294;
30;2017-12-01T15:30:00+01:00;100.74;100.97;97.89;99.28;89.4556;88.7235;93.142;3.247566342;224.0595392;211.8377057;
31;2017-12-04T15:30:00+01:00;100.94;105.2;100.76;104.02;89.6242;89.8345;94.617;3.336460449;229.1416218;218.7871209;
32;2017-12-05T15:30:00+01:00;107.1;107.79;100.02;101.15;89.6884;90.8565;95.589;3.631494643;255.8536978;226.8218635;
33;2017-12-06T15:30:00+01:00;100.87;101.42;97.47;97.5;89.6866;91.7625;96.446;3.711814375;127.8678727;228.1753763;
34;2017-12-07T15:30:00+01:00;97.75;98.37;96.57;97.61;89.6522;92.6725;97.245;3.690177877;114.2092054;220.9982487;
35;2017-12-08T15:30:00+01:00;98.21;100.62;97.38;100.31;89.6684;93.6655;98.353;3.733337079;91.637766;217.9751886;
36;2017-12-11T15:30:00+01:00;100.15;101.67;99.11;100.85;89.7014;94.647;99.451;3.738111508;149.6081049;217.5894364;
37;2017-12-12T15:30:00+01:00;101.71;105.56;101.71;103.03;89.7748;95.6845;100.47;3.780718377;253.1443437;214.3494556;
38;2017-12-13T15:30:00+01:00;103.63;103.72;101.86;102.5;89.8452;96.0235;100.725;3.442468713;112.3550207;169.797182;
39;2017-12-14T15:30:00+01:00;103.23;103.9;99.771;100.2;89.9506;96.4545;100.645;3.423935635;113.1837426;161.0963183;
40;2017-12-15T15:30:00+01:00;100.84;101.72;100.17;100.7;90.078;96.9645;100.787;3.303522845;163.2293773;158.8424105;
41;2017-12-18T15:30:00+01:00;101.34;103.1;100.65;102.71;90.2464;97.6365;100.656;3.295645739;86.06613938;156.1521511;
42;2017-12-19T15:30:00+01:00;102.45;102.8632;99.39;99.73;90.4186;98.0515;100.514;3.275448629;134.9093565;156.1581711;
43;2017-12-20T15:30:00+01:00;100.03;100.91;98.03;98.59;90.5536;98.5345;100.623;3.307044349;107.6079391;154.2965796;
44;2017-12-21T15:30:00+01:00;98.51;100.52;98.2;100.13;90.7682;99.06;100.875;3.341293117;108.2982269;155.6463774;
45;2017-12-22T15:30:00+01:00;100.64;100.8336;99.71;100.55;91.048;99.626;100.899;3.344803779;126.102317;159.6106809;
46;2017-12-26T15:30:00+01:00;100.8;102.75;100.65;101.96;91.377;100.2305;101.01;3.351197789;57.4729074;158.6236824;
47;2017-12-27T15:30:00+01:00;101.72;101.72;99.4;99.77;91.6522;100.577;100.684;3.28492354;99.40386168;158.3667879;
48;2017-12-28T15:30:00+01:00;99.86;99.91;98.17;99.71;91.8846;100.565;100.405;3.000706605;59.8840408;142.4900953;
49;2017-12-29T15:30:00+01:00;99.85;100.99;99.5;99.69;92.1222;100.4995;100.354;2.924572565;97.15424616;135.5594663;
50;2018-01-02T15:30:00+01:00;100.9;107.93;99.71;106.09;92.5056;100.84;100.893;3.179448492;272.4786008;137.9804194;entry
51;2018-01-03T15:30:00+01:00;106.42;107.66;105.3;107.05;92.911;100.9915;101.327;3.071183744;222.2039547;137.6335361;
52;2018-01-04T15:30:00+01:00;107.75;111.529;107.48;111.0;93.4128;101.484;102.454;2.871122054;230.4495921;136.3633308;
53;2018-01-05T15:30:00+01:00;111.96;113.15;110.3;112.18;93.9714;102.218;103.813;2.797688715;223.0766151;141.1237679;
54;2018-01-08T15:30:00+01:00;112.05;112.29;110.64;111.39;94.533;102.907;104.939;2.77905823;140.1237662;142.4194959;
55;2018-01-09T15:30:00+01:00;111.69;111.69;109.81;110.49;95.0298;103.416;105.933;2.698302039;120.8750973;143.8813625;
56;2018-01-10T15:30:00+01:00;110.27;112.0;109.79;110.59;95.603;103.903;106.796;2.669799298;78.89391896;140.3456532;
57;2018-01-11T15:30:00+01:00;110.7;113.42;108.9;112.95;96.222;104.399;108.114;2.68806555;112.9326685;133.3350695;
58;2018-01-12T15:30:00+01:00;114.38;116.05;113.02;115.94;96.906;105.071;109.737;2.730810834;180.8729848;136.7609677;
59;2018-01-16T15:30:00+01:00;116.76;116.84;112.86;113.9;97.569;105.756;111.158;2.700211629;172.0568999;139.7046255;
60;2018-01-17T15:30:00+01:00;114.74;116.24;112.98;115.35;98.2422;106.4885;112.084;2.767116478;155.2019968;139.3032565;
61;2018-01-18T15:30:00+01:00;115.67;115.86;113.66;115.53;98.9168;107.1295;112.932;2.742187455;105.6795002;140.2839245;
62;2018-01-19T15:30:00+01:00;116.24;117.51;115.21;117.02;99.643;107.994;113.534;2.667279352;136.1352656;140.34522;
63;2018-01-22T15:30:00+01:00;116.88;118.19;115.9;118.03;100.416;108.966;114.119;2.619177606;188.6891809;144.3992821;
64;2018-01-23T15:30:00+01:00;117.74;119.14;116.6;119.1;101.2098;109.9145;114.89;2.609970716;150.5150395;146.5101227;
65;2018-01-24T15:30:00+01:00;119.26;121.24;118.26;120.99;102.0206;110.9365;115.94;2.679620893;143.531871;147.3816004;
66;2018-01-25T15:30:00+01:00;121.12;121.34;119.63;120.92;102.8146;111.8845;116.973;2.646769353;150.7045658;152.0431833;
67;2018-01-26T15:30:00+01:00;123.34;123.9;121.66;123.64;103.6418;113.078;118.042;2.62212899;182.7445242;156.2102165;
68;2018-01-29T15:30:00+01:00;123.52;123.63;122.72;122.89;104.1852;114.237;118.737;2.570583483;172.9539591;161.8637124;
69;2018-01-30T15:30:00+01:00;121.57;122.7;117.575;119.27;104.739;115.216;119.274;2.713655103;227.0203498;168.3570175;
70;2018-01-31T15:30:00+01:00;119.86;120.47;115.825;116.99;105.2688;115.761;119.438;2.501977759;145.9987646;162.0330257;exit
71;2018-02-01T15:30:00+01:00;116.24;118.83;115.83;117.29;105.8292;116.273;119.614;2.51941711;89.24460057;155.385058;
72;2018-02-02T15:30:00+01:00;115.92;117.18;113.125;113.93;106.2792;116.4195;119.305;2.510283004;125.7848758;150.1518222;exit
73;2018-02-05T15:30:00+01:00;113.05;114.97;109.81;109.86;106.6978;116.3035;118.488;2.616041174;144.0381249;146.1998977;
74;2018-02-06T15:30:00+01:00;108.28;113.11;106.745;112.2;107.1494;116.344;117.798;2.839615442;136.3962832;146.0135236;
75;2018-02-07T15:30:00+01:00;112.09;114.5799;109.9;109.93;107.5634;116.316;116.692;2.966929325;242.8361826;152.1115778;
76;2018-02-08T15:30:00+01:00;109.93;115.35;109.3;109.63;107.9586;116.268;115.563;3.143043843;174.0903833;156.871401;
77;2018-02-09T15:30:00+01:00;110.39;110.45;103.34;109.14;108.2846;116.0775;114.113;3.279524063;168.669086;159.6582219;
