;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-08-05T15:30:00+02:00;64.98;66.12;64.54;65.23;72.8606;68.196;66.697;2.024367523;759.0554854;741.7701077;
1;2019-08-06T15:30:00+02:00;65.27;65.84;64.29;64.77;72.5548;67.8725;66.401;2.034885419;666.8337476;732.7099919;
2;2019-08-07T15:30:00+02:00;64.38;64.9;63.31;64.46;72.2834;67.513;66.101;2.105497457;675.1619372;733.7526154;
3;2019-08-08T15:30:00+02:00;64.79;65.45;64.33;65.45;72.0312;67.2235;65.98;2.010014598;481.9761204;711.616537;
4;2019-08-09T15:30:00+02:00;65.37;66.87;64.29;65.58;71.7906;66.9885;65.762;2.082275708;714.3958612;702.5496318;
5;2019-08-12T15:30:00+02:00;65.24;65.4799;64.075;64.53;71.547;66.7015;65.497;2.097213514;396.5734436;686.3067407;
6;2019-08-13T15:30:00+02:00;64.86;65.925;64.64;65.01;71.3332;66.494;65.28;2.111986998;471.0190476;674.5064924;
7;2019-08-14T15:30:00+02:00;64.5;64.9899;63.5;63.5;71.0682;66.253;64.968;2.115848585;602.1874468;662.4567227;
8;2019-08-15T15:30:00+02:00;64.12;64.24;62.66;62.98;70.7866;65.9895;64.686;2.172072886;583.4688147;662.2773071;
9;2019-08-16T15:30:00+02:00;63.51;64.81;63.07;64.43;70.5338;65.784;64.594;2.257151419;533.7802634;655.3974658;
10;2019-08-19T15:30:00+02:00;65.04;66.875;64.975;66.56;70.3164;65.712;64.727;2.336291924;647.7997504;653.7694441;
11;2019-08-20T15:30:00+02:00;67.38;68.462;66.33;66.41;70.1056;65.646;64.891;2.43487334;811.6784691;667.0593631;
12;2019-08-21T15:30:00+02:00;67.34;67.92;66.6;67.54;69.893;65.65;65.199;2.449071301;512.2906327;650.2739941;
13;2019-08-22T15:30:00+02:00;67.87;68.03;66.81;67.52;69.672;65.693;65.406;2.437367479;437.9825686;630.5065778;
14;2019-08-23T15:30:00+02:00;67.28;67.79;65.48;65.97;69.4124;65.6035;65.445;2.482393108;593.393071;618.3382234;
15;2019-08-26T15:30:00+02:00;66.43;66.93;66.08;66.46;69.1678;65.5675;65.638;2.432325117;321.9776395;600.2180162;
16;2019-08-27T15:30:00+02:00;66.67;66.98;65.49;65.67;68.9082;65.492;65.704;2.450248352;503.0186607;598.1304023;
17;2019-08-28T15:30:00+02:00;65.57;66.38;65.4;66.07;68.6646;65.4645;65.961;2.391848724;452.9202827;583.2011447;
18;2019-08-29T15:30:00+02:00;66.73;67.03;65.955;66.22;68.4368;65.4855;66.285;2.312846063;399.7545058;559.8351037;
19;2019-08-30T15:30:00+02:00;66.4;66.43;65.49;65.74;68.1848;65.505;66.416;2.326562614;423.1649948;549.4216372;
20;2019-09-03T15:30:00+02:00;65.78;65.8;64.93;65.4;67.9172;65.5135;66.3;2.27115313;517.4743765;537.3425817;
21;2019-09-04T15:30:00+02:00;65.67;66.42;64.44;66.38;67.6758;65.594;66.297;2.304236895;629.4798492;535.4748868;
22;2019-09-05T15:30:00+02:00;66.64;67.295;66.43;67.03;67.7024;65.7225;66.246;2.243770443;374.6097933;520.4472796;
23;2019-09-06T15:30:00+02:00;67.26;68.12;67.0;67.62;67.6948;65.831;66.256;2.24030139;506.8673461;521.6918409;
24;2019-09-09T15:30:00+02:00;67.96;68.0;66.31;66.7;67.6288;65.887;66.329;2.16707986;692.4268106;520.5933884;
25;2019-09-10T15:30:00+02:00;66.07;68.18;65.65;68.18;67.538;66.0695;66.501;2.250139019;813.4002045;541.4347264;
26;2019-09-11T15:30:00+02:00;68.38;69.74;68.06;69.49;67.4598;66.2935;66.883;2.274162872;576.6277517;546.7151616;
27;2019-09-12T15:30:00+02:00;70.76;71.17;70.19;70.83;67.3918;66.66;67.359;2.226658426;675.7104125;550.3913099;
28;2019-09-13T15:30:00+02:00;71.15;71.51;70.48;70.51;67.3028;67.0365;67.788;2.173651558;577.5847212;550.0971052;
29;2019-09-16T15:30:00+02:00;70.37;70.96;69.7229;70.58;67.2546;67.344;68.272;2.124425061;421.482592;544.4822217;
30;2019-09-17T15:30:00+02:00;70.51;72.09;70.36;71.6;67.2622;67.596;68.892;2.10115415;643.0537017;544.2449192;
31;2019-09-18T15:30:00+02:00;71.68;71.82;70.81;71.27;67.2628;67.839;69.381;2.011760167;446.496654;525.9858285;
32;2019-09-19T15:30:00+02:00;71.4;71.91;71.21;71.67;67.2632;68.0455;69.845;1.961811468;397.2806538;520.2353295;
33;2019-09-20T15:30:00+02:00;72.0;73.0;72.0;72.39;67.2862;68.289;70.322;1.939952216;949.55251;545.8138266;
34;2019-09-23T15:30:00+02:00;72.33;73.78;72.05;72.93;67.3392;68.637;70.945;1.883617995;601.9912711;546.2437366;
35;2019-09-24T15:30:00+02:00;73.83;73.83;72.17;72.95;67.3928;68.9615;71.422;1.93430825;600.665243;560.1781168;
36;2019-09-25T15:30:00+02:00;72.88;73.24;72.02;72.09;67.4514;69.2825;71.682;1.905249119;431.2708391;556.5907257;
37;2019-09-26T15:30:00+02:00;72.95;74.455;72.62;74.03;67.5656;69.6805;72.002;1.956668177;761.0015686;571.99479;
38;2019-09-27T15:30:00+02:00;74.21;75.14;73.92;74.85;67.6976;70.112;72.436;1.957694863;572.2230056;580.618215;
39;2019-09-30T15:30:00+02:00;74.95;76.44;74.95;75.72;67.8412;70.611;72.95;1.985327781;631.2405885;591.0219947;
40;2019-10-01T15:30:00+02:00;75.89;76.03;72.94;73.23;67.9458;71.0025;73.113;2.130150488;814.2181784;605.8591848;
41;2019-10-02T15:30:00+02:00;72.89;73.0;71.57;72.13;68.0338;71.29;73.199;2.076421397;606.792746;604.7248296;
42;2019-10-03T15:30:00+02:00;72.06;73.945;72.04;73.85;68.1616;71.631;73.417;2.143533482;458.519542;608.920317;
43;2019-10-04T15:30:00+02:00;74.22;75.06;73.95;74.66;68.3216;71.983;73.644;2.135002103;522.474061;609.7006528;
44;2019-10-07T15:30:00+02:00;74.72;75.27;74.08;74.33;68.453;72.3645;73.784;2.087888917;433.296983;596.7441614;
45;2019-10-08T15:30:00+02:00;73.88;74.75;73.42;73.53;68.58;72.632;73.842;1.985775193;462.1628997;579.1822961;
46;2019-10-09T15:30:00+02:00;74.07;74.62;73.25;73.3;68.7024;72.8225;73.963;1.95587004;433.2432779;572.0130725;
47;2019-10-10T15:30:00+02:00;73.22;74.63;73.2;74.45;68.859;73.0035;74.005;1.983737121;550.845033;565.7698035;
48;2019-10-11T15:30:00+02:00;73.97;74.34;73.57;73.63;69.0156;73.1595;73.883;1.96299786;530.8885559;563.4349952;
49;2019-10-14T15:30:00+02:00;73.65;74.17;73.39;73.76;69.1838;73.3185;73.687;1.927423142;377.806574;561.2511943;
50;2019-10-15T15:30:00+02:00;74.2;74.98;73.8;74.5;69.3692;73.4635;73.814;1.884429772;459.2555918;552.0612888;entry
51;2019-10-16T15:30:00+02:00;74.38;74.98;74.34;74.75;69.5688;73.6375;74.076;1.856157628;628.0278997;561.1378511;
52;2019-10-17T15:30:00+02:00;74.99;76.18;74.65;75.14;69.7824;73.811;74.205;1.90948546;554.9483665;569.0212367;
53;2019-10-18T15:30:00+02:00;75.24;77.165;75.21;76.46;70.0026;74.0145;74.385;1.970010434;722.3475536;557.6609889;
54;2019-10-21T15:30:00+02:00;76.88;77.8452;75.85;77.3;70.237;74.233;74.682;1.981477659;605.7558179;557.8492163;
55;2019-10-22T15:30:00+02:00;78.05;78.66;77.75;77.87;70.5038;74.479;75.116;1.924992325;536.7956008;554.6557342;
56;2019-10-23T15:30:00+02:00;77.79;78.02;77.195;77.75;70.7586;74.762;75.561;1.893729733;480.8205258;557.1332185;
57;2019-10-24T15:30:00+02:00;77.84;77.89;76.25;76.8;71.0246;74.9005;75.796;1.874928111;488.0430775;543.4852939;
58;2019-10-25T15:30:00+02:00;76.39;76.79;76.22;76.53;71.2956;74.9845;76.086;1.829798227;420.5494386;535.9016156;
59;2019-10-28T14:30:00+01:00;76.67;78.38;76.49;78.33;71.5736;75.115;76.543;1.853944189;553.3800902;532.0085907;
60;2019-10-29T14:30:00+01:00;78.11;78.74;77.59;78.47;71.8118;75.377;76.94;1.716233744;499.5953494;516.2774492;
61;2019-10-30T14:30:00+01:00;78.51;79.79;78.01;79.66;72.0768;75.7535;77.431;1.730419488;569.851305;514.4303772;
62;2019-10-31T14:30:00+01:00;79.71;79.74;78.74;79.55;72.317;76.0385;77.872;1.661701403;793.142558;531.161528;
63;2019-11-01T14:30:00+01:00;80.03;82.18;79.13;81.75;72.6016;76.393;78.401;1.779371532;1077.248424;558.9002461;
64;2019-11-04T15:30:00+01:00;82.95;83.32;82.1401;82.99;72.942;76.826;78.97;1.770875368;755.1483969;574.9928168;
65;2019-11-05T15:30:00+01:00;83.17;83.4;81.47;81.84;73.2496;77.2415;79.367;1.798749102;616.2477062;582.6970572;
66;2019-11-06T15:30:00+01:00;81.77;82.25;80.35;82.08;73.5778;77.6805;79.8;1.823466475;756.3829239;598.8540395;
67;2019-11-07T15:30:00+01:00;82.21;82.59;81.08;82.01;73.8966;78.0585;80.321;1.818906788;536.96158;598.1598668;
68;2019-11-08T15:30:00+01:00;82.1;85.46;82.09;85.21;74.2764;78.6375;81.189;1.971838191;952.0917329;619.2200257;
