;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-04-18T15:30:00+02:00;8.68;8.71;8.655;8.66;8.598;8.7345;8.691;1.097650888;2.19184503;3.78998544;
1;2018-04-19T15:30:00+02:00;8.65;8.67;8.6;8.61;8.609;8.721;8.675;1.076074102;2.27551247;3.707929844;
2;2018-04-20T15:30:00+02:00;8.63;8.68;8.6;8.65;8.6208;8.713;8.667;1.054326345;2.4905232;3.565772317;
3;2018-04-23T15:30:00+02:00;8.67;8.75;8.63;8.71;8.6346;8.7105;8.665;1.049480548;3.1575984;3.438807845;
4;2018-04-24T15:30:00+02:00;8.72;8.72;8.63;8.65;8.6464;8.705;8.66;1.038623088;2.7642367;3.364297055;
5;2018-04-25T15:30:00+02:00;8.65;8.67;8.59;8.65;8.657;8.7005;8.659;1.033524109;2.35983035;3.317687131;
6;2018-04-26T15:30:00+02:00;8.67;8.74;8.625;8.71;8.6662;8.6985;8.659;1.042719511;3.314969818;3.333189371;
7;2018-04-27T15:30:00+02:00;8.71;8.8;8.705;8.78;8.6766;8.6965;8.677;1.051571566;3.538626998;3.275422008;
8;2018-04-30T15:30:00+02:00;8.8;8.805;8.72;8.76;8.6858;8.6995;8.688;1.008037896;3.234922225;3.215397182;
9;2018-05-01T15:30:00+02:00;8.75;8.77;8.68;8.73;8.6918;8.6975;8.691;1.025457806;2.372144275;3.041259399;
10;2018-05-02T15:30:00+02:00;8.72;8.78;8.7;8.77;8.6994;8.6965;8.702;1.019829312;3.31544908;2.986261662;
11;2018-05-03T15:30:00+02:00;8.77;8.78;8.7;8.78;8.7068;8.697;8.719;1.03152061;4.6772984;3.006215052;
12;2018-05-04T15:30:00+02:00;8.8;9.18;8.75;9.16;8.7238;8.7185;8.77;1.225570142;17.90649377;3.739420779;
13;2018-05-07T15:30:00+02:00;9.17;9.39;9.17;9.39;8.7414;8.7515;8.838;1.296843818;18.23378944;4.527241235;
14;2018-05-08T15:30:00+02:00;9.4;9.44;9.36;9.41;8.7568;8.787;8.914;1.276287722;10.2872566;4.834476991;
15;2018-05-09T15:30:00+02:00;9.47;9.505;9.43;9.47;8.7748;8.8275;8.996;1.264001214;6.32553971;4.986742393;
16;2018-05-10T15:30:00+02:00;9.5;9.5;9.41;9.43;8.7922;8.8635;9.068;1.265633304;8.357302865;5.305972591;
17;2018-05-11T15:30:00+02:00;9.45;9.48;9.41;9.45;8.8082;8.906;9.135;1.227070202;7.340191195;5.434688777;
18;2018-05-14T15:30:00+02:00;9.3;9.3882;9.27;9.28;8.8226;8.9375;9.187;1.238437752;9.033908618;5.779351225;
19;2018-05-15T15:30:00+02:00;9.28;9.36;9.25;9.33;8.8364;8.969;9.247;1.257387952;8.11301089;6.064522502;
20;2018-05-16T15:30:00+02:00;9.0;9.165;8.925;9.12;8.8448;8.992;9.282;1.360068192;45.99847413;8.254853957;
21;2018-05-17T15:30:00+02:00;9.13;9.28;9.13;9.23;8.8594;9.023;9.327;1.401517287;10.77401987;8.679779326;
22;2018-05-18T15:30:00+02:00;9.26;9.295;9.23;9.26;8.8718;9.0535;9.337;1.390216926;5.5632798;8.833417156;
23;2018-05-21T15:30:00+02:00;9.27;9.37;9.2549;9.35;8.884;9.0855;9.333;1.382875289;9.307682026;9.140921338;
24;2018-05-22T15:30:00+02:00;9.38;9.47;9.35;9.45;8.896;9.1255;9.337;1.394902727;11.33333813;9.569376409;
25;2018-05-23T15:30:00+02:00;9.4;9.44;9.37;9.44;8.9094;9.165;9.334;1.385690208;4.75678566;9.689224175;
26;2018-05-24T15:30:00+02:00;9.45;9.49;9.43;9.47;8.9222;9.203;9.338;1.350836903;6.42058714;9.844505041;
27;2018-05-25T15:30:00+02:00;9.47;9.5;9.42;9.44;8.9344;9.236;9.337;1.338733407;3.33268232;9.834207807;
28;2018-05-29T15:30:00+02:00;9.44;9.56;9.44;9.53;8.9474;9.2745;9.362;1.353554197;10.94077;10.2195002;
29;2018-05-30T15:30:00+02:00;9.56;9.589;9.5;9.53;8.9614;9.3145;9.382;1.348552984;4.942447524;10.34801536;
30;2018-05-31T15:30:00+02:00;9.53;9.58;9.46;9.56;8.9758;9.354;9.426;1.36600092;9.40389408;10.65243761;
31;2018-06-01T15:30:00+02:00;9.58;9.6;9.44;9.44;8.987;9.387;9.447;1.404769671;51.96670976;13.01690818;
32;2018-06-04T15:30:00+02:00;9.47;9.4999;9.4;9.41;8.999;9.3995;9.462;1.212193683;5.976384629;12.42040272;
33;2018-06-05T15:30:00+02:00;9.44;9.45;9.265;9.33;9.0104;9.3965;9.46;1.192075404;6.870482365;11.85223737;
34;2018-06-06T15:30:00+02:00;9.33;9.49;9.33;9.49;9.025;9.4005;9.464;1.23508527;7.82021814;11.72888544;
35;2018-06-07T15:30:00+02:00;9.5;9.56;9.4848;9.5;9.0402;9.402;9.47;1.234960943;10.87482838;11.95634988;
36;2018-06-08T15:30:00+02:00;9.52;9.59;9.51;9.54;9.056;9.4075;9.477;1.229200465;6.0563808;11.84130377;
37;2018-06-11T15:30:00+02:00;9.57;9.78;9.57;9.76;9.0748;9.423;9.509;1.30172386;17.45879873;12.34723415;
38;2018-06-12T15:30:00+02:00;9.75;9.9;9.74;9.89;9.0986;9.4535;9.545;1.320105338;13.74920786;12.58299911;
39;2018-06-13T15:30:00+02:00;9.94;10.05;9.9;9.94;9.122;9.484;9.586;1.336403454;20.82103695;13.21840041;
40;2018-06-14T15:30:00+02:00;9.95;10.1;9.91;10.0;9.1462;9.528;9.63;1.297812438;15.55656439;11.69630493;
41;2018-06-15T15:30:00+02:00;10.01;10.015;9.91;9.94;9.1696;9.5635;9.68;1.26864246;37.79845226;13.04752655;
42;2018-06-18T15:30:00+02:00;9.95;10.27;9.95;10.21;9.1992;9.611;9.76;1.394235212;19.18653558;13.72868934;
43;2018-06-19T15:30:00+02:00;10.21;10.24;10.03;10.07;9.226;9.647;9.834;1.436737879;11.83830837;13.85522065;
44;2018-06-20T15:30:00+02:00;10.1;10.175;10.08;10.13;9.2546;9.681;9.898;1.419689771;11.04374505;13.840741;
45;2018-06-21T15:30:00+02:00;10.14;10.2;10.07;10.08;9.283;9.713;9.956;1.446884679;8.227988265;14.01430113;
46;2018-06-22T15:30:00+02:00;10.1;10.15;9.96;10.02;9.3092;9.7405;10.004;1.510452844;56.89370375;16.53795696;
47;2018-06-25T15:30:00+02:00;10.02;10.18;10.02;10.1;9.3392;9.7735;10.038;1.547830318;7.9391454;16.76828011;
48;2018-06-26T15:30:00+02:00;10.1;10.17;10.05;10.14;9.369;9.804;10.063;1.543972489;7.06978146;16.57473069;
49;2018-06-27T15:30:00+02:00;10.15;10.16;10.04;10.07;9.3964;9.831;10.076;1.55689134;7.5267725;16.70394694;
50;2018-06-28T15:30:00+02:00;10.2;10.67;10.2;10.45;9.4322;9.8755;10.121;1.723858549;94.94754325;20.98112939;entry
51;2018-06-29T15:30:00+02:00;10.51;10.57;10.39;10.43;9.4686;9.925;10.17;1.725734538;23.8463492;19.57511137;
52;2018-07-02T15:30:00+02:00;10.43;10.62;10.43;10.55;9.5066;9.982;10.204;1.763679654;13.11076095;19.93183018;
53;2018-07-03T15:30:00+02:00;10.56;10.64;10.54;10.59;9.5442;10.045;10.256;1.711279883;5.10282327;19.84344723;
54;2018-07-05T15:30:00+02:00;10.61;10.66;10.57;10.66;9.5844;10.1035;10.309;1.668108295;6.909038125;19.79788823;
55;2018-07-06T15:30:00+02:00;10.68;10.93;10.68;10.85;9.6284;10.171;10.386;1.745507119;31.34766049;20.82152983;
56;2018-07-09T15:30:00+02:00;10.94;11.0;10.82;10.85;9.6712;10.2365;10.469;1.786625428;30.87867119;22.06264435;
57;2018-07-10T15:30:00+02:00;10.85;10.8862;10.78;10.8;9.7116;10.2885;10.539;1.726165444;10.7756629;21.72848756;
58;2018-07-11T15:30:00+02:00;10.81;10.95;10.81;10.94;9.7552;10.341;10.619;1.708784777;21.49935872;22.1159951;
