;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-02-09T15:30:00+01:00;2.85;3.04;2.72;3.0;4.191;3.3855;3.135;9.274675242;0.90857088;1.035970945;
1;2016-02-10T15:30:00+01:00;3.02;3.07;2.84;2.89;4.1386;3.3395;3.081;9.285746342;0.79644933;1.006905115;
2;2016-02-11T15:30:00+01:00;2.88;2.99;2.8;2.95;4.086;3.301;3.051;9.083365389;0.645176805;0.947175811;
3;2016-02-12T15:30:00+01:00;3.0;3.03;2.8951;3.0;4.0342;3.2605;3.037;8.835973929;0.375319534;0.907895476;
4;2016-02-16T15:30:00+01:00;3.01;3.1299;2.92;3.07;3.984;3.229;3.031;8.946084258;0.433617508;0.857271137;
5;2016-02-17T15:30:00+01:00;3.13;3.18;3.01;3.15;3.9388;3.2125;3.038;8.475535108;1.02182044;0.849259445;
6;2016-02-18T15:30:00+01:00;3.14;3.19;3.05;3.11;3.8952;3.1925;3.037;8.146037093;0.2555124;0.800695835;
7;2016-02-19T15:30:00+01:00;3.1;3.22;3.06;3.13;3.859;3.173;3.033;7.877789321;0.53786002;0.762861188;
8;2016-02-22T15:30:00+01:00;3.2;3.29;3.1328;3.21;3.8256;3.154;3.041;7.819834776;0.532016581;0.733481334;
9;2016-02-23T15:30:00+01:00;3.22;3.29;3.12;3.17;3.7922;3.1305;3.068;7.533531418;0.370488385;0.716980565;
10;2016-02-24T15:30:00+01:00;3.15;3.19;2.99;3.08;3.7604;3.1055;3.076;7.521158769;0.4866441;0.712606003;
11;2016-02-25T15:30:00+01:00;3.1;3.13;2.97;2.99;3.7292;3.0835;3.086;7.303793375;0.19237875;0.680402321;
12;2016-02-26T15:30:00+01:00;3.0;3.22;2.97;3.09;3.7042;3.0755;3.1;7.304869297;0.70073276;0.647676698;
13;2016-02-29T15:30:00+01:00;3.16;3.22;3.11;3.16;3.6762;3.0765;3.116;6.9849233;0.47895312;0.598990258;
14;2016-03-01T15:30:00+01:00;3.18;3.24;3.1;3.15;3.645;3.0775;3.124;6.690595523;0.69886771;0.578871914;
15;2016-03-02T15:30:00+01:00;3.16;3.61;3.14;3.6;3.6238;3.1035;3.169;7.091498117;1.32520725;0.616478068;
16;2016-03-03T15:30:00+01:00;3.67;3.68;3.57;3.59;3.6006;3.127;3.217;6.806539471;0.377511125;0.6115624;
17;2016-03-04T15:30:00+01:00;3.59;4.0;3.5;3.91;3.5864;3.164;3.295;7.225743218;1.36371375;0.649315678;
18;2016-03-07T15:30:00+01:00;4.0;4.3;3.99;4.01;3.576;3.208;3.375;7.369116357;1.494500475;0.694797422;
19;2016-03-08T15:30:00+01:00;3.98;4.17;3.92;3.96;3.5612;3.261;3.454;6.972958943;0.612538395;0.680393966;
20;2016-03-09T15:30:00+01:00;3.97;3.98;3.73;3.88;3.544;3.305;3.534;6.719844293;0.82593375;0.676262109;
21;2016-03-10T15:30:00+01:00;3.9;3.97;3.71;3.74;3.5274;3.3475;3.609;6.665319028;0.47647872;0.660263579;
22;2016-03-11T15:30:00+01:00;3.79;3.9115;3.7;3.85;3.513;3.3925;3.685;6.611844124;0.452602625;0.65063487;
23;2016-03-14T14:30:00+01:00;3.86;3.98;3.7666;3.94;3.5016;3.4395;3.763;6.662143612;0.605299958;0.662133891;
24;2016-03-15T14:30:00+01:00;3.97;3.97;3.6;3.69;3.4864;3.4705;3.817;6.816614692;0.76367674;0.678636853;
