;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-09-16T15:30:00+02:00;34.75;35.0;34.46;34.64;34.471;33.1955;34.089;2.640391438;7.42489197;12.19456469;
1;2019-09-17T15:30:00+02:00;34.43;34.73;34.06;34.6;34.4168;33.3025;34.345;2.559184219;8.71452357;12.21444147;
2;2019-09-18T15:30:00+02:00;34.5;34.79;34.02;34.73;34.3688;33.406;34.476;2.564617708;14.37148458;12.52333268;
3;2019-09-19T15:30:00+02:00;34.85;35.045;34.25;34.25;34.3256;33.4435;34.511;2.580493953;15.43251621;12.25475364;
4;2019-09-20T15:30:00+02:00;34.44;34.64;34.08;34.35;34.2788;33.4925;34.563;2.556945332;22.2628748;12.97019684;
5;2019-09-23T15:30:00+02:00;34.09;34.95;33.97;34.5;34.2482;33.6265;34.569;2.409312082;16.602828;13.31116575;
6;2019-09-24T15:30:00+02:00;34.46;34.64;33.72;33.81;34.2144;33.716;34.498;2.357735957;16.86366004;13.81063156;
7;2019-09-25T15:30:00+02:00;33.85;34.75;33.7103;34.47;34.1706;33.8805;34.477;2.281726492;6.934480708;13.79298623;
8;2019-09-26T15:30:00+02:00;34.41;34.46;33.76;34.09;34.1188;34.0095;34.437;2.219329793;3.66348222;13.70385325;
9;2019-09-27T15:30:00+02:00;34.2;34.55;33.99;34.05;34.0654;34.1115;34.349;2.205370892;7.33134683;13.74504886;
10;2019-09-30T15:30:00+02:00;34.09;34.59;33.73;34.21;34.0208;34.1975;34.306;2.182289228;15.49456608;14.12920167;
11;2019-10-01T15:30:00+02:00;34.45;34.57;33.53;33.75;33.981;34.283;34.221;2.220359679;9.2422596;13.68112398;
12;2019-10-02T15:30:00+02:00;33.75;33.76;32.94;33.43;33.9146;34.2835;34.091;2.173637787;12.47733555;13.74938344;
13;2019-10-03T15:30:00+02:00;33.23;33.88;32.92;33.62;33.84;34.2695;34.028;2.236482843;8.4124914;13.4061383;
14;2019-10-04T15:30:00+02:00;33.59;33.95;33.485;33.89;33.7918;34.2725;33.982;2.238752739;12.04372241;13.64868608;
15;2019-10-07T15:30:00+02:00;33.77;33.77;33.2;33.35;33.7298;34.218;33.867;2.23170316;12.11694907;13.69546131;
16;2019-10-08T15:30:00+02:00;32.94;33.2;32.47;32.56;33.6668;34.12;33.742;2.230312458;8.05961343;12.89226012;
