;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-06-13T15:30:00+02:00;4.6596;4.74;4.428;4.56;4.7689404;4.476792;4.764744;5.170760777;0.009250512;0.014460937;
1;2016-06-14T15:30:00+02:00;4.674;4.7292;4.632;4.7292;4.7619804;4.494612;4.786824;5.035026596;0.001530556;0.014373733;
2;2016-06-15T15:30:00+02:00;4.6812;4.716;4.4826;4.56;4.7514204;4.516392;4.749984;4.9957798;0.020471484;0.015219133;
3;2016-06-16T15:30:00+02:00;4.4568;4.572;4.4568;4.5;4.7419884;4.541592;4.72476;4.49438988;0.001828332;0.008506103;
4;2016-06-17T15:30:00+02:00;4.554;4.56;4.5426;4.5426;4.7375604;4.576722;4.72182;4.027098527;0.002453151;0.008317106;
5;2016-06-20T15:30:00+02:00;4.668;4.668;4.4334;4.44;4.7279388;4.599462;4.67646;3.955938768;0.002511986;0.008325108;
6;2016-06-21T15:30:00+02:00;4.752;4.752;4.64412;4.64412;4.720266;4.633668;4.650432;4.072085638;0.001367135;0.008390692;
7;2016-06-22T15:30:00+02:00;4.656;4.656;4.5;4.50756;4.7072172;4.641246;4.597188;4.245418971;0.015377502;0.008420572;
8;2016-06-23T15:30:00+02:00;4.55088;4.6152;4.46472;4.506;4.6929372;4.648866;4.571748;4.339487137;0.009615635;0.008383412;
9;2016-06-24T15:30:00+02:00;4.548;4.548;4.38;4.38;4.6737372;4.644846;4.536948;4.531267959;0.002415024;0.008453984;
10;2016-06-27T15:30:00+02:00;4.404;4.4268;4.26;4.356;4.6584072;4.640646;4.516548;4.674074496;0.009316593;0.008805828;
11;2016-06-28T15:30:00+02:00;4.3464;4.416;4.32;4.32;4.6405032;4.631226;4.475628;4.424074496;0.036105888;0.010217906;
12;2016-06-29T15:30:00+02:00;4.32;4.32;4.32;4.32;4.6261032;4.600806;4.451628;3.97854818;0.02069712;0.010778113;
13;2016-06-30T15:30:00+02:00;3.8004;4.4184;3.8004;4.4184;4.6016472;4.584114;4.443468;4.21324211;0.009463948;0.010740768;
14;2016-07-01T15:30:00+02:00;4.62;4.62;4.08;4.08;4.5807672;4.559514;4.397208;4.611848921;0.02127585;0.011057633;
15;2016-07-05T15:30:00+02:00;4.5192;4.56;4.344;4.4316;4.5665832;4.536414;4.396368;4.632209608;0.011214588;0.011046385;
16;2016-07-06T15:30:00+02:00;4.4028;4.476;4.40136;4.4592;4.5549672;4.514154;4.377876;4.67662967;0.005867935;0.010438161;
17;2016-07-07T15:30:00+02:00;4.416;4.416;4.35156;4.356;4.5376872;4.479954;4.36272;4.579999006;0.002853841;0.010370656;
18;2016-07-08T15:30:00+02:00;4.4148;4.4148;4.1616;4.1616;4.5193464;4.450014;4.32828;4.52751621;0.011342289;0.010190106;
19;2016-07-11T15:30:00+02:00;4.2;4.32;4.044;4.098;4.4992584;4.418514;4.30008;4.614955394;0.014666274;0.010481282;
20;2016-07-12T15:30:00+02:00;4.7304;4.7304;4.2;4.2972;4.4805624;4.405374;4.2942;4.894080443;0.015208471;0.01077918;
21;2016-07-13T15:30:00+02:00;4.2984;4.2984;4.2828;4.2828;4.4618184;4.383054;4.29048;4.807370547;0.001463095;0.010775807;
