;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-05T15:30:00+01:00;6.82;6.89;6.71;6.84;7.7054;7.4125;7.298;3.077689132;3.7478744;4.542820404;
1;2016-01-06T15:30:00+01:00;6.75;6.81;6.48;6.5;7.6706;7.3615;7.196;3.21807145;5.12504928;4.51880951;
2;2016-01-07T15:30:00+01:00;6.36;6.475;6.22;6.23;7.6328;7.289;7.069;3.185928001;6.761648985;4.513245607;
3;2016-01-08T15:30:00+01:00;6.21;6.33;6.16;6.16;7.5954;7.2185;6.937;3.217673314;5.073294365;4.503850509;
4;2016-01-11T15:30:00+01:00;6.18;6.21;6.02;6.16;7.5534;7.1355;6.802;3.16963733;3.61863686;4.429221904;
5;2016-01-12T15:30:00+01:00;6.24;6.3;6.06;6.09;7.5152;7.064;6.67;3.182471947;5.6188251;4.384717777;
6;2016-01-13T15:30:00+01:00;6.12;6.18;5.79;5.86;7.471;6.995;6.511;3.297037289;4.50433494;4.407304892;
7;2016-01-14T15:30:00+01:00;5.92;6.105;5.86;6.01;7.4278;6.928;6.382;3.38160033;4.647164122;4.468566883;
8;2016-01-15T15:30:00+01:00;5.84;5.92;5.71;5.8;7.3802;6.845;6.249;3.487574967;3.2817534;4.469633849;
9;2016-01-19T15:30:00+01:00;5.86;5.88;5.6;5.65;7.3302;6.742;6.13;3.563545516;2.61980488;4.350849333;
10;2016-01-20T15:30:00+01:00;5.52;5.86;5.47;5.85;7.2842;6.6645;6.031;3.658687455;6.70394967;4.177403129;
11;2016-01-21T15:30:00+01:00;5.82;5.99;5.735;5.81;7.233;6.579;5.962;3.716847862;6.175868213;4.193920029;
12;2016-01-22T15:30:00+01:00;5.91;6.07;5.9;6.0;7.189;6.504;5.939;3.704239909;3.2017356;4.167823403;
13;2016-01-25T15:30:00+01:00;5.91;5.98;5.69;5.75;7.1404;6.4175;5.898;3.891958856;3.711205875;4.212941321;
14;2016-01-26T15:30:00+01:00;5.77;6.01;5.75;5.87;7.0974;6.3355;5.869;4.040708892;4.1528088;4.338009541;
15;2016-01-27T15:30:00+01:00;5.85;6.0;5.795;5.9;7.0604;6.26;5.85;4.066070358;3.98862079;4.422962739;
16;2016-01-28T15:30:00+01:00;5.94;6.11;5.87;5.9;7.0252;6.1825;5.854;4.161656122;2.91412901;4.485526375;
17;2016-01-29T15:30:00+01:00;5.91;6.07;5.91;6.07;6.9912;6.121;5.86;4.173563123;5.07139157;4.602968164;
18;2016-02-01T15:30:00+01:00;6.04;6.205;5.99;6.16;6.961;6.0725;5.896;4.22680169;3.850431008;4.617641259;
19;2016-02-02T15:30:00+01:00;6.03;6.03;5.83;5.84;6.9248;6.0225;5.915;4.138734597;2.86821054;4.38183687;
20;2016-02-03T15:30:00+01:00;5.95;5.95;5.79;5.91;6.8914;5.976;5.921;4.142775687;1.975255;4.2932059;
21;2016-02-04T15:30:00+01:00;5.89;6.08;5.89;6.07;6.8598;5.9545;5.947;4.04943638;2.913468075;4.18262684;
22;2016-02-05T15:30:00+01:00;6.03;6.1;5.97;5.97;6.8262;5.9415;5.944;3.95333018;3.799919645;4.034540373;
23;2016-02-08T15:30:00+01:00;5.89;6.075;5.86;5.99;6.7932;5.933;5.968;3.998790265;4.239061365;3.992828723;
24;2016-02-09T15:30:00+01:00;5.87;6.135;5.85;5.86;6.758;5.918;5.967;4.0845727;2.881655422;3.955979651;
25;2016-02-10T15:30:00+01:00;6.18;6.885;6.1;6.7;6.7378;5.9485;6.047;4.529995521;8.553979123;4.102737352;
26;2016-02-11T15:30:00+01:00;6.49;6.73;6.245;6.41;6.7116;5.976;6.098;4.581518605;6.982353525;4.226638282;
27;2016-02-12T15:30:00+01:00;6.47;6.83;6.44;6.72;6.6884;6.0115;6.163;4.675269267;3.589515095;4.17375583;
