;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-06-22T15:30:00+02:00;10.92;11.1;10.88;10.88;10.696;10.89;10.808;3.714555049;0.85659357;1.073902894;
1;2016-06-23T15:30:00+02:00;11.0;11.2;11.0;11.2;10.6952;10.922;10.832;3.65042538;1.0096227;1.085837541;
2;2016-06-24T15:30:00+02:00;10.2;10.844;10.04;10.64;10.6824;10.918;10.832;3.897567081;2.642327216;1.142856612;
3;2016-06-27T15:30:00+02:00;10.4;10.4;9.68;10.08;10.6584;10.886;10.776;3.872642511;1.51928292;1.178153118;
4;2016-06-28T15:30:00+02:00;10.16;10.48;10.16;10.32;10.636;10.862;10.736;3.817767614;1.47847416;1.202303745;
5;2016-06-29T15:30:00+02:00;10.4;10.68;10.4;10.52;10.6144;10.836;10.692;3.745616081;0.7503426;1.175634474;
6;2016-06-30T15:30:00+02:00;10.52;10.76;10.32;10.76;10.5968;10.808;10.7;3.700491792;1.46235122;1.188159155;
7;2016-07-01T15:30:00+02:00;10.7;11.09;10.55;10.93;10.5858;10.8005;10.725;3.810961418;1.92365534;1.183462776;
8;2016-07-05T15:30:00+02:00;10.92;10.92;10.04;10.11;10.556;10.744;10.64;3.972455662;1.2768308;1.180709396;
9;2016-07-06T15:30:00+02:00;10.02;10.08;9.82;9.92;10.5224;10.684;10.536;3.94120219;1.1765477;1.084019627;
10;2016-07-07T15:30:00+02:00;9.93;10.07;9.68;9.91;10.4854;10.6235;10.439;4.014443343;1.083356625;1.116732164;
11;2016-07-08T15:30:00+02:00;10.05;10.34;10.0;10.31;10.454;10.591;10.35;4.074149226;1.30909257;1.154985992;
12;2016-07-11T15:30:00+02:00;10.4;10.69;10.4;10.67;10.4402;10.5925;10.353;4.062628906;0.966607425;1.168263512;
13;2016-07-12T15:30:00+02:00;10.71;10.73;10.22;10.3;10.4174;10.5755;10.375;4.199071488;1.853100825;1.231446613;
14;2016-07-13T15:30:00+02:00;10.38;10.57;10.145;10.48;10.4078;10.5635;10.391;4.279210855;3.131465835;1.355855324;
15;2016-07-14T15:30:00+02:00;10.55;10.72;10.51;10.58;10.4114;10.5445;10.397;4.134840898;1.00135541;1.354071972;
16;2016-07-15T15:30:00+02:00;10.65;10.65;10.49;10.54;10.4246;10.5375;10.375;3.972554388;1.01599897;1.35897059;
17;2016-07-18T15:30:00+02:00;10.51;10.74;9.8773;10.59;10.4316;10.533;10.341;4.157324815;1.194700374;1.352984236;
18;2016-07-19T15:30:00+02:00;10.53;10.7799;10.4666;10.55;10.4426;10.5125;10.385;4.121117768;0.756290414;1.358510049;
19;2016-07-20T15:30:00+02:00;10.55;10.9296;10.55;10.71;10.4592;10.5;10.464;4.208430388;1.087716204;1.374785644;
20;2016-07-21T15:30:00+02:00;10.66;10.81;10.48;10.56;10.472;10.484;10.529;4.264770195;0.632068165;1.363559374;
21;2016-07-22T15:30:00+02:00;10.53;10.74;10.46;10.69;10.4922;10.4585;10.567;4.307704317;0.5195378;1.339055129;
22;2016-07-25T15:30:00+02:00;10.67;10.78;10.64;10.71;10.516;10.462;10.571;3.973095384;0.55241109;1.234559322;
23;2016-07-26T15:30:00+02:00;10.68;10.88;10.62;10.73;10.5386;10.4945;10.614;3.723605104;1.08846975;1.213018664;
24;2016-07-27T15:30:00+02:00;10.73;10.85;10.6;10.64;10.5586;10.5105;10.63;3.684049317;0.844282725;1.181309092;
25;2016-07-28T15:30:00+02:00;10.62;10.8;10.57;10.77;10.5908;10.523;10.649;3.658232419;1.75947758;1.231765841;
26;2016-07-29T15:30:00+02:00;10.76;10.78;10.62;10.7;10.6208;10.52;10.665;3.520383691;0.9260422;1.20495039;
27;2016-08-01T15:30:00+02:00;10.68;10.73;10.43;10.66;10.65;10.5065;10.672;3.408275436;0.88487946;1.153011596;
28;2016-08-02T15:30:00+02:00;10.68;11.08;10.4268;10.85;10.6734;10.5435;10.702;3.283259713;3.35673833;1.257006973;
29;2016-08-03T15:30:00+02:00;11.05;11.49;10.75;11.02;10.6938;10.5985;10.733;3.495062867;5.55834312;1.476096744;
30;2016-08-04T15:30:00+02:00;10.99;11.19;10.745;11.13;10.7076;10.6595;10.79;3.500689643;2.558794523;1.549868639;
31;2016-08-05T15:30:00+02:00;11.15;11.88;11.15;11.53;10.727;10.7205;10.874;3.658043903;4.14781815;1.691804918;
32;2016-08-08T15:30:00+02:00;11.69;12.19;11.65;11.97;10.752;10.7855;11.0;3.750380483;3.817976;1.834373346;
33;2016-08-09T15:30:00+02:00;11.96;12.1799;11.89;12.05;10.7786;10.873;11.132;3.622778887;2.300059469;1.856721278;
34;2016-08-10T15:30:00+02:00;12.02;12.02;11.564;11.7;10.7966;10.934;11.238;3.610479709;1.428223456;1.77155916;
35;2016-08-11T15:30:00+02:00;11.69;11.8;11.62;11.75;10.8108;10.9925;11.336;3.588027524;1.52453661;1.79771822;
36;2016-08-12T15:30:00+02:00;11.73;12.1;11.59;12.05;10.8254;11.068;11.471;3.731781673;1.885238355;1.841180189;
37;2016-08-15T15:30:00+02:00;12.05;12.15;11.72;11.85;10.8408;11.131;11.59;3.47852036;1.98271381;1.880580861;
38;2016-08-16T15:30:00+02:00;11.77;11.94;11.7;11.75;10.851;11.191;11.68;3.431417904;1.44214638;1.914873659;
39;2016-08-17T15:30:00+02:00;11.72;11.72;11.43;11.45;10.8576;11.228;11.723;3.378371833;2.0193282;1.961454259;
40;2016-08-18T15:30:00+02:00;11.38;11.725;11.25;11.71;10.8694;11.2855;11.781;3.432040196;1.843939038;2.022047802;
41;2016-08-19T15:30:00+02:00;11.7;11.99;11.7;11.76;10.8854;11.339;11.804;3.422128608;1.313456515;2.061743738;
42;2016-08-22T15:30:00+02:00;11.84;11.98;11.62;11.9;10.9106;11.3985;11.797;3.51124447;1.4437536;2.106310864;
43;2016-08-23T15:30:00+02:00;11.91;12.05;11.88;11.9;10.9358;11.457;11.782;3.460382745;1.002296085;2.10200218;
44;2016-08-24T15:30:00+02:00;11.92;11.935;11.695;11.72;10.9558;11.511;11.784;3.445066169;0.62782547;2.091179318;
45;2016-08-25T15:30:00+02:00;11.71;11.85;11.7;11.76;10.9718;11.5605;11.785;3.400370247;0.910431225;2.048727;
46;2016-08-26T15:30:00+02:00;11.8;11.915;11.65;11.79;10.994;11.615;11.759;3.438774586;1.14832245;2.059841012;
47;2016-08-29T15:30:00+02:00;11.85;11.86;11.71;11.74;11.0152;11.669;11.748;3.359006492;0.43573859;2.037383969;
48;2016-08-30T15:30:00+02:00;11.78;11.85;11.65;11.72;11.0304;11.7125;11.745;3.131612114;0.9823235;1.918663227;
49;2016-08-31T15:30:00+02:00;11.73;11.84;11.59;11.73;11.0458;11.748;11.773;2.895277663;1.46589795;1.714040969;
50;2016-09-01T15:30:00+02:00;11.76;12.17;11.64;12.0;11.0682;11.7915;11.802;2.915867836;2.067458015;1.689474143;entry
51;2016-09-02T15:30:00+02:00;12.16;12.25;11.99;12.09;11.086;11.8195;11.835;2.696937263;1.38853992;1.551510232;
52;2016-09-06T15:30:00+02:00;12.18;12.23;11.9;12.17;11.1166;11.8295;11.862;2.603833068;1.6951325;1.445368057;
53;2016-09-07T15:30:00+02:00;12.2;12.35;12.1;12.34;11.1618;11.844;11.906;2.585229686;1.5267558;1.406702873;
54;2016-09-08T15:30:00+02:00;12.35;12.68;12.2;12.65;11.2084;11.8915;11.999;2.584787386;2.49230424;1.459906913;
55;2016-09-09T15:30:00+02:00;12.5;12.7;11.76;12.0;11.238;11.904;12.023;2.906994582;1.91943735;1.47965195;exit
56;2016-09-12T15:30:00+02:00;11.88;12.16;11.816;12.1;11.2648;11.9065;12.054;2.832542661;1.785528684;1.474666466;
57;2016-09-13T15:30:00+02:00;12.06;12.8;12.06;12.73;11.3008;11.9505;12.153;2.955894899;4.13087433;1.582074492;
58;2016-09-14T15:30:00+02:00;12.73;12.73;12.01;12.11;11.3408;11.9685;12.192;3.153081004;2.22768856;1.621351601;
59;2016-09-15T15:30:00+02:00;12.12;12.35;12.1;12.35;11.3894;12.0135;12.254;3.129527647;1.31362515;1.586066449;
60;2016-09-16T15:30:00+02:00;12.33;12.3916;12.17;12.28;11.4368;12.042;12.282;3.009460086;1.485743465;1.56815667;
61;2016-09-19T15:30:00+02:00;12.35;12.4921;12.23;12.45;11.4796;12.0765;12.318;2.992683;1.044471642;1.554707426;
62;2016-09-20T15:30:00+02:00;12.47;12.54;12.4;12.49;11.516;12.106;12.35;2.894229277;1.10992976;1.538016234;
63;2016-09-21T15:30:00+02:00;12.48;12.77;12.41;12.76;11.5652;12.149;12.392;2.967724774;1.19949966;1.547876413;
64;2016-09-22T15:30:00+02:00;12.8;13.47;12.76;13.43;11.6242;12.2345;12.47;3.143329988;3.25036914;1.679003597;
65;2016-09-23T15:30:00+02:00;13.31;13.38;13.09;13.1;11.6746;12.3015;12.58;3.189999006;1.535087945;1.710236433;
66;2016-09-26T15:30:00+02:00;12.97;12.98;12.34;12.85;11.7208;12.3545;12.655;3.335584387;1.2846735;1.717053985;
67;2016-09-27T15:30:00+02:00;12.89;13.18;12.86;13.16;11.7722;12.4255;12.698;3.395953361;1.38678624;1.764606368;
68;2016-09-28T15:30:00+02:00;13.12;13.25;13.0;13.16;11.8244;12.4975;12.803;3.406270297;1.372520625;1.784116224;
69;2016-09-29T15:30:00+02:00;12.98;13.34;12.861;13.25;11.8752;12.5735;12.893;3.484640612;2.493326462;1.835487649;
70;2016-09-30T15:30:00+02:00;13.35;13.37;13.2036;13.28;11.9296;12.6375;12.993;3.3199905;3.29807607;1.897018552;
71;2016-10-03T15:30:00+02:00;13.25;13.93;13.24;13.89;11.9936;12.7275;13.137;3.472140831;2.46100426;1.950641769;
72;2016-10-04T15:30:00+02:00;14.0;14.14;13.67;13.75;12.0544;12.8065;13.263;3.50539466;2.75104863;2.003437576;
73;2016-10-05T15:30:00+02:00;13.86;14.07;13.78;13.89;12.1176;12.884;13.376;3.507313838;1.386609725;1.996430272;
74;2016-10-06T15:30:00+02:00;13.92;13.98;13.75;13.95;12.1838;12.949;13.428;3.39422889;0.82202812;1.912916466;
75;2016-10-07T15:30:00+02:00;13.89;13.91;13.67;13.76;12.2436;13.037;13.494;3.082352494;0.92446781;1.863167989;
76;2016-10-10T15:30:00+02:00;13.89;14.039;13.874;13.98;12.3092;13.131;13.607;2.996250904;0.955113078;1.821647209;
77;2016-10-11T15:30:00+02:00;13.91;13.96;13.48;13.61;12.3682;13.175;13.652;2.86749311;1.58991476;1.69459923;
78;2016-10-12T15:30:00+02:00;13.58;13.8;13.462;13.77;12.4266;13.258;13.713;2.693281455;0.529796077;1.609704606;
