;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-04-04T15:30:00+02:00;30.61;31.05;30.6;30.98;30.2944;30.103;29.936;2.056475284;21.66353258;23.54674015;
1;2019-04-05T15:30:00+02:00;30.94;31.48;30.94;31.25;30.3192;30.159;30.125;2.056169387;21.51417656;24.04180383;
2;2019-04-08T15:30:00+02:00;31.15;31.47;31.05;31.44;30.337;30.212;30.322;1.999306948;26.01044568;24.40111543;
3;2019-04-09T15:30:00+02:00;31.17;31.21;30.795;30.84;30.3498;30.239;30.454;1.965794863;12.58034946;23.65342731;
4;2019-04-10T15:30:00+02:00;30.84;31.26;30.72;31.15;30.3704;30.277;30.654;1.921445783;19.24891167;23.07282398;
5;2019-04-11T15:30:00+02:00;31.14;31.64;30.97;31.52;30.3942;30.337;30.855;1.957630865;24.29233564;22.83915048;
6;2019-04-12T15:30:00+02:00;31.7;32.31;31.6;31.99;30.4218;30.4205;31.087;2.007079556;24.04866195;22.50293925;
7;2019-04-15T15:30:00+02:00;31.91;32.5;31.86;32.14;30.4566;30.5025;31.237;2.015201141;23.5840784;22.65954572;
8;2019-04-16T15:30:00+02:00;32.2;32.53;32.2;32.37;30.4834;30.608;31.423;1.943764332;16.40080193;22.83410071;
9;2019-04-17T15:30:00+02:00;32.4;32.71;32.33;32.5;30.53;30.732;31.618;1.902533277;31.8895998;23.37730732;
10;2019-04-18T15:30:00+02:00;32.52;32.82;32.46;32.79;30.5842;30.8675;31.799;1.859026062;16.45666368;22.91788125;
11;2019-04-22T15:30:00+02:00;32.73;32.87;32.47;32.81;30.6624;31.04;31.955;1.807800868;13.96423611;22.58121605;
12;2019-04-23T15:30:00+02:00;32.75;33.57;32.66;33.57;30.7578;31.245;32.168;1.815899544;27.05074939;23.35328362;
13;2019-04-24T15:30:00+02:00;33.39;33.825;33.35;33.8;30.8524;31.459;32.464;1.754947785;29.39803036;24.0643781;
14;2019-04-25T15:30:00+02:00;33.6;33.6;32.92;32.96;30.914;31.6495;32.645;1.748035628;23.220469;22.06807559;
15;2019-04-26T15:30:00+02:00;33.05;33.39;32.82;33.15;30.9744;31.8315;32.808;1.743995007;25.10987766;22.53274612;
16;2019-04-29T15:30:00+02:00;33.15;33.5;33.03;33.22;31.0378;32.009;32.931;1.722597025;18.60155515;21.71169196;
17;2019-04-30T15:30:00+02:00;33.21;34.15;33.21;33.9;31.107;32.172;33.107;1.733860142;47.56599456;23.21052632;
18;2019-05-01T15:30:00+02:00;33.92;34.1;33.43;33.47;31.166;32.32;33.217;1.737311347;39.90189005;24.23898851;
19;2019-05-02T15:30:00+02:00;33.07;33.58;32.59;33.11;31.2086;32.448;33.278;1.797123454;37.88788328;25.01951214;
20;2019-05-03T15:30:00+02:00;33.52;33.77;33.21;33.62;31.2628;32.58;33.361;1.807905996;41.05395093;25.98903306;
21;2019-05-06T15:30:00+02:00;32.93;33.76;32.8;33.68;31.3134;32.7015;33.448;1.866981784;32.57659392;26.54215393;
22;2019-05-07T15:30:00+02:00;33.17;33.6;32.76;33.11;31.3512;32.785;33.402;1.927554062;44.22535656;27.45289947;
23;2019-05-08T15:30:00+02:00;33.3;34.14;33.07;33.74;31.4086;32.93;33.396;2.02195104;61.74451641;29.91110782;
24;2019-05-09T15:30:00+02:00;33.78;34.28;33.53;33.86;31.47;33.0655;33.486;2.045900558;50.19530145;31.45842731;
25;2019-05-10T15:30:00+02:00;33.78;33.96;32.96;33.74;31.5256;33.1765;33.545;2.089430392;25.90466508;31.53904378;
26;2019-05-13T15:30:00+02:00;33.03;33.12;32.73;32.94;31.5538;33.224;33.517;2.036666988;23.36667495;31.50494443;
27;2019-05-14T15:30:00+02:00;33.01;33.47;33.0;33.21;31.5922;33.2775;33.448;2.007439687;18.45356758;31.24841889;
28;2019-05-15T15:30:00+02:00;32.87;33.4;32.858;33.18;31.636;33.318;33.419;2.03867356;18.50804591;31.35378109;
29;2019-05-16T15:30:00+02:00;33.29;33.59;33.25;33.29;31.6916;33.3575;33.437;2.031032434;12.90219204;30.4044107;
30;2019-05-17T15:30:00+02:00;32.98;33.4;32.8;32.84;31.745;33.36;33.359;2.067042984;22.6032949;30.71174226;
31;2019-05-20T15:30:00+02:00;32.63;32.9;32.56;32.75;31.7974;33.357;33.266;2.057658967;24.55597707;31.24132931;
32;2019-05-21T15:30:00+02:00;33.03;33.26;32.89;32.99;31.8496;33.328;33.254;1.974592921;18.04317323;30.7909505;
33;2019-05-22T15:30:00+02:00;32.8;32.94;32.27;32.28;31.8892;33.252;33.108;2.007190118;23.2167163;30.4818848;
34;2019-05-23T15:30:00+02:00;31.88;31.88;31.35;31.56;31.9126;33.182;32.878;1.988438943;22.22291065;30.43200688;
35;2019-05-24T15:30:00+02:00;31.78;31.9664;31.4;31.56;31.9374;33.1025;32.66;1.991792732;14.91835155;29.92243058;
