;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-02-01T15:30:00+01:00;9.31;9.4899;9.21;9.29;10.3865;10.0385;9.558;3.954112371;0.262060399;0.195853088;
1;2019-02-04T15:30:00+01:00;9.34;9.42;9.22;9.32;10.3541;9.9695;9.513;3.848707222;0.20379112;0.194056146;
2;2019-02-05T15:30:00+01:00;9.32;9.4899;9.2501;9.42;10.3337;9.903;9.52;3.543708016;0.16784481;0.188247993;
3;2019-02-06T15:30:00+01:00;9.33;9.4269;9.31;9.39;10.3017;9.836;9.532;3.429117009;0.107428016;0.187048178;
4;2019-02-07T15:30:00+01:00;9.35;9.45;9.22;9.26;10.2699;9.77;9.483;3.39038432;0.21459298;0.188671244;
5;2019-02-08T15:30:00+01:00;9.278;9.3804;9.278;9.31;10.2337;9.7105;9.412;3.329738512;0.220794176;0.195901473;
6;2019-02-11T15:30:00+01:00;9.34;9.49;9.31;9.32;10.2049;9.651;9.372;3.324467011;0.2941542;0.205694901;
7;2019-02-12T15:30:00+01:00;9.35;9.4899;9.02;9.48;10.1739;9.612;9.359;3.447419171;0.417601854;0.220887126;
8;2019-02-13T15:30:00+01:00;9.35;9.71;9.16;9.34;10.1407;9.5575;9.344;3.644897786;0.378919035;0.237524924;
9;2019-02-14T15:30:00+01:00;9.35;9.6999;9.2;9.43;10.1063;9.5065;9.356;3.794131598;0.678383561;0.265915531;
10;2019-02-15T15:30:00+01:00;9.4;9.56;9.31;9.5;10.0756;9.4675;9.377;3.743765091;0.31750662;0.275141794;
11;2019-02-19T15:30:00+01:00;9.5;9.975;9.45;9.97;10.0656;9.4775;9.442;3.6266055;0.767646862;0.299224943;
12;2019-02-20T15:30:00+01:00;9.99;11.724;9.99;11.5;10.08;9.585;9.65;4.200040819;2.083664583;0.387473232;
13;2019-02-21T15:30:00+01:00;11.39;11.39;10.75;11.14;10.0934;9.6785;9.825;4.23741155;0.64329984;0.406012513;
14;2019-02-22T15:30:00+01:00;11.2;11.66;11.14;11.59;10.1176;9.7705;10.058;4.206225894;1.449453;0.465877256;
15;2019-02-25T15:30:00+01:00;11.6;11.95;11.6;11.75;10.1398;9.857;10.302;4.193822657;0.7944828;0.493702682;
16;2019-02-26T15:30:00+01:00;11.54;11.72;11.43;11.45;10.1532;9.9435;10.515;4.091515133;0.107473875;0.490285021;
17;2019-02-27T15:30:00+01:00;11.48;11.51;11.14;11.38;10.1684;10.032;10.705;4.099688619;0.129524025;0.492356962;
18;2019-02-28T15:30:00+01:00;11.39;11.5;11.2624;11.35;10.1872;10.125;10.906;4.072892399;0.236433049;0.495238818;
19;2019-03-01T15:30:00+01:00;11.5;11.64;11.4269;11.6;10.2138;10.2395;11.123;4.015275217;0.155090302;0.481507255;
20;2019-03-04T15:30:00+01:00;11.6;12.48;11.6;12.43;10.258;10.3965;11.416;4.242631165;1.24905368;0.530856919;
21;2019-03-05T15:30:00+01:00;12.42;13.36;12.42;13.35;10.322;10.598;11.754;4.512593195;1.98743176;0.620038951;
22;2019-03-06T15:30:00+01:00;13.35;13.35;12.49;12.68;10.3704;10.761;11.872;4.727248395;1.6083462;0.692064021;
23;2019-03-07T15:30:00+01:00;12.95;12.95;10.65;11.09;10.387;10.846;11.867;5.744278647;2.3496868;0.80417696;
