;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-03-23T14:30:00+01:00;2.8;2.8;2.4192;2.4888;4.76265136;3.0212284;2.504216;14.39537817;0.213569664;0.501753094;
1;2020-03-24T14:30:00+01:00;2.56;2.72;2.48;2.6376;4.46660336;2.9549484;2.450456;14.42210628;0.2016066;0.462859257;
2;2020-03-25T14:30:00+01:00;2.6696;3.038168;2.56;2.8864;4.40273136;2.9116684;2.431176;14.80663858;0.309438736;0.418451595;
3;2020-03-26T14:30:00+01:00;3.36;3.36;3.04;3.3048;4.31842736;2.8990684;2.505656;14.74843056;0.4333024;0.395011427;
4;2020-03-27T14:30:00+01:00;3.4128;3.4128;2.88888;3.216;4.24674736;2.8886284;2.579256;15.22896797;0.22138432;0.377640168;
5;2020-03-30T15:30:00+02:00;3.28;3.36;3.0288;3.1488;4.17930736;2.8629084;2.666136;15.06143344;0.184674653;0.360732501;
6;2020-03-31T15:30:00+02:00;3.2;3.2;2.8;3.036;4.11570736;2.8377884;2.750536;15.11752054;0.403941;0.352689258;
7;2020-04-01T15:30:00+02:00;2.9448;3.04;2.56;2.64;4.05906736;2.7897884;2.81024;15.834566;0.3644788;0.355907249;
8;2020-04-02T15:30:00+02:00;2.708;2.8776;2.488;2.76;4.00066736;2.7508684;2.86224;16.2465036;0.187020671;0.351875869;
9;2020-04-03T15:30:00+02:00;2.8;2.96;2.5832;2.6768;3.94341936;2.717428;2.87952;16.60997791;0.298573382;0.350343948;
10;2020-04-06T15:30:00+02:00;2.704;2.88;2.6736;2.84;3.89316336;2.709428;2.91464;16.2816886;0.22879999;0.337053297;
11;2020-04-07T15:30:00+02:00;2.96;3.0;2.7288;2.8536;3.84810736;2.693348;2.93624;16.37320492;0.215033372;0.32643069;
12;2020-04-08T15:30:00+02:00;2.9408;3.1136;2.84;2.9688;3.78916336;2.687828;2.94448;15.77347717;0.257031796;0.303902937;
13;2020-04-09T15:30:00+02:00;3.04;3.1208;2.9776;3.12;3.73010736;2.715828;2.926;14.68060595;0.328301266;0.287140121;
14;2020-04-13T15:30:00+02:00;3.264;3.48;3.128;3.464;3.68418736;2.765028;2.9508;14.57659913;0.393251992;0.286611872;
15;2020-04-14T15:30:00+02:00;3.6888;3.92;3.6;3.6008;3.63876336;2.831068;2.996;13.77372797;0.5950576;0.301112355;
16;2020-04-15T15:30:00+02:00;3.68;3.7984;3.504;3.76;3.57916336;2.909468;3.0684;13.02894474;0.395216842;0.301858739;
17;2020-04-16T15:30:00+02:00;3.916;4.32;3.8408;4.24;3.53436336;3.01932;3.2284;12.77627909;1.058117087;0.343489802;
18;2020-04-17T15:30:00+02:00;4.3912;5.5992;4.36;5.176;3.51468336;3.16612;3.47;13.49738001;4.94673464;0.578830336;
19;2020-04-20T15:30:00+02:00;5.6952;5.76;4.16;4.64;3.49068336;3.27292;3.66632;14.34902836;3.99233376;0.761393428;
