;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-02-02T15:30:00+01:00;3.69;3.77;3.47;3.53;4.6345;3.71625;3.704;8.311731862;1.43925046;2.611107953;
1;2016-02-03T15:30:00+01:00;3.53;3.57;3.41;3.52;4.5997;3.69575;3.69;7.99384978;1.98113689;2.433365497;
2;2016-02-04T15:30:00+01:00;3.6;3.9;3.6;3.75;4.5653;3.67425;3.681;7.649511012;2.889195;2.345222998;
3;2016-02-05T15:30:00+01:00;3.71;3.815;3.58;3.62;4.5325;3.66675;3.663;7.442963944;1.51119783;2.244100879;
4;2016-02-08T15:30:00+01:00;3.57;3.72;3.44;3.67;4.4963;3.6605;3.663;7.498589337;1.807542;2.217290703;
5;2016-02-09T15:30:00+01:00;3.63;3.7;3.5028;3.63;4.4555;3.662;3.641;7.243866732;1.451295773;2.1387136;
6;2016-02-10T15:30:00+01:00;3.63;3.69;3.38;3.42;4.4101;3.654;3.623;7.345303757;1.931428555;2.093418659;
7;2016-02-11T15:30:00+01:00;3.36;3.5104;3.2036;3.41;4.3601;3.65;3.602;7.438965647;1.608566976;2.064245208;
8;2016-02-12T15:30:00+01:00;3.42;3.47;3.27;3.46;4.3097;3.633;3.574;7.168407169;1.07249913;1.959069999;
9;2016-02-16T15:30:00+01:00;3.5;3.74;3.43;3.72;4.2627;3.6355;3.573;7.232371178;1.564418715;1.919714867;
10;2016-02-17T15:30:00+01:00;3.77;3.93;3.77;3.87;4.2207;3.6555;3.607;7.120088994;2.1176771;1.885496522;
11;2016-02-18T15:30:00+01:00;3.88;3.93;3.715;3.81;4.1771;3.663;3.636;6.818547332;1.336093715;1.817607228;
12;2016-02-19T15:30:00+01:00;3.8;3.86;3.72;3.81;4.1319;3.6615;3.642;6.649183015;0.97454923;1.678130287;
13;2016-02-22T15:30:00+01:00;3.84;3.94;3.74;3.86;4.0857;3.6645;3.666;6.665239943;1.64904576;1.681781156;
14;2016-02-23T15:30:00+01:00;3.84;3.9;3.74;3.76;4.0419;3.669;3.675;6.564936036;1.07234276;1.659220304;
15;2016-02-24T15:30:00+01:00;3.7;3.83;3.61;3.81;3.9933;3.667;3.693;6.582759932;0.94730544;1.606060265;
16;2016-02-25T15:30:00+01:00;3.83;3.89;3.74;3.78;3.9515;3.676;3.729;6.229317418;1.853597865;1.586240856;
17;2016-02-26T15:30:00+01:00;3.07;3.22;2.82;2.98;3.9021;3.644;3.686;6.666330973;10.58101696;2.045291173;
18;2016-02-29T15:30:00+01:00;2.97;3.235;2.96;3.16;3.8547;3.615;3.656;6.909251352;7.90572447;2.346214134;
19;2016-03-01T15:30:00+01:00;3.15;3.21;3.08;3.12;3.8049;3.5845;3.596;6.856401424;3.85776393;2.477582428;
20;2016-03-02T15:30:00+01:00;3.14;3.25;3.1;3.16;3.7575;3.566;3.525;6.666060251;10.1276277;2.91200129;
21;2016-03-03T15:30:00+01:00;3.16;3.44;3.16;3.3;3.7351;3.555;3.474;6.87449412;7.706622;3.198275545;
22;2016-03-04T15:30:00+01:00;3.31;3.44;3.23;3.34;3.7141;3.5345;3.427;6.782904852;9.032950885;3.50546334;
23;2016-03-07T15:30:00+01:00;3.36;3.65;3.32;3.55;3.7059;3.531;3.396;6.951680514;4.611020925;3.660454494;
24;2016-03-08T15:30:00+01:00;3.53;3.65;3.45;3.54;3.6955;3.5245;3.374;6.834558842;3.0139074;3.720772764;
25;2016-03-09T15:30:00+01:00;3.58;3.68;3.5283;3.6;3.6851;3.523;3.353;6.768045798;2.392755539;3.767845753;
26;2016-03-10T15:30:00+01:00;3.58;3.64;3.29;3.48;3.6711;3.526;3.323;6.84138081;2.08469646;3.775509148;
27;2016-03-11T15:30:00+01:00;3.5;3.56;3.41;3.53;3.6551;3.532;3.378;6.58248585;1.664097955;3.778285697;
28;2016-03-14T14:30:00+01:00;3.75;3.92;3.69;3.71;3.6433;3.5445;3.433;6.588328569;6.32798135;4.041059808;
29;2016-03-15T14:30:00+01:00;3.7;3.76;3.525;3.68;3.6311;3.5425;3.489;6.469766859;2.839758565;4.1048268;
30;2016-03-16T14:30:00+01:00;3.67;3.74;3.52;3.72;3.6219;3.535;3.545;6.570065267;1.67230107;4.082557999;
31;2016-03-17T14:30:00+01:00;3.73;3.82;3.47;3.8;3.6193;3.5345;3.595;6.785020604;4.58945595;4.245226111;
32;2016-03-18T14:30:00+01:00;3.83;3.97;3.6;3.83;3.6123;3.5355;3.644;7.11073745;6.28875479;4.510936389;
33;2016-03-21T14:30:00+01:00;3.84;4.21;3.75;4.13;3.6195;3.549;3.702;7.456691104;6.68417518;4.76269286;
34;2016-03-22T14:30:00+01:00;4.09;4.18;3.85;3.95;3.6226;3.5585;3.743;7.67135879;3.43075326;4.880613385;
35;2016-03-23T14:30:00+01:00;3.93;3.95;3.66;3.76;3.6258;3.556;3.759;7.762824512;2.82373616;4.974434921;
36;2016-03-24T14:30:00+01:00;3.75;3.85;3.64;3.69;3.628;3.5515;3.78;7.850751291;2.132024755;4.988356265;
37;2016-03-28T15:30:00+02:00;3.72;3.85;3.64;3.8;3.6342;3.5925;3.807;7.429992971;1.89692489;4.554151662;
38;2016-03-29T15:30:00+02:00;3.79;4.0125;3.6805;3.94;3.637;3.6315;3.83;7.41649162;2.09388074;4.263559475;
39;2016-03-30T15:30:00+02:00;3.96;4.11;3.89;3.91;3.6418;3.671;3.853;7.488229009;2.277652;4.184553879;
40;2016-03-31T15:30:00+02:00;3.91;3.955;3.75;3.79;3.6482;3.7025;3.86;7.519626858;1.786489005;3.767496944;
41;2016-04-01T15:30:00+02:00;3.81;4.055;3.75;3.95;3.654;3.735;3.875;7.48325555;2.85416362;3.524874025;
42;2016-04-04T15:30:00+02:00;4.02;4.08;3.8785;3.99;3.657;3.7675;3.891;7.417943524;2.075397734;3.176996367;
43;2016-04-05T15:30:00+02:00;3.98;4.08;3.92;3.93;3.6596;3.7865;3.871;7.125037205;1.844068;3.038648721;
44;2016-04-06T15:30:00+02:00;3.95;4.06;3.83;4.04;3.667;3.8115;3.88;7.135443229;1.58767314;2.967337008;
45;2016-04-07T15:30:00+02:00;4.03;4.08;3.95;4.01;3.6702;3.832;3.905;7.08502414;1.343439075;2.914871185;
46;2016-04-08T15:30:00+02:00;4.04;4.06;3.84;3.97;3.6776;3.8565;3.933;6.83956758;1.40393665;2.880833194;
47;2016-04-11T15:30:00+02:00;4.0;4.0;3.8;3.88;3.6828;3.874;3.941;6.882784126;1.4409876;2.869677677;
48;2016-04-12T15:30:00+02:00;3.87;4.0;3.78;3.97;3.6874;3.887;3.944;6.8621363;1.83106579;2.644831899;
49;2016-04-13T15:30:00+02:00;3.97;4.02;3.92;3.93;3.6914;3.8995;3.946;6.656353987;1.68314105;2.587001023;
50;2016-04-14T15:30:00+02:00;3.93;4.06;3.89;4.01;3.701;3.914;3.968;6.562362985;1.187137725;2.562742856;entry
51;2016-04-15T15:30:00+02:00;3.98;4.14;3.98;4.03;3.7112;3.9255;3.976;6.259045243;1.46410908;2.406475512;
52;2016-04-18T15:30:00+02:00;4.04;4.14;3.95;4.1;3.7182;3.939;3.987;5.985662683;0.96172302;2.140123924;
53;2016-04-19T15:30:00+02:00;4.11;4.21;3.98;4.08;3.7274;3.9365;4.002;5.661274074;1.325096955;1.872170012;
54;2016-04-20T15:30:00+02:00;4.08;4.2;4.08;4.18;3.7376;3.948;4.016;5.379761469;0.92492982;1.74687884;
55;2016-04-21T15:30:00+02:00;4.16;4.325;4.07;4.31;3.7512;3.9755;4.046;5.296854418;3.48115465;1.779749765;
56;2016-04-22T15:30:00+02:00;4.28;4.68;4.26;4.35;3.7698;4.0085;4.084;5.501350626;5.15316798;1.930806926;
57;2016-04-25T15:30:00+02:00;4.34;4.44;4.08;4.23;3.7862;4.03;4.119;5.654065559;2.92321626;1.982121495;
58;2016-04-26T15:30:00+02:00;4.22;4.59;4.12;4.55;3.808;4.0605;4.177;5.773428232;2.558453625;2.005350139;
59;2016-04-27T15:30:00+02:00;4.56;4.61;4.3815;4.43;3.8222;4.0865;4.227;5.751407332;1.806306931;1.981782885;
60;2016-04-28T15:30:00+02:00;4.56;4.7;4.56;4.6;3.8368;4.127;4.286;5.63158277;2.980331;2.041474985;
61;2016-04-29T15:30:00+02:00;4.6;4.86;4.595;4.82;3.857;4.1705;4.365;5.513273013;2.721900673;2.034861838;
62;2016-05-02T15:30:00+02:00;4.89;4.89;4.645;4.73;3.8754;4.2075;4.428;5.517232075;2.343045085;2.048244205;
63;2016-05-03T15:30:00+02:00;4.71;4.725;4.55;4.61;3.8904;4.2415;4.481;5.505458135;2.051662462;2.058623929;
64;2016-05-04T15:30:00+02:00;4.55;4.75;4.5;4.61;3.9074;4.27;4.524;5.482974816;2.04187275;2.081333909;
65;2016-05-05T15:30:00+02:00;4.67;4.738;4.56;4.57;3.9226;4.298;4.55;5.513593292;1.610799467;2.094701929;
66;2016-05-06T15:30:00+02:00;4.5;4.7;4.49;4.63;3.9396;4.331;4.578;5.460987966;1.67410554;2.108210373;
67;2016-05-09T15:30:00+02:00;4.67;4.76;4.58;4.59;3.9718;4.3665;4.614;5.394336621;1.39078671;2.105700329;exit
68;2016-05-10T15:30:00+02:00;4.64;4.72;4.55;4.62;4.001;4.399;4.621;5.290144517;1.27418931;2.077856505;
69;2016-05-11T15:30:00+02:00;4.65;4.75;4.6;4.7;4.0326;4.4375;4.648;5.325636975;1.251404;2.056269652;
