;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2021-05-20T15:30:00+02:00;8.8;9.63;8.55;8.82;9.1761;9.01;8.012;14.89274798;5.66141562;3.438304563;
1;2021-05-21T15:30:00+02:00;8.75;9.215;8.5;8.69;9.1745;8.95;8.099;14.98546736;2.095773075;3.443126833;
2;2021-05-24T15:30:00+02:00;8.0;8.89;8.0;8.71;9.1687;8.8025;8.214;14.2222027;1.687792365;3.264042126;
3;2021-05-25T15:30:00+02:00;8.7;9.5;8.5;9.27;9.1769;8.73;8.393;14.26866043;2.885463;3.270818194;
4;2021-05-26T15:30:00+02:00;8.59;9.59;8.57;9.23;9.1923;8.661;8.625;14.6745717;2.29609592;3.308146119;
5;2021-05-27T15:30:00+02:00;9.46;9.8;9.01;9.75;9.2033;8.6295;8.829;14.75196565;2.095593885;3.360659815;
6;2021-05-28T15:30:00+02:00;9.8;11.8;9.55;10.11;9.2367;8.61;8.974;14.89043196;9.88511405;3.427390823;
7;2021-06-01T15:30:00+02:00;9.47;11.99;9.47;11.43;9.2909;8.6845;9.307;15.61332837;11.8828312;3.920640793;
8;2021-06-02T15:30:00+02:00;11.68;12.18;10.78;11.89;9.3571;8.8245;9.644;15.70712346;5.03387668;4.105620402;
9;2021-06-03T15:30:00+02:00;11.11;12.8;10.7;12.58;9.4487;9.009;10.048;16.01677631;6.0489;4.297741058;
10;2021-06-04T15:30:00+02:00;11.91;12.68;11.91;12.54;9.5507;9.216;10.42;15.98461239;2.553708385;4.380238694;
11;2021-06-07T15:30:00+02:00;12.25;14.88;11.98;13.01;9.6551;9.4755;10.852;16.55625329;13.60547638;4.989852863;
12;2021-06-08T15:30:00+02:00;12.85;13.46;10.69;11.18;9.7287;9.6565;11.099;17.1905881;5.454651825;5.223816205;
13;2021-06-09T15:30:00+02:00;11.13;12.4999;10.7038;11.46;9.8197;9.8555;11.318;16.95909955;5.496237215;5.275130619;
14;2021-06-10T15:30:00+02:00;11.46;12.3;10.82;11.02;9.9661;10.061;11.497;17.02537116;3.47588392;5.410871805;
15;2021-06-11T15:30:00+02:00;11.0;11.42;10.18;10.62;10.1075;10.2065;11.584;15.97542231;2.1910068;5.233093207;
16;2021-06-14T15:30:00+02:00;10.54;11.12;10.07;10.16;10.1167;10.2815;11.589;13.9898858;0.505201385;4.490753684;
17;2021-06-15T15:30:00+02:00;10.2;10.5413;10.0754;10.13;10.0899;10.383;11.459;13.9220925;0.260574471;4.426419616;
18;2021-06-16T15:30:00+02:00;9.85;10.01;9.61;9.71;10.0241;10.4425;11.241;13.777558;0.33743457;4.367375132;
19;2021-06-17T15:30:00+02:00;9.72;9.9;9.36;9.36;9.9593;10.4835;10.919;13.57964454;0.3034413;4.187823602;
20;2021-06-18T15:30:00+02:00;9.39;9.677;9.39;9.4;9.9145;10.5125;10.605;13.10088774;0.311592914;3.920332467;
21;2021-06-21T15:30:00+02:00;9.37;9.72;9.1004;9.11;9.8949;10.5335;10.215;13.02072411;0.502448219;3.840666224;
22;2021-06-22T15:30:00+02:00;9.01;10.2;9.01;10.01;9.8783;10.5985;10.098;13.12485146;4.004526205;3.956502916;
23;2021-06-23T15:30:00+02:00;9.66;10.1871;9.349;9.94;9.8687;10.632;9.946;12.98484593;1.88673793;3.906566663;
24;2021-06-24T15:30:00+02:00;9.89;10.35;9.68;10.05;9.8459;10.673;9.849;12.73582112;2.123750855;3.897949409;
25;2021-06-25T15:30:00+02:00;9.98;10.5666;9.7074;9.92;9.8203;10.6815;9.779;12.73996833;3.493463625;3.967842896;
26;2021-06-28T15:30:00+02:00;10.01;10.37;9.687;10.37;9.8099;10.6945;9.8;11.91449218;0.780307556;3.512602572;
