;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-04T15:30:00+01:00;91.77;92.0;90.54;91.97;91.3649;92.8675;93.647;2.303350047;273.2470466;277.121658;
1;2016-01-05T15:30:00+01:00;92.01;92.85;91.41;92.34;91.4425;92.8555;93.75;2.232887155;167.7961847;271.8778548;
2;2016-01-06T15:30:00+01:00;91.1;91.5;90.24;91.02;91.5057;92.9265;93.69;2.097298305;152.1153804;261.4622098;
3;2016-01-07T15:30:00+01:00;89.4;91.4;88.71;89.11;91.5111;92.796;93.219;2.072796345;244.7516591;258.43369;
4;2016-01-08T15:30:00+01:00;89.68;89.99;87.63;87.85;91.5071;92.7105;92.534;2.047700756;201.0169057;253.4216235;
5;2016-01-11T15:30:00+01:00;88.07;89.8025;87.84;89.38;91.5247;92.7315;92.042;2.050947224;209.8102704;242.6546063;
6;2016-01-12T15:30:00+01:00;89.89;91.03;88.4075;89.82;91.5587;92.6515;91.604;2.00341611;212.6765922;215.0870542;
7;2016-01-13T15:30:00+01:00;90.59;91.44;87.99;88.3;91.5515;92.4035;90.901;2.073664587;305.8485728;212.9020311;
8;2016-01-14T15:30:00+01:00;88.92;90.3;87.32;89.8;91.5493;92.1925;90.353;2.133865986;363.0110526;211.62896;
9;2016-01-15T15:30:00+01:00;86.84;89.35;86.82;89.17;91.5255;91.873;89.876;2.170072893;346.8367135;216.6026684;
10;2016-01-19T15:30:00+01:00;90.29;91.4;88.37;89.18;91.4889;91.622;89.597;2.223133417;330.8323489;218.5165361;
11;2016-01-20T15:30:00+01:00;87.69;88.76;84.67;87.94;91.4367;91.4535;89.157;2.321176318;317.9976927;209.8088278;
12;2016-01-21T15:30:00+01:00;88.64;89.93;87.14;88.0;91.3829;91.2725;88.855;2.377783741;380.5944351;216.6194392;
13;2016-01-22T15:30:00+01:00;89.55;89.93;88.48;89.63;91.3795;91.063;88.907;2.333127069;480.8374297;231.9687713;
14;2016-01-25T15:30:00+01:00;88.39;89.26;86.63;86.77;91.3093;90.6665;88.799;2.406872236;346.9435527;242.1215356;
15;2016-01-26T15:30:00+01:00;87.26;87.58;85.47;86.89;91.2229;90.296;88.55;2.468624917;237.6275011;251.1527607;
16;2016-01-27T15:30:00+01:00;87.27;87.83;84.51;84.85;91.1031;89.8285;88.053;2.607666414;264.5955839;259.5674071;
17;2016-01-28T15:30:00+01:00;85.54;85.74;82.7;84.52;91.0131;89.288;87.675;2.722858619;447.6837061;276.5944172;
18;2016-01-29T15:30:00+01:00;85.55;89.13;85.12;89.13;91.0004;88.9805;87.608;2.90472422;407.6992594;291.4692984;
19;2016-02-01T15:30:00+01:00;88.16;90.2383;87.9;89.61;90.9868;88.764;87.652;2.966898213;257.6880955;297.4804992;
20;2016-02-02T15:30:00+01:00;88.71;89.02;87.64;87.95;90.9204;88.563;87.529;2.965002039;271.2529503;297.3807943;
21;2016-02-03T15:30:00+01:00;88.91;89.25;86.67;87.99;90.845;88.3455;87.534;3.035076469;280.2237596;303.0021731;
22;2016-02-04T15:30:00+01:00;87.82;87.97;85.78;86.36;90.736;88.1125;87.37;3.092914772;296.8849744;310.2406528;
23;2016-02-05T15:30:00+01:00;85.5;85.5;77.83;79.2;90.4808;87.617;86.327;3.43403773;869.2567147;341.4659056;
24;2016-02-08T15:30:00+01:00;77.4;78.33;71.27;74.94;90.1396;86.9715;85.144;3.794680214;965.6655316;379.6983369;
25;2016-02-09T15:30:00+01:00;74.76;77.19;73.04;73.85;89.7812;86.195;83.84;3.967062335;503.0717457;394.3614106;
26;2016-02-10T15:30:00+01:00;74.99;77.615;73.8965;75.53;89.4484;85.4805;82.908;4.070345373;489.7818323;408.2166726;
27;2016-02-11T15:30:00+01:00;74.04;75.53;73.58;74.94;89.118;84.8125;81.95;4.006809202;371.6339357;411.5059408;
28;2016-02-12T15:30:00+01:00;75.99;77.36;75.4;76.67;88.8004;84.156;80.704;3.966145938;333.6843612;410.0396062;
29;2016-02-16T15:30:00+01:00;77.13;79.2;77.13;78.88;88.5376;83.6415;79.631;3.954631215;370.2177357;411.2086573;
30;2016-02-17T15:30:00+01:00;79.4;82.07;78.54;81.85;88.3764;83.275;79.021;4.007919198;359.3036826;412.632224;
