;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-02-19T15:30:00+01:00;4.91;5.1;4.81;5.08;4.8123;4.5975;4.672;6.699359313;0.218887125;0.140424773;
1;2016-02-22T15:30:00+01:00;5.17;5.7799;5.16;5.34;4.8087;4.6455;4.738;7.020317328;0.373406137;0.150807808;
2;2016-02-23T15:30:00+01:00;5.36;5.6699;5.2601;5.39;4.8125;4.71;4.836;6.746926819;0.27035355;0.153752724;
3;2016-02-24T15:30:00+01:00;5.33;5.57;5.2201;5.3;4.8149;4.7725;4.925;6.64997489;0.19695709;0.158328201;
4;2016-02-25T15:30:00+01:00;5.34;5.86;5.34;5.69;4.8291;4.832;5.054;6.094806722;0.4307408;0.171886481;
5;2016-02-26T15:30:00+01:00;5.84;5.9999;5.59;5.94;4.8493;4.9005;5.209;6.064206959;0.325432802;0.184435052;
6;2016-02-29T15:30:00+01:00;5.99;6.08;5.65;5.8;4.8651;4.953;5.329;6.083564118;0.308317185;0.19191526;
7;2016-03-01T15:30:00+01:00;5.89;6.12;5.8;6.03;4.8847;5.016;5.456;6.055558783;0.42505528;0.209124005;
8;2016-03-02T15:30:00+01:00;6.03;6.18;5.81;6.03;4.9027;5.082;5.559;6.245770178;0.404536605;0.227199823;
9;2016-03-03T15:30:00+01:00;6.06;6.06;5.71;5.73;4.9091;5.132;5.633;6.321480807;0.52787273;0.249199838;
10;2016-03-04T15:30:00+01:00;5.9184;5.95;5.7;5.77;4.9191;5.187;5.702;6.455125948;0.631389225;0.277780098;
11;2016-03-07T15:30:00+01:00;5.86;5.992;5.72;5.8;4.9321;5.243;5.748;6.529844708;0.363124704;0.285206273;
12;2016-03-08T15:30:00+01:00;5.77;5.95;5.53;5.61;4.9391;5.303;5.77;6.532017172;0.21193802;0.283305168;
13;2016-03-09T15:30:00+01:00;5.61;5.61;5.14;5.29;4.9414;5.347;5.769;6.597291625;0.36677925;0.291421505;
14;2016-03-10T15:30:00+01:00;5.24;5.76;5.08;5.41;4.9446;5.3975;5.741;7.139386834;0.5097239;0.312032363;
15;2016-03-11T15:30:00+01:00;5.41;5.6482;5.21;5.25;4.9446;5.4405;5.672;7.189995861;0.133854461;0.315883239;
16;2016-03-14T14:30:00+01:00;5.3;5.5;5.3;5.31;4.9446;5.476;5.623;7.060995549;0.1446282;0.319855563;
17;2016-03-15T14:30:00+01:00;5.3;5.4;5.205;5.28;4.9422;5.502;5.548;7.16320905;0.236083208;0.323103075;
18;2016-03-16T14:30:00+01:00;5.22;5.43;5.22;5.32;4.9442;5.518;5.477;6.909727687;0.109284975;0.315093197;
19;2016-03-17T14:30:00+01:00;5.29;5.4;5.23;5.23;4.9442;5.53;5.427;6.885141401;0.12338241;0.315587383;
20;2016-03-18T14:30:00+01:00;5.19;5.49;5.15;5.47;4.949;5.5495;5.397;6.913783187;0.25252976;0.317269515;
21;2016-03-21T14:30:00+01:00;5.42;5.69;5.39;5.66;4.9632;5.5655;5.383;6.591398027;0.36708594;0.316953505;
22;2016-03-22T14:30:00+01:00;5.61;6.1298;5.61;6.0;4.9868;5.596;5.422;6.665141564;1.016584501;0.354265052;
23;2016-03-23T14:30:00+01:00;6.01;6.04;5.86;5.98;5.0146;5.63;5.491;6.483578346;0.3965556;0.364244978;
24;2016-03-24T14:30:00+01:00;6.01;6.738;5.92;6.63;5.053;5.677;5.613;6.687565338;0.950413272;0.390228601;
25;2016-03-28T15:30:00+02:00;6.87;6.981;5.45;5.59;5.0782;5.6595;5.647;7.725515643;1.529696705;0.450441797;
26;2016-03-29T15:30:00+02:00;6.74;6.74;5.82;6.14;5.1136;5.6765;5.73;8.135362676;0.592047;0.464628287;
