;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-05-04T15:30:00+02:00;9.8;10.05;9.65;10.0;8.1006;9.329;9.734;6.879574161;3.98204965;3.449057248;
1;2020-05-05T15:30:00+02:00;9.99;10.4;9.96;10.07;8.1202;9.396;9.874;6.69554972;2.36757278;3.418175167;
2;2020-05-06T15:30:00+02:00;10.09;10.52;9.9;10.27;8.153;9.4715;10.017;6.526894899;4.18659008;3.407149005;
3;2020-05-07T15:30:00+02:00;10.19;11.92;10.19;11.65;8.216;9.5935;10.254;7.060399369;12.59918451;3.840464937;
4;2020-05-08T15:30:00+02:00;12.0;12.0;11.13;11.385;8.2831;9.70075;10.4355;6.907375299;9.17162325;4.10786229;
5;2020-05-11T15:30:00+02:00;11.25;11.27;10.6;10.67;8.3356;9.78675;10.5035;6.901292169;6.16954887;4.290977998;
6;2020-05-12T15:30:00+02:00;10.87;11.4;10.62;11.06;8.394;9.90825;10.6035;6.87440616;4.14670731;4.312849044;
7;2020-05-13T15:30:00+02:00;10.9;11.1137;9.965;10.28;8.438;10.00975;10.5645;7.266271601;4.379574196;4.427189667;
8;2020-05-14T15:30:00+02:00;10.15;10.44;9.97;10.29;8.4768;10.10975;10.5655;7.239806437;2.93101887;4.452215309;
9;2020-05-15T15:30:00+02:00;10.33;10.65;10.22;10.4;8.5234;10.15525;10.6075;6.997103824;3.835269465;4.289178948;
10;2020-05-18T15:30:00+02:00;10.97;11.045;10.585;10.99;8.5858;10.22025;10.7065;6.701067523;4.34972811;4.217844412;
11;2020-05-19T15:30:00+02:00;10.92;11.305;10.84;11.0;8.6644;10.33675;10.7995;6.377935178;3.385228643;4.269329122;
12;2020-05-20T15:30:00+02:00;11.05;11.12;10.8;11.01;8.7378;10.44525;10.8735;6.162341986;3.08460432;4.271061074;
13;2020-05-21T15:30:00+02:00;11.0;11.25;10.91;10.94;8.8198;10.52825;10.8025;5.929210813;2.93695344;4.301100327;
14;2020-05-22T15:30:00+02:00;10.89;11.2;10.81;11.2;8.9181;10.60975;10.784;5.937556331;2.356291555;4.290346883;
15;2020-05-26T15:30:00+02:00;11.64;11.72;11.06;11.14;9.0131;10.66725;10.831;5.897034163;3.28740458;4.316467805;
16;2020-05-27T15:30:00+02:00;11.35;11.39;10.95;11.38;9.1227;10.73325;10.863;5.874142725;3.65900158;4.364122272;
17;2020-05-28T15:30:00+02:00;11.5;11.62;11.05;11.14;9.2431;10.75675;10.949;5.833041669;3.16173956;4.300649345;
18;2020-05-29T15:30:00+02:00;11.05;11.43;10.73;11.4;9.3681;10.81275;11.06;5.946358639;4.88257928;4.394841532;
19;2020-06-01T15:30:00+02:00;11.45;11.94;11.26;11.74;9.4789;10.90075;11.194;5.988166777;5.66254;4.526760502;
20;2020-06-02T15:30:00+02:00;11.76;11.76;11.05;11.28;9.5885;10.96475;11.223;6.102179859;2.99581978;4.477449009;
21;2020-06-03T15:30:00+02:00;11.49;11.83;11.485;11.62;9.7095;11.04225;11.285;6.031492232;2.725511843;4.495345962;
22;2020-06-04T15:30:00+02:00;11.5;11.79;11.29;11.44;9.8113;11.10075;11.328;5.939795817;4.8552819;4.528780553;
23;2020-06-05T15:30:00+02:00;11.72;11.86;11.47;11.51;9.9175;11.09375;11.385;5.260933093;5.48028699;4.172835677;
24;2020-06-08T15:30:00+02:00;11.69;12.49;11.6376;12.06;10.0031;11.1275;11.471;5.236324227;10.00963646;4.214736337;
25;2020-06-09T15:30:00+02:00;11.92;11.98;11.52;11.61;10.0743;11.1745;11.518;5.119939269;3.63257125;4.087887456;
26;2020-06-10T15:30:00+02:00;11.64;11.64;11.32;11.5;10.1437;11.1965;11.53;4.894050387;3.66947868;4.064026025;
27;2020-06-11T15:30:00+02:00;11.12;11.2;10.255;10.255;10.1952;11.19525;11.4415;4.778433955;5.0320557;4.0966501;
28;2020-06-12T15:30:00+02:00;10.68;10.96;10.2991;10.52;10.252;11.20675;11.3535;4.863580112;3.236974343;4.111947874;
29;2020-06-15T15:30:00+02:00;10.54;10.8;10.29;10.77;10.3084;11.22525;11.2565;4.901021703;3.578519565;4.099110379;
30;2020-06-16T15:30:00+02:00;11.34;11.58;11.03;11.13;10.3658;11.23225;11.2415;4.933053123;3.867067435;4.074977345;
31;2020-06-17T15:30:00+02:00;11.07;11.32;10.94;11.005;10.4113;11.2325;11.18;4.892244317;3.13396314;4.06241407;
32;2020-06-18T15:30:00+02:00;10.92;11.3;10.92;11.18;10.4597;11.241;11.154;4.918088843;3.85167035;4.100767371;
33;2020-06-19T15:30:00+02:00;11.28;11.45;10.88;11.01;10.4957;11.2445;11.104;5.024217024;8.78140648;4.392990023;
34;2020-06-22T15:30:00+02:00;10.92;11.07;10.72;10.98;10.5305;11.2335;10.996;5.007074763;3.66865156;4.458608024;
35;2020-06-23T15:30:00+02:00;11.2;11.2;10.78;10.97;10.5709;11.225;10.932;4.903507445;4.89184682;4.538830136;
36;2020-06-24T15:30:00+02:00;11.0;11.08;10.085;10.42;10.6067;11.177;10.824;5.195901094;8.092331925;4.760496653;
37;2020-06-25T15:30:00+02:00;10.39;10.49;10.215;10.46;10.6509;11.143;10.8445;5.072588514;2.84548815;4.744684082;
38;2020-06-26T15:30:00+02:00;10.43;10.7;10.28;10.62;10.6975;11.104;10.8545;4.950680412;5.73193531;4.787151884;
39;2020-06-29T15:30:00+02:00;10.74;11.0;10.57;10.81;10.7239;11.0575;10.8585;4.852132459;4.342267485;4.721138258;
