;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-03-13T14:30:00+01:00;42.4;43.75;42.3;43.25;36.918;37.3725;38.52;5.513748164;2.17973255;0.926381125;
1;2018-03-14T14:30:00+01:00;43.25;43.95;42.6;42.6;37.074;37.585;39.345;5.12376582;5.775611325;1.113057848;
2;2018-03-15T14:30:00+01:00;42.95;43.2;42.0;42.4;37.205;37.87;39.995;5.000955388;0.6642192;1.10768019;
3;2018-03-16T14:30:00+01:00;42.3;43.0;42.3;42.65;37.337;38.165;40.535;4.864218967;2.06174365;1.19120181;
4;2018-03-19T14:30:00+01:00;42.55;42.8;40.1;41.0;37.422;38.43;41.03;4.996075061;3.76950445;1.349086382;
5;2018-03-20T14:30:00+01:00;41.3;42.6;41.025;42.4;37.551;38.7725;41.555;5.081798891;2.055711563;1.404204809;
6;2018-03-21T14:30:00+01:00;41.85;43.5;41.85;43.2;37.7;39.115;41.99;5.05133549;1.833872775;1.462871183;
7;2018-03-22T14:30:00+01:00;42.95;46.1;42.95;44.5;37.873;39.545;42.475;5.313292358;2.841184775;1.5935154;
8;2018-03-23T14:30:00+01:00;44.45;45.9;44.45;45.45;38.049;40.0175;42.975;5.35600037;3.716682775;1.7594525;
9;2018-03-26T15:30:00+02:00;46.35;46.595;45.1556;45.35;38.203;40.4925;43.28;5.282660451;2.7105421;1.871477033;
10;2018-03-27T15:30:00+02:00;45.7;46.45;44.5;46.05;38.386;41.04;43.56;5.309453882;1.36816085;1.906617903;
11;2018-03-28T15:30:00+02:00;46.15;48.35;45.3;46.35;38.566;41.64;43.935;5.455761724;2.8679376;2.018157123;
12;2018-03-29T15:30:00+02:00;46.4;49.55;45.9;48.65;38.788;42.2775;44.56;5.312011827;16.02686632;2.778304421;
13;2018-04-02T15:30:00+02:00;49.05;49.7338;47.25;49.5;39.038;42.89;45.245;5.201284587;4.128309415;2.956895817;
14;2018-04-03T15:30:00+02:00;50.0;51.85;49.4;50.45;39.264;43.61;46.19;4.979363086;5.726041875;3.182272061;
15;2018-04-04T15:30:00+02:00;50.1;51.75;50.05;51.6;39.524;44.3325;47.11;4.700917393;4.9540461;3.379699394;
16;2018-04-05T15:30:00+02:00;52.15;53.35;51.75;51.8;39.805;44.98;47.97;4.449552773;3.5779193;3.503092784;
17;2018-04-06T15:30:00+02:00;51.85;52.575;51.5;52.25;40.121;45.61;48.745;4.357843274;2.7638157;3.613694969;
18;2018-04-09T15:30:00+02:00;52.6;53.0;51.95;52.1;40.42;46.1925;49.41;4.217478859;2.71872975;3.652379496;
19;2018-04-10T15:30:00+02:00;52.55;54.99;51.55;52.55;40.745;46.705;50.13;4.298049083;3.67397863;3.770730535;
20;2018-04-11T15:30:00+02:00;52.6;53.0;51.55;52.45;41.068;47.165;50.77;4.267294439;1.9040646;3.756947138;
21;2018-04-12T15:30:00+02:00;52.8;54.25;52.7;53.5;41.42;47.71;51.485;4.255902558;2.611772475;3.598755195;
22;2018-04-13T15:30:00+02:00;53.8;54.4;52.35;52.5;41.753;48.215;51.87;4.308842932;1.578619;3.644475185;
23;2018-04-16T15:30:00+02:00;52.6;54.2;52.6;53.75;42.088;48.77;52.295;4.37819187;2.1192324;3.647349623;
24;2018-04-17T15:30:00+02:00;54.1;55.4;52.6;53.05;42.419;49.3725;52.555;4.307693212;3.596508;3.6386998;
25;2018-04-18T15:30:00+02:00;53.2;55.15;53.2;54.4;42.795;49.9725;52.835;4.299007764;3.448076225;3.708318034;
26;2018-04-19T15:30:00+02:00;54.25;55.75;54.2;54.95;43.162;50.56;53.15;4.244864078;2.2607919;3.72966399;
27;2018-04-20T15:30:00+02:00;54.9;55.15;53.85;54.0;43.506;51.035;53.325;3.99886427;2.5594835;3.715578926;
28;2018-04-23T15:30:00+02:00;54.0;55.15;53.4;53.55;43.86;51.44;53.47;3.999617336;3.887121225;3.724100849;
29;2018-04-24T15:30:00+02:00;53.8;55.245;52.9;53.05;44.187;51.825;53.52;4.061879723;3.486108148;3.762879151;
