;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-10-14T15:30:00+02:00;0.32;0.3305;301;0.3055;0.34980292;0.3088672;0.3330969;19.24814741;2.20446546;4.515967374;
1;2019-10-15T15:30:00+02:00;0.29;0.337837;275;325;0.34702092;0.3102672;0.3393569;19.99342578;3.476685585;4.670457067;
2;2019-10-16T15:30:00+02:00;315;0.3249;302;313;0.34330092;0.3081672;0.3427569;19.11698258;1.462180306;4.451956944;
3;2019-10-17T15:30:00+02:00;309;0.3494;0.3051;328;0.34046092;0.3096172;0.3424969;18.0374185;1.628763502;4.165015965;
4;2019-10-18T15:30:00+02:00;0.3297;354;0.3202;0.35;0.33800892;0.3124422;0.3449969;18.09618708;1.436875266;4.130147109;
5;2019-10-21T15:30:00+02:00;0.3535;0.37;0.3355;0.3511;0.33643092;0.3164272;0.3432669;17.8452547;1.608643356;4.081223925;
6;2019-10-22T15:30:00+02:00;0.35;0.35;326;335;0.33484092;0.3207522;0.3385669;17.65187745;0.914627324;4.013121161;
7;2019-10-23T15:30:00+02:00;334;0.3449;313;0.3279;0.33306492;0.3232922;0.3308469;14.38525539;0.636365617;3.636924767;
8;2019-10-24T15:30:00+02:00;325;0.34;0.3058;0.31;0.33066492;0.32485345;0.3281469;13.9444444;1.042669609;3.553401724;
9;2019-10-25T15:30:00+02:00;0.3;0.3085;282;0.30245;0.32847792;0.32692595;0.324795;13.96683174;1.154184805;3.563935528;
10;2019-10-28T14:30:00+01:00;0.3;305;0.2905;295;0.32628392;0.32842095;0.323745;13.67204661;0.586774138;3.55056089;
11;2019-10-29T14:30:00+01:00;295;0.2969;0.277746;283;0.32397792;0.32945095;0.319545;13.58834153;0.718922371;3.53506339;
12;2019-10-30T14:30:00+01:00;275;298;0.2625;279;0.32171792;0.32945095;0.316145;13.59786534;1.032220163;3.527502458;
13;2019-10-31T14:30:00+01:00;0.2785;0.32;278;0.3165;0.31964792;0.32874595;0.314995;13.11218959;1.355807726;3.306343374;
14;2019-11-01T14:30:00+01:00;322;339;0.3025;0.3222;0.31769188;0.32860595;0.312215;13.00871572;1.185726148;3.269352347;
15;2019-11-04T15:30:00+01:00;0.3233;329;311;0.3248;0.31614588;0.32642595;0.309585;12.01155508;0.733784;2.448321736;
16;2019-11-05T15:30:00+01:00;0.33;335;307;324;0.31557788;0.32352595;0.308485;11.62943085;0.958291893;2.127647312;
17;2019-11-06T15:30:00+01:00;0.32;0.3252;308;315;0.31525788;0.31902095;0.307195;11.28713264;0.689887547;1.586301385;
18;2019-11-07T15:30:00+01:00;0.32;0.3221;0.3081;0.3171;0.31470988;0.31802595;0.307905;10.28356237;0.500549269;1.296021499;
19;2019-11-08T15:30:00+01:00;0.32;349;0.31;0.337199;0.31435386;0.31808745;0.3113799;10.196478;1.251784998;1.228960454;
20;2019-11-11T15:30:00+01:00;0.3479;0.3479;311;0.3321;0.31419186;0.31941745;0.3150899;10.29969237;0.855021585;1.16148826;
21;2019-11-12T15:30:00+01:00;0.33;0.3469;0.3221;0.33;0.31409186;0.31966745;0.3197899;9.542175067;0.79571228;1.027439595;
22;2019-11-13T15:30:00+01:00;0.33;375;316;361;0.31457186;0.32206745;0.3279899;10.0965803;1.889007776;1.048780969;
23;2019-11-14T15:30:00+01:00;367;385;0.3451;0.38;0.31547186;0.32466745;0.3343399;9.948682126;1.638258978;1.049255742;
24;2019-11-15T15:30:00+01:00;0.3865;415;0.3681;399;0.31674986;0.32711745;0.3420199;10.05794215;2.895862296;1.122205094;
25;2019-11-18T15:30:00+01:00;405;534;0.4;505;0.32084986;0.33481245;0.3600399;11.21878417;12.36356068;1.65995096;
26;2019-11-19T15:30:00+01:00;0.5218;0.53;0.38;388;0.32267786;0.33746245;0.3664399;12.82437022;8.90795815;2.059617501;
27;2019-11-20T15:30:00+01:00;0.36;0.42;0.3531;0.3821;0.32431986;0.34017245;0.3731499;13.26210926;2.440609827;2.149829712;
28;2019-11-21T15:30:00+01:00;0.37;0.41;0.3565;0.3901;0.32612186;0.34417745;0.3804499;13.45327088;2.316631658;2.213527814;
29;2019-11-22T15:30:00+01:00;0.4;0.4665;0.3902;0.4422;0.32881586;0.35116495;0.39095;13.96111647;4.434071879;2.377522168;
30;2019-11-25T15:30:00+01:00;0.4432;467;0.4101;432;0.33150186;0.35801495;0.40094;14.40528;2.435247977;2.46994586;
31;2019-11-26T15:30:00+01:00;0.4272;0.43;0.3999;0.41;0.33376186;0.36436495;0.40894;14.43681264;1.75324591;2.521662037;
32;2019-11-27T15:30:00+01:00;0.4077;443;397;435;0.33536186;0.37216495;0.41634;14.33996725;1.52291118;2.546196588;
33;2019-11-29T15:30:00+01:00;436;515;435;0.5142;0.33966586;0.38204995;0.42976;14.50411179;3.541383875;2.655475395;
34;2019-12-02T15:30:00+01:00;0.51;0.65;0.5;0.63;0.34639586;0.39743995;0.45286;15.40080601;11.8925709;3.190817633;
35;2019-12-03T15:30:00+01:00;0.61;688;0.5218;0.5766;0.35249986;0.41002995;0.46002;16.70398114;8.651288874;3.586692876;
36;2019-12-04T15:30:00+01:00;0.5879;0.6339;0.55;602;0.35956986;0.42392995;0.48142;17.01068236;3.68967289;3.723261926;
