;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-10-22T15:30:00+02:00;72.64;73.83;72.075;73.32;68.6322;68.1715;72.458;3.021762148;16.73486579;17.41692485;
1;2020-10-23T15:30:00+02:00;73.28;73.71;72.28;72.49;68.4806;68.81;72.667;2.995170716;8.95955229;17.25371628;
2;2020-10-26T14:30:00+01:00;71.51;71.82;68.57;70.15;68.283;69.2185;72.509;3.031095743;15.11396623;17.19154264;
3;2020-10-27T14:30:00+01:00;69.71;70.11;68.95;69.5;68.0372;69.548;72.243;2.966021122;12.50524862;16.69636567;
4;2020-10-28T14:30:00+01:00;68.29;68.48;66.65;67.26;67.7932;69.764;71.757;2.94149575;16.11668484;16.42219181;
5;2020-10-29T14:30:00+01:00;67.11;69.69;66.23;69.02;67.592;70.012;71.36;3.100189266;16.83709;16.41783762;
6;2020-10-30T14:30:00+01:00;68.21;69.36;66.71;67.47;67.4218;70.2995;70.781;3.192616907;14.0029637;16.37642371;
7;2020-11-02T15:30:00+01:00;68.61;70.5;68.34;69.78;67.3172;70.554;70.441;3.162318806;12.197094;16.30982286;
8;2020-11-03T15:30:00+01:00;69.72;73.25;69.0;72.64;67.2542;70.898;70.445;3.209164975;12.84809113;15.16601093;
9;2020-11-04T15:30:00+01:00;72.82;76.33;71.72;76.1;67.2636;71.3495;70.773;3.401941211;20.40091988;14.91204146;
10;2020-11-05T15:30:00+01:00;79.98;84.43;79.39;84.01;67.4352;72.15;71.842;3.615473146;37.285432;16.20087026;
11;2020-11-06T15:30:00+01:00;84.0;84.5;82.02;83.48;67.6308;72.804;72.941;3.617685433;17.6265583;16.32223816;
12;2020-11-09T15:30:00+01:00;85.99;90.12;85.24;86.71;67.8448;73.553;74.597;3.785550625;37.45321344;17.35591628;
13;2020-11-10T15:30:00+01:00;86.61;88.23;83.5;84.42;68.0508;74.166;76.089;3.98040032;26.93980029;17.83901192;
14;2020-11-11T15:30:00+01:00;85.35;87.08;85.35;86.37;68.2976;74.8785;78.0;3.954121654;23.74205913;18.41160857;
15;2020-11-12T15:30:00+01:00;86.28;86.35;83.55;84.47;68.458;75.4525;79.545;3.78606655;22.1270964;18.95944759;
16;2020-11-13T15:30:00+01:00;86.15;87.73;85.59;86.29;68.7166;76.104;81.427;3.725536984;13.98059782;18.2887204;
17;2020-11-16T15:30:00+01:00;87.63;90.58;87.33;89.8;69.1302;76.935;83.429;3.786732865;15.99722242;18.50505919;
18;2020-11-17T15:30:00+01:00;88.76;89.55;87.5;89.01;69.7228;77.7555;85.066;3.775652871;15.26436575;18.59299503;
19;2020-11-18T15:30:00+01:00;89.31;90.32;88.085;88.52;70.2886;78.5405;86.308;3.788379508;16.89566712;18.65142446;
20;2020-11-19T15:30:00+01:00;88.35;90.06;88.17;89.95;70.9306;79.372;86.902;3.773810642;11.0229017;18.36582625;
21;2020-11-20T15:30:00+01:00;89.08;91.305;89.0;90.09;71.5556;80.252;87.563;3.804384161;19.15289863;18.87549357;
22;2020-11-23T15:30:00+01:00;91.03;94.71;90.8;94.48;72.2204;81.4685;88.34;3.782708427;21.11242933;19.17541672;
23;2020-11-24T15:30:00+01:00;95.85;97.71;94.2435;96.22;72.9306;82.8045;89.52;3.882501388;21.58037224;19.6291729;
24;2020-11-25T15:30:00+01:00;97.4;98.645;94.2;94.4;73.6172;84.1615;90.323;3.981151249;26.17774452;20.13222589;
25;2020-11-27T15:30:00+01:00;94.5;97.63;94.5;97.38;74.3642;85.5795;91.614;3.885548783;8.795807465;19.73016176;
26;2020-11-30T15:30:00+01:00;97.38;97.885;95.42;96.46;75.1088;87.029;92.631;3.81609368;25.21615399;20.29082128;
27;2020-12-01T15:30:00+01:00;97.54;100.73;97.25;99.75;75.9298;88.5275;93.626;3.836980626;43.80950935;21.87144204;
28;2020-12-02T15:30:00+01:00;100.0;100.05;98.12;99.99;76.7412;89.895;94.724;3.627358572;25.55748948;22.50691196;
29;2020-12-03T15:30:00+01:00;100.57;101.3669;97.66;97.91;77.5414;90.9855;95.663;3.49575583;25.0130042;22.73751618;
30;2020-12-04T15:30:00+01:00;98.08;101.8683;98.08;100.92;78.3694;91.831;96.76;3.371458461;44.43790983;23.09514007;
31;2020-12-07T15:30:00+01:00;101.49;101.97;99.83;100.17;79.1784;92.6655;97.768;3.327458033;53.7603272;24.90182851;
32;2020-12-08T15:30:00+01:00;99.71;102.65;99.68;102.33;79.9854;93.4465;98.553;3.190184171;34.79408311;24.768872;
33;2020-12-09T15:30:00+01:00;103.16;104.43;96.43;97.41;80.6754;94.096;98.672;3.321759308;34.13133636;25.1284488;
34;2020-12-10T15:30:00+01:00;96.74;97.89;95.64;97.63;81.3692;94.659;98.995;3.338040522;19.05244791;24.89396824;
35;2020-12-11T15:30:00+01:00;96.81;99.6;96.0;98.11;82.0502;95.341;99.068;3.357976189;19.4511486;24.76017085;
36;2020-12-14T15:30:00+01:00;99.57;101.55;98.92;100.83;82.8324;96.068;99.505;3.365897291;22.00238438;25.16126018;
37;2020-12-15T15:30:00+01:00;104.41;104.41;99.85;100.49;83.5484;96.6025;99.579;3.408164;27.54088645;25.73844338;
38;2020-12-16T15:30:00+01:00;101.2;101.6;98.12;100.05;84.2342;97.1545;99.585;3.46835502;22.42625922;26.09653805;
39;2020-12-17T15:30:00+01:00;101.29;102.04;98.91;100.62;84.9052;97.7595;99.856;3.499713573;21.10798895;26.30715414;
40;2020-12-18T15:30:00+01:00;101.22;101.725;98.12;98.79;85.521;98.2015;99.643;3.576237889;52.3114272;28.37158042;
41;2020-12-21T15:30:00+01:00;97.22;98.46;96.4;97.56;86.0642;98.575;99.382;3.55358998;20.16684084;28.42227753;
