;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-05-27T15:30:00+02:00;13.15;13.23;12.57;12.77;12.775;12.648;12.42;4.703000523;99.5337555;80.26875708;
1;2020-05-28T15:30:00+02:00;12.94;13.145;12.62;12.89;12.8016;12.5765;12.548;4.69102533;108.6965962;81.62170371;
2;2020-05-29T15:30:00+02:00;12.81;12.833;12.3;12.49;12.8602;12.5385;12.615;4.595546707;102.0151235;82.90211495;
3;2020-06-01T15:30:00+02:00;12.47;12.76;12.33;12.55;12.8914;12.519;12.695;4.543727683;81.84442052;84.44479327;
4;2020-06-02T15:30:00+02:00;12.67;13.13;12.455;13.11;12.9162;12.534;12.702;4.679137007;69.29159965;85.60956548;
5;2020-06-03T15:30:00+02:00;13.34;13.75;13.33;13.63;12.9514;12.563;12.784;4.716521353;78.58551008;85.82800227;
6;2020-06-04T15:30:00+02:00;13.55;13.96;13.41;13.84;12.975;12.6285;12.871;4.654416623;125.9366231;87.33389574;
7;2020-06-05T15:30:00+02:00;14.48;15.06;14.22;14.3;13.0046;12.7375;13.07;4.54381007;121.8222802;88.54056705;
8;2020-06-08T15:30:00+02:00;14.5;15.075;14.45;14.97;13.034;12.8425;13.343;4.480709261;81.02445365;87.86382575;
9;2020-06-09T15:30:00+02:00;14.51;14.59;13.72;13.84;13.0418;12.9145;13.439;4.627394044;89.00203963;88.97150602;
10;2020-06-10T15:30:00+02:00;13.78;13.79;13.16;13.17;13.032;12.9495;13.479;4.761492588;107.0093813;90.14922219;
11;2020-06-11T15:30:00+02:00;12.5;12.6;12.0;12.2;13.004;12.979;13.41;4.629216306;108.6212016;90.17351672;
12;2020-06-12T15:30:00+02:00;12.73;12.96;12.25;12.67;13.0014;13.0215;13.428;4.544012225;87.64020787;90.26264904;
13;2020-06-15T15:30:00+02:00;12.23;12.98;12.0304;12.88;12.9982;13.078;13.461;4.821897062;74.73730279;89.51445478;
14;2020-06-16T15:30:00+02:00;13.58;13.8999;13.36;13.66;13.0266;13.109;13.516;4.64399855;108.296795;91.30335425;
15;2020-06-17T15:30:00+02:00;13.77;13.88;13.29;13.41;13.0224;13.139;13.494;4.690325929;92.68589044;92.39646356;
16;2020-06-18T15:30:00+02:00;13.2;13.51;13.115;13.44;13.0266;13.1625;13.454;4.68781608;60.71643544;91.98334816;
17;2020-06-19T15:30:00+02:00;13.71;13.91;13.315;13.34;13.0108;13.214;13.358;4.622395574;153.6271358;94.75270855;
18;2020-06-22T15:30:00+02:00;13.36;14.14;13.18;13.98;12.996;13.301;13.259;4.829876676;123.3484067;97.30863131;
19;2020-06-23T15:30:00+02:00;14.13;14.38;13.77;13.84;12.989;13.349;13.259;4.88139545;108.2342869;99.13347228;
20;2020-06-24T15:30:00+02:00;13.68;14.0058;13.48;13.84;12.9856;13.4025;13.326;4.81389529;114.4992462;99.88174682;
21;2020-06-25T15:30:00+02:00;13.74;13.96;13.57;13.88;13.0094;13.452;13.494;4.749591457;133.788711;101.1363526;
22;2020-06-26T15:30:00+02:00;13.82;13.9799;13.53;13.75;13.0412;13.515;13.602;4.699184953;179.8804412;105.0296184;
23;2020-06-29T15:30:00+02:00;13.96;14.44;13.715;14.34;13.0656;13.6045;13.748;4.789122652;138.5283436;107.8638146;
24;2020-06-30T15:30:00+02:00;14.26;14.55;14.085;14.49;13.1014;13.6735;13.831;4.683216363;132.2536826;111.0119187;
25;2020-07-01T15:30:00+02:00;14.6;14.69;14.28;14.41;13.1404;13.7125;13.931;4.669234401;82.59993031;111.2126398;
26;2020-07-02T15:30:00+02:00;14.61;14.81;14.44;14.48;13.1764;13.7445;14.035;4.592279902;68.763591;108.3539882;
27;2020-07-06T15:30:00+02:00;14.79;15.05;14.34;14.47;13.212;13.753;14.148;4.544480527;81.21794245;106.3237713;
28;2020-07-07T15:30:00+02:00;14.24;14.25;14.03;14.14;13.2376;13.7115;14.164;4.406620972;58.8961401;105.2173556;
29;2020-07-08T15:30:00+02:00;14.08;14.47;13.96;14.44;13.2608;13.7415;14.224;4.272230335;90.74496361;105.3045018;
30;2020-07-09T15:30:00+02:00;14.29;14.375;13.77;13.92;13.2666;13.779;14.232;4.252549098;78.51489627;103.8797775;
31;2020-07-10T15:30:00+02:00;13.92;14.425;13.89;14.36;13.2674;13.887;14.28;4.195133691;73.02547513;102.0999912;
32;2020-07-13T15:30:00+02:00;14.44;14.88;14.4;14.64;13.2952;13.9855;14.369;4.072004439;98.61321;102.6486413;
33;2020-07-14T15:30:00+02:00;14.6;14.99;14.55;14.76;13.3316;14.0795;14.411;3.828540345;96.9433381;103.7589431;
34;2020-07-15T15:30:00+02:00;14.95;15.195;14.87;15.07;13.3768;14.15;14.469;3.735762392;74.59046828;102.0736268;
35;2020-07-16T15:30:00+02:00;15.06;15.165;14.82;14.88;13.4134;14.2235;14.516;3.630187746;55.56235492;100.21745;
36;2020-07-17T15:30:00+02:00;14.87;15.715;14.77;15.63;13.4754;14.333;14.631;3.799502033;125.5897709;103.4611167;
37;2020-07-20T15:30:00+02:00;15.52;15.53;15.15;15.26;13.5382;14.429;14.71;3.701482355;85.78161748;100.0688408;
38;2020-07-21T15:30:00+02:00;15.4;15.81;15.305;15.42;13.5892;14.501;14.838;3.502272956;80.47610048;97.92522552;
39;2020-07-22T15:30:00+02:00;15.24;15.72;14.89;15.6;13.6532;14.589;14.954;3.559487494;102.7963539;97.65332888;
40;2020-07-23T15:30:00+02:00;15.65;15.9;15.58;15.68;13.7174;14.681;15.13;3.467153584;65.01214972;95.17897405;
41;2020-07-24T15:30:00+02:00;15.72;15.84;15.31;15.4;13.7932;14.757;15.234;3.496543731;65.8290458;91.78099079;
42;2020-07-27T15:30:00+02:00;15.39;15.405;15.015;15.25;13.8618;14.832;15.295;3.460153699;81.05921577;86.83992952;
43;2020-07-28T15:30:00+02:00;15.13;15.38;15.125;15.2;13.9308;14.875;15.339;3.280142069;51.00379566;82.46370212;
44;2020-07-29T15:30:00+02:00;15.27;15.625;15.23;15.56;13.9812;14.9285;15.388;3.244751113;63.91000778;79.04651838;
45;2020-07-30T15:30:00+02:00;15.38;15.48;15.14;15.42;14.0334;14.979;15.442;3.213479027;48.61465443;77.34725459;
46;2020-07-31T15:30:00+02:00;15.23;15.255;14.83;15.23;14.0786;15.0165;15.402;3.22865331;61.21106134;76.96962811;
47;2020-08-03T15:30:00+02:00;15.22;15.22;14.95;15.12;14.1348;15.049;15.388;3.071395039;52.14849805;75.51615589;
48;2020-08-04T15:30:00+02:00;15.11;15.53;14.98;15.47;14.1994;15.1155;15.393;3.176569722;84.91921524;76.81730964;
49;2020-08-05T15:30:00+02:00;15.6;15.6704;15.21;15.4;14.2498;15.1635;15.373;3.145252763;93.44265446;76.95219419;
50;2020-08-06T15:30:00+02:00;15.35;16.81;15.25;16.55;14.3254;15.295;15.46;3.437047708;152.7156139;80.66223007;entry
51;2020-08-07T15:30:00+02:00;16.43;17.3;16.37;17.16;14.4108;15.435;15.636;3.528519315;145.2487605;84.27339433;
52;2020-08-10T15:30:00+02:00;17.33;17.72;16.92;17.59;14.5128;15.5825;15.87;3.598259268;101.2998304;84.40772535;
53;2020-08-11T15:30:00+02:00;17.73;17.86;16.96;16.98;14.6014;15.6935;16.048;3.712386707;102.2608559;84.67360124;
54;2020-08-12T15:30:00+02:00;16.99;17.625;16.775;17.26;14.6844;15.803;16.218;3.856459481;88.4832672;85.36824119;
55;2020-08-13T15:30:00+02:00;17.29;17.99;17.16;17.79;14.7676;15.9485;16.455;3.981904212;139.646486;89.57244774;
56;2020-08-14T15:30:00+02:00;17.71;17.71;17.44;17.57;14.8422;16.0455;16.689;3.739407255;75.03247298;87.04458284;
57;2020-08-17T15:30:00+02:00;17.6;17.8;17.485;17.67;14.9096;16.166;16.944;3.704071923;74.97328572;86.50416625;
58;2020-08-18T15:30:00+02:00;17.59;17.89;17.49;17.74;14.965;16.282;17.171;3.653444216;81.99444137;86.5800833;
59;2020-08-19T15:30:00+02:00;17.74;17.97;17.58;17.62;15.0406;16.383;17.393;3.485655174;46.47780338;83.76415577;
60;2020-08-20T15:30:00+02:00;17.4;18.0699;17.26;17.95;15.1362;16.4965;17.533;3.617577023;91.36767896;85.08193223;
61;2020-08-21T15:30:00+02:00;18.0;18.16;17.82;18.02;15.2526;16.6275;17.619;3.539885967;93.2499057;86.45297523;
62;2020-08-24T15:30:00+02:00;18.12;18.18;17.91;18.07;15.3606;16.7685;17.667;3.485392722;70.5965693;85.92984291;
63;2020-08-25T15:30:00+02:00;18.17;18.17;17.65;17.89;15.4608;16.903;17.758;3.548403983;50.85295551;85.9223009;
64;2020-08-26T15:30:00+02:00;17.89;17.91;17.58;17.73;15.5422;17.0115;17.805;3.512582372;56.45298477;85.54944975;exit
65;2020-08-27T15:30:00+02:00;17.78;18.01;17.7;17.91;15.6322;17.136;17.817;3.487867657;62.76775268;86.25710466;
66;2020-08-28T15:30:00+02:00;17.89;17.96;17.57;17.9;15.7214;17.2695;17.85;3.455561662;84.82810595;87.43795689;
67;2020-08-31T15:30:00+02:00;17.93;17.985;17.67;17.75;15.8096;17.401;17.858;3.454394785;72.64203515;88.46263375;
68;2020-09-01T15:30:00+02:00;17.65;17.955;17.562;17.91;15.8882;17.523;17.875;3.382705987;69.51282465;87.69231422;
69;2020-09-02T15:30:00+02:00;17.92;18.25;17.73;18.18;15.975;17.662;17.931;3.378002295;89.36241062;87.48830202;
70;2020-09-03T15:30:00+02:00;18.25;18.34;17.53;17.69;16.052;17.719;17.905;3.097559401;79.25657644;83.81535015;exit
71;2020-09-04T15:30:00+02:00;17.75;17.8;17.125;17.57;16.1258;17.7395;17.86;3.010583493;75.40693421;80.32325884;
72;2020-09-08T15:30:00+02:00;17.5;17.53;17.21;17.41;16.199;17.7305;17.794;2.867146077;74.07959337;78.96224699;
73;2020-09-09T15:30:00+02:00;17.55;17.735;17.325;17.54;16.263;17.7585;17.759;2.720142007;52.39592537;76.46900046;
74;2020-09-10T15:30:00+02:00;17.54;17.645;17.31;17.36;16.3204;17.7635;17.722;2.563553679;47.83530579;74.43660239;
75;2020-09-11T15:30:00+02:00;17.4;17.8499;17.255;17.8;16.3882;17.764;17.711;2.494097003;127.5393314;73.83124466;
76;2020-09-14T15:30:00+02:00;17.89;18.08;17.72;17.95;16.4576;17.783;17.716;2.518268881;79.0139294;74.03031748;
77;2020-09-15T15:30:00+02:00;18.09;18.135;17.62;17.79;16.524;17.789;17.72;2.574332422;66.2059424;73.59195032;
78;2020-09-16T15:30:00+02:00;17.81;18.13;17.73;18.06;16.6024;17.805;17.735;2.572784522;77.92889005;73.38867275;
