;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-12-10T15:30:00+01:00;3.7;3.725;3.45;3.51;2.2398;3.045;3.402;8.591262483;1.644987138;2.155831276;
1;2018-12-11T15:30:00+01:00;3.6;3.6;3.3;3.3;2.271;3.097;3.432;8.692034353;1.12649745;2.184317622;
2;2018-12-12T15:30:00+01:00;3.34;3.3562;3.24;3.3;2.302;3.1415;3.458;8.3888992;0.753836823;2.16433016;
3;2018-12-13T15:30:00+01:00;3.3;3.311;2.969;3.05;2.3278;3.175;3.457;8.620023113;1.40322204;2.175116942;
4;2018-12-14T15:30:00+01:00;3.05;3.05;2.81;2.85;2.3492;3.196;3.428;8.812026641;1.27513893;2.218984491;
5;2018-12-17T15:30:00+01:00;2.78;3.19;2.65;2.9;2.372;3.214;3.38;9.441297741;1.20102228;2.204592505;
6;2018-12-18T15:30:00+01:00;2.88;2.9391;2.71;2.71;2.3914;3.2045;3.264;9.253304445;0.714749553;1.722003848;
7;2018-12-19T15:30:00+01:00;2.8;2.92;2.7;2.83;2.4146;3.196;3.181;9.135349533;0.49924146;1.547323282;
8;2018-12-20T15:30:00+01:00;2.8;2.89;2.75;2.75;2.4364;3.1825;3.087;9.089374154;0.42523908;1.435428376;
9;2018-12-21T15:30:00+01:00;2.75;2.79;2.54;2.59;2.4544;3.161;2.979;9.361161156;0.681054075;1.387293386;
10;2018-12-24T15:30:00+01:00;2.61;2.68;2.47;2.56;2.4732;3.143;2.884;8.84626237;0.456702;1.362543725;
11;2018-12-26T15:30:00+01:00;2.55;2.75;2.55;2.72;2.4968;3.129;2.826;8.829166564;0.36195025;1.336248951;
12;2018-12-27T15:30:00+01:00;2.73;2.89;2.65;2.85;2.5234;3.1195;2.781;9.023376063;0.50692108;1.325916425;
13;2018-12-28T15:30:00+01:00;2.84;3.0647;2.8235;2.97;2.552;3.115;2.773;9.266559024;0.933721315;1.30498446;
14;2018-12-31T15:30:00+01:00;3.03;3.06;2.93;2.94;2.5802;3.105;2.782;9.23029164;0.49266552;1.264617925;
15;2019-01-02T15:30:00+01:00;2.98;3.03;2.85;3.03;2.613;3.0875;2.795;9.182157063;0.24578988;1.166190967;
16;2019-01-03T15:30:00+01:00;3.04;3.08;3.019;3.08;2.6454;3.048;2.832;8.754612465;0.365397189;0.928016518;
17;2019-01-04T15:30:00+01:00;3.08;3.4469;3.0647;3.41;2.6846;3.0355;2.89;8.596453611;1.298852573;0.869817993;
18;2019-01-07T15:30:00+01:00;3.56;3.7;3.42;3.49;2.726;3.0255;2.964;8.224560336;2.17522052;0.865045902;
19;2019-01-08T15:30:00+01:00;3.65;3.65;3.292;3.35;2.767;3.0095;3.04;8.543583641;0.847586961;0.870489806;
20;2019-01-09T15:30:00+01:00;3.47;3.47;3.29;3.39;2.8082;3.0035;3.123;8.418589147;0.54911142;0.81569602;
21;2019-01-10T15:30:00+01:00;3.4;3.5;3.34;3.47;2.8516;3.012;3.198;8.203564651;0.38330334;0.778536314;
22;2019-01-11T15:30:00+01:00;3.5;3.89;3.5;3.69;2.899;3.0315;3.282;8.58138652;2.40271809;0.860980378;
23;2019-01-14T15:30:00+01:00;3.8;4.05;3.72;3.9;2.951;3.074;3.375;8.448983408;5.735623635;1.077600458;
24;2019-01-15T15:30:00+01:00;3.95;4.0;3.77;4.0;2.9874;3.1315;3.481;8.326976933;3.74895507;1.201291265;
25;2019-01-16T15:30:00+01:00;4.04;4.1398;3.47;3.6;3.0158;3.1665;3.538;8.273238691;6.9346243;1.487971366;
26;2019-01-17T15:30:00+01:00;3.7;3.98;3.6101;3.8;3.0472;3.221;3.61;8.362857643;3.881816228;1.646324699;
27;2019-01-18T15:30:00+01:00;3.85;3.8507;3.5199;3.54;3.0706;3.2565;3.623;8.425349948;1.453379132;1.694031583;
28;2019-01-22T15:30:00+01:00;3.55;3.624;3.4102;3.59;3.095;3.2985;3.633;8.484275844;0.909138696;1.718226564;
29;2019-01-23T15:30:00+01:00;3.6;3.672;3.44;3.47;3.1232;3.3425;3.645;8.329359162;0.449748656;1.706661293;
30;2019-01-24T15:30:00+01:00;3.47;3.54;3.41;3.54;3.1514;3.3915;3.66;8.094873784;0.50308965;1.708980675;
31;2019-01-25T15:30:00+01:00;3.54;3.68;3.535;3.63;3.1788;3.437;3.676;7.907808859;0.377708858;1.709768606;
32;2019-01-28T15:30:00+01:00;3.65;3.88;3.59;3.85;3.2076;3.487;3.692;7.858878391;1.18310607;1.743577855;
33;2019-01-29T15:30:00+01:00;3.9;3.98;3.85;3.95;3.239;3.536;3.697;7.600580111;1.026626535;1.748223116;
34;2019-01-30T15:30:00+01:00;3.99;3.99;3.81;3.94;3.2692;3.586;3.691;7.61495758;0.8703786;1.76710877;
35;2019-01-31T15:30:00+01:00;3.91;3.95;3.7473;3.83;3.295;3.626;3.714;7.569629505;0.873682037;1.798503378;
36;2019-02-01T15:30:00+01:00;3.86;4.0467;3.86;3.96;3.3162;3.67;3.73;7.710442053;1.368234668;1.848645252;
37;2019-02-04T15:30:00+01:00;3.96;4.25;3.91;4.22;3.3406;3.7105;3.798;7.521672602;2.66383608;1.916894427;
38;2019-02-05T15:30:00+01:00;4.29;4.34;4.0;4.12;3.3626;3.742;3.851;7.537315876;1.97305635;1.906786219;
39;2019-02-06T15:30:00+01:00;4.09;4.15;3.9999;4.1;3.3842;3.7795;3.914;7.181203161;0.797239518;1.904268847;
40;2019-02-07T15:30:00+01:00;4.09;4.23;3.9075;4.18;3.4094;3.819;3.978;7.320314877;1.073983181;1.930512435;
41;2019-02-08T15:30:00+01:00;4.2;4.2;4.03;4.15;3.4324;3.853;4.03;7.291712033;0.54159161;1.938426848;
42;2019-02-11T15:30:00+01:00;4.13;4.25;4.1;4.2;3.4556;3.8785;4.065;6.917496005;0.660889975;1.851335442;
43;2019-02-12T15:30:00+01:00;4.19;4.19;4.05;4.15;3.4774;3.891;4.085;6.646787124;0.9947328;1.614290901;
44;2019-02-13T15:30:00+01:00;4.1;4.17;3.83;4.07;3.496;3.8945;4.098;6.785611566;1.41464;1.497575147;
45;2019-02-14T15:30:00+01:00;4.09;4.09;4.0;4.04;3.5092;3.9165;4.119;5.932981883;0.40853691;1.171270778;
46;2019-02-15T15:30:00+01:00;4.05;4.057;3.9;3.93;3.5104;3.923;4.116;5.621951256;0.638250863;1.009092509;
47;2019-02-19T15:30:00+01:00;3.99;4.15;3.9258;4.08;3.5188;3.95;4.102;5.437598438;1.137666211;0.993306863;
48;2019-02-20T15:30:00+01:00;4.05;4.12;3.99;4.05;3.526;3.973;4.095;5.287034355;0.735840575;0.984641957;
49;2019-02-21T15:30:00+01:00;4.03;4.0803;3.99;4.03;3.5332;4.001;4.088;5.062982948;0.455782298;0.984943639;
50;2019-02-22T15:30:00+01:00;4.06;4.28;4.01;4.13;3.5456;4.0305;4.083;5.209025466;0.78411794;0.998995054;entry
51;2019-02-25T15:30:00+01:00;4.1;4.39;4.0725;4.18;3.5632;4.058;4.086;5.393743227;1.131101981;1.03666471;
52;2019-02-26T15:30:00+01:00;4.15;4.19;3.9;4.0;3.5772;4.0655;4.066;5.361638378;1.55794793;1.055406803;exit
53;2019-02-27T15:30:00+01:00;4.0;4.11;3.95;3.97;3.5956;4.0665;4.048;5.395338854;0.57043844;1.032597398;
54;2019-02-28T15:30:00+01:00;3.98;4.14;3.91;3.97;3.618;4.068;4.038;5.453236029;0.661866975;1.022171817;
55;2019-03-01T15:30:00+01:00;4.01;4.04;3.9;4.0;3.64;4.0765;4.034;5.36226181;0.97674307;1.027324869;
56;2019-03-04T15:30:00+01:00;3.96;4.02;3.61;3.78;3.6614;4.0675;4.019;5.688289467;1.615808915;1.039703581;
57;2019-03-05T15:30:00+01:00;3.68;3.91;3.66;3.86;3.682;4.0495;3.997;5.595036913;0.976806305;0.955352092;
58;2019-03-06T15:30:00+01:00;3.79;3.81;3.53;3.6;3.699;4.0235;3.952;5.56663748;0.97493917;0.905446233;
59;2019-03-07T15:30:00+01:00;3.5;3.7;3.5;3.61;3.7194;3.999;3.91;5.664722075;0.5555268;0.893360597;
60;2019-03-08T15:30:00+01:00;3.5;3.72;3.5;3.65;3.7412;3.9725;3.862;5.566339843;0.53431249;0.866377063;
61;2019-03-11T14:30:00+01:00;3.67;3.747;3.6;3.67;3.7602;3.9485;3.811;5.559588395;0.393685321;0.858981748;
62;2019-03-12T14:30:00+01:00;3.68;3.7;3.6;3.69;3.777;3.923;3.78;5.515550455;0.8913592;0.87050521;
63;2019-03-13T14:30:00+01:00;3.76;4.04;3.75;4.0;3.7976;3.9155;3.783;5.729377616;1.76230833;0.908883986;
64;2019-03-14T14:30:00+01:00;3.96;4.02;3.9359;3.98;3.8184;3.911;3.784;5.39235045;0.585446835;0.867424328;
65;2019-03-15T14:30:00+01:00;3.98;3.98;3.81;3.96;3.837;3.907;3.78;5.502947563;0.814378285;0.887716397;
66;2019-03-18T14:30:00+01:00;3.99;4.13;3.89;4.0;3.8554;3.9105;3.802;5.610148802;1.1530354;0.913455624;
67;2019-03-19T14:30:00+01:00;4.02;4.23;4.02;4.22;3.8716;3.9175;3.838;5.585795937;1.53632325;0.933388476;
68;2019-03-20T14:30:00+01:00;4.22;4.25;4.15;4.21;3.886;3.9255;3.899;5.543370596;0.8659644;0.939894667;
69;2019-03-21T14:30:00+01:00;4.23;4.33;4.16;4.27;3.9044;3.9375;3.965;5.634539625;1.183688535;0.976289979;
70;2019-03-22T14:30:00+01:00;4.23;4.25;3.97;4.14;3.9194;3.938;4.014;5.650526107;0.84067173;0.979117668;
71;2019-03-25T14:30:00+01:00;4.13;4.28;4.0;4.19;3.9338;3.9385;4.066;5.610716408;0.9011952;0.967622329;
72;2019-03-26T14:30:00+01:00;4.23;4.23;4.07;4.15;3.943;3.946;4.112;5.435481732;0.96623205;0.938036535;
73;2019-03-27T14:30:00+01:00;4.09;4.18;4.0;4.06;3.9462;3.9505;4.118;5.457950087;0.87134587;0.953081907;
74;2019-03-28T14:30:00+01:00;4.07;4.15;4.07;4.13;3.9488;3.9585;4.133;5.262112538;0.17629023;0.928803069;
75;2019-03-29T14:30:00+01:00;4.15;4.707;4.15;4.65;3.9698;3.991;4.202;5.753709696;3.483161391;1.054123985;entry
76;2019-04-01T15:30:00+02:00;4.71;5.1969;4.6562;5.1;3.9958;4.057;4.312;5.766466344;4.294340618;1.188050571;
77;2019-04-02T15:30:00+02:00;5.14;5.29;4.68;5.19;4.0288;4.1235;4.409;6.076645691;3.23432782;1.300926646;
78;2019-04-03T15:30:00+02:00;5.28;5.38;5.05;5.15;4.06;4.201;4.503;6.006777798;1.87577292;1.345968334;
79;2019-04-04T15:30:00+02:00;5.1;5.48;5.04;5.43;4.0992;4.292;4.619;6.157571449;2.1698552;1.426684754;
80;2019-04-05T15:30:00+02:00;5.48;5.57;5.345;5.43;4.137;4.381;4.748;6.053762816;1.738988715;1.486918565;
81;2019-04-08T15:30:00+02:00;5.38;5.49;5.3;5.4;4.1724;4.4675;4.869;6.028841432;1.211603705;1.527814484;
82;2019-04-09T15:30:00+02:00;5.4;5.43;5.11;5.21;4.1996;4.5435;4.975;6.203064089;1.1949198;1.542992514;
83;2019-04-10T15:30:00+02:00;5.21;5.34;5.15;5.18;4.2242;4.6025;5.087;6.000863442;0.86482707;1.498118451;
