;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-26T15:30:00+01:00;2.82;2.9058;2.78;2.87;3.1492;2.995;2.709;6.002820383;5.061601504;4.71585063;
1;2016-01-27T15:30:00+01:00;2.97;2.97;2.84;2.92;3.1512;2.9735;2.721;5.870247839;5.222687435;4.763714806;
2;2016-01-28T15:30:00+01:00;2.89;2.95;2.8;2.84;3.1488;2.946;2.724;5.958464263;4.71490225;4.852115988;
3;2016-01-29T15:30:00+01:00;2.85;3.0;2.84;2.99;3.1486;2.9335;2.748;6.085833417;4.63989168;4.96681286;
4;2016-02-01T15:30:00+01:00;3.08;3.14;3.022;3.1;3.1536;2.925;2.785;6.125305121;5.187187005;5.087828568;
5;2016-02-02T15:30:00+01:00;3.08;3.1;2.95;3.0;3.154;2.904;2.834;6.152956306;2.366835625;4.978847967;
6;2016-02-03T15:30:00+01:00;3.09;3.23;3.07;3.21;3.1536;2.8965;2.893;6.126957259;5.30338725;5.083539936;
7;2016-02-04T15:30:00+01:00;3.32;3.49;3.3;3.38;3.159;2.897;2.969;6.279700912;7.309798265;5.267051874;
8;2016-02-05T15:30:00+01:00;3.32;3.59;3.27;3.59;3.1704;2.9115;3.059;6.523598775;7.17649982;5.262339742;
9;2016-02-08T15:30:00+01:00;3.75;3.98;3.74;3.82;3.1816;2.9435;3.172;6.604837777;13.80697296;5.705383539;
10;2016-02-09T15:30:00+01:00;3.89;3.92;3.615;3.65;3.1894;2.9795;3.25;6.540343042;13.45037812;6.00772657;
11;2016-02-10T15:30:00+01:00;3.56;3.68;3.4101;3.68;3.1986;3.0235;3.326;6.530175179;8.279630892;6.010838062;
12;2016-02-11T15:30:00+01:00;4.12;4.16;3.92;4.04;3.2126;3.085;3.446;6.609437374;17.76130652;6.585035156;
13;2016-02-12T15:30:00+01:00;3.94;4.37;3.87;4.33;3.2294;3.164;3.58;7.003095757;11.3964556;6.919521406;
14;2016-02-16T15:30:00+01:00;4.17;4.2759;4.03;4.14;3.2452;3.2345;3.684;6.989830546;9.847732523;7.237476171;
15;2016-02-17T15:30:00+01:00;4.22;4.345;4.12;4.26;3.2618;3.322;3.81;6.589419411;8.121697693;7.30803459;
16;2016-02-18T15:30:00+01:00;4.23;4.66;4.19;4.56;3.2806;3.419;3.945;6.691945266;11.1203259;7.688607909;
17;2016-02-19T15:30:00+01:00;4.48;4.67;4.36;4.39;3.3004;3.5075;4.046;6.747449853;10.30784433;8.029341995;
18;2016-02-22T15:30:00+01:00;4.29;4.48;4.25;4.35;3.3212;3.5905;4.122;6.682145574;10.40498145;8.331556995;
19;2016-02-23T15:30:00+01:00;4.41;4.51;4.27;4.36;3.34;3.674;4.176;6.628603528;9.9291703;8.570464356;
20;2016-02-24T15:30:00+01:00;4.52;4.6;4.271;4.4;3.3592;3.7505;4.251;6.787500237;13.63836855;8.999302708;
21;2016-02-25T15:30:00+01:00;4.3;4.65;4.28;4.64;3.3848;3.8365;4.347;6.990869988;9.80155907;9.22824629;
22;2016-02-26T15:30:00+01:00;4.49;4.8;4.48;4.62;3.4118;3.9255;4.405;7.080155702;12.58930832;9.621966594;
23;2016-02-29T15:30:00+01:00;4.63;4.71;4.51;4.64;3.4408;4.008;4.436;7.020195051;10.52132002;9.916038011;
24;2016-03-01T15:30:00+01:00;4.66;4.7;4.29;4.33;3.459;4.0695;4.455;7.302815585;11.42923872;10.2281406;
25;2016-03-02T15:30:00+01:00;4.31;4.47;4.3;4.45;3.487;4.142;4.474;7.246252716;9.760479415;10.59782279;
26;2016-03-03T15:30:00+01:00;4.44;4.79;4.44;4.75;3.519;4.219;4.493;7.379810541;11.80658681;10.92298276;
27;2016-03-04T15:30:00+01:00;4.8;5.35;4.739;4.88;3.5514;4.294;4.542;7.736582523;30.15255038;12.06512037;
28;2016-03-07T15:30:00+01:00;5.1;5.45;5.1;5.36;3.5926;4.3825;4.643;7.590423142;25.4409452;12.97834264;
