;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-05-13T15:30:00+02:00;3.33;3.49;3.25;3.45;3.946;3.7225;3.331;7.961351208;4.16723416;4.266645595;
1;2016-05-16T15:30:00+02:00;3.49;3.64;3.47;3.55;3.9402;3.676;3.317;7.863518383;4.286551455;4.247890668;
2;2016-05-17T15:30:00+02:00;3.51;3.625;3.44;3.51;3.9282;3.6395;3.318;7.721209917;3.58475274;4.232084053;
3;2016-05-18T15:30:00+02:00;3.49;3.64;3.435;3.47;3.9162;3.612;3.34;7.576570778;2.951583875;4.155353791;
4;2016-05-19T15:30:00+02:00;3.46;3.58;3.39;3.54;3.91;3.584;3.383;7.654275121;2.28792341;4.112592253;
5;2016-05-20T15:30:00+02:00;3.57;3.67;3.52;3.65;3.909;3.5525;3.447;7.469333352;2.68718341;4.064606656;
6;2016-05-23T15:30:00+02:00;3.66;3.85;3.64;3.72;3.9034;3.523;3.49;7.483331884;2.455862395;4.045723518;
7;2016-05-24T15:30:00+02:00;3.76;3.84;3.72;3.79;3.8986;3.505;3.532;7.209163613;1.52077716;3.903721459;
8;2016-05-25T15:30:00+02:00;3.82;3.89;3.78;3.85;3.902;3.4875;3.587;7.007271717;1.746830995;3.816092311;
9;2016-05-26T15:30:00+02:00;3.86;3.94;3.8;3.9;3.907;3.4905;3.643;6.69279458;2.55221082;3.606157252;
10;2016-05-27T15:30:00+02:00;3.89;4.05;3.82;4.05;3.9132;3.517;3.703;6.238027747;4.02174314;3.538211859;
11;2016-05-31T15:30:00+02:00;4.1;4.3;4.05;4.22;3.9218;3.5435;3.77;6.136112537;5.56378035;3.649960902;
12;2016-06-01T15:30:00+02:00;4.24;4.32;4.09;4.22;3.9244;3.5795;3.841;6.060663133;3.024568195;3.640739302;
13;2016-06-02T15:30:00+02:00;4.21;4.76;4.21;4.5;3.9314;3.642;3.944;6.187762189;9.449262615;3.866742276;
