;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-22T15:30:00+01:00;2.42;2.47;2.35;2.44;3.1298;3.1125;2.772;6.572649726;3.156618;3.247299474;
1;2016-01-25T15:30:00+01:00;2.47;2.65;2.46;2.64;3.1148;3.068;2.688;6.65942739;1.67925842;3.221175343;
2;2016-01-26T15:30:00+01:00;2.67;2.97;2.67;2.91;3.1076;3.0365;2.662;7.107910695;3.84424656;3.356896884;
3;2016-01-27T15:30:00+01:00;2.86;3.16;2.84;3.13;3.1104;3.025;2.667;7.432485007;4.537107;3.523758447;
4;2016-01-28T15:30:00+01:00;3.1;3.25;3.07;3.16;3.1122;3.017;2.675;7.544921724;4.30053564;3.643079853;
5;2016-01-29T15:30:00+01:00;3.1;3.39;3.1;3.24;3.1162;3.0145;2.724;7.840249866;6.719385805;3.93112244;
6;2016-02-01T15:30:00+01:00;3.26;3.41;3.25;3.36;3.1248;3.018;2.803;7.962946923;4.53283263;4.10228238;
7;2016-02-02T15:30:00+01:00;3.22;3.36;3.11;3.18;3.1286;3.005;2.88;7.990624686;1.944755835;4.066930214;
8;2016-02-03T15:30:00+01:00;3.18;3.45;3.18;3.39;3.1336;3.0;2.985;8.298873918;5.412224805;4.263942412;
9;2016-02-04T15:30:00+01:00;3.49;3.75;3.48;3.61;3.147;3.0;3.106;8.471287711;7.51639476;4.517076434;
10;2016-02-05T15:30:00+01:00;3.55;3.93;3.49;3.93;3.1686;3.0135;3.255;8.774955659;6.93370804;4.534666929;
11;2016-02-08T15:30:00+01:00;4.01;4.28;3.94;4.11;3.1924;3.045;3.402;8.724334906;10.44158652;4.800817334;
12;2016-02-09T15:30:00+01:00;4.31;4.32;3.79;3.82;3.2092;3.0775;3.493;8.90139145;7.66032483;4.972620931;
13;2016-02-10T15:30:00+01:00;3.78;3.86;3.6201;3.81;3.2256;3.114;3.561;8.899402555;6.154394397;5.007096576;
14;2016-02-11T15:30:00+01:00;4.29;4.45;4.076;4.26;3.2508;3.173;3.671;9.144369886;9.51360921;5.358518817;
15;2016-02-12T15:30:00+01:00;4.19;4.375;4.1;4.36;3.2758;3.2535;3.783;8.893655154;7.629682313;5.447594756;
16;2016-02-16T15:30:00+01:00;4.14;4.33;3.94;3.98;3.294;3.324;3.845;8.575086948;6.38283562;5.557380918;
17;2016-02-17T15:30:00+01:00;4.01;4.04;3.86;4.0;3.3072;3.4035;3.927;8.370213382;5.75251535;5.595125868;
18;2016-02-18T15:30:00+01:00;3.93;4.34;3.93;4.31;3.3238;3.502;4.019;8.49882878;11.33076008;5.895524894;
19;2016-02-19T15:30:00+01:00;4.3;4.38;4.23;4.27;3.3436;3.5955;4.085;8.301684405;10.98972651;6.321625116;
20;2016-02-22T15:30:00+01:00;4.09;4.33;4.0766;4.23;3.365;3.685;4.115;8.357163471;4.642771828;6.395932808;
21;2016-02-23T15:30:00+01:00;4.32;4.43;4.195;4.22;3.3862;3.764;4.126;8.25107996;8.494525313;6.736696152;
22;2016-02-24T15:30:00+01:00;4.4;4.5;4.175;4.3;3.4078;3.8335;4.174;8.078503765;11.46304524;7.117636086;
23;2016-02-25T15:30:00+01:00;4.26;4.44;4.24;4.4;3.4312;3.897;4.233;7.750972539;4.5852968;7.120045576;
24;2016-02-26T15:30:00+01:00;4.3;4.46;4.275;4.3;3.4534;3.954;4.237;7.674187199;6.765720455;7.243304817;
25;2016-02-29T15:30:00+01:00;4.38;4.59;4.29;4.57;3.482;4.0205;4.258;7.556095614;4.6001286;7.137341957;
26;2016-03-01T15:30:00+01:00;4.61;4.62;4.39;4.43;3.5054;4.074;4.303;7.571900765;7.04754992;7.263077821;
27;2016-03-02T15:30:00+01:00;4.48;4.6;4.42;4.53;3.5318;4.1415;4.356;7.373591414;4.712048;7.401442429;
28;2016-03-03T15:30:00+01:00;4.54;5.18;4.52;5.13;3.5698;4.2285;4.438;7.679151608;9.50397755;7.606030067;
29;2016-03-04T15:30:00+01:00;5.33;5.64;5.22;5.23;3.6082;4.3095;4.534;7.693519424;19.00547784;8.180484221;
30;2016-03-07T15:30:00+01:00;5.33;5.75;5.32;5.54;3.652;4.39;4.665;7.467282269;13.06823463;8.48721055;
31;2016-03-08T15:30:00+01:00;5.71;5.72;5.23;5.24;3.6862;4.4465;4.767;7.504261431;12.16346805;8.573304627;
32;2016-03-09T15:30:00+01:00;5.09;5.285;4.96;5.18;3.719;4.5145;4.855;7.132673956;8.333866965;8.606981733;
33;2016-03-10T15:30:00+01:00;5.04;5.34;5.0;5.17;3.7552;4.5825;4.932;7.141329518;11.09534217;8.854029122;
34;2016-03-11T15:30:00+01:00;5.2;5.24;5.0;5.04;3.7896;4.6215;5.006;6.922546397;7.62376192;8.759536758;
35;2016-03-14T14:30:00+01:00;5.04;5.225;4.83;4.91;3.822;4.649;5.04;6.996083235;12.7144017;9.013772727;
36;2016-03-15T14:30:00+01:00;4.83;4.98;4.7;4.95;3.8552;4.6975;5.092;6.799031717;6.38030096;9.013645994;
37;2016-03-16T14:30:00+01:00;4.89;5.33;4.76;5.26;3.8916;4.7605;5.165;7.164610591;7.959733615;9.124006907;
38;2016-03-17T14:30:00+01:00;5.44;5.66;5.31;5.36;3.929;4.813;5.188;6.972548948;10.93695287;9.104316547;
39;2016-03-18T14:30:00+01:00;5.35;5.6;5.25;5.41;3.965;4.87;5.206;7.128577316;46.8996892;10.89981468;
40;2016-03-21T14:30:00+01:00;5.39;5.62;5.28;5.36;3.999;4.9265;5.188;7.139748799;6.13746845;10.97454951;
41;2016-03-22T14:30:00+01:00;5.47;5.52;5.31;5.39;4.0372;4.985;5.203;7.05739356;3.798844515;10.73976547;
42;2016-03-23T14:30:00+01:00;5.22;5.28;4.94;4.94;4.0726;5.017;5.179;7.012301558;10.70512296;10.70186936;
43;2016-03-24T14:30:00+01:00;4.97;5.12;4.92;5.08;4.1126;5.051;5.17;6.979704534;5.36055178;10.74063211;
44;2016-03-28T15:30:00+02:00;5.16;5.16;4.855;4.98;4.1506;5.085;5.164;7.077439431;4.71562284;10.63812723;
45;2016-03-29T15:30:00+02:00;4.94;5.33;4.94;5.31;4.2018;5.122;5.204;7.122525923;7.20844111;10.76854285;
46;2016-03-30T15:30:00+02:00;5.27;5.36;5.0899;5.23;4.255;5.162;5.232;7.125896303;6.525737877;10.74245225;
47;2016-03-31T15:30:00+02:00;5.27;5.38;5.27;5.29;4.3126;5.2;5.235;7.02664072;6.026409;10.8081703;
