;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-12-14T15:30:00+01:00;4.8973;5.45;4.8973;5.22;4.8239;4.65725;5.014;9.622168629;0.274731162;0.329467046;
1;2017-12-15T15:30:00+01:00;5.22;5.275;4.8644;4.87;4.8171;4.66375;5.028;9.57124154;0.202012336;0.331708698;
2;2017-12-18T15:30:00+01:00;4.9;5.1;4.9;5.01;4.8106;4.68725;5.021;9.287518295;0.758475;0.362273277;
3;2017-12-19T15:30:00+01:00;5.02;5.2;4.86;4.99;4.7962;4.71225;5.046;9.335973248;0.39476949;0.372033891;
4;2017-12-20T15:30:00+01:00;4.93;5.22;4.86;4.99;4.7765;4.74675;5.057;9.196864945;0.20249712;0.365645246;
5;2017-12-21T15:30:00+01:00;4.97;5.27;4.97;5.03;4.7575;4.78075;5.069;9.196900662;0.18388992;0.366842459;
6;2017-12-22T15:30:00+01:00;5.2749;5.2749;5.1118;5.18;4.7525;4.82625;5.073;8.982037373;0.11936915;0.368934679;
7;2017-12-26T15:30:00+01:00;5.18;5.68;5.13;5.52;4.7603;4.89175;5.098;9.289734366;0.22996113;0.376151142;
8;2017-12-27T15:30:00+01:00;5.5;5.655;5.3601;5.51;4.7681;4.96225;5.129;9.211163981;0.142001162;0.373800768;
9;2017-12-28T15:30:00+01:00;5.55;5.8799;5.36;5.37;4.7731;5.0305;5.169;9.088728444;0.387714731;0.383782049;
10;2017-12-29T15:30:00+01:00;5.36;5.66;5.36;5.41;4.7819;5.101;5.188;8.781912524;0.24550907;0.365346575;
11;2018-01-02T15:30:00+01:00;5.44;5.66;5.3657;5.38;4.7877;5.1335;5.239;7.836907272;0.108851223;0.328195393;
12;2018-01-03T15:30:00+01:00;5.39;5.58;5.05;5.45;4.7957;5.152;5.283;7.999340907;0.203442255;0.308386805;
13;2018-01-04T15:30:00+01:00;5.4;5.78;5.4;5.69;4.8169;5.1995;5.353;7.76038313;0.33423169;0.306648551;
14;2018-01-05T15:30:00+01:00;5.64;5.88;5.5019;5.52;4.8325;5.2315;5.406;7.75925486;0.299947211;0.304779219;
15;2018-01-08T15:30:00+01:00;5.57;5.77;4.95;5.07;4.8429;5.2395;5.41;8.213764197;0.37087448;0.307649973;
16;2018-01-09T15:30:00+01:00;5.12;5.576;5.0745;5.25;4.8551;5.245;5.417;8.419232652;0.449786591;0.321448908;
17;2018-01-10T15:30:00+01:00;5.14;6.19;5.09;5.71;4.8817;5.267;5.436;8.900568605;0.74350428;0.314389168;
18;2018-01-11T15:30:00+01:00;5.78;6.46;5.6089;6.0;4.9113;5.307;5.485;9.243452019;1.155784243;0.357484065;
19;2018-01-12T15:30:00+01:00;6.13;6.74;6.0504;6.26;4.9489;5.3715;5.574;9.173918699;0.541596698;0.367447447;
20;2018-01-16T15:30:00+01:00;6.35;6.5;6.02;6.12;4.9867;5.4165;5.645;9.008299268;0.55446072;0.381433925;
21;2018-01-17T15:30:00+01:00;6.09;6.6;5.951;6.49;5.0295;5.4975;5.756;9.13153989;0.926753289;0.417670973;
22;2018-01-18T15:30:00+01:00;6.39;6.65;5.9;6.6;5.0629;5.577;5.871;9.563051478;0.547500025;0.407122224;
23;2018-01-19T15:30:00+01:00;6.75;6.88;6.4002;6.75;5.0997;5.665;5.977;9.588089275;0.767296756;0.425748587;
24;2018-01-22T15:30:00+01:00;6.8;7.5;6.72;7.4001;5.150702;5.785505;6.16501;9.798076048;1.10693457;0.47097046;
25;2018-01-23T15:30:00+01:00;7.36;7.67;6.51;6.58;5.188902;5.863005;6.31601;10.3872022;0.83540761;0.503546344;
26;2018-01-24T15:30:00+01:00;6.5;6.771;6.1541;6.56;5.219902;5.932005;6.44701;10.72887993;0.546718805;0.524913827;
27;2018-01-25T15:30:00+01:00;6.49;6.87;6.49;6.65;5.250302;5.988505;6.54101;10.48557564;0.2620898;0.52652026;
28;2018-01-26T15:30:00+01:00;6.67;6.94;6.65;6.73;5.288502;6.049505;6.61401;10.4285326;0.31850883;0.535345644;
29;2018-01-29T15:30:00+01:00;6.6985;6.9155;6.59;6.79;5.333502;6.120505;6.66701;10.19051636;0.253572515;0.528638533;
30;2018-01-30T15:30:00+01:00;6.58;7.21;5.82;6.87;5.377902;6.193505;6.74201;11.10482369;0.40572814;0.536649486;
31;2018-01-31T15:30:00+01:00;7.0;7.2;6.4;6.48;5.412702;6.248505;6.74101;11.45558175;0.631992;0.562806525;
32;2018-02-01T15:30:00+01:00;6.63;7.04;6.43;7.0;5.461902;6.326005;6.78101;11.40516831;0.835012035;0.594385014;
33;2018-02-02T15:30:00+01:00;6.97;6.97;6.56;6.59;5.503902;6.371005;6.76501;11.36581645;0.35321418;0.595334139;
34;2018-02-05T15:30:00+01:00;6.46;6.95;6.15;6.27;5.543302;6.408505;6.652;11.67261439;0.98093455;0.629383506;
35;2018-02-06T15:30:00+01:00;6.1498;6.3;5.85;6.27;5.581702;6.468505;6.621;11.22894694;0.3229713;0.626988347;
36;2018-02-07T15:30:00+01:00;6.22;6.44;6.03;6.03;5.616902;6.507505;6.568;11.07477642;0.55185985;0.63209201;
37;2018-02-08T15:30:00+01:00;6.11;6.3;5.96;6.19;5.656502;6.531505;6.522;10.27946122;0.2184732;0.605840456;
38;2018-02-09T15:30:00+01:00;5.99;6.24;5.12;5.45;5.683502;6.504005;6.394;10.61450631;0.62906;0.579504244;
39;2018-02-12T15:30:00+01:00;5.6;6.03;5.6;5.89;5.721202;6.485505;6.304;10.4285552;0.2225982;0.563554319;
40;2018-02-13T15:30:00+01:00;5.84;6.1;5.84;5.97;5.760602;6.478005;6.214;10.25248685;0.6236262;0.567012593;
41;2018-02-14T15:30:00+01:00;5.97;6.2;5.97;6.13;5.788602;6.460005;6.179;9.899830154;0.41179629;0.541264743;
42;2018-02-15T15:30:00+01:00;6.2;6.59;5.7926;6.02;5.807402;6.431005;6.081;9.952528893;0.771826032;0.552481043;
43;2018-02-16T15:30:00+01:00;6.05;6.155;6.05;6.08;5.834202;6.397505;6.03;9.664473716;0.351046313;0.531668521;
44;2018-02-20T15:30:00+01:00;6.05;6.3881;6.04;6.31;5.862802;6.343;6.034;9.372278824;0.355791647;0.494111375;
45;2018-02-21T15:30:00+01:00;6.39;6.49;6.1808;6.35;5.891602;6.3315;6.042;8.731471238;0.291789518;0.46693047;
46;2018-02-22T15:30:00+01:00;6.39;6.43;6.3;6.36;5.916002;6.3215;6.075;8.333435266;0.12313729;0.445751394;
47;2018-02-23T15:30:00+01:00;6.4;6.4;5.87;6.29;5.936402;6.3035;6.085;8.492125217;0.169749315;0.44113437;
48;2018-02-26T15:30:00+01:00;6.39;6.41;6.2798;6.38;5.960002;6.286;6.178;8.377745826;0.142588938;0.432338376;
