;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-10-08T15:30:00+02:00;1.18;1.22;1.1399;1.19;1.1656;1.209;1.122;8.594474919;1.291220465;1.504655414;
1;2019-10-09T15:30:00+02:00;1.2;1.224;1.14;1.16;1.1645;1.194;1.134;8.120744296;1.044182346;1.399294689;
2;2019-10-10T15:30:00+02:00;1.15;1.17;1.12;1.13;1.1639;1.1755;1.142;8.071849739;1.016447415;1.373470063;
3;2019-10-11T15:30:00+02:00;1.15;1.15;1.11;1.13;1.1645;1.16;1.143;7.903093749;1.27262634;1.370442279;
4;2019-10-14T15:30:00+02:00;1.13;1.16;1.12;1.16;1.1678;1.1485;1.1405;7.770351308;0.76311942;1.365684415;
5;2019-10-15T15:30:00+02:00;1.16;1.2892;1.15;1.25;1.1726;1.146;1.1515;7.982876392;2.603835024;1.435816725;
6;2019-10-16T15:30:00+02:00;1.26;1.29;1.21;1.24;1.1762;1.1435;1.166;7.995994587;1.23754125;1.454206772;
7;2019-10-17T15:30:00+02:00;1.25;1.26;1.18;1.19;1.1782;1.144;1.173;7.726281986;1.43705386;1.442253578;
8;2019-10-18T15:30:00+02:00;1.19;1.22;1.165;1.19;1.1802;1.1455;1.182;7.74109455;0.708429668;1.4315752;
9;2019-10-21T15:30:00+02:00;1.2;1.24;1.18;1.23;1.1828;1.15;1.187;7.586773279;0.85153508;1.431255368;
10;2019-10-22T15:30:00+02:00;1.22;1.29;1.19;1.19;1.184;1.1545;1.187;7.633109571;1.89725828;1.467701702;
11;2019-10-23T15:30:00+02:00;1.2;1.23;1.17;1.19;1.1848;1.162;1.19;7.504904443;1.5646932;1.466452628;
12;2019-10-24T15:30:00+02:00;1.2;1.21;1.12;1.14;1.1844;1.1665;1.191;7.714382465;2.723081485;1.537126103;
13;2019-10-25T15:30:00+02:00;1.15;1.15;1.1;1.11;1.1844;1.166;1.189;6.941655192;1.80515925;1.46193996;
14;2019-10-28T14:30:00+01:00;0.7;0.75;0.45;0.4515;1.17103;1.129325;1.11815;9.660953438;14.2847274;2.092864684;
15;2019-10-29T14:30:00+01:00;0.4817;0.4892;0.35;0.3706;1.155442;1.090855;1.03021;11.10898433;4.236256844;2.241769025;
16;2019-10-31T14:30:00+01:00;1.5;1.54;1.03;1.2;1.156642;1.096105;1.02621;13.21434211;77.19758547;6.030363546;
17;2019-11-01T14:30:00+01:00;1.21;1.36;1.15;1.35;1.161242;1.107605;1.04221;13.76374923;15.83433625;6.710678476;
18;2019-11-04T15:30:00+01:00;1.5;1.89;1.45;1.78;1.174442;1.141605;1.10121;15.00576125;48.45674171;9.094989017;
19;2019-11-05T15:30:00+01:00;2.02;2.43;2.02;2.4;1.201042;1.202605;1.21821;15.61520733;73.99365883;12.71097448;
20;2019-11-06T15:30:00+01:00;2.82;2.97;1.93;2.47;1.228842;1.266605;1.34621;17.95816124;79.7617051;16.63449871;
21;2019-11-07T15:30:00+01:00;2.2;2.2899;1.94;2.03;1.248642;1.310105;1.43021;18.49154431;16.44679235;17.40462921;
22;2019-11-08T15:30:00+01:00;1.9;2.24;1.85;2.18;1.270642;1.362605;1.53421;19.32238407;18.0117465;18.25439417;
23;2019-11-11T15:30:00+01:00;1.98;2.29;1.96;2.14;1.291242;1.413105;1.63721;19.98404063;10.38150263;18.70983798;
24;2019-11-12T15:30:00+01:00;2.35;2.35;2.18;2.21;1.313442;1.465605;1.81306;20.19537746;9.77188044;19.16027603;
25;2019-11-13T15:30:00+01:00;2.21;2.21;2.02;2.16;1.334242;1.511105;1.992;20.0604571;8.202725055;19.44022053;
26;2019-11-14T15:30:00+01:00;2.2;2.48;2.15;2.38;1.359042;1.568105;2.11;20.49732044;29.74256209;20.86547157;
27;2019-11-15T15:30:00+01:00;1.65;1.9;1.4;1.49;1.363842;1.583105;2.124;21.94405168;28.60368225;22.22380299;
28;2019-11-18T15:30:00+01:00;1.47;1.49;1.35;1.37;1.363842;1.592105;2.083;22.2265187;5.21530926;22.44914697;
29;2019-11-19T15:30:00+01:00;1.57;1.9;1.48;1.77;1.372042;1.619105;2.02;23.39120033;16.85079903;23.24911017;
30;2019-11-20T15:30:00+01:00;1.65;1.77;1.63;1.77;1.380242;1.648105;1.95;23.40048011;4.4868695;23.37859073;
31;2019-11-21T15:30:00+01:00;1.74;1.81;1.71;1.74;1.385842;1.675605;1.921;23.43646752;2.57754112;23.42923313;
32;2019-11-22T15:30:00+01:00;1.76;1.78;1.66;1.74;1.390642;1.705605;1.877;23.39612758;2.33284632;23.40972137;
33;2019-11-25T15:30:00+01:00;1.76;1.95;1.76;1.9;1.399842;1.745105;1.853;23.70862758;5.553460045;23.59713641;
34;2019-11-26T15:30:00+01:00;1.95;2.39;1.9412;2.09;1.413842;1.82703;1.841;21.53128024;14.35906927;23.6008535;
35;2019-11-27T15:30:00+01:00;2.12;2.15;2.02;2.06;1.429042;1.9115;1.831;19.86449099;5.529643095;23.66552282;
36;2019-11-29T15:30:00+01:00;2.06;2.1;1.97;2.1;1.445242;1.9565;1.803;17.71871207;1.849658305;19.89812646;
37;2019-12-02T15:30:00+01:00;2.11;2.18;2.05;2.12;1.464042;1.995;1.866;17.12274176;2.7802521;19.24542225;
38;2019-12-03T15:30:00+01:00;2.12;2.13;2.06;2.06;1.482042;2.009;1.935;15.7754033;2.48190041;16.94668018;
39;2019-12-04T15:30:00+01:00;2.07;2.1;1.97;2.01;1.499442;1.9895;1.959;15.09050105;3.408374695;13.41741598;
40;2019-12-05T15:30:00+01:00;2.0;2.05;1.98;2.03;1.518042;1.9675;1.985;12.57296821;2.542049445;9.556433195;
41;2019-12-06T15:30:00+01:00;2.02;2.07;1.95;2.06;1.538442;1.969;2.017;11.97885639;3.78453855;8.923320505;
42;2019-12-09T15:30:00+01:00;2.06;2.08;1.99;1.99;1.557242;1.9595;2.042;11.15093299;2.40256984;8.142861672;
43;2019-12-10T15:30:00+01:00;2.04;2.04;1.98;2.0;1.574842;1.9525;2.052;10.46061141;2.28063846;7.737818464;
44;2019-12-11T15:30:00+01:00;2.0;2.03;1.95;1.99;1.590942;1.9415;2.042;10.27583136;1.76468026;7.337458455;
45;2019-12-12T15:30:00+01:00;2.0;2.025;1.9;2.02;1.608542;1.9345;2.038;10.1344817;2.33976315;7.04431036;
