;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-04-23T15:30:00+02:00;12.3;12.425;12.22;12.28;11.8111;12.14025;12.2255;2.755291209;0.276442965;0.435906229;
1;2018-04-24T15:30:00+02:00;12.33;12.4;12.12;12.31;11.8317;12.15925;12.2355;2.725005161;0.22223702;0.420761986;
2;2018-04-25T15:30:00+02:00;12.25;12.36;12.01;12.24;11.8479;12.18125;12.248;2.666635435;0.403555015;0.423796537;
3;2018-04-26T15:30:00+02:00;12.25;12.35;12.15;12.16;11.8625;12.19925;12.24;2.619629617;0.2543345;0.420103212;
4;2018-04-27T15:30:00+02:00;12.2;12.2185;11.79;11.84;11.8699;12.19525;12.22;2.650749006;0.192524161;0.387968633;
5;2018-04-30T15:30:00+02:00;11.83;11.91;11.77;11.78;11.8705;12.19175;12.179;2.531033987;0.30216864;0.370792281;
6;2018-05-01T15:30:00+02:00;11.74;11.85;11.6;11.81;11.8749;12.17725;12.125;2.496963649;0.2463188;0.351037267;
7;2018-05-02T15:30:00+02:00;11.79;12.16;11.79;12.02;11.8875;12.15975;12.099;2.482900474;0.147927175;0.339883811;
8;2018-05-03T15:30:00+02:00;12.02;12.06;11.78;11.87;11.8909;12.13525;12.062;2.540819899;0.19526152;0.321584335;
9;2018-05-04T15:30:00+02:00;11.85;12.19;11.85;12.11;11.8999;12.12275;12.042;2.327783877;0.21003748;0.31542271;
10;2018-05-07T15:30:00+02:00;12.12;12.19;11.93;12.09;11.9109;12.12425;12.023;2.237085641;0.40089852;0.313815863;
11;2018-05-08T15:30:00+02:00;12.05;12.22;11.89;12.22;11.9231;12.12475;12.014;2.235361851;0.228888285;0.304193915;
12;2018-05-09T15:30:00+02:00;12.21;12.25;12.03;12.21;11.9359;12.1295;12.011;2.230966589;0.22845052;0.290695886;
13;2018-05-10T15:30:00+02:00;12.25;12.25;12.13;12.24;11.9573;12.1295;12.019;2.140127773;0.17547505;0.282326901;
14;2018-05-11T15:30:00+02:00;12.25;12.26;11.81;12.01;11.9757;12.128;12.036;2.183708936;0.37226662;0.257309757;
15;2018-05-14T15:30:00+02:00;12.0;12.074;11.8;11.87;11.9935;12.112;12.045;2.195470063;0.163214601;0.25182452;
16;2018-05-15T15:30:00+02:00;11.85;12.035;11.68;11.94;12.0125;12.0915;12.058;2.280009735;0.349238948;0.253225679;
17;2018-05-16T15:30:00+02:00;11.96;12.15;11.96;12.1;12.0255;12.0825;12.066;2.28996835;1.60027714;0.317277744;
18;2018-05-17T15:30:00+02:00;12.06;12.59;12.06;12.54;12.0453;12.0975;12.133;2.447923767;0.284202175;0.326509019;
19;2018-05-18T15:30:00+02:00;12.6;12.93;12.456;12.76;12.0705;12.12;12.198;2.532245087;0.496372458;0.33750458;
20;2018-05-21T15:30:00+02:00;12.79;12.88;12.66;12.71;12.0891;12.1415;12.26;2.535254036;0.38086525;0.342725694;
21;2018-05-22T15:30:00+02:00;12.7;12.75;12.45;12.5;12.1055;12.151;12.288;2.540224412;0.3240216;0.347814923;
22;2018-05-23T15:30:00+02:00;12.47;12.88;12.47;12.73;12.1213;12.1755;12.34;2.558907052;0.306671625;0.342970753;
23;2018-05-24T15:30:00+02:00;12.71;12.7399;12.36;12.66;12.1379;12.2005;12.382;2.630283755;0.211742756;0.340841166;
24;2018-05-25T15:30:00+02:00;13.12;13.975;12.9392;13.88;12.1783;12.3025;12.569;2.848818542;4.729955336;0.567712725;
25;2018-05-29T15:30:00+02:00;13.88;14.43;13.88;14.37;12.2217;12.432;12.819;2.987472106;2.56681108;0.680944847;
26;2018-05-30T15:30:00+02:00;14.35;14.39;14.21;14.33;12.2687;12.558;13.058;2.943049165;1.0802506;0.722641437;
27;2018-05-31T15:30:00+02:00;14.32;14.4;14.21;14.22;12.3131;12.668;13.27;2.852990855;0.70915607;0.750702882;
28;2018-06-01T15:30:00+02:00;14.23;14.25;14.0925;14.22;12.3603;12.7855;13.438;2.790026141;1.089273131;0.795403462;
29;2018-06-04T15:30:00+02:00;14.25;14.26;14.09;14.17;12.4069;12.8885;13.579;2.706892698;0.71495865;0.820649521;
30;2018-06-05T15:30:00+02:00;14.16;14.21;13.96;14.05;12.4553;12.9865;13.713;2.68746526;1.069967025;0.854102946;
31;2018-06-06T15:30:00+02:00;14.06;14.3;14.06;14.14;12.4995;13.0825;13.877;2.634041689;1.19890482;0.902603773;
