;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-01-25T15:30:00+01:00;10.98;11.28;10.9032;11.0091;11.299202;10.703205;11.19991;6.136590965;0.153629752;0.322391659;
1;2019-01-28T15:30:00+01:00;10.88;11.01;10.7201;11.0;11.268202;10.772705;11.23291;5.733513468;0.067819642;0.307661434;
2;2019-01-29T15:30:00+01:00;11.02;11.02;10.8;10.995;11.226102;10.820205;11.25841;5.428523215;0.09062937;0.29832066;
3;2019-01-30T15:30:00+01:00;10.746;11.0;10.71;10.86;11.181502;10.867705;11.20841;5.159641962;0.136067425;0.265324825;
4;2019-01-31T15:30:00+01:00;10.82;10.98;10.75;10.75;11.137302;10.894205;11.13741;4.796488836;0.400299195;0.267966174;
5;2019-02-01T15:30:00+01:00;10.75;10.85;10.62;10.75;11.096102;10.920205;11.06241;4.654070296;0.515376615;0.288202141;
6;2019-02-04T15:30:00+01:00;10.75;10.8295;10.63;10.7;11.060102;10.946705;10.97341;4.476013525;0.313673511;0.298604823;
7;2019-02-05T15:30:00+01:00;10.7;10.8188;10.425;10.52;11.019502;10.959705;10.85441;4.476767615;0.246311239;0.30068698;
8;2019-02-06T15:30:00+01:00;10.5;10.705;10.21;10.21;10.971102;10.952205;10.77841;4.611859944;1.00668078;0.338536701;
9;2019-02-07T15:30:00+01:00;10.2;10.61;10.2;10.39;10.924702;10.945205;10.71841;4.353030052;0.18756053;0.335231516;
10;2019-02-08T15:30:00+01:00;10.38;10.54;10.2;10.38;10.880302;10.927705;10.6555;4.16186182;0.16287122;0.330172024;
11;2019-02-11T15:30:00+01:00;10.37;10.63;10.37;10.5;10.833302;10.919205;10.6055;4.120556773;0.0669165;0.321589071;
12;2019-02-12T15:30:00+01:00;10.57;10.59;10.01;10.04;10.778502;10.884205;10.51;4.217809757;0.7341016;0.354438005;
13;2019-02-13T15:30:00+01:00;10.14;10.21;9.67;9.74;10.718902;10.803205;10.398;4.067332587;0.76539988;0.366188392;
14;2019-02-14T15:30:00+01:00;9.75;10.75;9.2674;10.49;10.685502;10.754705;10.372;4.646114181;1.36587728;0.416041192;
15;2019-02-15T15:30:00+01:00;11.03;12.1;10.7;11.88;10.676302;10.773705;10.485;5.169615313;2.7428286;0.533312366;
16;2019-02-19T15:30:00+01:00;11.82;12.3385;11.63;12.21;10.682502;10.804705;10.636;5.184327845;1.211116321;0.570322391;
17;2019-02-20T15:30:00+01:00;12.27;12.46;11.86;11.87;10.684902;10.812705;10.771;5.275081709;0.63689216;0.591651812;
18;2019-02-21T15:30:00+01:00;11.87;12.36;11.7654;11.98;10.704702;10.863205;10.948;4.860785236;0.736283083;0.603533354;
19;2019-02-22T15:30:00+01:00;11.97;12.373;11.97;12.35;10.732902;10.931205;11.144;4.780247671;0.658417293;0.6099376;
