;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-27T15:30:00+01:00;79.13;80.4;78.54;78.95;81.5824;78.6725;78.415;2.062194318;48.73227552;49.09573001;
1;2016-01-28T15:30:00+01:00;79.39;79.95;78.96;79.45;81.5284;78.5455;78.515;2.05892448;41.20480682;49.780942;
2;2016-01-29T15:30:00+01:00;79.8;81.31;79.75;81.31;81.4852;78.5425;78.713;2.111430873;48.67925758;51.21957803;
3;2016-02-01T15:30:00+01:00;80.85;81.49;80.605;80.98;81.4252;78.5645;78.984;2.096693792;49.6918432;52.86676006;
4;2016-02-02T15:30:00+01:00;79.82;80.1;79.0;79.33;81.3012;78.605;79.065;2.056261271;51.5040111;52.55909206;
5;2016-02-03T15:30:00+01:00;79.97;79.97;78.215;79.45;81.1768;78.586;79.346;2.046190184;41.63967029;52.63423737;
6;2016-02-04T15:30:00+01:00;79.12;79.65;78.06;78.64;81.0238;78.579;79.49;2.042555114;44.8385301;51.96818691;
7;2016-02-05T15:30:00+01:00;78.83;79.52;78.19;78.48;80.8756;78.6525;79.391;2.010493097;40.51128312;51.69550772;
8;2016-02-08T15:30:00+01:00;77.34;77.34;75.51;76.23;80.688;78.6605;79.203;1.977640664;72.94835033;51.57089416;
9;2016-02-09T15:30:00+01:00;75.04;76.9593;74.91;76.49;80.5216;78.615;78.931;2.040578249;78.49797598;52.44494479;
10;2016-02-10T15:30:00+01:00;72.8;72.8;64.365;66.23;80.1432;78.037;77.659;2.630215689;208.0262907;60.86494854;
11;2016-02-11T15:30:00+01:00;64.8;68.0;64.61;66.91;79.771;77.46;76.405;2.800141509;130.6296686;63.93035995;
12;2016-02-12T15:30:00+01:00;67.49;68.09;66.41;67.07;79.4072;76.847;74.981;2.782465786;65.0123235;63.79149594;
13;2016-02-16T15:30:00+01:00;67.35;67.69;66.45;67.25;79.0598;76.296;73.608;2.796393699;54.0543958;64.26557967;
14;2016-02-17T15:30:00+01:00;68.04;69.63;66.78;69.25;78.785;75.8325;72.6;2.911804506;58.92809693;63.36458505;
15;2016-02-18T15:30:00+01:00;69.13;69.21;68.0936;68.43;78.4224;75.422;71.498;2.832596129;65.24042341;64.24604945;
16;2016-02-19T15:30:00+01:00;68.43;70.34;68.14;70.33;78.0928;75.0785;70.667;2.905546867;124.8194327;68.38557319;
17;2016-02-22T15:30:00+01:00;70.99;71.17;70.27;70.59;77.7878;74.6345;69.878;2.859272593;46.74287904;68.40669391;
18;2016-02-23T15:30:00+01:00;70.27;71.09;70.02;70.17;77.5094;74.2375;69.272;2.794620738;55.10698275;68.40074987;
19;2016-02-24T15:30:00+01:00;69.54;71.08;69.46;70.61;77.2394;73.8075;68.684;2.81170431;52.29500427;68.95517508;
20;2016-02-25T15:30:00+01:00;70.16;72.52;69.71;72.47;77.043;73.4835;69.308;2.894842585;56.0822135;69.32267198;
21;2016-02-26T15:30:00+01:00;72.62;73.41;72.31;72.74;76.8692;73.148;69.891;2.908214017;47.53699698;69.63928149;
22;2016-02-29T15:30:00+01:00;72.51;72.84;71.1;71.1;76.6542;72.6375;70.294;2.932771244;56.1013347;70.01038535;
23;2016-03-01T15:30:00+01:00;71.72;73.6;71.655;73.34;76.47;72.2555;70.903;3.013593673;65.03879778;70.77773308;
24;2016-03-02T15:30:00+01:00;72.97;73.98;72.3;73.27;76.3176;71.9525;71.305;3.060155993;63.0847128;71.35676816;
25;2016-03-03T15:30:00+01:00;73.27;74.315;72.96;74.15;76.2188;71.6875;71.877;3.040824338;56.98857671;72.12421348;
26;2016-03-04T15:30:00+01:00;74.32;74.81;73.62;74.11;76.1018;71.461;72.255;3.019800032;55.56157926;72.66036594;
27;2016-03-07T15:30:00+01:00;73.74;74.11;71.97;73.45;75.9612;71.2095;72.541;3.083423851;76.12805816;74.44120469;
28;2016-03-08T15:30:00+01:00;72.65;75.56;72.65;75.22;75.8464;71.159;73.046;3.16252314;74.30923338;74.50924885;
29;2016-03-09T15:30:00+01:00;75.32;76.8;75.2;76.63;75.7614;71.166;73.648;3.132121978;76.847324;74.42671625;
30;2016-03-10T15:30:00+01:00;76.84;77.4;75.92;76.78;75.6782;71.6935;74.079;2.574345583;62.9589415;67.17334878;
31;2016-03-11T15:30:00+01:00;77.61;77.96;77.06;77.6;75.5904;72.228;74.565;2.370398348;55.81967911;63.43284931;
32;2016-03-14T14:30:00+01:00;77.21;77.96;76.84;77.43;75.5116;72.746;75.198;2.316790082;42.5340864;62.30893746;
33;2016-03-15T14:30:00+01:00;77.12;78.72;76.74;78.67;75.4742;73.317;75.731;2.352493883;51.88609641;62.20052249;
