;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-10-26T14:30:00+01:00;8.1;8.279;7.83;7.965;8.1121;8.13325;7.9755;4.258267777;4.062109876;2.800925669;
1;2020-10-27T14:30:00+01:00;8.13;8.35;8.0;8.29;8.1179;8.12225;7.9535;4.108214875;3.108780825;2.754431606;
2;2020-10-28T14:30:00+01:00;8.04;8.19;7.81;8.1;8.1209;8.11925;7.9435;4.023927829;3.348848;2.744028641;
3;2020-10-29T14:30:00+01:00;8.15;8.55;8.15;8.54;8.1197;8.14375;7.9955;3.99888635;4.713074;2.836057133;
4;2020-10-30T14:30:00+01:00;8.485;8.92;8.05;8.29;8.1159;8.15675;8.0485;4.361594047;7.298466085;3.117795794;
5;2020-11-02T15:30:00+01:00;8.58;8.65;8.1;8.23;8.1071;8.16425;8.0875;4.493813787;3.94764;3.219469763;
6;2020-11-03T15:30:00+01:00;8.35;8.85;8.28;8.42;8.1073;8.17575;8.1395;4.591757334;6.890499675;3.451337752;
7;2020-11-04T15:30:00+01:00;8.46;8.65;8.3;8.47;8.1087;8.18025;8.2195;4.643676502;3.039109575;3.517329605;
8;2020-11-05T15:30:00+01:00;8.54;8.9;8.54;8.85;8.1131;8.20025;8.3215;4.729151007;7.50407448;3.797488177;
9;2020-11-06T15:30:00+01:00;8.89;8.89;8.16;8.24;8.1151;8.18525;8.3395;5.084285474;5.74627625;3.998192802;
10;2020-11-09T15:30:00+01:00;8.51;8.6;7.94;7.96;8.1121;8.15725;8.339;5.369570849;6.44911967;4.21920731;
11;2020-11-10T15:30:00+01:00;8.07;8.2;7.7;7.9;8.1115;8.12675;8.3;5.54631718;5.1926061;4.357632991;
12;2020-11-11T15:30:00+01:00;7.91;8.04;7.74;7.85;8.1057;8.10925;8.275;5.45141784;4.33548399;4.481319903;
13;2020-11-12T15:30:00+01:00;7.91;7.98;7.68;7.82;8.0987;8.09925;8.203;5.474974615;4.12111692;4.530083319;
14;2020-11-13T15:30:00+01:00;7.88;7.95;7.73;7.91;8.0989;8.10675;8.165;5.345728945;2.93491184;4.456695005;
15;2020-11-16T15:30:00+01:00;8.0;8.018;7.79;7.88;8.0931;8.10875;8.13;5.235828621;3.015194208;4.44115436;
16;2020-11-17T15:30:00+01:00;8.0;8.06;7.78;7.87;8.0999;8.10725;8.075;5.287636182;5.22293904;4.590826698;
17;2020-11-18T15:30:00+01:00;7.95;8.06;7.74;7.96;8.1079;8.12175;8.024;5.278668253;7.040243;4.772503889;
18;2020-11-19T15:30:00+01:00;8.0;8.11;7.87;7.93;8.1169;8.12675;7.932;5.217415447;5.00045361;4.832553659;
19;2020-11-20T15:30:00+01:00;7.9;7.99;7.75;7.92;8.1225;8.11975;7.9;5.199177234;4.15418737;4.856256726;
20;2020-11-23T15:30:00+01:00;8.0;8.01;7.6;7.67;8.1215;8.105;7.871;5.182196324;8.057624435;5.056032454;
21;2020-11-24T15:30:00+01:00;7.66;7.91;7.51;7.56;8.1123;8.0685;7.837;5.229757908;10.53834411;5.427510618;
22;2020-11-25T15:30:00+01:00;7.56;7.71;7.41;7.67;8.1047;8.047;7.819;5.188909209;7.4880666;5.634471548;
23;2020-11-27T15:30:00+01:00;7.72;7.98;7.62;7.98;8.1037;8.019;7.835;5.179730908;4.2798912;5.612812408;
24;2020-11-30T15:30:00+01:00;7.88;7.97;7.58;7.61;8.0961;7.985;7.805;4.896614174;7.3796879;5.616873499;
25;2020-12-01T15:30:00+01:00;7.68;7.75;7.47;7.54;8.0843;7.9505;7.771;4.744524333;5.46292221;5.692637609;
26;2020-12-02T15:30:00+01:00;7.55;7.59;7.41;7.52;8.0673;7.9055;7.736;4.521778925;5.2793775;5.6120815;
27;2020-12-03T15:30:00+01:00;7.5;7.75;7.4;7.68;8.0607;7.866;7.708;4.547422038;3.7413834;5.647195192;
28;2020-12-04T15:30:00+01:00;7.69;8.0;7.64;7.97;8.0593;7.822;7.712;4.572251298;4.810864;5.512534668;
29;2020-12-07T15:30:00+01:00;7.9298;8.37;7.9298;8.205;8.0568;7.82025;7.7405;4.402507971;5.796453377;5.515043524;
30;2020-12-08T15:30:00+01:00;8.29;8.55;8.21;8.42;8.0584;7.84325;7.8155;4.193955398;7.01914666;5.543544873;
