;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-11-09T15:30:00+01:00;31.66;32.64;31.6;32.37;29.2638;30.1605;31.01;2.58739587;40.10072792;30.50626936;
1;2016-11-10T15:30:00+01:00;32.64;33.72;32.64;33.18;29.3398;30.403;31.297;2.538321494;45.78504882;30.87257795;
2;2016-11-11T15:30:00+01:00;33.02;33.62;32.82;33.56;29.4248;30.6695;31.613;2.499941988;33.0715066;31.56101762;
3;2016-11-14T15:30:00+01:00;33.82;34.8;33.75;34.75;29.5336;30.987;32.062;2.585758674;43.8525318;33.08119941;
4;2016-11-15T15:30:00+01:00;34.75;35.27;34.4;35.2;29.6558;31.2885;32.544;2.60385844;64.02279365;35.03608375;
5;2016-11-16T15:30:00+01:00;34.92;35.25;34.68;34.76;29.7566;31.5375;32.97;2.553644973;52.88519187;36.8227159;
6;2016-11-17T15:30:00+01:00;34.76;35.28;34.73;34.88;29.8552;31.7975;33.43;2.571995874;49.32677068;38.55904789;
7;2016-11-18T15:30:00+01:00;34.81;35.0;34.675;34.81;29.9764;32.0565;33.719;2.480954617;36.84278134;39.31405397;
8;2016-11-21T15:30:00+01:00;34.95;35.22;34.85;35.11;30.0944;32.325;34.058;2.419057865;17.5757632;39.32730356;
9;2016-11-22T15:30:00+01:00;35.39;35.89;35.37;35.84;30.2382;32.625;34.446;2.391185254;33.53769951;40.04819521;
10;2016-11-23T15:30:00+01:00;35.77;36.22;35.19;36.05;30.386;32.912;34.814;2.384939549;45.78084388;40.39378111;
11;2016-11-25T15:30:00+01:00;36.2;36.42;36.02;36.39;30.5344;33.216;35.135;2.372403168;12.46007842;39.64710636;
12;2016-11-28T15:30:00+01:00;36.31;36.315;35.6;36.0;30.6906;33.496;35.379;2.403080246;80.85950004;42.5312161;
13;2016-11-29T15:30:00+01:00;35.73;35.994;35.31;35.6;30.8442;33.763;35.464;2.420255385;26.27331358;42.88307698;
14;2016-11-30T15:30:00+01:00;35.9;36.24;35.74;35.86;31.0162;34.037;35.53;2.34241359;19.39403927;42.04754982;
15;2016-12-01T15:30:00+01:00;36.07;36.47;35.695;35.87;31.1856;34.3055;35.641;2.390056835;20.89912833;41.14900963;
16;2016-12-02T15:30:00+01:00;35.86;35.93;35.245;35.46;31.3368;34.5645;35.699;2.408630397;26.86610696;40.88108081;
17;2016-12-05T15:30:00+01:00;35.63;36.3;35.52;35.97;31.4994;34.767;35.815;2.166817822;24.07948641;36.89649857;
18;2016-12-06T15:30:00+01:00;35.92;36.36;35.79;36.3;31.6782;34.996;35.934;2.079993709;20.73248288;36.28913092;
19;2016-12-07T15:30:00+01:00;36.4;36.58;35.92;36.54;31.858;35.225;36.004;2.024838619;20.91309625;35.76294457;
