;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-03-20T14:30:00+01:00;77.7;77.79;76.8;77.01;76.4566;75.716;75.021;2.476035325;1.870616295;3.137946393;
1;2017-03-21T14:30:00+01:00;77.5;77.5;74.455;74.97;76.4078;75.6155;74.956;2.592617819;3.06584408;3.089863687;
2;2017-03-22T14:30:00+01:00;74.86;75.675;73.35;74.52;76.3692;75.4765;75.04;2.68638798;2.2735254;3.129702755;
3;2017-03-23T14:30:00+01:00;73.85;75.75;73.85;75.3;76.3158;75.431;75.253;2.752775458;1.6717052;3.118101404;
4;2017-03-24T14:30:00+01:00;75.63;75.63;73.68;74.33;76.2376;75.3315;75.365;2.81172087;2.59694883;3.148691218;
5;2017-03-27T15:30:00+02:00;73.43;74.21;72.85;73.46;76.1614;75.1695;75.356;2.820340029;2.72811006;3.178962745;
6;2017-03-28T15:30:00+02:00;73.49;74.6;72.64;74.05;76.0984;75.1145;75.396;2.841569965;3.69380988;3.259059436;
7;2017-03-29T15:30:00+02:00;73.93;76.98;72.82;76.43;76.097;75.07;75.425;3.028228328;4.5362436;3.266630006;
8;2017-03-30T15:30:00+02:00;76.4;77.68;75.54;77.25;76.106;75.1335;75.515;3.058705207;2.82246562;3.254899807;
9;2017-03-31T15:30:00+02:00;77.48;78.0;76.07;76.19;76.099;75.136;75.351;3.113290467;3.7207905;3.34672475;
10;2017-04-03T15:30:00+02:00;76.12;76.915;74.35;74.39;76.0566;75.055;75.089;3.140632844;3.266340778;3.385122338;
11;2017-04-04T15:30:00+02:00;74.27;75.4;73.63;74.39;76.018;74.9935;75.031;3.170016451;2.39953203;3.300644913;
12;2017-04-05T15:30:00+02:00;74.23;74.805;72.66;73.07;75.933;74.963;74.886;2.816062116;3.167621933;3.128085013;
13;2017-04-06T15:30:00+02:00;73.07;74.66;73.0;74.36;75.8608;75.0225;74.792;2.752975766;2.28592446;3.102137513;
14;2017-04-07T15:30:00+02:00;74.24;74.38;73.485;74.16;75.8002;75.07;74.775;2.719278401;3.836061695;3.159288514;
15;2017-04-10T15:30:00+02:00;74.21;74.68;73.42;73.93;75.7386;75.089;74.822;2.725818624;1.21745605;3.126366066;
16;2017-04-11T15:30:00+02:00;73.92;75.07;73.24;74.82;75.7246;75.1475;74.899;2.742727787;2.184680455;3.164433212;
17;2017-04-12T15:30:00+02:00;74.7;74.7;72.6;72.94;75.6708;74.9875;74.55;2.677237567;1.69873725;2.987508475;
18;2017-04-13T15:30:00+02:00;73.62;73.67;71.72;72.22;75.5918;74.781;74.047;2.732707976;1.895667515;2.952570594;
19;2017-04-17T15:30:00+02:00;72.22;73.38;71.671;73.09;75.5332;74.544;73.737;2.696217162;1.927075061;2.642957835;
20;2017-04-18T15:30:00+02:00;73.1904;74.205;72.58;73.84;75.4686;74.3855;73.682;2.743709477;2.091612858;2.654007663;
21;2017-04-19T15:30:00+02:00;73.82;74.31;72.75;74.07;75.3928;74.3405;73.65;2.646440041;3.23252586;2.662341752;
22;2017-04-20T15:30:00+02:00;74.67;76.86;74.43;76.51;75.3656;74.44;73.994;2.651193962;2.655971595;2.681464061;
23;2017-04-21T15:30:00+02:00;76.27;76.5;75.37;76.14;75.3538;74.482;74.172;2.597518342;3.24424694;2.760091148;
24;2017-04-24T15:30:00+02:00;77.61;77.99;76.82;77.32;75.3578;74.6315;74.488;2.541341395;2.97126833;2.778807123;
