;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-06-07T15:30:00+02:00;65.0;66.79;65.0;66.33;72.7228;66.2265;66.166;2.333290806;119.4987374;200.641213;
1;2016-06-08T15:30:00+02:00;66.31;67.43;66.06;66.39;72.4036;66.0795;66.118;2.35922279;103.7181925;202.5832604;
2;2016-06-09T15:30:00+02:00;66.39;67.95;66.39;67.5;72.107;66.0745;66.177;2.327622691;138.5352367;196.7373214;
3;2016-06-10T15:30:00+02:00;66.9;67.51;66.34;66.92;71.805;66.142;66.255;2.183925176;74.85581328;109.3732718;
4;2016-06-13T15:30:00+02:00;66.31;66.4766;64.22;64.29;71.4506;66.0435;66.002;2.234427267;97.01079297;106.8023945;
5;2016-06-14T15:30:00+02:00;63.91;64.26;61.0014;61.52;71.1026;65.804;65.514;2.353672095;130.1749663;105.193411;
6;2016-06-15T15:30:00+02:00;61.62;63.21;60.97;61.16;70.7322;65.59;65.034;2.369934279;147.8593254;103.4633169;
7;2016-06-16T15:30:00+02:00;60.74;61.18;60.03;60.37;70.3468;65.2875;64.477;2.298032124;106.0720225;103.0057077;
8;2016-06-17T15:30:00+02:00;60.31;60.65;59.48;59.88;69.9788;65.012;63.957;2.22953677;146.4367281;104.6362339;
9;2016-06-20T15:30:00+02:00;60.53;60.7;59.32;59.48;69.5868;64.7255;63.384;2.253646652;107.2295286;106.2812119;
10;2016-06-21T15:30:00+02:00;60.11;61.43;59.79;60.46;69.2264;64.4815;62.797;2.324829948;111.686047;107.6998731;
11;2016-06-22T15:30:00+02:00;60.46;61.08;59.6;59.68;68.835;64.122;62.126;2.357031757;80.33311594;105.992294;
12;2016-06-23T15:30:00+02:00;60.35;60.469;58.74;59.14;68.3804;63.7335;61.29;2.409046146;105.1714846;106.4888397;
13;2016-06-24T15:30:00+02:00;57.02;58.235;56.29;56.49;67.873;63.251;60.247;2.471327571;207.4269929;112.3918536;
14;2016-06-27T15:30:00+02:00;55.55;55.895;54.51;55.66;67.3386;62.693;59.384;2.528091985;171.1709184;117.3302308;
15;2016-06-28T15:30:00+02:00;56.55;56.92;55.33;56.71;66.828;62.2085;58.903;2.575680159;110.5292075;118.4560722;
16;2016-06-29T15:30:00+02:00;57.14;58.07;56.88;57.69;66.3394;61.795;58.556;2.627774932;107.9697762;117.7132544;
17;2016-06-30T15:30:00+02:00;57.95;58.29;57.3;58.29;65.8732;61.4125;58.348;2.637838141;103.5737838;118.613786;
18;2016-07-01T15:30:00+02:00;58.24;59.06;58.05;58.74;65.4604;61.0955;58.234;2.593355529;83.23610817;117.3294184;
19;2016-07-05T15:30:00+02:00;58.56;58.745;57.61;58.63;65.0968;60.7665;58.149;2.612460584;78.6735496;116.5581164;
20;2016-07-06T15:30:00+02:00;57.87;58.585;56.45;58.54;64.7786;60.377;57.957;2.663873679;126.7379132;116.9200752;
21;2016-07-07T15:30:00+02:00;58.37;59.935;58.31;59.47;64.481;60.031;57.936;2.699521518;72.66279407;115.3673053;
22;2016-07-08T15:30:00+02:00;59.72;60.54;59.72;59.86;64.2066;59.649;58.008;2.650687662;136.8804732;115.2845671;
23;2016-07-11T15:30:00+02:00;60.17;60.725;59.9;60.16;63.9696;59.311;58.375;2.631370345;91.65895688;116.1247243;
24;2016-07-12T15:30:00+02:00;61.27;63.45;61.19;63.25;63.826;59.259;59.134;2.640348112;152.7748626;118.9129277;
25;2016-07-13T15:30:00+02:00;63.84;64.0;62.71;63.17;63.6788;59.3415;59.78;2.47611029;112.2749434;118.0179266;
26;2016-07-14T15:30:00+02:00;63.71;64.89;63.29;64.86;63.5678;59.5265;60.497;2.418815666;136.689742;117.4594474;
27;2016-07-15T15:30:00+02:00;64.67;65.19;64.21;65.04;63.4866;59.76;61.172;2.399342326;181.8247278;121.2470827;
28;2016-07-18T15:30:00+02:00;64.92;65.45;64.18;64.24;63.3886;59.978;61.722;2.399930418;92.75195019;118.5628438;
29;2016-07-19T15:30:00+02:00;63.84;64.115;63.16;63.87;63.2958;60.1975;62.246;2.359213791;79.75083319;117.188909;
30;2016-07-20T15:30:00+02:00;64.03;64.21;63.231;63.49;63.1896;60.349;62.741;2.29948167;122.2696991;117.7180916;
31;2016-07-21T15:30:00+02:00;62.95;65.53;61.6101;64.71;63.0972;60.6005;63.265;2.493442138;180.0584796;122.7043598;
32;2016-07-22T15:30:00+02:00;65.17;65.55;64.3;64.6;63.0372;60.8735;63.739;2.443468773;115.9130047;123.2414358;
33;2016-07-25T15:30:00+02:00;65.65;66.15;65.01;65.4;63.0338;61.319;64.263;2.358381559;103.6785698;118.0540147;
34;2016-07-26T15:30:00+02:00;65.66;66.58;64.89;66.53;63.0392;61.8625;64.591;2.361561022;100.9245231;114.5416949;
35;2016-07-27T15:30:00+02:00;67.8;68.01;67.01;67.87;63.0704;62.4205;65.061;2.292493397;162.3430523;117.1323871;
36;2016-07-28T15:30:00+02:00;67.7;68.55;67.47;68.46;63.1308;62.959;65.421;2.26792278;125.5390469;118.0108507;
37;2016-07-29T15:30:00+02:00;68.44;68.85;67.1725;67.22;63.1468;63.4055;65.639;2.306400431;136.2735975;119.6458414;
38;2016-08-01T15:30:00+02:00;67.35;67.68;66.65;67.65;63.192;63.851;65.98;2.296675778;88.49888761;119.9089803;
39;2016-08-02T15:30:00+02:00;67.23;67.36;64.67;64.89;63.1856;64.164;66.082;2.406147544;141.192948;123.0349503;
40;2016-08-03T15:30:00+02:00;64.65;65.5678;64.5;65.1;63.1808;64.492;66.243;2.299817335;68.6341767;120.1297634;
41;2016-08-04T15:30:00+02:00;65.14;65.31;64.51;65.1;63.1454;64.7735;66.282;2.222481775;59.43438713;119.4683431;
42;2016-08-05T15:30:00+02:00;65.56;66.41;65.401;66.23;63.1318;65.092;66.445;2.230967551;63.42639871;115.7956394;
43;2016-08-08T15:30:00+02:00;66.1;66.36;65.53;65.86;63.1262;65.377;66.491;2.225432549;62.05490445;114.3154367;
44;2016-08-09T15:30:00+02:00;66.16;66.36;64.93;64.99;63.0896;65.464;66.337;2.15088044;67.74925048;110.0641561;
45;2016-08-10T15:30:00+02:00;64.96;65.06;64.25;64.84;63.0584;65.5475;66.034;2.11106105;61.98306747;107.5495623;
46;2016-08-11T15:30:00+02:00;65.53;66.61;65.47;66.11;63.0614;65.61;65.799;2.071721552;83.8539598;104.9077732;
47;2016-08-12T15:30:00+02:00;65.89;66.24;65.33;65.38;63.0502;65.627;65.615;2.065055862;37.98452214;97.71576295;
48;2016-08-15T15:30:00+02:00;65.54;66.46;65.05;66.12;63.071;65.721;65.462;2.074493552;53.58177685;95.75725428;
49;2016-08-16T15:30:00+02:00;65.69;66.4;65.36;66.0;63.0868;65.8275;65.573;2.078451269;54.03141612;94.47128343;
50;2016-08-17T15:30:00+02:00;65.97;67.37;65.78;67.35;63.1072;66.0205;65.798;2.121894113;100.8101286;93.3983049;entry
51;2016-08-18T15:30:00+02:00;67.2;67.91;66.73;67.7;63.1334;66.17;66.058;1.892188576;145.0302361;91.64689273;
52;2016-08-19T15:30:00+02:00;67.29;67.7199;66.701;67.07;63.1248;66.2935;66.142;1.87136612;73.56862578;89.52967378;
53;2016-08-22T15:30:00+02:00;66.8;67.07;66.355;66.86;63.1236;66.3665;66.242;1.837564175;52.6468365;86.97808711;
54;2016-08-23T15:30:00+02:00;67.14;67.88;66.95;67.35;63.1848;66.4075;66.478;1.776798619;56.60419577;84.76207075;
55;2016-08-24T15:30:00+02:00;67.18;68.3;67.18;67.92;63.3128;66.41;66.786;1.785541033;56.97557208;79.49369674;
56;2016-08-25T15:30:00+02:00;67.72;68.48;67.6801;68.34;63.4564;66.404;67.009;1.764599641;69.98275124;76.71588195;
57;2016-08-26T15:30:00+02:00;68.19;68.33;67.01;67.27;63.5944;66.4065;67.198;1.738227317;64.73941531;73.13917284;
58;2016-08-29T15:30:00+02:00;67.31;67.62;66.96;67.04;63.7376;66.376;67.29;1.710241154;60.6457854;71.74651773;exit
59;2016-08-30T15:30:00+02:00;67.12;68.3291;66.73;67.55;63.899;66.509;67.445;1.622080856;98.70321617;69.62203114;
60;2016-08-31T15:30:00+02:00;67.43;67.865;66.5;67.53;64.0404;66.6305;67.463;1.641937241;75.45159083;69.96290184;
61;2016-09-01T15:30:00+02:00;67.81;68.44;67.08;67.26;64.192;66.7385;67.419;1.681302848;62.11362696;70.09686384;
62;2016-09-02T15:30:00+02:00;67.26;68.25;67.26;68.21;64.3734;66.8375;67.533;1.677758359;46.96315866;69.27370183;
63;2016-09-06T15:30:00+02:00;68.25;69.01;68.02;69.0;64.6236;66.9945;67.747;1.6872013;70.6124497;69.7015791;
64;2016-09-07T15:30:00+02:00;69.28;71.3;69.27;71.03;64.931;67.2965;68.115;1.723610789;122.2267396;72.42545355;
65;2016-09-08T15:30:00+02:00;70.86;71.63;70.78;71.32;65.2232;67.6205;68.455;1.72062098;102.3838894;74.44549465;
66;2016-09-09T15:30:00+02:00;70.96;71.09;68.86;68.86;65.4466;67.758;68.507;1.795480945;95.1147783;75.00853557;
67;2016-09-12T15:30:00+02:00;68.35;70.0;67.69;69.79;65.6766;67.9785;68.759;1.896465352;80.60558482;77.1395887;
68;2016-09-13T15:30:00+02:00;69.57;70.29;68.15;68.32;65.8682;68.0885;68.887;1.945093784;95.64639628;79.24281968;
69;2016-09-14T15:30:00+02:00;68.25;68.44;66.53;66.65;66.0286;68.121;68.797;2.009078686;88.10396199;80.94644697;exit
70;2016-09-15T15:30:00+02:00;66.58;67.4;65.96;66.81;66.194;68.094;68.725;1.997378348;79.1728314;79.86458211;
71;2016-09-16T15:30:00+02:00;66.56;66.87;65.63;65.7;66.3186;67.994;68.569;2.003431336;75.54984375;76.39056249;
72;2016-09-19T15:30:00+02:00;65.8;66.57;65.56;65.69;66.4352;67.925;68.317;2.004081847;81.40060238;76.78216132;
73;2016-09-20T15:30:00+02:00;65.9;66.27;65.49;65.5;66.542;67.857;67.967;2.009756049;36.30574332;75.96510666;
74;2016-09-21T15:30:00+02:00;65.83;66.91;65.25;66.7;66.611;67.8245;67.534;2.067504297;87.29756112;77.49977493;
75;2016-09-22T15:30:00+02:00;67.05;67.98;65.5801;66.04;66.6684;67.7305;67.006;2.167120868;141.9796619;81.74997942;
76;2016-09-23T15:30:00+02:00;65.73;66.63;65.36;65.77;66.6866;67.602;66.697;2.205180911;153.8144805;85.94156589;
77;2016-09-26T15:30:00+02:00;65.62;65.69;64.19;64.6;66.6778;67.4685;66.178;2.223528778;91.61858586;87.28552441;
78;2016-09-27T15:30:00+02:00;64.75;66.14;64.73;65.99;66.7128;67.416;65.945;2.283159574;73.22929003;87.91469965;
79;2016-09-28T15:30:00+02:00;66.29;67.7;66.03;66.2;66.7594;67.3485;65.9;2.289798573;72.95834059;86.62745587;
80;2016-09-29T15:30:00+02:00;66.01;66.51;65.27;65.31;66.7958;67.2375;65.75;2.282157035;51.72384767;85.44106871;
81;2016-09-30T15:30:00+02:00;65.6;66.35;65.29;65.86;66.8188;67.1675;65.766;2.261961829;58.1908038;85.24492755;
82;2016-10-03T15:30:00+02:00;65.6;67.12;65.6;67.09;66.8686;67.1115;65.906;2.304220483;69.14134668;86.35383695;
83;2016-10-04T15:30:00+02:00;68.42;69.62;68.0;68.71;66.9348;67.097;66.227;2.350565416;134.6328891;89.55485892;
84;2016-10-05T15:30:00+02:00;68.62;68.84;67.76;68.31;66.9704;66.961;66.388;2.283730372;69.0726096;86.89715242;
85;2016-10-06T15:30:00+02:00;68.38;69.11;68.17;69.09;66.9948;66.8495;66.693;2.292630445;56.38281792;84.59709885;
86;2016-10-07T15:30:00+02:00;69.07;69.2;67.89;68.11;66.9878;66.812;66.927;2.227187302;82.09751177;83.94623552;
87;2016-10-10T15:30:00+02:00;68.29;69.94;68.17;69.91;67.0416;66.818;67.458;2.186378988;58.42971432;82.837442;
88;2016-10-11T15:30:00+02:00;70.0;70.24;69.11;69.33;67.0752;66.8685;67.792;2.111126111;101.3190161;83.12107299;
89;2016-10-12T15:30:00+02:00;69.86;71.25;69.86;70.43;67.186;67.0575;68.215;2.067066529;142.6646794;85.84910886;
