;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-10-12T15:30:00+02:00;51.34;51.57;49.82;50.33;51.3108;51.315;51.397;2.130950653;47.05033367;33.02059232;
1;2017-10-13T15:30:00+02:00;50.15;50.557;50.01;50.29;51.2382;51.2285;51.342;2.058118381;19.34974449;29.85329425;
2;2017-10-16T15:30:00+02:00;49.0;51.04;48.96;50.75;51.1778;51.165;51.244;2.191610182;39.8813;30.38789353;
3;2017-10-17T15:30:00+02:00;50.65;51.74;50.34;51.48;51.1248;51.212;51.249;2.160232587;26.43764816;29.9799481;
4;2017-10-18T15:30:00+02:00;51.75;51.9888;50.81;51.09;51.0862;51.2335;51.171;2.181657714;27.2157767;29.99167764;
5;2017-10-19T15:30:00+02:00;51.2;51.37;50.23;50.56;51.0498;51.2445;51.001;2.210237593;30.5098196;30.60566195;
6;2017-10-20T15:30:00+02:00;50.54;50.84;50.08;50.58;51.0282;51.255;50.909;2.226164149;40.82960808;31.67703266;
7;2017-10-23T15:30:00+02:00;50.58;50.58;49.4;49.47;50.9794;51.1395;50.728;2.177551072;56.60632647;32.31587214;
8;2017-10-24T15:30:00+02:00;49.68;50.52;49.13;50.38;50.9546;51.0855;50.649;2.215537296;68.76193793;33.97701894;
9;2017-10-25T15:30:00+02:00;50.7;51.16;49.37;49.49;50.9124;50.994;50.442;2.319642891;51.53409072;34.47814949;
10;2017-10-26T15:30:00+02:00;49.0;55.31;47.01;54.97;50.9806;51.1515;50.906;3.102433787;154.6664516;40.4565753;
11;2017-10-27T15:30:00+02:00;55.0;56.58;49.52;49.85;50.9592;51.102;50.862;3.689367186;116.3332919;44.56124476;
12;2017-10-30T14:30:00+01:00;49.5;50.09;48.67;48.89;50.919;50.96;50.676;3.681202684;81.49117206;46.18869904;
13;2017-10-31T14:30:00+01:00;48.77;49.37;48.35;48.76;50.8806;50.8265;50.404;3.679209682;43.77323426;47.07649604;
14;2017-11-01T14:30:00+01:00;49.16;49.16;48.44;48.65;50.8526;50.6655;50.16;3.65506463;41.4083128;48.25269875;
15;2017-11-02T14:30:00+01:00;48.78;49.15;48.44;48.84;50.8252;50.4945;49.988;3.609932693;40.36439508;49.17811206;
16;2017-11-03T14:30:00+01:00;48.65;51.04;48.6;50.99;50.8352;50.469;50.029;3.763438582;47.63255326;50.32674916;
17;2017-11-06T15:30:00+01:00;51.17;51.433;48.5618;48.76;50.802;50.343;49.958;3.999503211;83.8879876;53.62897313;
18;2017-11-07T15:30:00+01:00;48.65;48.78;47.34;47.7;50.7536;50.1695;49.69;4.103413541;41.85482922;54.76332568;
19;2017-11-08T15:30:00+01:00;47.28;48.22;47.06;48.03;50.731;49.993;49.544;4.145921312;38.08227264;54.88355431;
20;2017-11-09T15:30:00+01:00;47.99;48.205;47.33;48.05;50.702;49.879;48.852;4.062725123;22.85608001;53.67384163;
21;2017-11-10T15:30:00+01:00;48.08;48.08;46.8;47.85;50.6434;49.757;48.652;4.144788198;60.97719376;55.75521409;
22;2017-11-13T15:30:00+01:00;47.84;49.665;47.7409;49.17;50.6324;49.678;48.68;4.133884741;44.46764406;55.9845313;
23;2017-11-14T15:30:00+01:00;48.71;49.24;47.58;47.69;50.5954;49.4885;48.573;4.169273354;56.04420859;57.46485932;
24;2017-11-15T15:30:00+01:00;47.7;49.12;46.425;48.08;50.5608;49.338;48.516;4.343525663;45.23520698;58.36583083;
25;2017-11-16T15:30:00+01:00;48.06;48.945;47.7;47.75;50.5086;49.1975;48.407;4.360550807;28.6505069;58.2728652;
26;2017-11-17T15:30:00+01:00;47.67;48.41;47.65;48.4;50.4654;49.0885;48.148;4.364420376;43.08535953;58.38565277;
27;2017-11-20T15:30:00+01:00;48.27;48.27;47.64;47.77;50.372;49.0035;48.049;4.311108085;20.49016445;56.57984467;
28;2017-11-21T15:30:00+01:00;48.1;49.58;47.73;49.36;50.2914;48.9525;48.215;4.363445106;44.20063475;55.35177951;
29;2017-11-22T15:30:00+01:00;49.56;50.295;49.38;50.145;50.2485;48.98525;48.4265;4.274809771;22.63639185;53.90689456;
30;2017-11-24T15:30:00+01:00;50.02;51.28;50.02;51.05;50.2229;48.78925;48.7265;3.517968495;27.70560065;47.55885202;
31;2017-11-27T15:30:00+01:00;52.01;52.99;49.45;50.36;50.1897;48.81475;48.9775;3.16306251;123.4023996;47.9123074;
32;2017-11-28T15:30:00+01:00;50.57;51.4;49.74;51.15;50.1723;48.92775;49.1755;3.184049803;50.43998453;46.35974803;
33;2017-11-29T15:30:00+01:00;51.25;51.73;49.93;51.45;50.1905;49.06225;49.5515;3.258821287;44.41901542;46.39203709;
