;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-09-18T15:30:00+02:00;44.6724;45.8;44.06;44.9;;41.6415;43.983;6.379984951;3.43548259;4.26039876;
1;2018-09-19T15:30:00+02:00;44.9;46.4618;44.79;45.28;;41.928;44.288;6.265174796;9.4179614;4.550101409;
2;2018-09-20T15:30:00+02:00;45.51;45.99;43.87;45.04;;42.218;44.492;6.370893036;10.84511354;4.857104057;
3;2018-09-21T15:30:00+02:00;45.34;48.68;44.22;47.64;;42.65;44.596;6.734820616;63.4236661;7.901270802;
4;2018-09-24T15:30:00+02:00;47.13;47.82;46.11;46.73;;43.041;44.974;6.714411439;8.21107881;8.195293216;
5;2018-09-25T15:30:00+02:00;47.04;47.59;46.33;46.54;;43.4225;45.351;6.596936836;5.9434924;8.441940409;
6;2018-09-26T15:30:00+02:00;46.85;47.09;46.05;46.21;;43.7295;45.525;6.41566267;3.23563703;8.443104005;
7;2018-09-27T15:30:00+02:00;46.41;46.795;44.67;45.57;40.95;44.0035;45.633;6.460526688;4.554499675;8.615664586;
8;2018-09-28T15:30:00+02:00;45.38;45.88;44.48;44.99;41.2248;44.33;45.689;6.343547847;5.23414818;8.798505959;
9;2018-10-01T15:30:00+02:00;45.21;45.4;40.0;41.32;41.3502;44.454;45.422;6.795918198;14.2490754;9.443716894;
10;2018-10-02T15:30:00+02:00;41.35;42.65;41.3;42.25;41.4694;44.57;45.157;6.399906818;6.7040791;9.365233728;
11;2018-10-03T15:30:00+02:00;42.52;42.52;37.32;38.49;41.4768;44.383;44.478;6.668158065;7.682604;9.578589772;
12;2018-10-04T15:30:00+02:00;38.38;38.97;29.34;31.59;41.3226;43.8125;43.133;8.114472685;19.53604521;10.29625864;
13;2018-10-05T15:30:00+02:00;31.77;33.65;30.0109;33.35;41.1902;43.15;41.704;7.848358157;9.785635244;10.33592205;
