;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-12-20T15:30:00+01:00;22.47;23.44;22.19;23.24;;22.4595;22.136;7.675094141;6.781872825;6.825301923;
1;2017-12-21T15:30:00+01:00;23.4;24.64;23.355;24.39;;22.482;22.355;7.819305337;7.115402735;6.825364391;
2;2017-12-22T15:30:00+01:00;24.51;24.59;23.06;23.13;;22.3935;22.508;7.926823972;11.6969314;7.317233078;
3;2017-12-26T15:30:00+01:00;23.12;23.3999;22.63;23.03;;22.4125;22.503;7.543587839;2.681563884;7.030184824;
4;2017-12-27T15:30:00+01:00;23.1;23.68;22.72;23.61;;22.3995;22.632;7.510977001;1.9196608;6.80354549;
5;2017-12-28T15:30:00+01:00;23.64;24.33;23.1848;24.31;;22.508;22.919;7.058275587;4.967220949;6.598599783;
6;2017-12-29T15:30:00+01:00;24.43;24.45;23.665;23.92;;22.5845;23.211;6.925436984;2.969633742;6.405764023;
7;2018-01-02T15:30:00+01:00;24.14;24.4577;23.77;24.27;;22.625;23.512;6.310037988;7.031188725;6.143524754;
8;2018-01-03T15:30:00+01:00;24.5;25.525;24.5;25.05;;22.7825;23.754;5.976721661;12.11162779;6.375838768;
9;2018-01-04T15:30:00+01:00;25.3;25.5401;24.65;24.92;;22.9505;23.987;5.746915555;4.464810916;6.118315247;
10;2018-01-05T15:30:00+01:00;25.06;25.35;24.84;25.0;;23.1495;24.163;5.5571478;2.47742859;5.992954956;
11;2018-01-08T15:30:00+01:00;25.12;25.495;24.52;25.41;;23.31;24.265;5.219379726;3.957261823;5.873948207;
12;2018-01-09T15:30:00+01:00;25.43;26.6999;25.33;26.6;;23.56;24.612;5.236107819;7.543008738;6.097438399;
13;2018-01-10T15:30:00+01:00;26.61;28.0;26.32;27.99;;23.8055;25.108;5.225459707;5.70050376;6.219464938;
14;2018-01-11T15:30:00+01:00;28.3;28.9;26.14;26.45;;24.012;25.392;5.424646988;9.12940224;6.36467533;
15;2018-01-12T15:30:00+01:00;26.43;26.769;25.17;25.88;22.8634;24.234;25.549;5.370618032;5.028474285;6.39740486;
16;2018-01-16T15:30:00+01:00;25.87;26.08;25.26;25.58;23.0088;24.463;25.715;5.337691892;4.95857122;6.456048682;
17;2018-01-17T15:30:00+01:00;25.71;25.71;23.885;24.86;23.1578;24.643;25.774;5.506242231;6.583215503;6.032381467;
18;2018-01-18T15:30:00+01:00;24.88;25.87;24.4208;25.51;23.2806;24.787;25.82;5.201764249;8.004937508;5.955056312;
19;2018-01-19T15:30:00+01:00;25.77;27.09;25.3;26.75;23.4362;24.995;26.003;5.14851493;5.782048545;6.045238299;
20;2018-01-22T15:30:00+01:00;27.15;27.49;25.2701;25.68;23.5596;25.117;26.071;5.306091036;6.505663271;6.031427821;
21;2018-01-23T15:30:00+01:00;25.79;26.33;24.87;25.91;23.6706;25.193;26.121;5.324515681;4.1051904;5.880917204;
22;2018-01-24T15:30:00+01:00;25.96;26.33;25.33;25.47;23.772;25.31;26.008;5.190166797;1.89819504;5.390980386;
23;2018-01-25T15:30:00+01:00;25.58;25.58;24.75;25.01;23.857;25.409;25.71;5.187737511;2.16313307;5.365058846;
24;2018-01-26T15:30:00+01:00;25.05;26.28;24.5001;26.27;23.948;25.542;25.692;5.33971332;5.636083299;5.550879971;
25;2018-01-29T15:30:00+01:00;26.27;26.5;25.18;25.22;24.0052;25.5875;25.626;5.354853954;2.2466588;5.414851863;
26;2018-01-30T15:30:00+01:00;25.0;26.31;24.9;26.26;24.0606;25.7045;25.694;5.472129734;5.412461715;5.536993262;
27;2018-01-31T15:30:00+01:00;26.57;27.0;26.125;26.6;24.1138;25.821;25.868;5.494936718;11.85755313;5.778311482;
28;2018-02-01T15:30:00+01:00;26.5;27.52;26.4;27.49;24.1804;25.943;26.066;5.497874256;8.67777696;5.60661894;
29;2018-02-02T15:30:00+01:00;27.29;28.255;26.751;26.95;24.2242;26.0445;26.086;5.598437575;7.871963666;5.776976578;
30;2018-02-05T15:30:00+01:00;26.95;27.62;26.26;26.8;24.2702;26.1345;26.198;5.754729542;5.71365072;5.938787684;
31;2018-02-06T15:30:00+01:00;26.42;28.0;26.2;26.42;24.3198;26.185;26.249;5.899423701;12.203943;6.351121743;
32;2018-02-07T15:30:00+01:00;26.5;26.78;26.32;26.52;24.3522;26.181;26.354;5.716399139;4.50418095;6.199180354;
33;2018-02-08T15:30:00+01:00;26.47;27.47;25.06;25.29;24.405;26.046;26.382;5.878096172;7.2585954;6.277084936;
34;2018-02-09T15:30:00+01:00;25.35;25.87;24.21;25.24;24.4324;25.9855;26.279;5.693003163;7.13587416;6.177408532;
35;2018-02-12T15:30:00+01:00;25.3;25.88;24.9709;25.74;24.5044;25.9785;26.331;5.557395;2.659883452;6.05897899;
36;2018-02-13T15:30:00+01:00;25.58;26.4173;25.58;25.72;24.571;25.9855;26.277;5.558746063;5.437773639;6.082939111;
37;2018-02-14T15:30:00+01:00;25.5;26.09;25.455;25.81;24.618;26.033;26.198;5.301437041;4.847884567;5.996172564;
38;2018-02-15T15:30:00+01:00;25.95;26.75;25.55;26.54;24.7108;26.0845;26.103;5.239556425;6.13277645;5.902564511;
39;2018-02-16T15:30:00+01:00;26.55;27.02;25.7747;26.84;24.8164;26.089;26.092;5.127375586;5.436534233;5.885288796;
40;2018-02-20T15:30:00+01:00;26.69;26.94;25.2;26.15;24.919;26.1125;26.027;5.033379171;9.13458909;6.016735087;
41;2018-02-21T15:30:00+01:00;26.23;26.5;25.55;25.9;24.993;26.112;25.975;4.925762814;2.203094325;5.921630283;
42;2018-02-22T15:30:00+01:00;25.86;26.23;25.45;25.9;25.079;26.1335;25.913;4.88161007;1.93900776;5.923670919;
43;2018-02-23T15:30:00+01:00;26.11;26.5;25.92;26.16;25.1406;26.191;26.0;4.825816019;7.61413605;6.196221068;
44;2018-02-26T15:30:00+01:00;26.34;26.69;26.14;26.41;25.2224;26.198;26.117;4.567775358;6.890379165;6.258935861;
45;2018-02-27T15:30:00+01:00;26.42;26.85;26.03;26.64;25.3264;26.269;26.207;4.463173135;8.57988576;6.575597209;
46;2018-02-28T15:30:00+01:00;26.75;26.75;26.18;26.32;25.4328;26.272;26.267;4.288902331;5.33931375;6.571939811;
47;2018-03-01T15:30:00+01:00;26.35;26.72;26.2;26.25;25.5326;26.2545;26.311;4.220674857;2.84257134;6.121190722;
