;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2012-10-10T15:30:00+02:00;6.71;6.85;6.0;6.06;;;;;22.9154564;;
1;2012-10-11T15:30:00+02:00;6.06;6.44;6.0;6.08;;;;;2.59152568;;
2;2012-10-12T15:30:00+02:00;6.05;6.3;6.01;6.23;;;;;0.954917475;;
3;2012-10-15T15:30:00+02:00;6.35;6.4;6.05;6.15;;;;;0.97713825;;
4;2012-10-16T15:30:00+02:00;6.15;6.3;5.94;6.01;;;;;1.05816636;;
5;2012-10-17T15:30:00+02:00;6.0;6.08;5.99;6.0;;;;;0.685364775;;
6;2012-10-18T15:30:00+02:00;6.2;6.2;5.5501;6.0;;;;;1.452794114;;
7;2012-10-19T15:30:00+02:00;6.08;6.08;5.99;6.0;;;;;0.80148421;;
8;2012-10-22T15:30:00+02:00;6.47;6.47;6.1;6.105;;;;;1.91309115;;
9;2012-10-23T15:30:00+02:00;6.18;6.18;6.0;6.0;;;6.0635;;0.45620799;;
10;2012-10-24T15:30:00+02:00;6.01;6.1;6.01;6.02;;;6.0595;;0.645735475;;
11;2012-10-25T15:30:00+02:00;6.1;6.32;6.05;6.24;;;6.0755;;1.956903075;;
12;2012-10-26T15:30:00+02:00;6.19;6.75;6.19;6.58;;;6.1105;;1.33556975;;
13;2012-10-31T14:30:00+01:00;6.78;7.4203;6.52;7.22;;;6.2175;;2.058208623;;
14;2012-11-01T14:30:00+01:00;8.44;8.44;7.42;7.65;;;6.3815;;1.95869414;;
15;2012-11-02T14:30:00+01:00;7.81;8.2;7.51;7.7;;;6.5515;;0.676574715;;
16;2012-11-05T15:30:00+01:00;8.1;8.43;7.85;8.23;;;6.7745;;2.04821122;;
17;2012-11-06T15:30:00+01:00;8.7;8.8358;8.35;8.59;;;7.0335;;2.009398108;;
18;2012-11-07T15:30:00+01:00;8.6;8.77;8.15;8.19;;;7.242;;2.86524972;;
19;2012-11-08T15:30:00+01:00;8.2;8.34;7.67;7.82;;6.74375;7.424;7.162516111;1.35707164;2.535888144;
20;2012-11-09T15:30:00+01:00;7.82;8.23;7.7;8.0;;6.84075;7.622;6.798338622;1.232384625;1.451734555;
21;2012-11-12T15:30:00+01:00;8.0;8.0;7.5201;7.73;;6.92325;7.771;6.750750159;0.59599512;1.351958027;
22;2012-11-13T15:30:00+01:00;7.95;8.0266;7.59;8.0;;7.01175;7.913;6.797100883;0.367716272;1.322597967;
23;2012-11-14T15:30:00+01:00;8.03;8.03;7.65;7.88;;7.09825;7.979;6.756210698;0.32658304;1.290070206;
24;2012-11-15T15:30:00+01:00;7.6;8.5;7.6;8.36;;7.21575;8.05;7.045285658;1.0079727;1.287560523;
