;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-03-03T15:30:00+01:00;2.32;2.55;2.295;2.46;2.228;2.009;2.111;5.701919442;53.518839;20.7768369;
1;2016-03-04T15:30:00+01:00;2.42;2.5;2.34;2.37;2.2248;2.023;2.157;5.698972198;37.38654854;21.77625634;
2;2016-03-07T15:30:00+01:00;2.36;2.47;2.36;2.47;2.2188;2.0475;2.203;5.692124055;21.25642428;22.03675313;
3;2016-03-08T15:30:00+01:00;2.44;2.46;2.3;2.3;2.2082;2.066;2.236;5.745832495;23.8640934;22.11451837;
4;2016-03-09T15:30:00+01:00;2.32;2.35;2.2;2.26;2.195;2.084;2.26;5.694849694;29.7625601;22.16159181;
5;2016-03-10T15:30:00+01:00;2.29;2.31;2.15;2.26;2.1802;2.105;2.283;5.657106652;21.46489622;22.33318774;
6;2016-03-11T15:30:00+01:00;2.29;2.54;2.29;2.52;2.1706;2.138;2.328;5.843842158;51.63845495;24.17839655;
7;2016-03-14T14:30:00+01:00;2.53;2.75;2.5;2.72;2.1654;2.1825;2.386;6.096589411;88.85104463;27.69243074;
8;2016-03-15T14:30:00+01:00;2.67;2.69;2.45;2.49;2.1578;2.2155;2.417;6.36660511;55.44402607;29.36226845;
9;2016-03-16T14:30:00+01:00;2.5;2.64;2.49;2.63;2.155;2.252;2.448;6.424566686;33.38516021;29.72680313;
10;2016-03-17T14:30:00+01:00;2.77;2.81;2.7;2.8;2.156;2.2965;2.482;6.417744074;79.89730869;32.6717976;
11;2016-03-18T14:30:00+01:00;2.8;2.93;2.77;2.93;2.1645;2.3475;2.538;6.433328694;75.04193355;35.69218756;
12;2016-03-21T14:30:00+01:00;2.9;2.9;2.75;2.8;2.175;2.387;2.571;6.407354668;38.03846115;36.61322008;
13;2016-03-22T14:30:00+01:00;2.73;2.85;2.71;2.79;2.188;2.428;2.62;6.437230855;28.677924;37.37102544;
14;2016-03-23T14:30:00+01:00;2.8;2.825;2.68;2.68;2.1948;2.461;2.662;6.42277915;27.98502257;38.08483314;
15;2016-03-24T14:30:00+01:00;2.69;2.81;2.62;2.79;2.2028;2.499;2.715;6.633859418;27.25903711;38.8835379;
16;2016-03-28T15:30:00+02:00;2.81;2.84;2.73;2.78;2.2134;2.5345;2.741;6.662910827;21.39919084;39.13663961;
17;2016-03-29T15:30:00+02:00;2.74;2.88;2.7;2.86;2.2264;2.5705;2.755;6.752341721;37.98915894;39.83906385;
18;2016-03-30T15:30:00+02:00;2.88;2.98;2.85;2.86;2.243;2.6045;2.792;6.791732651;43.56737138;41.04422444;
19;2016-03-31T15:30:00+02:00;2.84;2.88;2.8;2.85;2.261;2.631;2.814;6.590553097;25.7630458;41.10952507;
