;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-14T15:30:00+01:00;36.2;37.725;35.65;37.1;40.4528;39.869;38.569;3.6061494;19.05647806;12.74693017;
1;2016-01-15T15:30:00+01:00;35.95;37.26;34.296;37.03;40.3956;39.668;38.34;3.899758758;12.92183293;12.80203004;
2;2016-01-19T15:30:00+01:00;38.93;39.98;38.39;38.63;40.3586;39.5305;38.316;3.996084442;18.58615083;13.17611639;
3;2016-01-20T15:30:00+01:00;38.2;38.6;36.01;37.74;40.236;39.3735;38.164;4.241680286;16.26979235;12.67235001;
4;2016-01-21T15:30:00+01:00;37.94;39.11;36.88;37.32;40.0852;39.1675;37.901;4.451897214;14.90270286;12.96338292;
5;2016-01-22T15:30:00+01:00;38.09;39.04;37.445;38.53;39.9814;38.9975;37.879;4.529938248;14.64523307;13.05937515;
6;2016-01-25T15:30:00+01:00;38.28;38.82;37.52;37.64;39.8646;38.8035;37.835;4.577362588;10.92055151;12.93119714;
7;2016-01-26T15:30:00+01:00;37.75;38.45;36.85;37.79;39.7998;38.637;37.702;4.673727217;6.5937951;13.11396555;
8;2016-01-27T15:30:00+01:00;37.72;38.05;36.33;36.48;39.7192;38.4455;37.44;4.72899457;6.66017115;13.0036952;
9;2016-01-28T15:30:00+01:00;36.98;37.2;34.54;34.69;39.6126;38.1;37.295;4.964598847;9.78874365;13.06996099;
10;2016-01-29T15:30:00+01:00;34.69;35.91;34.565;35.75;39.5294;37.8645;37.16;4.936134651;11.15601631;13.30596581;
11;2016-02-01T15:30:00+01:00;35.6;36.27;35.34;36.0;39.437;37.6985;37.057;4.93469425;7.071738135;13.06168534;
12;2016-02-02T15:30:00+01:00;35.68;36.13;35.31;35.95;39.3372;37.5525;36.789;4.8229302;7.8980492;12.57263694;
13;2016-02-03T15:30:00+01:00;36.12;36.12;33.01;34.1;39.2216;37.2945;36.425;5.165464869;12.71601416;12.78312253;
14;2016-02-04T15:30:00+01:00;33.94;35.01;32.92;34.65;39.0826;37.0295;36.158;5.294979875;7.97756334;12.64178098;
15;2016-02-05T15:30:00+01:00;34.46;34.46;31.85;31.85;38.8844;36.6845;35.49;5.536875372;9.70917651;12.27349404;
16;2016-02-08T15:30:00+01:00;32.3;32.74;31.16;32.18;38.7074;36.3895;34.944;5.586755711;15.63617025;12.3944368;
17;2016-02-09T15:30:00+01:00;31.72;33.61;31.65;33.01;38.5458;36.084;34.466;5.652648879;11.27715641;11.90183872;
18;2016-02-10T15:30:00+01:00;33.34;35.66;33.125;35.15;38.4146;35.8865;34.333;5.875331668;12.95434783;11.94547479;
19;2016-02-11T15:30:00+01:00;34.78;35.1;34.01;34.9;38.3008;35.8245;34.354;5.563828028;12.39785023;11.95697669;
20;2016-02-12T15:30:00+01:00;35.31;36.1;34.61;36.02;38.193;35.7705;34.381;5.488059892;11.26919412;11.5676125;
21;2016-02-16T15:30:00+01:00;36.34;37.59;35.5675;37.37;38.1014;35.7875;34.518;5.340258077;10.98869545;11.47095562;
22;2016-02-17T15:30:00+01:00;37.5;38.08;36.89;36.97;38.02;35.7045;34.62;5.294463221;11.68062588;11.12567938;
23;2016-02-18T15:30:00+01:00;37.0;37.02;35.73;35.84;37.9252;35.6095;34.794;5.115361465;12.82156913;10.95326821;
24;2016-02-19T15:30:00+01:00;35.72;36.01;35.2701;35.82;37.8592;35.5345;34.911;4.917920123;12.78037937;10.84715204;
25;2016-02-22T15:30:00+01:00;36.09;37.2499;36.09;36.57;37.8098;35.4365;35.383;4.86563657;11.13450029;10.6716154;
26;2016-02-23T15:30:00+01:00;36.3;36.855;35.77;36.26;37.7656;35.3675;35.791;4.844059037;8.17684875;10.53443026;
27;2016-02-24T15:30:00+01:00;35.84;37.37;35.74;37.35;37.75;35.3455;36.225;4.854998515;9.82181673;10.69583134;
28;2016-02-25T15:30:00+01:00;37.38;37.95;37.22;37.62;37.7244;35.4025;36.472;4.716345106;7.824332545;10.75403941;
29;2016-02-26T15:30:00+01:00;37.99;38.39;37.52;38.2;37.7132;35.578;36.802;4.447222473;8.095763545;10.66939041;
30;2016-02-29T15:30:00+01:00;37.99;38.49;36.68;36.74;37.6306;35.6275;36.874;4.499389963;10.95850811;10.659515;
31;2016-03-01T15:30:00+01:00;36.85;37.99;36.27;37.98;37.5692;35.7265;36.935;4.604921576;7.47371205;10.67961369;
32;2016-03-02T15:30:00+01:00;37.99;38.17;36.66;36.89;37.4794;35.7735;36.927;4.694753696;11.90347;10.87988473;
33;2016-03-03T15:30:00+01:00;36.68;38.57;36.26;38.02;37.4222;35.9695;37.145;4.542217142;11.94829317;10.84149869;
34;2016-03-04T15:30:00+01:00;38.17;38.66;37.55;37.83;37.35;36.1285;37.346;4.372583862;10.58297786;10.97176941;
35;2016-03-07T15:30:00+01:00;37.68;38.95;37.53;38.0;37.2714;36.436;37.489;4.152032726;12.9908928;11.13585523;
36;2016-03-08T15:30:00+01:00;37.91;38.43;37.07;37.25;37.186;36.6895;37.588;4.0819393;10.91084475;10.89958895;
37;2016-03-09T15:30:00+01:00;39.59;43.01;37.45;42.72;37.218;37.175;38.125;4.514625747;37.99369476;12.23541587;
38;2016-03-10T15:30:00+01:00;43.03;43.48;41.47;41.82;37.2482;37.5085;38.545;4.374328101;26.67047725;12.92122234;
39;2016-03-11T15:30:00+01:00;42.01;42.29;41.54;42.1;37.2582;37.8685;38.935;4.304355549;12.95701629;12.94918064;
