;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-07-22T15:30:00+02:00;7.65;7.79;7.6331;7.75;7.1838;7.4505;7.555;2.222519744;6.763592293;4.566321627;
1;2019-07-23T15:30:00+02:00;7.81;7.935;7.8;7.93;7.1916;7.494;7.609;2.256033517;4.851045428;4.498459717;
2;2019-07-24T15:30:00+02:00;7.95;8.32;7.95;8.32;7.2154;7.5645;7.697;2.343810384;7.551614745;4.599408505;
3;2019-07-25T15:30:00+02:00;8.31;8.33;8.015;8.04;7.2322;7.6065;7.761;2.368888362;6.978424198;4.738814814;
4;2019-07-26T15:30:00+02:00;8.11;8.2;8.07;8.2;7.25;7.6475;7.825;2.353014859;4.13188039;4.766195098;
5;2019-07-29T15:30:00+02:00;8.2;8.26;8.04;8.18;7.2686;7.6835;7.886;2.369233536;8.63814425;4.687635694;
6;2019-07-30T15:30:00+02:00;8.4;9.785;8.0665;9.78;7.321;7.7885;8.107;3.265933934;34.42059287;6.116034821;
7;2019-07-31T15:30:00+02:00;9.55;9.64;8.98;9.23;7.3646;7.873;8.27;3.506241862;23.86012419;7.104160783;
8;2019-08-01T15:30:00+02:00;9.21;9.54;9.03;9.24;7.4092;7.961;8.429;3.697724798;14.16611522;7.717958772;
9;2019-08-02T15:30:00+02:00;9.19;9.21;8.93;9.16;7.4546;8.049;8.583;3.731042923;7.70329612;7.916119544;
10;2019-08-05T15:30:00+02:00;8.89;8.985;8.64;8.86;7.4992;8.1245;8.694;3.862014382;10.02900394;8.190816557;
11;2019-08-06T15:30:00+02:00;8.96;9.11;8.555;8.66;7.5414;8.188;8.767;4.097100381;12.02994449;8.552429754;
12;2019-08-07T15:30:00+02:00;8.52;8.84;8.52;8.77;7.5868;8.2545;8.812;4.149758673;11.31432792;8.92770765;
13;2019-08-08T15:30:00+02:00;8.85;9.08;8.78;9.02;7.6362;8.3355;8.91;4.211535376;6.64241083;9.045244765;
