;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-11-01T14:30:00+01:00;44.05;44.05;41.8288;42.65;41.085;42.9225;43.175;2.539838489;49.15041245;21.70484317;
1;2017-11-02T14:30:00+01:00;42.7;42.85;40.45;40.65;41.145;42.71;42.915;2.758464392;48.45898365;22.3722251;
2;2017-11-03T14:30:00+01:00;38.25;41.95;37.71;41.1;41.214;42.5125;42.66;3.25926556;41.96664052;23.52746192;
3;2017-11-06T15:30:00+01:00;40.8;42.65;40.55;42.5;41.309;42.5125;42.565;3.178771847;32.3384256;23.89493973;
4;2017-11-07T15:30:00+01:00;42.85;43.75;41.55;41.95;41.394;42.505;42.47;3.313627517;19.76575865;24.01354136;
5;2017-11-08T15:30:00+01:00;42.0;43.25;41.75;43.15;41.501;42.55;42.47;3.421839664;22.626065;24.20854045;
6;2017-11-09T15:30:00+01:00;42.7;43.2;42.4;43.05;41.61;42.6225;42.525;3.389825496;15.44652;23.91097494;
7;2017-11-10T15:30:00+01:00;43.05;43.95;42.875;43.85;41.74;42.745;42.58;3.417270711;17.2705344;23.63294297;
8;2017-11-13T15:30:00+01:00;43.8;44.25;43.15;44.1;41.88;42.8525;42.69;3.41188281;21.7165402;23.80224638;
9;2017-11-14T15:30:00+01:00;44.1;44.1;42.85;43.25;42.002;42.9175;42.625;3.466700683;16.25778058;24.07061015;
10;2017-11-15T15:30:00+01:00;42.9;43.1;42.35;42.45;42.088;42.89;42.605;3.432224523;26.28232648;24.7706591;
11;2017-11-16T15:30:00+01:00;43.0;44.45;42.4;43.65;42.216;42.91;42.905;3.579852159;21.12882458;25.18335151;
12;2017-11-17T15:30:00+01:00;44.0;44.45;43.1;44.3;42.362;42.9425;43.225;3.649759485;19.8817295;25.28241658;
13;2017-11-20T15:30:00+01:00;44.35;44.8;43.9;44.55;42.488;42.9975;43.43;3.641928362;24.8525869;25.97569949;
14;2017-11-21T15:30:00+01:00;44.65;45.85;44.25;45.75;42.634;43.14;43.81;3.729261379;22.0253955;26.1515907;
15;2017-11-22T15:30:00+01:00;45.95;47.65;45.9;47.1;42.804;43.3375;44.205;3.802659893;23.29530647;26.37704741;
16;2017-11-24T15:30:00+01:00;47.3;47.55;46.55;47.35;42.975;43.58;44.635;3.79214675;11.09641315;26.22425831;
17;2017-11-27T15:30:00+01:00;47.35;47.5;46.8;47.3;43.136;43.78;44.98;3.715687523;24.2218037;25.89650675;
18;2017-11-28T15:30:00+01:00;47.5;48.4;47.0;48.0;43.307;44.03;45.37;3.752858988;19.8772578;25.99503494;
19;2017-11-29T15:30:00+01:00;48.15;50.9;47.95;50.85;43.538;44.3775;46.13;3.920284168;40.65310043;25.91562028;
20;2017-11-30T15:30:00+01:00;51.0;51.75;49.3;50.2;43.732;44.755;46.905;3.903252025;33.58669585;25.13743445;
21;2017-12-01T15:30:00+01:00;50.0;50.0;47.75;49.6;43.906;45.2025;47.5;3.842191573;18.95592438;23.66228148;
22;2017-12-04T15:30:00+01:00;50.0;51.05;49.65;50.6;44.095;45.6775;48.13;3.420993385;26.5080666;22.88935279;
23;2017-12-05T15:30:00+01:00;50.7;50.85;49.2;49.3;44.269;46.0175;48.605;3.329736731;17.50905015;22.14788401;
