;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-09-01T15:30:00+02:00;0.5326;0.5599;0.5326;0.5426;0.51557;0.4803;0.50643;10.6246262;0.09558938;0.189473839;
1;2017-09-05T15:30:00+02:00;0.5426;0.5792;0.5426;0.5436;0.51487;0.48148;0.51279;10.64693059;0.140439264;0.186100795;
2;2017-09-06T15:30:00+02:00;0.5436;0.57;0.52;0.52;0.51367;0.48198;0.51479;10.91731838;0.119062335;0.183676019;
3;2017-09-07T15:30:00+02:00;0.52;0.5674;0.51;535;0.51297;0.48473;0.52055;10.8524039;0.193938464;0.171057755;
4;2017-09-08T15:30:00+02:00;0.54;0.55;0.5309;0.54;0.513124;0.48848;0.52455;10.79035163;0.105214266;0.168983599;
5;2017-09-11T15:30:00+02:00;0.5397;0.55;0.53;531;0.512944;0.49303;0.52593;10.31789344;0.08556516;0.161927459;
6;2017-09-12T15:30:00+02:00;0.53;0.56;527;0.53;0.513122;0.49603;0.52948;10.1712163;0.092028138;0.160481574;
7;2017-09-13T15:30:00+02:00;0.5368;0.56;0.51;0.51;0.512656;0.499595;0.53048;10.00799653;0.13496873;0.161601309;
8;2017-09-14T15:30:00+02:00;0.5126;0.54;0.5126;0.52;0.512446;0.504595;0.53048;9.683501152;0.050077445;0.151919251;
9;2017-09-15T15:30:00+02:00;0.5299;549;0.52;0.52;0.512304;0.511445;0.52922;9.569029758;0.107041643;0.148916421;
10;2017-09-18T15:30:00+02:00;0.58;0.58;0.5351;555;0.513004;0.518445;0.53046;9.505548786;0.213867817;0.149964116;
11;2017-09-19T15:30:00+02:00;0.58;0.6;0.5467;552;0.513624;0.522045;0.5313;8.917069695;0.241129796;0.153679012;
12;2017-09-20T15:30:00+02:00;0.5645;0.6;0.5573;593;0.515484;0.526695;0.5386;8.386677767;0.212451348;0.151612544;
13;2017-09-21T15:30:00+02:00;595;0.6199;575;0.6;0.516864;0.532825;0.5451;7.692329941;0.094245348;0.130653132;
14;2017-09-22T15:30:00+02:00;0.6;0.6;0.5781;0.6;0.518664;0.537825;0.5511;7.396467718;0.08217542;0.127742253;
15;2017-09-25T15:30:00+02:00;0.6;0.67;0.5901;0.66;0.52137;0.544965;564;7.676322939;0.401950478;0.141109754;
16;2017-09-26T15:30:00+02:00;0.66;0.6688;0.61;0.63;0.523672;0.55174;574;7.637456819;0.170460204;0.144980577;
17;2017-09-27T15:30:00+02:00;0.65;0.65;0.6;622;0.525312;0.55784;0.5852;7.582248486;0.109085;0.146514585;
18;2017-09-28T15:30:00+02:00;0.63;648;0.6002;0.62;0.527112;0.56284;0.5952;7.583449086;0.114297674;0.146071117;
19;2017-09-29T15:30:00+02:00;611;0.63;605;611;0.528334;0.56676;0.6043;7.405445271;0.111865683;0.14377268;
20;2017-10-02T15:30:00+02:00;0.62;0.68;0.6131;0.68;0.531034;0.57363;0.6168;7.694743368;0.310316198;0.15450902;
21;2017-10-03T15:30:00+02:00;0.7;0.79;0.68;0.76;0.535034;0.58445;0.6376;8.166301877;0.748592355;0.184916675;
22;2017-10-04T15:30:00+02:00;0.81;0.85;0.79;0.8261;0.540356;0.599755;0.66091;8.065279482;0.87051446;0.222489281;
23;2017-10-05T15:30:00+02:00;0.86;0.8651;732;0.77;0.544456;0.611505;0.67791;8.411687389;0.409257674;0.233255242;
24;2017-10-06T15:30:00+02:00;0.8;847;0.7701;0.81;0.549456;0.625005;0.69891;8.731089979;0.194824165;0.237735737;
25;2017-10-09T15:30:00+02:00;0.85;0.85;0.8;0.8298;0.554452;0.639945;0.71589;8.854910734;0.255711225;0.24624304;
26;2017-10-10T15:30:00+02:00;0.8217;0.85;0.8004;0.82;0.560222;0.654445;0.73489;8.851662832;0.248140116;0.254048639;
27;2017-10-11T15:30:00+02:00;0.83;845;0.81;0.8366;0.566354;0.670775;0.75635;8.577516137;0.25023269;0.259811837;
28;2017-10-12T15:30:00+02:00;0.85;1.34;0.8456;1.06;0.577222;0.697775;0.80035;11.23361924;5.216762742;0.518146102;
29;2017-10-13T15:30:00+02:00;1.12;1.28;0.98;1.08;0.587822;0.725775;0.84725;12.48538533;2.52640541;0.63911429;
30;2017-10-16T15:30:00+02:00;0.95;1.09;0.9011;0.9357;0.596136;0.74481;0.87282;13.11400093;1.575324471;0.707187123;
31;2017-10-17T15:30:00+02:00;0.94;1.02;0.94;0.9942;0.60562;0.76692;0.89624;13.05206257;0.58722776;0.724492021;
32;2017-10-18T15:30:00+02:00;1.04;1.28;0.9989;1.15;0.61842;0.79477;0.92863;14.07601325;3.220514133;0.87489516;
33;2017-10-19T15:30:00+02:00;1.05;1.21;1.05;1.11;0.63102;0.82027;0.96263;14.44748323;1.82355445;0.961360615;
34;2017-10-20T15:30:00+02:00;1.1;1.17;1.02;1.09;0.64352;0.84477;0.99063;14.99336375;0.974297055;1.005966697;
35;2017-10-23T15:30:00+02:00;1.07;1.1;1.0;1.0;0.65472;0.86177;1.00765;14.81635985;0.7446852;1.023103433;
36;2017-10-24T15:30:00+02:00;1.03;1.23;1.03;1.08;0.66692;0.88427;1.03365;15.30526643;1.75529228;1.102345037;
37;2017-10-25T15:30:00+02:00;1.09;1.13;1.04;1.06;0.679346;0.90617;1.05599;15.32129207;0.54830909;1.124306242;
38;2017-10-26T15:30:00+02:00;1.05;1.11;1.02;1.09;0.692746;0.92967;1.05899;15.36426794;0.40780128;1.138981422;
39;2017-10-27T15:30:00+02:00;1.08;1.1;1.05;1.07;0.706486;0.95262;1.05799;15.39575161;0.2887321;1.147824743;
40;2017-10-30T14:30:00+01:00;1.1;1.24;1.03;1.22;0.722586;0.97962;1.08642;15.86958109;3.590959535;1.31185691;
41;2017-10-31T14:30:00+01:00;1.26;1.28;1.05;1.06;0.734186;0.99462;1.093;16.15599565;2.52998856;1.40092672;
42;2017-11-01T14:30:00+01:00;1.07;1.1038;1.03;1.09;0.745986;1.007815;1.087;16.13450124;0.619440006;1.388372997;
43;2017-11-02T14:30:00+01:00;1.14;1.14;1.05;1.1;0.758438;1.024315;1.086;15.65391967;0.536145945;1.394717411;
44;2017-11-03T14:30:00+01:00;1.13;1.21;1.05;1.16;0.771638;1.041815;1.093;15.91653862;0.9889647;1.434424437;
45;2017-11-06T15:30:00+01:00;1.16;1.21;1.14;1.18;0.784894;1.059325;1.111;15.91105617;0.5749275;1.450385251;
46;2017-11-07T15:30:00+01:00;1.2;1.21;1.15;1.19;0.798804;1.077825;1.122;15.86208065;0.69686316;1.472821403;
47;2017-11-08T15:30:00+01:00;1.2;1.2;1.1;1.11;0.811004;1.091495;1.127;16.10057673;0.7211443;1.496366984;
48;2017-11-09T15:30:00+01:00;1.12;1.19;1.1;1.15;0.823604;1.095995;1.133;13.58629961;0.626455835;1.266851639;
49;2017-11-10T15:30:00+01:00;1.16;1.18;1.12;1.16;0.836152;1.099995;1.142;12.32354451;0.33121265;1.157092001;
50;2017-11-13T15:30:00+01:00;1.14;1.26;1.14;1.24;0.8501;1.11521;1.144;11.80169694;2.6153412;1.209092837;entry
51;2017-11-14T15:30:00+01:00;1.28;1.32;1.08;1.19;0.863028;1.125;1.157;12.48727614;1.3584492;1.247653909;exit
52;2017-11-15T15:30:00+01:00;1.12;1.26;1.12;1.23;0.877228;1.129;1.171;11.70522839;0.64479555;1.11886798;
53;2017-11-16T15:30:00+01:00;1.24;1.41;1.23;1.34;0.893328;1.1405;1.195;11.67503094;3.81821352;1.218600933;
54;2017-11-17T15:30:00+01:00;1.36;1.42;1.31;1.4;0.910528;1.156;1.219;11.35958415;1.441618815;1.241967021;
55;2017-11-20T15:30:00+01:00;1.41;1.41;1.35;1.38;0.927508;1.175;1.239;11.08180638;0.708216;1.240143561;
56;2017-11-21T15:30:00+01:00;1.4;1.42;1.36;1.37;0.944308;1.1895;1.257;10.33152082;0.52330859;1.178544377;
57;2017-11-22T15:30:00+01:00;1.42;1.93;1.39;1.75;0.969108;1.224;1.321;11.84127456;11.33199;1.717728422;
58;2017-11-24T15:30:00+01:00;1.78;2.2;1.64;1.99;0.998508;1.269;1.405;13.10741516;5.05159104;1.94991791;
59;2017-11-27T15:30:00+01:00;2.03;2.15;1.76;1.97;1.027508;1.314;1.486;13.97727447;3.230717655;2.097017188;
60;2017-11-28T15:30:00+01:00;1.94;1.9798;1.83;1.9;1.054408;1.348;1.552;13.36714661;1.54601684;1.994770053;
61;2017-11-29T15:30:00+01:00;1.95;1.97;1.68;1.81;1.079568;1.3855;1.614;13.13500375;1.89121465;1.962831358;
62;2017-11-30T15:30:00+01:00;1.8;1.805;1.36;1.36;1.094908;1.399;1.627;14.41278074;1.92372498;2.028045606;
63;2017-12-01T15:30:00+01:00;1.47;1.85;1.47;1.65;1.115908;1.4265;1.658;15.27672632;3.5773249;2.180104554;
64;2017-12-04T15:30:00+01:00;1.75;1.79;1.62;1.66;1.137108;1.4515;1.684;15.03951291;1.122880605;2.186800349;
