;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-10-07T15:30:00+02:00;14.65;14.66;14.46;14.55;14.6952;15.36;15.511;2.977559284;0.7157696;2.37152164;50
1;2019-10-08T15:30:00+02:00;14.32;14.635;14.26;14.43;14.699;15.3545;15.347;2.858867261;1.760890195;2.363898273;49
2;2019-10-09T15:30:00+02:00;14.57;14.62;14.13;14.19;14.6966;15.302;15.137;2.806074895;0.98333625;2.31422307;48
3;2019-10-10T15:30:00+02:00;14.25;14.47;14.08;14.4;14.6996;15.262;14.982;2.808726507;1.019934475;2.314254494;47
4;2019-10-11T15:30:00+02:00;14.58;14.91;14.58;14.72;14.7106;15.2385;14.867;2.855888631;2.108815155;2.362016702;46
5;2019-10-14T15:30:00+02:00;14.68;14.8;14.2781;14.33;14.7152;15.1925;14.693;2.952628467;0.939106318;2.347606996;45
6;2019-10-15T15:30:00+02:00;14.37;14.77;14.24;14.47;14.7354;15.154;14.532;3.048603812;0.962508285;2.337040109;44
7;2019-10-16T15:30:00+02:00;14.43;14.74;14.33;14.46;14.7572;15.1215;14.478;3.101540177;1.18864323;2.308262642;43
8;2019-10-17T15:30:00+02:00;14.57;14.75;14.45;14.74;14.7874;15.101;14.494;3.159490033;0.7021578;2.29624108;42
9;2019-10-18T15:30:00+02:00;14.66;15.1;14.66;14.87;14.7954;15.083;14.516;3.226224913;3.14409936;2.350475804;41
10;2019-10-21T15:30:00+02:00;14.9;14.98;14.73;14.74;14.8022;15.023;14.535;3.000481793;0.88779422;2.061054282;40
11;2019-10-22T15:30:00+02:00;14.7;14.86;14.47;14.77;14.8106;14.958;14.569;2.953134742;0.70664769;1.866627072;39
12;2019-10-23T15:30:00+02:00;14.77;15.1;14.75;14.99;14.826;14.893;14.649;2.943171533;1.653854175;1.830711346;38
13;2019-10-24T15:30:00+02:00;15.0;15.04;14.71;14.79;14.8444;14.835;14.688;2.942487461;0.5819695;1.756917357;37
14;2019-10-25T15:30:00+02:00;14.76;14.96;14.63;14.87;14.8558;14.785;14.703;2.871516998;0.693278905;1.443006976;36
15;2019-10-28T14:30:00+01:00;14.9;15.24;14.82;15.18;14.8646;14.7405;14.788;2.910369302;1.11967488;1.339601965;35
16;2019-10-29T14:30:00+01:00;15.06;15.23;15.01;15.18;14.8742;14.6955;14.859;2.861473327;0.6364008;1.276137391;34
17;2019-10-30T14:30:00+01:00;15.12;15.39;15.06;15.35;14.8904;14.713;14.948;2.532855733;0.82211955;1.159456343;33
18;2019-10-31T14:30:00+01:00;15.23;15.33;14.66;14.74;14.891;14.721;14.948;2.604580271;1.625832875;1.168912253;32
19;2019-11-01T14:30:00+01:00;14.74;14.88;14.64;14.69;14.8926;14.723;14.93;2.589728674;1.72761372;1.199022349;31
20;2019-11-04T15:30:00+01:00;14.9;15.17;14.7878;15.16;14.9104;14.7535;14.972;2.649800528;1.265072957;1.226487517;30
21;2019-11-05T15:30:00+01:00;13.55;15.58;13.52;15.41;14.9212;14.8025;15.036;3.280148172;3.3571797;1.306301992;29
22;2019-11-06T15:30:00+01:00;15.28;15.53;15.08;15.4;14.9402;14.863;15.077;3.255962465;1.568992075;1.335584783;28
23;2019-11-07T15:30:00+01:00;15.53;15.67;15.36;15.54;14.963;14.92;15.152;3.218379605;1.894893495;1.379332734;27
24;2019-11-08T15:30:00+01:00;15.4;15.75;15.4;15.54;14.9848;14.961;15.219;3.218847245;1.0445841;1.326121182;26
25;2019-11-11T15:30:00+01:00;15.4;15.75;15.32;15.73;15.0114;15.031;15.274;3.176424258;1.089547225;1.333643227;25
26;2019-11-12T15:30:00+01:00;15.66;16.19;15.65;16.12;15.0498;15.1135;15.368;3.162852714;3.11837776;1.441436701;24
27;2019-11-13T15:30:00+01:00;15.75;16.17;15.75;16.06;15.0884;15.1935;15.439;3.153129523;3.19761792;1.541885435;23
28;2019-11-14T15:30:00+01:00;15.99;16.21;15.95;16.11;15.1266;15.262;15.576;3.130827996;2.69708232;1.641631661;22
29;2019-11-15T15:30:00+01:00;16.25;16.35;16.07;16.19;15.1692;15.328;15.726;3.067878639;1.75001539;1.571927463;21
30;2019-11-18T15:30:00+01:00;16.22;16.27;15.99;16.11;15.2096;15.3965;15.821;3.070572532;1.56462613;1.605769058;20
31;2019-11-19T15:30:00+01:00;16.15;16.15;15.83;16.02;15.2392;15.459;15.882;3.036884867;1.96849692;1.66886152;19
32;2019-11-20T15:30:00+01:00;15.86;15.95;15.71;15.82;15.2508;15.5005;15.924;2.994625267;2.03228706;1.687783164;18
33;2019-11-21T15:30:00+01:00;15.79;15.79;15.41;15.59;15.2586;15.5405;15.929;3.005753235;1.0647468;1.711922029;17
34;2019-11-22T15:30:00+01:00;16.01;16.26;15.59;16.17;15.2782;15.6055;15.992;3.107852615;2.84824995;1.819670581;16
35;2019-11-25T15:30:00+01:00;16.33;16.5;16.23;16.49;15.303;15.671;16.068;3.049331507;4.247126625;1.976043169;15
36;2019-11-26T15:30:00+01:00;16.42;16.45;15.95;16.05;15.3192;15.7145;16.061;3.132786842;3.9869496;2.143570609;14
37;2019-11-27T15:30:00+01:00;16.16;16.42;15.95;16.32;15.3434;15.763;16.087;3.170560512;1.47497142;2.176213202;13
38;2019-11-29T15:30:00+01:00;16.16;16.43;16.16;16.35;15.3674;15.8435;16.111;3.025587156;1.13074264;2.15145869;12
39;2019-12-02T15:30:00+01:00;16.45;16.45;16.12;16.25;15.3878;15.9215;16.117;3.045977263;1.56664957;2.143410483;11
40;2019-12-03T15:30:00+01:00;16.1;16.23;15.95;16.2;15.393;15.9735;16.126;3.00452341;1.43336156;2.151824913;10
41;2019-12-04T15:30:00+01:00;16.25;16.37;16.1334;16.21;15.3958;16.0135;16.145;2.316015234;1.564112363;2.062171546;9
42;2019-12-05T15:30:00+01:00;16.25;16.25;16.075;16.17;15.3934;16.052;16.18;2.221243338;1.16143725;2.041793805;8
43;2019-12-06T15:30:00+01:00;16.27;16.45;16.23;16.32;15.4008;16.091;16.253;2.188107604;1.9777936;2.04593881;7
44;2019-12-09T15:30:00+01:00;16.25;16.45;16.22;16.37;15.4108;16.1325;16.273;2.145371363;1.567751625;2.072097186;6
45;2019-12-10T15:30:00+01:00;16.43;16.45;16.29;16.41;15.4176;16.1665;16.265;2.054141821;1.61697949;2.0984688;5
46;2019-12-11T15:30:00+01:00;16.48;16.5;16.29;16.35;15.423;16.178;16.295;1.946074582;0.920857965;1.98859281;4
47;2019-12-12T15:30:00+01:00;16.43;16.48;16.35;16.4;15.451;16.195;16.303;1.8524966;3.125038455;1.984963837;3
48;2019-12-13T15:30:00+01:00;16.37;16.44;16.26;16.39;15.4872;16.209;16.307;1.826342451;1.32645915;1.916432678;2
49;2019-12-16T15:30:00+01:00;16.47;16.5;16.32;16.42;15.5226;16.2205;16.324;1.794370655;1.93879227;1.925871522;1
50;2019-12-17T15:30:00+01:00;16.42;16.83;16.41;16.78;15.5672;16.254;16.382;1.834786683;2.02674252;1.948977342;entry
51;2019-12-18T15:30:00+01:00;16.96;16.99;16.76;16.9;15.6166;16.298;16.451;1.802328524;1.712694375;1.936187214;
52;2019-12-19T15:30:00+01:00;16.91;16.96;16.52;16.64;15.6656;16.339;16.498;1.859115969;2.67160356;1.968153039;
53;2019-12-20T15:30:00+01:00;16.73;16.88;16.68;16.85;15.7146;16.402;16.551;1.795771446;2.69213286;2.049522342;
54;2019-12-23T15:30:00+01:00;16.83;16.95;16.7;16.84;15.757;16.4355;16.598;1.655740412;1.150712225;1.964645456;
55;2019-12-24T15:30:00+01:00;16.85;17.0;16.71;16.93;15.809;16.4575;16.65;1.659335501;1.414286195;1.823003435;
56;2019-12-26T15:30:00+01:00;17.0;17.3;16.9506;17.27;15.865;16.5185;16.742;1.605659887;4.193951719;1.833353541;
57;2019-12-27T15:30:00+01:00;17.3;17.5;17.3;17.45;15.9248;16.575;16.847;1.516127932;3.0112788;1.91016891;
58;2019-12-30T15:30:00+01:00;17.5;17.73;17.38;17.69;15.9838;16.642;16.977;1.533278777;3.014878145;2.004375685;
59;2019-12-31T15:30:00+01:00;17.69;17.81;17.43;17.5;16.0364;16.7045;17.085;1.539928915;4.94087706;2.173087059;
60;2020-01-02T15:30:00+01:00;17.52;17.6;17.35;17.52;16.092;16.7705;17.159;1.52420073;2.49169035;2.226003499;
61;2020-01-03T15:30:00+01:00;17.5;17.84;17.41;17.83;16.1532;16.8515;17.252;1.574366833;2.77597275;2.286596518;
62;2020-01-06T15:30:00+01:00;17.8;18.26;17.735;18.21;16.2176;16.9535;17.409;1.667946889;4.123785173;2.434713914;
63;2020-01-07T15:30:00+01:00;18.21;18.75;18.09;18.63;16.2944;17.069;17.587;1.782592392;6.47282484;2.659465476;
64;2020-01-08T15:30:00+01:00;18.63;19.25;18.6;19.23;16.3816;17.212;17.826;1.886423452;6.459424225;2.904049106;
65;2020-01-09T15:30:00+01:00;19.23;19.65;19.08;19.58;16.4696;17.3705;18.091;1.986684638;5.379771285;3.092188696;
66;2020-01-10T15:30:00+01:00;19.58;19.77;19.39;19.54;16.5568;17.53;18.318;2.02021657;4.12102218;3.252196907;
67;2020-01-13T15:30:00+01:00;19.51;19.7;19.23;19.34;16.6366;17.677;18.507;2.102666106;2.71330421;3.231610195;
68;2020-01-14T15:30:00+01:00;19.34;19.7941;19.05;19.59;16.7336;17.837;18.697;2.24261739;2.938905762;3.312232525;
69;2020-01-15T15:30:00+01:00;19.48;19.72;19.34;19.69;16.8336;18.0005;18.916;2.285712317;2.21837364;3.326211594;
70;2020-01-16T15:30:00+01:00;19.8;19.925;19.62;19.88;16.928;18.1555;19.152;2.235468376;3.191716495;3.384460292;
71;2020-01-17T15:30:00+01:00;19.98;20.1;19.74;19.78;17.0154;18.2995;19.347;2.258038035;5.81801448;3.589726298;
72;2020-01-21T15:30:00+01:00;19.71;20.12;19.63;20.02;17.1078;18.4685;19.528;2.249675088;2.006560125;3.556474126;
73;2020-01-22T15:30:00+01:00;19.99;20.0;19.75;19.84;17.1938;18.618;19.649;2.253014189;1.702631625;3.506999064;
74;2020-01-23T15:30:00+01:00;19.72;19.88;19.5;19.79;17.2788;18.7655;19.705;2.275599787;3.57859843;3.628393374;
75;2020-01-24T15:30:00+01:00;19.77;20.15;19.75;20.14;17.367;18.926;19.761;2.290091223;2.9034831;3.70285322;
76;2020-01-27T15:30:00+01:00;19.9;20.16;19.9;20.11;17.4468;19.068;19.818;2.252353658;2.29690019;3.608000643;
77;2020-01-28T15:30:00+01:00;20.21;20.48;20.03;20.07;17.527;19.199;19.891;2.306881692;1.596681395;3.537270773;
78;2020-01-29T15:30:00+01:00;20.08;20.17;19.6393;19.72;17.5992;19.3005;19.904;2.341302984;1.347166617;3.453885197;exit
79;2020-01-30T15:30:00+01:00;19.58;19.74;19.31;19.49;17.6652;19.4;19.884;2.343636799;1.474859925;3.28058434;
80;2020-01-31T15:30:00+01:00;19.39;19.48;19.12;19.19;17.7268;19.4835;19.815;2.365732949;1.6555347;3.238776557;exit
81;2020-02-03T15:30:00+01:00;19.28;19.83;19.28;19.82;17.8028;19.583;19.819;2.384875558;2.273796735;3.213667757;
82;2020-02-04T15:30:00+01:00;19.98;20.73;19.94;20.68;17.9;19.7065;19.885;2.434957436;4.665276035;3.2407423;
83;2020-02-05T15:30:00+01:00;20.89;20.99;20.37;20.39;17.996;19.7945;19.94;2.404720794;5.564471;3.195324608;
84;2020-02-06T15:30:00+01:00;20.45;20.48;20.1;20.35;18.0796;19.8505;19.996;2.324516975;5.14872953;3.129789873;
85;2020-02-07T15:30:00+01:00;20.31;20.31;20.0;20.13;18.1524;19.878;19.995;2.252645905;1.47312895;2.934457756;
86;2020-02-10T15:30:00+01:00;20.0;20.64;19.94;20.43;18.24;19.9225;20.027;2.330183831;2.57685029;2.857249162;
87;2020-02-11T15:30:00+01:00;20.47;21.0;20.4;20.57;18.325;19.984;20.077;2.355037767;4.3665201;2.939909956;
88;2020-02-12T15:30:00+01:00;20.6;21.72;20.5;21.71;18.4322;20.09;20.276;2.457296905;5.74875964;3.08040265;
89;2020-02-13T15:30:00+01:00;21.7;22.24;21.57;22.0;18.5472;20.2055;20.527;2.514363218;4.609228195;3.199945378;
90;2020-02-14T15:30:00+01:00;21.91;21.97;21.38;21.56;18.6544;20.2895;20.764;2.574615829;2.72277015;3.176498061;
91;2020-02-18T15:30:00+01:00;21.46;22.14;21.415;22.08;18.7718;20.4045;20.99;2.652704292;3.121107745;3.041652724;
92;2020-02-19T15:30:00+01:00;22.17;22.88;21.925;22.75;18.9034;20.541;21.197;2.745683239;5.241087278;3.203379081;
93;2020-02-20T15:30:00+01:00;22.54;26.1899;22.52;23.57;19.0484;20.7275;21.515;3.497201159;27.85821472;4.511158236;
94;2020-02-21T15:30:00+01:00;23.95;25.08;23.57;24.83;19.2176;20.9795;21.963;3.720087705;14.61166263;5.062811446;
95;2020-02-24T15:30:00+01:00;23.95;24.05;22.38;23.49;19.3592;21.147;22.299;3.991922865;7.567045325;5.295989557;
96;2020-02-25T15:30:00+01:00;23.5;24.0;23.31;23.62;19.5046;21.3225;22.618;4.07460138;5.25798609;5.444043852;
97;2020-02-26T15:30:00+01:00;23.81;24.4268;23.45;23.59;19.6484;21.4985;22.92;4.170542798;5.129352783;5.620677422;
98;2020-02-27T15:30:00+01:00;22.92;23.24;22.04;22.5;19.7706;21.6375;22.999;4.307663363;5.78189376;5.842413779;
99;2020-02-28T15:30:00+01:00;21.79;22.59;21.31;22.54;19.893;21.79;23.053;4.496650573;7.59371225;6.148356395;
100;2020-03-02T15:30:00+01:00;22.86;23.6;22.22;23.0;20.0174;21.9805;23.197;4.713039367;6.59917968;6.395538644;
101;2020-03-03T15:30:00+01:00;24.2;25.73;21.96;22.5;20.1294;22.1145;23.239;5.428783383;8.92704341;6.728200978;
102;2020-03-04T15:30:00+01:00;22.96;23.33;22.76;23.16;20.2598;22.2385;23.28;5.355908784;6.121466395;6.801010496;
103;2020-03-05T15:30:00+01:00;22.34;22.82;21.25;22.53;20.3734;22.3455;23.176;5.573135963;25.07043143;7.776308517;
104;2020-03-06T15:30:00+01:00;21.78;21.78;20.84;21.49;20.4664;22.4025;22.842;5.704136431;4.97867661;7.767805871;
105;2020-03-09T14:30:00+01:00;20.2;21.9;20.01;20.72;20.5422;22.432;22.565;6.098900299;7.53323868;8.070811357;
106;2020-03-10T14:30:00+01:00;20.57;21.2;19.04;19.48;20.5864;22.3845;22.151;6.49060061;5.90839896;8.237388791;
107;2020-03-11T14:30:00+01:00;18.94;19.1447;18.38;18.6;20.6094;22.286;21.652;6.551566814;4.083531666;8.223239369;
108;2020-03-12T14:30:00+01:00;17.22;17.33;15.62;16.01;20.5758;22.001;21.003;6.801380998;6.39556205;8.25557949;
109;2020-03-13T14:30:00+01:00;16.65;17.09;15.28;16.19;20.5496;21.7105;20.368;7.238350187;5.391239685;8.294680064;
