time,open,high,low,close,MA,MA,MA,ADR,DV M,MA20 DV M,entry/exit
2021-02-19T15:30:00+01:00,29.02,29.7293,28.65,28.92,29.4437,30.76625,31.5055,6.528842666,2.088548647,3.189568865,
2021-02-22T15:30:00+01:00,29.13,29.86,28.69,29.01,29.4247,30.78625,31.0565,6.489868452,2.170653425,3.258608568,
2021-02-23T15:30:00+01:00,29.01,29.01,27.35,27.97,29.3845,30.79025,30.2615,6.592510419,3.2793066,3.360178141,
2021-02-24T15:30:00+01:00,27.56,27.89,26.57,27.64,29.3289,30.74075,29.3305,6.654384249,4.67936658,3.525041939,
2021-02-25T15:30:00+01:00,27.48,27.79,26.24,27.22,29.2683,30.73275,29.0025,6.696218945,2.85829506,3.560554104,
2021-02-26T15:30:00+01:00,30.3,30.3,28.42,28.44,29.2445,30.75575,28.812,6.769061921,6.50150776,3.800701181,
2021-03-01T15:30:00+01:00,28.51,29.95,28.5,29.8,29.2315,30.81675,28.767,6.830532507,3.716806275,3.925277907,
2021-03-02T15:30:00+01:00,29.95,30.12,28.77,28.87,29.1863,30.58975,28.645,6.176004361,3.61826049,3.596454691,
2021-03-03T15:30:00+01:00,28.99,29.2,27.13,28.65,29.1267,30.47725,28.538,5.893324178,9.15227308,3.892973268,
2021-03-04T15:30:00+01:00,29.15,30.89,27.89,28.35,29.0773,30.25425,28.487,6.10924906,40.25997967,5.82163936,
2021-03-05T15:30:00+01:00,28.68,29.37,27.94,28.31,29.0125,29.96575,28.426,6.171616016,19.74146108,6.705161677,
2021-03-08T15:30:00+01:00,28.31,32.125,28.13,31.28,29.0663,29.85475,28.653,6.545674032,9.73540035,7.072168524,
2021-03-09T15:30:00+01:00,31.8,31.81,30.52,31.12,29.1267,29.61475,28.968,6.544152476,3.536012065,7.07639985,
2021-03-10T15:30:00+01:00,31.47,33.765,31.41,33.64,29.2405,29.44925,29.568,6.40346317,5.9244075,7.112657247,
2021-03-11T15:30:00+01:00,34,37.5,33.57,36.77,29.4567,29.76275,30.523,6.176349543,7.569985515,6.887643835,
2021-03-12T15:30:00+01:00,36.75,37.49,35.06,36.68,29.6887,30.0795,31.347,6.257558349,3.624598,6.894453463,
2021-03-15T14:30:00+01:00,37.47,37.47,34.41,36.02,29.8977,30.368,31.969,6.503565242,5.58572292,7.058931377,
2021-03-16T14:30:00+01:00,36,36.2,35.28,35.97,30.1041,30.662,32.679,6.382953389,2.26362864,7.032630686,
2021-03-17T14:30:00+01:00,35.25,37,35.15,36.9,30.3087,31.021,33.504,6.494238182,2.517493875,7.066749348,
2021-03-18T14:30:00+01:00,38.78,39.95,38,38.27,30.5357,31.4915,34.496,6.557442173,6.49284525,7.265827639,
2021-03-19T14:30:00+01:00,39.21,40.09,39.01,39.74,30.7753,32.0325,35.639,6.507508706,10.4629525,7.684547832,
2021-03-22T14:30:00+01:00,39.88,39.95,39.07,39.65,30.9973,32.5645,36.476,6.416223284,3.85427952,7.768729137,
2021-03-23T14:30:00+01:00,39.58,39.58,36.63,36.97,31.1719,33.0145,37.061,6.515425195,6.207571235,7.915142368,
2021-03-24T14:30:00+01:00,37.36,37.95,34.35,34.68,31.3139,33.3665,37.165,6.79104221,4.20073845,7.891210962,
2021-03-25T14:30:00+01:00,34.55,36.84,33.79,36.3,31.4737,33.8205,37.118,6.947008558,2.648519055,7.880722162,
2021-03-26T14:30:00+01:00,36.6,37.27,35.29,36.94,31.6475,34.2455,37.144,6.896788296,2.18880868,7.665087208,
2021-03-29T15:30:00+02:00,36.91,37.44,35.75,36.11,31.7917,34.561,37.153,6.878765968,2.087488585,7.583621323,
2021-03-30T15:30:00+02:00,36.1,36.43,35.65,35.92,31.9397,34.9135,37.148,6.753543487,1.97041492,7.501229045,
2021-03-31T15:30:00+02:00,35.91,36.6678,35.73,36,32.0973,35.281,37.058,6.503281245,5.216876871,7.304459234,
2021-04-01T15:30:00+02:00,35.83,36.41,34.66,35.38,32.2401,35.6325,36.769,6.217906462,2.868705015,5.434895501,
2021-04-05T15:30:00+02:00,35.5,35.9224,34.913,35.11,32.3807,35.9725,36.306,6.106560283,1.751511518,4.535398023,
2021-04-06T15:30:00+02:00,35.11,35.33,34.64,35.3,32.5145,36.1735,35.871,5.496060143,3.137839635,4.205519987,
2021-04-07T15:30:00+02:00,35.49,37.58,34.92,37.02,32.6971,36.4685,35.876,5.665593876,4.22076875,4.239757822,
2021-04-08T15:30:00+02:00,37.45,39,37.25,38.8,32.9005,36.7265,36.288,5.525612594,2.58586625,4.072830759,
2021-04-09T15:30:00+02:00,39,39,38.02,38.7,33.1269,36.823,36.528,5.069148074,1.5735186,3.773007413,
