;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-11-19T15:30:00+01:00;2.25;2.32;2.21;2.27;2.6884;2.4245;2.185;8.726721354;6.34368516;9.061694218;
1;2020-11-20T15:30:00+01:00;2.29;2.34;2.26;2.3;2.6878;2.387;2.226;8.54469324;4.6448063;8.963899419;
2;2020-11-23T15:30:00+01:00;2.35;2.48;2.258;2.42;2.6878;2.365;2.253;8.711146904;7.692341996;9.1721264;
3;2020-11-24T15:30:00+01:00;2.51;2.7;2.46;2.62;2.6878;2.355;2.303;8.984666067;7.1491671;9.378460353;
4;2020-11-25T15:30:00+01:00;2.7;3.02;2.605;2.88;2.6906;2.3645;2.387;9.584949491;14.12901844;9.896758233;
5;2020-11-27T15:30:00+01:00;3.0;3.03;2.7;2.92;2.6912;2.378;2.457;9.977012983;6.5787276;10.01874081;
6;2020-11-30T15:30:00+01:00;2.92;2.95;2.74;2.92;2.6931;2.399;2.516;9.909404989;5.620180855;10.08466029;
7;2020-12-01T15:30:00+01:00;2.93;2.97;2.75;2.75;2.6917;2.406;2.559;10.00820017;5.08992198;10.13694358;
8;2020-12-02T15:30:00+01:00;2.74;2.77;2.625;2.74;2.6912;2.408;2.607;9.998131104;4.061709372;10.1569697;
9;2020-12-03T15:30:00+01:00;2.76;2.76;2.56;2.63;2.6932;2.408;2.645;9.900474854;7.93231152;10.2632581;
10;2020-12-04T15:30:00+01:00;2.74;3.035;2.72;2.99;2.7002;2.451;2.717;9.701217085;14.99874431;9.430749871;
11;2020-12-07T15:30:00+01:00;3.03;3.32;3.01;3.18;2.7096;2.5155;2.805;9.349500585;17.77392788;9.026938478;
12;2020-12-08T15:30:00+01:00;3.28;3.28;3.09;3.28;2.7198;2.572;2.891;8.872630225;7.19660305;8.18455047;
13;2020-12-09T15:30:00+01:00;3.29;3.31;3.09;3.09;2.7232;2.6205;2.938;8.72861728;9.487024;8.15183557;
14;2020-12-10T15:30:00+01:00;3.07;3.275;3.07;3.21;2.729;2.679;2.971;8.557442996;4.669453643;7.879215549;
15;2020-12-11T15:30:00+01:00;3.22;3.5;3.21;3.49;2.7366;2.7425;3.028;8.396411294;10.33379254;7.967858912;
16;2020-12-14T15:30:00+01:00;3.6;3.69;3.1801;3.255;2.7409;2.78875;3.0615;8.820541272;16.37867908;8.510339833;
17;2020-12-15T15:30:00+01:00;3.34;3.54;3.285;3.42;2.7457;2.84375;3.1285;8.75209897;16.1136066;9.077182109;
