;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-08-20T15:30:00+02:00;14.03;14.47;14.03;14.33;13.5236;13.5485;13.731;2.748699913;0.72026625;0.740064185;
1;2019-08-21T15:30:00+02:00;14.5;14.5911;14.39;14.55;13.5494;13.607;13.871;2.692331521;0.415429578;0.707851327;
2;2019-08-22T15:30:00+02:00;14.63;14.67;14.33;14.44;13.5628;13.678;13.962;2.687792091;0.4654065;0.694198424;
3;2019-08-23T15:30:00+02:00;14.38;14.48;13.78;13.84;13.5624;13.694;13.997;2.726894664;0.7651395;0.664038006;
4;2019-08-26T15:30:00+02:00;14.04;14.0605;13.9;14.0;13.5614;13.726;14.035;2.64490038;0.674001833;0.656225984;
5;2019-08-27T15:30:00+02:00;14.08;14.1072;13.8;13.84;13.5516;13.7445;14.037;2.647182172;0.75314556;0.662590697;
6;2019-08-28T15:30:00+02:00;13.92;13.95;13.611;13.9;13.5452;13.7735;14.057;2.575635369;1.172624087;0.668501337;
7;2019-08-29T15:30:00+02:00;15.25;15.57;14.41;15.23;13.5596;13.8585;14.218;2.823998296;3.1020306;0.790327898;
8;2019-08-30T15:30:00+02:00;15.49;16.06;15.42;15.76;13.5822;13.966;14.396;2.912207049;1.6587599;0.831422119;
9;2019-09-03T15:30:00+02:00;15.46;15.64;14.99;14.99;13.5888;14.0505;14.488;2.991718485;2.099763075;0.891920669;
10;2019-09-04T15:30:00+02:00;14.99;15.3;14.62;14.85;13.6176;14.1355;14.54;3.067604846;2.50948016;0.987898296;
11;2019-09-05T15:30:00+02:00;15.06;15.1183;14.76;14.84;13.6486;14.22;14.569;3.026048103;2.072478401;1.055852166;
12;2019-09-06T15:30:00+02:00;14.96;15.13;14.82;14.88;13.6852;14.2875;14.613;2.955731554;1.638519575;1.108534817;
13;2019-09-09T15:30:00+02:00;14.9;15.05;14.6577;14.99;13.721;14.3625;14.728;2.963469956;1.09717963;1.133927442;
14;2019-09-10T15:30:00+02:00;14.98;15.3;14.87;15.14;13.7608;14.4385;14.842;2.950988309;1.7157679;1.188021475;
15;2019-09-11T15:30:00+02:00;15.2;15.35;15.1;15.28;13.7992;14.5115;14.986;2.945404523;1.88190135;1.256785928;
16;2019-09-12T15:30:00+02:00;15.35;15.35;15.13;15.2;13.8362;14.5865;15.116;2.927266085;2.5776936;1.352251268;
17;2019-09-13T15:30:00+02:00;15.27;15.27;14.82;14.92;13.866;14.6515;15.085;2.941745706;1.564965855;1.403078955;
18;2019-09-16T15:30:00+02:00;14.86;14.87;14.67;14.85;13.8954;14.695;14.994;2.899869211;1.63455159;1.450181527;
19;2019-09-17T15:30:00+02:00;14.78;15.14;14.72;15.09;13.9354;14.746;15.004;2.974771912;2.03477984;1.527694239;
20;2019-09-18T15:30:00+02:00;15.11;15.11;14.87;14.95;13.9768;14.777;15.014;2.898664464;1.43091542;1.563226698;
21;2019-09-19T15:30:00+02:00;15.05;15.14;14.86;14.93;14.014;14.796;15.023;2.923002202;2.64468;1.674689219;
22;2019-09-20T15:30:00+02:00;14.93;15.26;14.77;15.08;14.0512;14.828;15.043;2.97024674;5.34467934;1.918652861;
23;2019-09-23T15:30:00+02:00;15.0;15.45;15.0;15.42;14.0926;14.907;15.086;2.866255448;1.1803638;1.939414076;
24;2019-09-24T15:30:00+02:00;15.42;15.51;15.06;15.24;14.1306;14.969;15.096;2.957924025;1.56940266;1.984184117;
25;2019-09-25T15:30:00+02:00;15.32;15.72;15.17;15.6;14.178;15.057;15.128;3.027898517;1.328995915;2.012976635;
26;2019-09-26T15:30:00+02:00;15.58;15.58;15.1;15.14;14.2172;15.119;15.122;3.062307286;1.0564658;2.007168721;
27;2019-09-27T15:30:00+02:00;15.12;15.23;14.95;15.02;14.252;15.1085;15.132;2.753454506;1.00025574;1.902079978;
28;2019-09-30T15:30:00+02:00;15.03;15.17;14.9215;15.02;14.2864;15.0715;15.149;2.629200916;0.96693017;1.867488491;
29;2019-10-01T15:30:00+02:00;15.07;15.26;14.93;15.0;14.3238;15.072;15.14;2.522905449;1.08059067;1.816529871;
30;2019-10-02T15:30:00+02:00;14.87;14.88;14.58;14.875;14.3567;15.07325;15.1325;2.393227968;0.97735023;1.739923374;
31;2019-10-03T15:30:00+02:00;14.78;14.87;14.41;14.86;14.3863;15.07425;15.1255;2.43146401;1.10343144;1.691471026;
32;2019-10-04T15:30:00+02:00;14.89;15.16;14.89;15.11;14.4281;15.08575;15.1285;2.417540492;1.167096925;1.667899894;
33;2019-10-07T15:30:00+02:00;15.0;15.26;15.0;15.16;14.4609;15.09425;15.1025;2.370386709;0.72103528;1.649092676;
34;2019-10-08T15:30:00+02:00;15.04;15.21;14.99;15.05;14.4947;15.08975;15.0835;2.299182548;0.8787898;1.607243771;
35;2019-10-09T15:30:00+02:00;15.19;15.52;15.1434;15.5;14.5353;15.10075;15.0735;2.34074569;1.105982843;1.568447846;
36;2019-10-10T15:30:00+02:00;15.51;15.72;15.47;15.57;14.5803;15.11925;15.1165;2.348844003;0.8867317;1.483899751;
37;2019-10-11T15:30:00+02:00;15.72;16.02;15.72;15.79;14.6255;15.16275;15.1935;2.292441988;1.01210925;1.456256921;
38;2019-10-14T15:30:00+02:00;15.76;15.9599;15.66;15.78;14.6689;15.20925;15.2695;2.320029174;0.556051751;1.402331929;
39;2019-10-15T15:30:00+02:00;15.79;16.16;15.785;16.1;14.7249;15.25975;15.3795;2.296149786;1.07322422;1.354254148;
40;2019-10-16T15:30:00+02:00;16.1;16.1;15.81;16.05;14.7829;15.31475;15.497;2.307164497;1.304241475;1.34792045;
41;2019-10-17T15:30:00+02:00;16.11;16.31;16.0657;16.24;14.8447;15.38025;15.635;2.288983391;1.102813469;1.270827124;
42;2019-10-18T15:30:00+02:00;16.13;16.1811;15.53;15.81;14.8903;15.41675;15.705;2.332733143;0.998503261;1.05351832;
43;2019-10-21T15:30:00+02:00;16.01;16.03;15.72;15.97;14.9399;15.44425;15.786;2.281333652;0.9043035;1.039715305;
44;2019-10-22T15:30:00+02:00;15.98;16.05;15.78;15.85;14.9845;15.47475;15.866;2.217482592;0.51717384;0.987103864;
45;2019-10-23T15:30:00+02:00;15.83;15.89;15.5525;15.625;15.0206;15.476;15.8785;2.144707208;0.776897011;0.959498919;
46;2019-10-24T15:30:00+02:00;15.67;15.86;15.67;15.74;15.0614;15.506;15.8955;2.04639221;0.544034385;0.933877348;
47;2019-10-25T15:30:00+02:00;15.71;15.8589;15.63;15.66;15.1022;15.538;15.8825;2.025971293;0.483748226;0.908051972;
48;2019-10-28T14:30:00+01:00;15.68;15.88;15.64;15.73;15.1372;15.5735;15.8775;2.019428527;0.75428936;0.897419932;
49;2019-10-29T14:30:00+01:00;15.72;15.89;15.69;15.73;15.1704;15.61;15.8405;1.97264765;0.9786642;0.892323608;
50;2019-10-30T14:30:00+01:00;15.76;16.38;15.76;16.31;15.21;15.68175;15.8665;2.066467499;1.02941206;0.8949267;entry
51;2019-10-31T14:30:00+01:00;16.25;16.34;16.07;16.21;15.2432;15.74925;15.8635;1.990863586;0.711221245;0.87531619;
52;2019-11-01T14:30:00+01:00;16.23;16.3;16.12;16.24;15.2792;15.80575;15.9065;1.956029975;0.72175025;0.853048856;
53;2019-11-04T15:30:00+01:00;16.37;16.37;16.125;16.24;15.3272;15.85975;15.9335;1.945332301;0.616803843;0.847837284;
54;2019-11-05T15:30:00+01:00;16.31;16.42;16.12;16.41;15.3754;15.92775;15.9895;1.965002155;0.79843398;0.843819493;
55;2019-11-06T15:30:00+01:00;16.41;16.48;16.14;16.39;15.4264;15.97225;16.066;1.945985933;0.86343509;0.831692106;
56;2019-11-07T15:30:00+01:00;16.39;16.48;16.23;16.29;15.4742;16.00825;16.121;1.94220225;0.7634514;0.825528091;
57;2019-11-08T15:30:00+01:00;16.37;16.59;16.345;16.59;15.5014;16.04825;16.214;1.921728869;0.95886959;0.822866108;
58;2019-11-11T15:30:00+01:00;16.56;16.74;16.43;16.54;15.517;16.08625;16.295;1.92031498;0.766575285;0.833392285;
59;2019-11-12T15:30:00+01:00;16.6;16.88;16.56;16.65;15.5502;16.11375;16.387;1.898149682;0.87835176;0.823648662;
