;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-12-02T15:30:00+01:00;2.11;2.3;2.08;2.27;3.2109;2.619;2.119;10.99026835;1.91928315;3.139931838;
1;2020-12-03T15:30:00+01:00;2.47;3.6;2.47;2.885;3.2132;2.58325;2.1975;12.78638827;45.09516509;5.291343267;
2;2020-12-04T15:30:00+01:00;2.8;2.87;2.65;2.68;3.2144;2.50175;2.2635;12.10627072;3.65749956;5.169359128;
3;2020-12-07T15:30:00+01:00;2.5252;2.67;2.48;2.57;3.2118;2.41425;2.3145;11.92823798;2.303932325;5.138620609;
4;2020-12-08T15:30:00+01:00;2.51;2.7;2.5;2.6;3.2063;2.37325;2.3605;11.1491335;1.4136928;4.909896431;
5;2020-12-09T15:30:00+01:00;2.63;2.65;2.25;2.32;3.1893;2.32475;2.3875;11.39777849;2.8084448;4.896491686;
6;2020-12-10T15:30:00+01:00;2.3;2.42;2.25;2.28;3.1709;2.26425;2.4115;11.18180626;0.90805348;4.821231039;
7;2020-12-11T15:30:00+01:00;2.3;2.42;2.25;2.25;3.1419;2.27075;2.4155;10.70983035;0.880003125;4.294821578;
8;2020-12-14T15:30:00+01:00;2.3;2.3471;2.22;2.28;3.1179;2.27425;2.4245;10.21939258;0.765996296;4.134158888;
9;2020-12-15T15:30:00+01:00;2.31;2.41;2.27;2.39;3.0963;2.28375;2.4525;10.21823881;0.83146518;4.090757196;
10;2020-12-16T15:30:00+01:00;2.4;2.42;2.31;2.32;3.0733;2.28825;2.4575;10.10256047;0.4680808;4.060476804;
11;2020-12-17T15:30:00+01:00;2.33;2.46;2.3;2.37;3.0473;2.30175;2.406;9.991449355;0.77510174;4.018653838;
12;2020-12-18T15:30:00+01:00;2.38;2.43;2.29;2.29;3.0233;2.31525;2.367;9.954542527;1.03764244;3.993999201;
13;2020-12-21T15:30:00+01:00;2.35;2.44;2.26;2.36;3.0027;2.33025;2.346;9.960615753;0.92730765;3.934365537;
14;2020-12-22T15:30:00+01:00;3.88;3.89;2.95;3.19;3.0013;2.38275;2.405;11.21403027;164.402926;11.99562278;
