;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-09-18T15:30:00+02:00;46.51;46.6;45.97;46.1;42.6564;44.383;45.672;2.287167759;41.44756951;61.73554706;
1;2017-09-19T15:30:00+02:00;46.36;47.28;46.36;46.89;42.7874;44.605;45.76;2.229540265;73.33130998;63.07531597;
2;2017-09-20T15:30:00+02:00;46.81;47.05;46.7;46.8;42.9124;44.8075;45.964;2.140521852;39.2330625;61.9201992;
3;2017-09-21T15:30:00+02:00;46.8;47.09;46.79;46.94;43.0288;45.0305;46.184;2.088794287;44.99461864;61.04931322;
4;2017-09-22T15:30:00+02:00;47.17;47.54;47.08;47.36;43.118;45.291;46.43;1.964533645;47.50912779;60.17583373;
5;2017-09-25T15:30:00+02:00;47.4;48.04;47.37;47.68;43.2314;45.5295;46.639;1.915924587;49.7972936;60.2333519;
6;2017-09-26T15:30:00+02:00;47.68;49.0;47.44;48.82;43.362;45.8675;46.941;1.942782991;78.77522986;60.9740446;
7;2017-09-27T15:30:00+02:00;49.24;49.4;48.27;48.28;43.484;46.193;47.117;1.993885676;50.76744979;60.64891826;
8;2017-09-28T15:30:00+02:00;47.45;47.9;46.11;47.24;43.5802;46.381;47.242;2.027039994;77.97988485;60.20230179;
9;2017-09-29T15:30:00+02:00;47.28;47.96;47.03;47.46;43.6698;46.4855;47.357;1.948881732;40.13664715;57.31335722;
10;2017-10-02T15:30:00+02:00;47.4;47.91;47.03;47.82;43.7668;46.6005;47.529;1.898324625;30.9115146;55.1348569;
11;2017-10-03T15:30:00+02:00;48.44;49.08;48.12;48.37;43.8772;46.7185;47.677;1.891927526;43.0461378;52.92134225;
12;2017-10-04T15:30:00+02:00;47.66;48.34;47.14;47.61;43.973;46.861;47.758;1.845946174;29.42660182;50.44868346;
13;2017-10-05T15:30:00+02:00;47.86;47.92;47.29;47.56;44.0746;47.002;47.82;1.804908997;30.37179958;49.07600364;
14;2017-10-06T15:30:00+02:00;47.32;47.66;47.09;47.53;44.1798;47.1335;47.837;1.807004434;23.77305925;47.69618905;
15;2017-10-09T15:30:00+02:00;47.49;47.61;46.58;46.75;44.2618;47.1915;47.744;1.818369404;21.04765031;46.36026639;
16;2017-10-10T15:30:00+02:00;46.7;47.1;46.1;46.26;44.3394;47.2145;47.488;1.857255482;35.1212084;46.03314834;
17;2017-10-11T15:30:00+02:00;46.13;46.225;45.11;45.21;44.4042;47.149;47.181;1.884688424;35.98662935;45.0893525;
18;2017-10-12T15:30:00+02:00;45.01;45.38;44.62;44.79;44.5208;47.089;46.936;1.901661302;41.871735;45.09772238;
19;2017-10-13T15:30:00+02:00;44.6;44.6;43.96;44.0;44.6264;46.9735;46.59;1.87958016;48.90057372;44.22145517;
20;2017-10-16T15:30:00+02:00;43.9;44.31;43.42;44.15;44.7154;46.876;46.223;1.913544543;32.1653272;43.75734306;
21;2017-10-17T15:30:00+02:00;44.01;45.005;43.88;44.84;44.8054;46.7735;45.87;1.942511594;34.03775523;41.79266532;
22;2017-10-18T15:30:00+02:00;44.97;45.65;44.605;44.63;44.898;46.665;45.572;2.022177695;56.16925157;42.63947477;
23;2017-10-19T15:30:00+02:00;44.36;44.63;43.92;44.52;44.9728;46.544;45.268;2.070948342;29.8657898;41.88303333;
