;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-08-03T15:30:00+02:00;14.34;14.77;14.13;14.6;13.7826;13.82225;14.2545;4.015866493;1.7104176;1.920132739;
1;2020-08-04T15:30:00+02:00;14.56;15.43;14.56;15.29;13.8474;13.92575;14.4025;4.156694944;3.35366174;1.987986917;
2;2020-08-05T15:30:00+02:00;15.84;16.9;15.63;16.31;13.9164;14.10025;14.6545;4.315936411;5.71919689;2.135696656;
3;2020-08-06T15:30:00+02:00;16.73;17.59;16.575;16.995;13.9749;14.327;14.932;4.389846585;5.004847933;2.28784872;
4;2020-08-07T15:30:00+02:00;16.85;17.38;16.5;17.11;14.0561;14.525;15.2325;4.380513251;3.88024252;2.337060446;
5;2020-08-10T15:30:00+02:00;17.27;17.705;17.03;17.61;14.1491;14.743;15.5585;4.35423473;4.064081838;2.441894952;
6;2020-08-11T15:30:00+02:00;17.7;18.13;17.16;17.35;14.2359;14.941;15.8605;4.463403265;3.60984939;2.546280467;
7;2020-08-12T15:30:00+02:00;17.69;17.94;17.35;17.63;14.3191;15.1245;16.1575;4.454990714;3.316501265;2.601106298;
8;2020-08-13T15:30:00+02:00;17.52;17.83;17.16;17.27;14.3921;15.286;16.4385;4.486575796;1.75726778;2.618882267;
9;2020-08-14T15:30:00+02:00;17.19;17.89;17.19;17.73;14.4621;15.467;16.7895;4.56849321;2.79624434;2.661264935;
10;2020-08-17T15:30:00+02:00;17.72;18.09;17.42;18.02;14.5279;15.693;17.1315;4.454678453;3.862049845;2.743883022;
11;2020-08-18T15:30:00+02:00;18.02;18.02;17.41;17.82;14.5749;15.8935;17.3845;4.464302213;2.440223535;2.80496176;
12;2020-08-19T15:30:00+02:00;17.97;18.155;17.75;17.84;14.6275;16.096;17.5375;4.445545392;2.062419105;2.855655397;
13;2020-08-20T15:30:00+02:00;17.6;17.73;16.99;17.07;14.6697;16.2385;17.545;4.470453014;1.8869452;2.825797213;
14;2020-08-21T15:30:00+02:00;17.01;17.24;16.61;17.08;14.7393;16.38725;17.542;4.547275457;2.33581925;2.874611002;
15;2020-08-24T15:30:00+02:00;17.29;17.86;17.1;17.85;14.8209;16.56225;17.566;4.568774351;2.0479568;2.906614803;
16;2020-08-25T15:30:00+02:00;17.92;18.15;17.67;17.84;14.8931;16.73775;17.615;4.513108419;2.043531;2.941983067;
17;2020-08-26T15:30:00+02:00;18.19;18.24;17.35;17.43;14.9497;16.87625;17.595;4.549734413;2.60807079;2.970180079;
18;2020-08-27T15:30:00+02:00;17.53;17.96;17.49;17.67;15.0214;17.03675;17.635;4.47431882;2.1413218;2.961243911;
19;2020-08-28T15:30:00+02:00;17.75;18.05;17.6;17.97;15.0956;17.22425;17.659;4.319755674;1.994064925;2.931735677;
20;2020-08-31T15:30:00+02:00;17.89;18.025;17.41;17.73;15.1648;17.38075;17.63;4.269909798;3.420292505;3.017229422;
21;2020-09-01T15:30:00+02:00;17.66;17.85;17.3035;17.81;15.2486;17.50675;17.629;4.12906209;2.354124435;2.967252557;
22;2020-09-02T15:30:00+02:00;17.95;18.175;17.61;17.81;15.3352;17.58175;17.626;3.883212312;3.262697375;2.844427581;
23;2020-09-03T15:30:00+02:00;17.87;18.37;17.83;17.98;15.4348;17.631;17.717;3.728458474;3.3425451;2.76131244;
24;2020-09-04T15:30:00+02:00;18.31;18.48;17.77;18.09;15.531;17.68;17.818;3.661566709;2.87966375;2.711283501;
25;2020-09-08T15:30:00+02:00;18.01;18.01;16.72;16.74;15.6054;17.6365;17.707;3.849152576;4.222838065;2.719221313;
