;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-07-18T15:30:00+02:00;47.43;48.05;47.2;47.53;46.7498;47.2365;47.445;2.781554835;2.629328625;5.23216033;
1;2017-07-19T15:30:00+02:00;47.81;48.5;47.4;48.34;46.756;47.364;47.579;2.708285503;4.6346552;5.263884344;
2;2017-07-20T15:30:00+02:00;48.35;48.83;48.03;48.39;46.7374;47.4615;47.72;2.624315196;1.96688759;5.048837154;
3;2017-07-21T15:30:00+02:00;48.78;48.8307;47.98;48.54;46.7064;47.538;47.806;2.533653356;3.103751042;4.907233543;
4;2017-07-24T15:30:00+02:00;48.3;48.88;47.71;48.75;46.688;47.601;48.011;2.52718138;3.2319014;4.790164447;
5;2017-07-25T15:30:00+02:00;49.03;50.42;48.7645;49.56;46.696;47.67;48.23;2.541764269;6.088986047;4.728448111;
6;2017-07-26T15:30:00+02:00;49.64;49.64;48.27;48.55;46.6872;47.7405;48.273;2.449649994;4.43072123;4.739347634;
7;2017-07-27T15:30:00+02:00;48.49;48.61;47.24;48.21;46.6672;47.7935;48.301;2.470801996;4.0289589;4.564737089;
8;2017-07-28T15:30:00+02:00;47.95;49.07;47.71;48.64;46.6796;47.8645;48.413;2.448007022;3.88828167;4.43870608;
9;2017-07-31T15:30:00+02:00;49.38;49.5;48.041;48.73;46.6964;47.961;48.524;2.484001517;6.345676066;4.479756893;
10;2017-08-01T15:30:00+02:00;48.95;48.975;46.25;46.94;46.6816;47.955;48.465;2.724108932;7.86882265;4.779375061;
11;2017-08-02T15:30:00+02:00;46.95;47.27;44.92;45.17;46.6448;47.8635;48.148;2.881237737;6.24209271;4.68424768;
12;2017-08-03T15:30:00+02:00;48.5;48.5;42.76;43.64;46.5778;47.6965;47.673;3.449767454;22.68061965;5.586227133;
13;2017-08-04T15:30:00+02:00;43.73;44.865;42.98;43.86;46.5188;47.5055;47.205;3.543411165;6.451600335;5.527081157;
14;2017-08-07T15:30:00+02:00;43.87;44.385;43.24;44.02;46.4512;47.3715;46.732;3.524525789;4.049063625;5.488423237;
15;2017-08-08T15:30:00+02:00;44.14;44.8085;43.04;43.46;46.401;47.176;46.122;3.636846399;4.614725629;5.541484157;
16;2017-08-09T15:30:00+02:00;43.24;43.98;42.23;43.48;46.3892;46.944;45.615;3.68067061;8.41892376;5.724211054;
17;2017-08-10T15:30:00+02:00;43.53;44.26;42.99;44.06;46.3966;46.7505;45.2;3.678634264;3.988677375;5.698532177;
18;2017-08-11T15:30:00+02:00;44.02;44.49;43.49;44.01;46.3924;46.575;44.737;3.680445328;3.03997294;5.695936541;
19;2017-08-14T15:30:00+02:00;44.43;44.44;43.21;43.83;46.3904;46.3855;44.247;3.648361015;4.88324445;5.629344545;
20;2017-08-15T15:30:00+02:00;44.06;44.4;43.8385;44.03;46.3892;46.2105;43.956;3.622360523;2.744305589;5.635093393;
21;2017-08-16T15:30:00+02:00;44.09;44.8;44.055;44.66;46.4046;46.0265;43.905;3.590880167;2.227905843;5.514755925;
22;2017-08-17T15:30:00+02:00;44.61;46.1199;44.6;45.76;46.4508;45.895;44.117;3.677991261;6.944018666;5.763612479;
23;2017-08-18T15:30:00+02:00;45.39;46.88;45.39;46.16;46.4708;45.776;44.347;3.753472809;3.17021266;5.76693556;
24;2017-08-21T15:30:00+02:00;46.02;46.95;45.5;46.02;46.478;45.6395;44.547;3.790197664;2.34832245;5.722756612;
25;2017-08-22T15:30:00+02:00;46.2;46.63;45.7;45.91;46.4876;45.457;44.792;3.722203828;2.99269229;5.567941924;
26;2017-08-23T15:30:00+02:00;46.07;46.07;44.9747;45.32;46.4846;45.2955;44.976;3.702062199;3.381400158;5.515475871;
27;2017-08-24T15:30:00+02:00;45.33;46.77;45.33;46.47;46.5126;45.2085;45.217;3.715893174;3.535719;5.490813876;
28;2017-08-25T15:30:00+02:00;46.48;46.48;45.61;46.17;46.5336;45.085;45.433;3.668739224;3.99062806;5.495931195;
29;2017-08-28T15:30:00+02:00;46.42;47.22;45.57;45.94;46.5468;44.9455;45.644;3.69792992;6.144136245;5.485854204;
30;2017-08-29T15:30:00+02:00;45.57;46.838;45.57;46.26;46.5522;44.9115;45.867;3.542461944;3.253639476;5.255095045;
31;2017-08-30T15:30:00+02:00;46.36;46.79;45.67;45.72;46.5508;44.939;45.973;3.403504595;2.46373539;5.066177179;
32;2017-08-31T15:30:00+02:00;45.91;48.51;45.91;48.0;46.582;45.157;46.197;3.015479279;7.03405395;4.283848894;
33;2017-09-01T15:30:00+02:00;48.31;48.9765;47.51;48.03;46.6024;45.3655;46.384;2.950527167;2.814800665;4.102008911;
34;2017-09-05T15:30:00+02:00;47.8;49.44;47.8;48.94;46.6314;45.6115;46.676;2.989674729;5.18075272;4.158593366;
35;2017-09-06T15:30:00+02:00;48.71;49.53;48.27;49.1;46.6498;45.8935;46.995;2.914742157;3.1762506;4.086669614;
36;2017-09-07T15:30:00+02:00;49.37;50.0;48.21;49.26;46.6922;46.1825;47.389;2.893189615;6.920023915;4.011724622;
37;2017-09-08T15:30:00+02:00;49.9;50.1;48.86;49.95;46.7482;46.477;47.737;2.87237401;4.5368212;4.039131813;
38;2017-09-11T15:30:00+02:00;50.11;51.33;49.85;51.15;46.8268;46.834;48.235;2.905850387;4.04259631;4.089262982;
39;2017-09-12T15:30:00+02:00;51.41;51.91;50.75;51.16;46.914;47.2005;48.757;2.877807937;5.48117139;4.119159329;
40;2017-09-13T15:30:00+02:00;50.79;51.94;50.55;50.83;46.9894;47.5405;49.214;2.951253692;7.210632705;4.342475685;
41;2017-09-14T15:30:00+02:00;50.84;51.38;49.91;50.06;47.0506;47.8105;49.648;3.01396537;6.478052595;4.554983022;
42;2017-09-15T15:30:00+02:00;50.25;50.39;49.51;50.09;47.1128;48.027;49.857;2.932443928;10.70223705;4.742893941;
43;2017-09-18T15:30:00+02:00;50.0;51.41;49.65;49.83;47.1558;48.2105;50.037;2.945551544;3.83108354;4.775937485;
44;2017-09-19T15:30:00+02:00;49.82;50.73;49.82;50.35;47.2288;48.427;50.178;2.877539668;4.2564826;4.871345493;
45;2017-09-20T15:30:00+02:00;50.14;50.8;49.25;50.8;47.2974;48.6715;50.348;2.933149527;3.224661525;4.882943955;
46;2017-09-21T15:30:00+02:00;50.73;51.27;49.7417;50.92;47.3534;48.9515;50.514;2.965004686;2.630546691;4.845401281;
47;2017-09-22T15:30:00+02:00;51.025;51.04;49.75;50.04;47.3956;49.13;50.523;2.935817719;2.91797129;4.814513896;
48;2017-09-25T15:30:00+02:00;50.0;50.6279;49.89;50.18;47.4488;49.3305;50.426;2.914396593;7.354492671;4.982707126;
