;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-09-18T15:30:00+02:00;187.18;187.52;184.98;185.0;191.2894;192.579;191.057;1.620460672;347.9222638;308.5098269;
1;2017-09-19T15:30:00+02:00;186.5;186.5;180.93;181.44;191.0758;192.0025;189.483;1.72019041;686.6961733;330.725436;
2;2017-09-20T15:30:00+02:00;181.39;183.53;179.4;183.49;190.9036;191.4295;188.467;1.720494423;557.1971743;343.5434945;
3;2017-09-21T15:30:00+02:00;183.11;184.44;182.15;183.5;190.7028;190.843;187.553;1.741535301;300.0669289;347.7118295;
4;2017-09-22T15:30:00+02:00;183.5;185.78;180.71;182.86;190.509;190.341;186.454;1.79000299;411.2543713;356.7681309;
5;2017-09-25T15:30:00+02:00;183.01;185.41;181.14;181.5;190.2878;189.782;185.009;1.856982325;374.7718998;361.7533548;
6;2017-09-26T15:30:00+02:00;182.25;184.97;182.0925;184.28;190.1316;189.322;184.513;1.88799229;333.9635567;363.1874252;
7;2017-09-27T15:30:00+02:00;184.78;186.87;183.49;186.45;190.0716;188.953;184.186;1.927960733;297.8468452;367.2602725;
8;2017-09-28T15:30:00+02:00;185.95;190.14;185.53;189.78;190.0614;188.867;184.489;1.990051918;461.6186001;372.1106323;
9;2017-09-29T15:30:00+02:00;189.39;189.94;187.8075;189.88;190.0452;188.559;184.818;1.94521953;237.8407807;360.3193933;
10;2017-10-02T15:30:00+02:00;191.21;191.78;190.0;191.11;190.0544;188.243;185.429;1.942994424;290.14421;365.8175108;
11;2017-10-03T15:30:00+02:00;191.19;193.38;190.845;193.23;190.099;188.0455;186.608;1.924568527;197.9896056;361.2183615;
12;2017-10-04T15:30:00+02:00;193.5;194.87;193.23;193.42;190.1558;188.034;187.601;1.821038558;188.8886581;352.8346586;
13;2017-10-05T15:30:00+02:00;193.41;194.05;191.77;192.92;190.3144;188.048;188.543;1.826805387;229.1305887;353.093351;
14;2017-10-06T15:30:00+02:00;193.07;194.14;192.67;193.22;190.5084;188.0165;189.579;1.795545176;164.0171102;349.1448285;
15;2017-10-09T15:30:00+02:00;192.82;193.49;189.93;190.74;190.5674;187.756;190.503;1.831241325;262.1480882;348.8406223;
16;2017-10-10T15:30:00+02:00;190.34;190.69;187.36;188.64;190.616;187.726;190.939;1.710267253;213.265188;333.5155172;
17;2017-10-11T15:30:00+02:00;188.78;190.34;187.55;189.89;190.6804;187.7345;191.283;1.699358442;200.0470303;330.7608095;
18;2017-10-12T15:30:00+02:00;190.57;190.85;188.59;189.74;190.6962;187.884;191.279;1.667899968;312.3417276;327.65595;
19;2017-10-13T15:30:00+02:00;185.5;187.0;182.31;183.83;190.544;187.746;190.674;1.709619949;605.6647069;333.6407754;
20;2017-10-16T15:30:00+02:00;183.33;185.37;182.71;183.76;190.4096;187.684;189.939;1.713756829;251.4255098;328.8159377;
21;2017-10-17T15:30:00+02:00;184.16;189.55;183.69;187.26;190.3426;187.975;189.342;1.719337762;378.0381868;313.3830384;
22;2017-10-18T15:30:00+02:00;190.38;199.23;190.01;191.79;190.3388;188.39;189.179;1.846850663;640.9554748;317.5709534;
23;2017-10-19T15:30:00+02:00;191.27;193.32;187.75;193.2;190.3458;188.875;189.207;1.932325936;432.618101;324.198512;
24;2017-10-20T15:30:00+02:00;193.77;196.95;193.69;194.69;190.4452;189.4665;189.354;1.876201022;241.2260596;315.6970964;
25;2017-10-23T15:30:00+02:00;194.55;197.49;193.325;195.64;190.5694;190.1735;189.844;1.866056547;200.8953242;307.0032676;
26;2017-10-24T15:30:00+02:00;195.81;196.53;194.02;195.25;190.6482;190.722;190.505;1.85172856;383.4865127;309.4794154;
27;2017-10-25T15:30:00+02:00;200.0;209.74;199.75;205.71;190.9026;191.685;192.087;2.009688026;765.9846232;332.8863043;
28;2017-10-26T15:30:00+02:00;206.0;209.91;205.2404;206.91;191.1738;192.5415;193.804;1.999208638;438.9872981;331.7547392;
29;2017-10-27T15:30:00+02:00;207.0;212.0;205.935;211.34;191.5614;193.6145;196.555;2.089690282;463.8046201;343.0529312;
30;2017-10-30T14:30:00+01:00;211.0;212.07;208.64;209.46;191.9302;194.532;199.125;2.12504718;303.5151292;343.7214772;
31;2017-10-31T14:30:00+01:00;209.66;210.0;206.98;209.21;192.255;195.331;201.32;2.131585935;264.0225624;347.023125;
32;2017-11-01T14:30:00+01:00;210.03;210.98;208.67;209.53;192.5466;196.1365;203.094;2.144500014;389.8038625;357.0688852;
33;2017-11-02T14:30:00+01:00;210.2;211.36;208.4;210.59;192.8538;197.02;204.833;2.156071076;228.2547841;357.025095;
34;2017-11-03T14:30:00+01:00;210.66;213.45;209.25;211.8;193.2318;197.949;206.544;2.21828137;248.8020654;361.2643427;
35;2017-11-06T15:30:00+01:00;213.6;220.0;213.17;216.3;193.7042;199.227;208.61;2.284763411;544.9696609;375.4054214;
36;2017-11-07T15:30:00+01:00;217.42;220.75;214.48;217.47;194.184;200.6685;210.832;2.342064532;366.0025338;383.0422887;
37;2017-11-08T15:30:00+01:00;216.31;218.88;215.17;216.87;194.6448;202.0175;211.948;2.35389527;249.4472328;385.5122988;
38;2017-11-09T15:30:00+01:00;215.75;217.11;213.29;215.98;195.1344;203.3295;212.855;2.383526368;197.9131992;379.7908724;
39;2017-11-10T15:30:00+01:00;216.13;218.98;214.95;218.27;195.579;205.0515;213.548;2.348642035;398.2134387;369.418309;
40;2017-11-13T15:30:00+01:00;217.18;219.81;216.79;218.46;195.9996;206.7865;214.448;2.345501744;531.1184425;383.4029556;
41;2017-11-14T15:30:00+01:00;218.0;219.49;215.935;218.45;196.425;208.346;215.372;2.268310315;286.5342515;378.8277588;
42;2017-11-15T15:30:00+01:00;217.56;219.14;216.92;218.2;196.916;209.6665;216.239;2.076862444;259.6113734;359.7605538;
43;2017-11-16T15:30:00+01:00;217.71;222.21;217.71;220.89;197.481;211.051;217.269;2.031875383;321.0599948;354.1826485;
44;2017-11-17T15:30:00+01:00;220.57;222.24;220.15;220.83;198.0206;212.358;218.172;1.995187925;266.369876;355.4398393;
45;2017-11-20T15:30:00+01:00;221.0;221.63;218.01;219.5;198.4916;213.551;218.492;1.970491479;286.6688007;359.7285131;
46;2017-11-21T15:30:00+01:00;220.88;221.65;219.29;220.02;199.1072;214.7895;218.747;1.959617449;343.8315633;357.7457656;
47;2017-11-22T15:30:00+01:00;219.86;221.03;219.28;220.42;199.7212;215.525;219.102;1.749458191;267.641773;332.8286231;
48;2017-11-24T15:30:00+01:00;220.67;221.47;219.85;220.39;200.394;216.199;219.543;1.672542214;93.0754913;315.5330328;
49;2017-11-27T15:30:00+01:00;220.81;221.215;219.39;220.03;201.0628;216.6335;219.719;1.56687961;469.7895737;315.8322805;
50;2017-11-28T15:30:00+01:00;220.77;222.58;219.24;222.28;201.8084;217.2745;220.101;1.560852838;378.1990246;319.5664752;entry
51;2017-11-29T15:30:00+01:00;222.77;230.46;222.67;227.31;202.7258;218.1795;220.987;1.662821461;498.0983946;331.2702669;
52;2017-11-30T15:30:00+01:00;227.43;236.04;226.73;234.96;203.7552;219.451;222.663;1.812781188;1069.559809;365.2580642;
53;2017-12-01T15:30:00+01:00;235.5;236.39;227.09;232.34;204.732;220.5385;223.808;1.946528544;635.4723297;385.6189414;
54;2017-12-04T15:30:00+01:00;233.61;233.61;224.81;224.95;205.5738;221.196;224.22;2.041890952;425.5405131;394.4558638;
55;2017-12-05T15:30:00+01:00;224.95;225.1;222.32;223.49;206.4136;221.5555;224.619;1.944212664;418.4379221;388.1292769;exit
56;2017-12-06T15:30:00+01:00;224.31;224.31;222.25;222.71;207.1822;221.8175;224.888;1.844389396;226.1888918;381.1385948;
57;2017-12-07T15:30:00+01:00;222.64;224.74;222.505;223.64;207.926;222.156;225.21;1.808402083;273.3548023;382.3339733;
58;2017-12-08T15:30:00+01:00;225.64;226.15;224.11;224.85;208.6274;222.5995;225.656;1.764366008;220.9279485;383.4847107;
59;2017-12-11T15:30:00+01:00;225.6;227.68;225.08;226.02;209.3502;222.987;226.255;1.728380519;317.3623484;379.4421562;
60;2017-12-12T15:30:00+01:00;226.16;229.09;225.13;228.75;210.103;223.5015;226.902;1.746677044;494.9860179;377.635535;
61;2017-12-13T15:30:00+01:00;229.74;232.95;228.36;232.06;210.8796;224.182;227.377;1.764859818;600.7863865;393.3481417;
62;2017-12-14T15:30:00+01:00;231.63;232.53;226.12;227.12;211.5536;224.628;226.593;1.855427779;444.3201687;402.5835815;
63;2017-12-15T15:30:00+01:00;227.51;229.08;225.76;226.21;212.2194;224.894;225.98;1.8256087;772.8566231;425.1734129;
64;2017-12-18T15:30:00+01:00;228.27;229.42;224.54;227.02;212.8954;225.2035;226.187;1.886807672;327.1989334;428.2148658;
65;2017-12-19T15:30:00+01:00;227.06;229.12;225.45;227.99;213.6404;225.628;226.637;1.885176727;257.8132393;426.7720877;
66;2017-12-20T15:30:00+01:00;227.99;231.18;227.78;227.92;214.426;226.023;227.158;1.906000122;254.6959508;422.3153071;
67;2017-12-21T15:30:00+01:00;228.86;228.86;224.96;225.08;215.1298;226.256;227.302;1.952778879;212.1025341;419.5383451;exit
68;2017-12-22T15:30:00+01:00;225.89;226.82;223.6684;225.6;215.847;226.5165;227.377;1.986388086;273.7883795;428.5739895;
69;2017-12-26T15:30:00+01:00;225.67;226.93;225.01;225.43;216.679;226.7865;227.318;1.987460259;99.70994041;410.0700079;
70;2017-12-27T15:30:00+01:00;226.21;226.34;224.12;225.24;217.5086;226.9345;226.967;1.960815066;278.7020795;405.0951606;
71;2017-12-28T15:30:00+01:00;226.2;227.39;225.0;227.04;218.3042;226.921;226.465;1.839003646;159.1096345;388.1457226;
72;2017-12-29T15:30:00+01:00;227.81;228.4999;224.8;225.01;218.9686;226.4235;226.254;1.715986515;194.444352;344.3899498;
73;2018-01-02T15:30:00+01:00;225.0;226.6;223.75;226.0;219.6246;226.1065;226.233;1.574909035;291.9224994;327.2124583;
74;2018-01-03T15:30:00+01:00;227.87;229.545;225.06;229.15;220.3138;226.3165;226.446;1.4788283;296.0110451;320.7359849;
75;2018-01-04T15:30:00+01:00;229.6;231.41;228.86;230.21;221.0052;226.6525;226.668;1.472016725;244.6289023;312.0455339;
76;2018-01-05T15:30:00+01:00;230.19;234.54;229.88;234.34;221.787;227.234;227.31;1.527029748;331.5046215;317.3113204;
77;2018-01-08T15:30:00+01:00;233.49;233.49;230.725;231.82;222.3092;227.643;227.984;1.536725975;378.5260174;322.5698811;
