;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-08-26T15:30:00+02:00;14.49;14.49;13.7;13.81;11.407;12.597;13.7025;5.349180043;1.670327975;1.481454322;
1;2020-08-27T15:30:00+02:00;14.08;14.0914;13.22;13.37;11.4524;12.7305;13.5635;5.360980871;0.881898762;1.502016949;
2;2020-08-28T15:30:00+02:00;13.42;13.55;13.02;13.48;11.4988;12.86;13.5025;5.418425301;0.52361499;1.492780848;
3;2020-08-31T15:30:00+02:00;13.43;14.5;12.92;13.55;11.5544;12.9835;13.4505;5.832270116;8.70889362;1.894755797;
4;2020-09-01T15:30:00+02:00;13.6;14.19;13.6;13.845;11.6123;13.10425;13.456;5.853727335;1.85448228;1.961699991;
5;2020-09-02T15:30:00+02:00;13.6;13.829;13.37;13.69;11.6677;13.21825;13.4655;5.845200109;2.301116997;2.036210311;
6;2020-09-03T15:30:00+02:00;13.56;13.6775;12.83;12.99;11.7201;13.30525;13.4435;5.983874862;1.778746026;2.097188544;
7;2020-09-04T15:30:00+02:00;13.08;13.45;12.55;13.32;11.7755;13.39375;13.4795;6.100721709;1.839721;2.144183934;
8;2020-09-08T15:30:00+02:00;13.0;13.0999;12.635;12.78;11.8333;13.46875;13.4285;6.16452561;1.449942868;2.190965036;
9;2020-09-09T15:30:00+02:00;13.02;13.32;12.87;13.24;11.8855;13.55875;13.4075;6.064321355;0.878451885;2.180699855;
10;2020-09-10T15:30:00+02:00;13.43;13.43;13.03;13.07;11.9293;13.518;13.3335;5.037485427;1.39551363;1.775292036;
11;2020-09-11T15:30:00+02:00;13.15;13.2307;12.55;12.67;11.9743;13.4135;13.2635;4.656834377;1.104638543;1.6447625;
12;2020-09-14T15:30:00+02:00;12.64;13.23;12.5;12.8;12.0237;13.349;13.1955;4.662301425;3.103333895;1.695908227;
13;2020-09-15T15:30:00+02:00;12.94;13.12;12.57;12.62;12.0591;13.2765;13.1025;4.742231236;0.634401705;1.651559426;
14;2020-09-16T15:30:00+02:00;12.65;12.92;12.62;12.64;12.0997;13.219;12.982;4.700036017;0.77972343;1.63637404;
15;2020-09-17T15:30:00+02:00;12.53;12.76;12.5;12.64;12.1391;13.17125;12.877;4.658064103;0.70294791;1.625797878;
16;2020-09-18T15:30:00+02:00;12.77;12.83;12.33;12.75;12.1823;13.14825;12.853;4.704294887;1.94454092;1.691752069;
17;2020-09-21T15:30:00+02:00;12.4;12.7;11.93;11.94;12.2103;13.09725;12.715;4.842697004;1.58242824;1.727774319;
18;2020-09-22T15:30:00+02:00;12.08;12.26;11.8;12.21;12.2479;13.04325;12.658;4.892732126;1.03547022;1.741977865;
19;2020-09-23T15:30:00+02:00;12.2;12.351;11.63;11.7;12.2699;12.95575;12.504;5.057778795;1.413811846;1.779200337;
20;2020-09-24T15:30:00+02:00;11.65;12.055;11.6119;11.9;12.2925;12.86025;12.387;4.960253276;0.765269211;1.733947399;
21;2020-09-25T15:30:00+02:00;11.76;12.61;11.76;12.3;12.3301;12.80675;12.35;4.992071434;1.73000193;1.776352557;
22;2020-09-28T15:30:00+02:00;12.43;13.14;12.24;13.08;12.3779;12.78675;12.378;5.156185467;1.3412061;1.817232113;
23;2020-09-29T15:30:00+02:00;12.95;13.38;12.81;13.29;12.4309;12.77375;12.445;4.767212794;1.08499932;1.436037398;
24;2020-09-30T15:30:00+02:00;13.35;13.4;12.71;12.82;12.4721;12.7225;12.463;4.821740841;1.082742535;1.397450411;
25;2020-10-01T15:30:00+02:00;12.99;13.27;12.89;13.14;12.5227;12.695;12.513;4.797488973;0.63580572;1.314184847;
26;2020-10-02T15:30:00+02:00;12.76;13.4;12.74;13.07;12.5701;12.699;12.545;4.726235068;1.32732385;1.291613738;
27;2020-10-05T15:30:00+02:00;14.28;15.9792;14.1722;15.38;12.6675;12.802;12.889;5.005185031;12.35468691;1.817362033;
28;2020-10-06T15:30:00+02:00;15.62;16.5;15.41;15.54;12.7635;12.94;13.222;5.17487839;6.199139745;2.054821877;
29;2020-10-07T15:30:00+02:00;15.9;17.2;15.81;16.88;12.8973;13.122;13.74;5.439648408;4.11004209;2.216401387;
30;2020-10-08T15:30:00+02:00;17.11;17.3;16.46;16.66;13.0261;13.3015;14.216;5.541320501;2.1978604;2.256518726;
31;2020-10-09T15:30:00+02:00;16.76;16.9555;16.22;16.36;13.1393;13.486;14.622;5.496851545;1.966228946;2.299598246;
32;2020-10-12T15:30:00+02:00;16.52;17.1799;16.2362;16.83;13.2581;13.6875;14.997;5.495467576;2.559806924;2.272421897;
33;2020-10-13T15:30:00+02:00;16.88;16.9211;16.05;16.63;13.3691;13.888;15.331;5.548063432;1.488562737;2.315129949;
34;2020-10-14T15:30:00+02:00;16.41;16.8;16.13;16.4;13.4685;14.076;15.689;5.636892017;1.22002357;2.337144956;
35;2020-10-15T15:30:00+02:00;16.1;16.62;15.59;16.62;13.5727;14.275;16.037;5.863231978;2.149131725;2.409454147;
36;2020-10-16T15:30:00+02:00;16.57;17.08;16.33;16.98;13.6873;14.4865;16.428;5.890113178;1.905689695;2.407511586;
37;2020-10-19T15:30:00+02:00;17.15;17.2;16.76;16.81;13.7925;14.73;16.571;5.698662252;1.43244978;2.400012663;
38;2020-10-20T15:30:00+02:00;17.01;17.05;16.81;16.93;13.9055;14.966;16.71;5.575133078;1.40588413;2.418533358;
39;2020-10-21T15:30:00+02:00;17.06;17.14;16.4;16.4;14.0047;15.201;16.662;5.490768629;1.15573809;2.40562967;
40;2020-10-22T15:30:00+02:00;16.43;16.62;16.01;16.44;14.0558;15.428;16.64;5.490478914;1.522793155;2.443505867;
41;2020-10-23T15:30:00+02:00;16.5;16.71;16.22;16.66;14.0938;15.646;16.67;5.280132444;0.902726555;2.402142099;
42;2020-10-26T14:30:00+01:00;16.87;16.87;16.0799;16.34;14.1388;15.809;16.621;5.158164774;1.241997056;2.397181647;
43;2020-10-27T14:30:00+01:00;16.31;16.37;15.71;15.95;14.1764;15.942;16.553;5.145739627;1.15289104;2.400576233;
44;2020-10-28T14:30:00+01:00;15.8;15.94;15.23;15.3;14.2066;16.066;16.443;5.107392396;1.31936376;2.412407294;
45;2020-10-29T14:30:00+01:00;15.25;16.26;15.25;15.9;14.2527;16.204;16.371;5.291138851;1.10940408;2.436087212;
46;2020-10-30T14:30:00+01:00;15.75;16.17;15.4777;15.86;14.3057;16.3435;16.259;5.255756503;1.376611655;2.438551602;
47;2020-11-02T15:30:00+01:00;16.0;16.0;15.51;15.91;14.3647;16.37;16.169;4.776203408;0.75954855;1.858794684;
48;2020-11-03T15:30:00+01:00;16.0;16.3;15.63;16.12;14.4213;16.399;16.088;4.636868372;1.3183897;1.614757182;
49;2020-11-04T15:30:00+01:00;16.2;16.405;15.884;16.32;14.4787;16.371;16.08;4.36127469;1.100199242;1.464265039;
50;2020-11-05T15:30:00+01:00;16.35;17.53;16.35;17.39;14.5503;16.4075;16.175;4.466966925;2.05700726;1.457222382;entry
51;2020-11-06T15:30:00+01:00;17.6;19.06;17.57;18.61;14.6551;16.52;16.37;4.664258874;3.10186503;1.514004187;
52;2020-11-09T15:30:00+01:00;19.1812;21.5;18.41;19.53;14.7761;16.655;16.689;5.21286066;7.906151045;1.781321393;
53;2020-11-10T15:30:00+01:00;19.33;19.96;18.84;19.33;14.8917;16.79;17.027;5.238729858;3.5276572;1.883276116;
54;2020-11-11T15:30:00+01:00;19.54;19.76;18.72;19.74;15.0096;16.957;17.471;5.308820097;2.24124836;1.934337355;
55;2020-11-12T15:30:00+01:00;19.64;20.4;19.07;19.81;15.132;17.1165;17.862;5.327195395;3.44841496;1.999301517;
56;2020-11-13T15:30:00+01:00;19.81;20.73;19.54;20.43;15.2808;17.289;18.319;5.402060276;4.00348232;2.104191148;
57;2020-11-16T15:30:00+01:00;20.43;20.99;20.43;20.97;15.4338;17.497;18.825;5.407848712;4.487857;2.256961509;
