;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-09-27T15:30:00+02:00;17.58;17.71;17.4;17.66;17.9948;18.268;17.927;2.133320674;6.446529545;10.15842468;
1;2016-09-28T15:30:00+02:00;17.65;17.86;17.5201;17.83;18.0316;18.2235;17.904;2.149808247;6.304203119;10.0576475;
2;2016-09-29T15:30:00+02:00;17.83;18.09;17.7;17.78;18.0622;18.1815;17.868;2.102916826;15.15719026;9.935956269;
3;2016-09-30T15:30:00+02:00;17.91;18.14;17.8301;17.96;18.0922;18.1415;17.868;2.103052537;33.55024749;10.85414782;
4;2016-10-03T15:30:00+02:00;17.96;18.36;17.96;18.2;18.1252;18.1065;17.894;2.143706736;13.54652464;10.79144842;
5;2016-10-04T15:30:00+02:00;18.2;18.24;17.96;18.15;18.1584;18.0885;17.915;2.064049043;16.6229676;10.89052819;
6;2016-10-05T15:30:00+02:00;18.33;18.62;18.25;18.51;18.1946;18.0845;17.961;2.078034963;12.35012268;10.87995735;
7;2016-10-06T15:30:00+02:00;18.57;18.88;18.43;18.77;18.2302;18.097;18.041;2.089067601;15.15259837;11.11121934;
8;2016-10-07T15:30:00+02:00;18.83;18.9;18.42;18.64;18.2628;18.111;18.112;2.081162861;13.65807504;11.25449794;
9;2016-10-10T15:30:00+02:00;18.72;19.09;18.6501;18.8;18.2958;18.118;18.23;1.974472262;16.76151061;11.61837641;
10;2016-10-11T15:30:00+02:00;19.1;19.1;18.44;18.64;18.3256;18.1275;18.328;2.032018244;12.76176054;11.53651123;
11;2016-10-12T15:30:00+02:00;18.77;18.82;18.31;18.69;18.3602;18.159;18.414;2.000704748;16.47788557;11.58773396;
12;2016-10-13T15:30:00+02:00;18.51;18.555;17.99;18.14;18.3708;18.159;18.45;2.071337324;10.49541337;11.79147942;
13;2016-10-14T15:30:00+02:00;18.22;18.41;17.72;17.9;18.3666;18.156;18.444;2.2015707;10.90585856;11.95540186;
14;2016-10-17T15:30:00+02:00;17.9;18.0;17.48;17.49;18.348;18.1335;18.373;2.263428711;9.22643208;11.89917107;
15;2016-10-18T15:30:00+02:00;17.64;17.74;17.54;17.61;18.3322;18.117;18.319;2.270161924;6.06773664;11.95107569;
16;2016-10-19T15:30:00+02:00;17.59;17.67;17.46;17.51;18.3094;18.09;18.219;2.237446258;4.345774215;11.87670454;
17;2016-10-20T15:30:00+02:00;17.57;17.73;17.38;17.7;18.2934;18.0765;18.112;2.251294234;5.10401092;11.89115151;
18;2016-10-21T15:30:00+02:00;17.7;18.0;17.62;17.75;18.2746;18.0675;18.023;2.306263798;5.8142526;11.94836068;
19;2016-10-24T15:30:00+02:00;17.83;18.37;17.8;17.9;18.2588;18.0815;17.933;2.348627737;7.837550705;11.92933223;
20;2016-10-25T15:30:00+02:00;17.85;18.19;17.83;18.17;18.2446;18.107;17.886;2.360500727;21.85146096;12.6995788;
21;2016-10-26T15:30:00+02:00;18.04;18.42;18.031;18.11;18.2358;18.121;17.828;2.371367635;6.197599501;12.69424862;
22;2016-10-27T15:30:00+02:00;18.2;18.41;17.92;18.25;18.2284;18.1445;17.839;2.397916894;8.512246155;12.36200141;
23;2016-10-28T15:30:00+02:00;18.07;18.73;18.0;18.18;18.2192;18.1555;17.867;2.513791065;8.863665235;11.1276723;
24;2016-10-31T14:30:00+01:00;18.4;18.41;18.01;18.28;18.2196;18.1595;17.946;2.513481907;5.35424988;10.71805856;
25;2016-11-01T14:30:00+01:00;18.44;18.49;17.84;17.98;18.2132;18.151;17.983;2.617705793;7.66221498;10.27002093;
26;2016-11-02T14:30:00+01:00;17.98;18.1;17.89;17.93;18.2052;18.122;18.025;2.575027937;4.94524194;9.899776894;
27;2016-11-03T14:30:00+01:00;17.92;18.05;17.78;17.88;18.194;18.0775;18.043;2.528872386;6.252460405;9.454769996;
28;2016-11-04T14:30:00+01:00;17.77;18.06;17.65;17.67;18.178;18.029;18.035;2.514726535;6.6931253;9.106522509;
29;2016-11-07T15:30:00+01:00;17.94;18.12;17.82;17.94;18.1676;17.986;18.039;2.480966595;8.26684692;8.681789324;
30;2016-11-08T15:30:00+01:00;17.85;18.19;17.77;18.06;18.1556;17.957;18.028;2.420184512;6.7579628;8.381599437;
