;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-02-01T15:30:00+01:00;63.34;64.4755;63.32;64.15;59.6544;61.18;62.039;2.937558678;3.566389019;5.340328737;
1;2019-02-04T15:30:00+01:00;64.31;64.9;64.0;64.1;59.8252;61.5265;62.26;2.741507542;6.7709881;5.258369171;
2;2019-02-05T15:30:00+01:00;64.27;64.7302;63.29;63.69;59.9828;61.7465;62.505;2.627069477;3.754576426;5.197723059;
3;2019-02-06T15:30:00+01:00;63.7;63.74;62.065;63.14;60.1052;61.9205;62.629;2.665388509;3.165065093;5.032684179;
4;2019-02-07T15:30:00+01:00;62.79;63.3;61.6;62.37;60.2152;61.9575;62.667;2.640259676;2.6817279;4.57394514;
5;2019-02-08T15:30:00+01:00;61.9;63.8;61.82;63.69;60.3228;62.1125;62.699;2.686576834;7.83517064;4.695347428;
6;2019-02-11T15:30:00+01:00;64.2;64.73;63.42;64.3;60.4688;62.2655;63.008;2.636204164;6.37174615;4.810814661;
7;2019-02-12T15:30:00+01:00;64.61;65.0;63.8;65.0;60.5448;62.512;63.489;2.599644748;7.4595808;4.976589319;
8;2019-02-13T15:30:00+01:00;64.94;66.5;64.52;65.06;60.6096;62.698;63.881;2.62242642;15.27725955;5.596573523;
9;2019-02-14T15:30:00+01:00;64.96;66.32;64.78;65.63;60.6964;62.941;64.113;2.595419161;8.42219175;5.836569834;
10;2019-02-15T15:30:00+01:00;65.95;67.78;65.41;67.75;60.816;63.256;64.473;2.630501783;7.585503475;5.891392544;
11;2019-02-19T15:30:00+01:00;68.19;68.81;67.44;67.46;60.9592;63.5345;64.809;2.649039293;5.2704225;5.972227898;
12;2019-02-20T15:30:00+01:00;67.5;68.2521;67.09;68.07;61.105;63.876;65.247;2.613231616;4.056541092;5.875848091;
13;2019-02-21T15:30:00+01:00;68.06;69.0806;67.65;68.79;61.2794;64.2205;65.812;2.557888781;6.370141923;5.868773975;
14;2019-02-22T15:30:00+01:00;69.12;70.62;68.7;70.54;61.4786;64.648;66.629;2.629690884;6.67036296;5.815629215;
15;2019-02-25T15:30:00+01:00;70.98;72.27;70.67;71.03;61.6856;65.031;67.363;2.611280137;8.17409537;6.041544511;
16;2019-02-26T15:30:00+01:00;70.95;71.38;69.29;69.31;61.8456;65.436;67.864;2.593519445;7.95052773;6.220603178;
17;2019-02-27T15:30:00+01:00;68.41;69.8185;67.29;69.41;62.0266;65.897;68.305;2.661734988;7.531781231;6.396614718;
18;2019-02-28T15:30:00+01:00;69.42;73.095;69.0;72.28;62.2674;66.454;69.027;2.778873983;13.59465494;6.908913517;
19;2019-03-01T15:30:00+01:00;68.15;69.5;63.5;65.72;62.461;66.5745;69.036;3.013926203;25.042437;7.877558182;
20;2019-03-04T15:30:00+01:00;66.39;68.77;65.43;68.66;62.6528;66.8;69.127;3.177917912;14.82239;8.440358231;
21;2019-03-05T15:30:00+01:00;68.63;68.63;66.103;68.23;62.8582;67.0065;69.204;3.29874651;11.144238;8.659020726;
22;2019-03-06T15:30:00+01:00;68.15;68.805;67.61;68.8;63.0922;67.262;69.277;3.273343163;10.12738139;8.977660974;
23;2019-03-07T15:30:00+01:00;68.26;68.53;65.74;66.3;63.2948;67.42;69.028;3.35060356;11.87987392;9.413401416;
24;2019-03-08T15:30:00+01:00;65.55;68.21;65.5;68.1;63.5668;67.7065;68.784;3.419486776;10.3337105;9.796000546;
25;2019-03-11T14:30:00+01:00;68.21;70.84;68.21;70.8;63.839;68.062;68.761;3.452131409;8.062744725;9.80737925;
26;2019-03-12T14:30:00+01:00;70.55;71.83;70.17;71.51;64.112;68.4225;68.981;3.467135854;7.314065;9.854495192;
27;2019-03-13T14:30:00+01:00;71.43;73.6;70.8;72.94;64.4174;68.8195;69.334;3.570832079;12.9837982;10.13070606;
28;2019-03-14T14:30:00+01:00;72.51;74.1;71.955;73.96;64.7122;69.2645;69.502;3.566442776;8.735476523;9.803616911;
29;2019-03-15T14:30:00+01:00;74.05;74.79;73.5;74.36;65.0186;69.701;70.366;3.535334031;17.59112369;10.26206351;
30;2019-03-18T14:30:00+01:00;74.74;75.36;73.43;73.81;65.3682;70.004;70.881;3.485586749;7.984294585;10.28200306;
31;2019-03-19T14:30:00+01:00;73.95;74.75;73.2;74.34;65.7116;70.348;71.492;3.489889298;6.828262375;10.35989506;
32;2019-03-20T14:30:00+01:00;74.34;75.9;73.72;75.55;66.0368;70.722;72.167;3.551138511;10.11513491;10.66282475;
33;2019-03-21T14:30:00+01:00;75.14;78.08;75.0;77.92;66.402;71.1785;73.329;3.650736442;8.9746977;10.79305254;
34;2019-03-22T14:30:00+01:00;77.75;78.05;75.44;75.75;66.6844;71.439;74.094;3.683983604;12.36968236;11.07801851;
35;2019-03-25T14:30:00+01:00;75.11;78.11;74.93;77.64;67.0254;71.7695;74.778;3.782979448;10.0937532;11.1740014;
36;2019-03-26T14:30:00+01:00;78.21;81.7;77.69;79.47;67.39;72.2775;75.574;3.890241008;20.78389813;11.81566992;
37;2019-03-27T14:30:00+01:00;79.48;80.215;76.04;77.0;67.7286;72.657;75.98;3.976886758;13.17667164;12.09791444;
38;2019-03-28T14:30:00+01:00;77.25;78.72;76.52;78.37;68.0692;72.9615;76.421;3.823900895;7.70820934;11.80359216;
39;2019-03-29T14:30:00+01:00;79.15;80.0;78.23;79.4;68.4418;73.6455;76.925;3.464587906;15.34918027;11.31892932;
40;2019-04-01T15:30:00+02:00;80.21;80.4727;77.74;78.56;68.784;74.1405;77.4;3.385112244;17.23577064;11.43959835;
41;2019-04-02T15:30:00+02:00;78.57;80.49;78.3;80.1;69.1482;74.734;77.976;3.333817889;7.766974665;11.27073519;
42;2019-04-03T15:30:00+02:00;80.48;81.99;80.0;81.46;69.5526;75.367;78.567;3.369818389;9.095819495;11.21915709;
43;2019-04-04T15:30:00+02:00;81.47;81.82;79.0031;80.32;69.921;76.068;78.807;3.335896629;8.759953845;11.06316109;
44;2019-04-05T15:30:00+02:00;80.42;81.64;80.03;81.43;70.3098;76.7345;79.375;3.22961368;7.120027635;10.90247695;
45;2019-04-08T15:30:00+02:00;81.63;81.638;80.02;81.52;70.6728;77.2705;79.763;3.137926423;10.69699069;11.03418924;
