;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-04-16T15:30:00+02:00;3.44;3.67;3.431;3.57;3.2302;3.547;3.622;6.728285339;4.191691896;4.929652419;
1;2019-04-17T15:30:00+02:00;3.62;3.63;3.45;3.5;3.2564;3.541;3.607;6.746297762;2.34391896;4.739150326;
2;2019-04-18T15:30:00+02:00;3.5;3.55;3.4;3.43;3.2762;3.524;3.587;6.691195389;2.007288575;4.58312661;
3;2019-04-22T15:30:00+02:00;3.43;3.578;3.43;3.57;3.2974;3.5225;3.587;6.42867796;1.651904736;4.449581178;
4;2019-04-23T15:30:00+02:00;3.57;3.66;3.51;3.56;3.3178;3.546;3.558;5.795447636;2.25243399;4.032625485;
5;2019-04-24T15:30:00+02:00;3.56;3.64;3.52;3.59;3.3356;3.5645;3.543;5.567834122;1.64573674;3.811672429;
6;2019-04-25T15:30:00+02:00;3.59;3.62;3.52;3.57;3.3486;3.5785;3.534;5.39342388;1.24332033;3.725206407;
7;2019-04-26T15:30:00+02:00;3.55;3.64;3.5301;3.6;3.3628;3.591;3.538;5.365036113;2.21591582;3.711639812;
8;2019-04-29T15:30:00+02:00;3.64;3.75;3.6001;3.65;3.376;3.5985;3.554;5.287939489;4.104192939;3.490037604;
9;2019-04-30T15:30:00+02:00;3.65;3.8;3.59;3.78;3.3906;3.6095;3.582;5.383235499;4.02551775;3.432373624;
10;2019-05-01T15:30:00+02:00;3.8;4.04;3.76;3.97;3.4124;3.622;3.622;5.503475084;8.8431213;3.617798806;
11;2019-05-02T15:30:00+02:00;4.01;4.12;3.8;3.89;3.4332;3.634;3.661;5.592117744;4.81142376;3.602667118;
12;2019-05-03T15:30:00+02:00;3.93;4.18;3.9;4.07;3.455;3.656;3.725;5.512243182;5.06288356;3.605013926;
13;2019-05-06T15:30:00+02:00;3.96;4.13;3.85;4.06;3.4722;3.6805;3.774;5.622358419;4.12395627;3.656333562;
14;2019-05-07T15:30:00+02:00;4.05;4.06;3.86;3.95;3.4888;3.6855;3.813;5.38846803;3.09041568;3.395065562;
15;2019-05-08T15:30:00+02:00;3.93;3.99;3.84;3.89;3.5026;3.693;3.843;5.389410556;2.81896443;3.359809736;
16;2019-05-09T15:30:00+02:00;3.84;3.89;3.65;3.8;3.5146;3.7;3.866;5.47874106;3.34991644;3.372142675;
17;2019-05-10T15:30:00+02:00;3.75;3.89;3.65;3.82;3.5274;3.713;3.888;5.54397542;3.3105124;3.379204227;
18;2019-05-13T15:30:00+02:00;3.73;3.79;3.65;3.75;3.537;3.726;3.898;5.441638595;2.36805156;3.339734405;
19;2019-05-14T15:30:00+02:00;3.77;3.943;3.74;3.87;3.5492;3.7445;3.907;5.319089575;4.790442696;3.412580492;
20;2019-05-15T15:30:00+02:00;3.87;4.06;3.87;4.06;3.5648;3.769;3.916;5.216272653;3.76193649;3.391092721;
21;2019-05-16T15:30:00+02:00;4.06;4.12;4.06;4.09;3.5824;3.7985;3.936;5.029294714;2.85544168;3.416668857;
