;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-10-30T14:30:00+01:00;1.42;1.51;1.36;1.51;1.463118;1.407295;1.38999;5.959227614;0.924330855;0.388677221;
1;2017-10-31T14:30:00+01:00;1.5;1.61;1.461;1.5868;1.465454;1.414135;1.41567;6.152250915;0.870173992;0.418708799;
2;2017-11-01T14:30:00+01:00;1.55;1.74;1.51;1.6224;1.468502;1.423755;1.44391;6.619554605;1.683543875;0.47831901;
3;2017-11-02T14:30:00+01:00;1.6;1.62;1.55;1.55;1.470902;1.42967;1.46591;6.669304718;0.25275995;0.48186131;
4;2017-11-03T14:30:00+01:00;1.55;1.65;1.5;1.63;1.475702;1.44067;1.48591;6.99073329;0.342753075;0.482646305;
5;2017-11-06T15:30:00+01:00;1.6;1.68;1.6;1.6609;1.48132;1.449965;1.509;6.596793896;0.2105596;0.46425524;
6;2017-11-07T15:30:00+01:00;1.68;1.69;1.58;1.61;1.48552;1.457965;1.527;6.736561828;0.25813707;0.469563664;
7;2017-11-08T15:30:00+01:00;1.58;1.65;1.55;1.61;1.48912;1.466465;1.54801;6.836841838;0.2358272;0.471481758;
8;2017-11-09T15:30:00+01:00;1.63;1.67;1.61;1.66;1.49432;1.479;1.57901;6.655530183;0.19210796;0.454907686;
9;2017-11-10T15:30:00+01:00;1.65;1.71;1.6;1.7;1.50032;1.4945;1.61401;6.779650554;0.4593618;0.469049258;
10;2017-11-13T15:30:00+01:00;1.72;2.09;1.72;2.05;1.51172;1.529;1.66801;7.631351352;3.875114805;0.652119478;
11;2017-11-14T15:30:00+01:00;2.1;2.2;1.8906;1.96;1.52252;1.5605;1.70533;8.257302413;2.121209264;0.74478386;
12;2017-11-15T15:30:00+01:00;1.97;2.0;1.8;1.9;1.53212;1.5885;1.73309;8.547307548;0.7484252;0.774155091;
13;2017-11-16T15:30:00+01:00;1.9;1.92;1.77;1.77;1.53852;1.6105;1.75509;8.857399998;0.57500532;0.798471889;
14;2017-11-17T15:30:00+01:00;1.8;1.9299;1.76;1.92;1.54692;1.635;1.78409;8.805719308;0.500889165;0.72521322;
15;2017-11-20T15:30:00+01:00;1.99;2.18;1.98;2.145;1.55722;1.67075;1.8325;8.953626956;1.1896248;0.75688491;
16;2017-11-21T15:30:00+01:00;2.2;2.3;2.0;2.0399;1.569218;1.701245;1.87549;9.38447802;1.2607299;0.80920955;
17;2017-11-22T15:30:00+01:00;2.0;2.1;2.0;2.08;1.580818;1.73525;1.92249;9.193737279;0.3315957;0.81549181;
18;2017-11-24T15:30:00+01:00;2.12;2.17;2.081;2.16;1.593218;1.77575;1.97249;9.222391594;0.274459439;0.822602957;
19;2017-11-27T15:30:00+01:00;2.17;2.199;2.01;2.05;1.602418;1.81075;2.00749;9.5443927;0.570218484;0.843841373;
20;2017-11-28T15:30:00+01:00;2.02;2.0533;1.86;1.88;1.606618;1.82925;1.99049;9.512545767;0.981592606;0.84670446;
21;2017-11-29T15:30:00+01:00;1.9;1.98;1.89;1.95;1.612218;1.84741;1.98949;9.240716296;0.271021905;0.816746856;
22;2017-11-30T15:30:00+01:00;1.95;2.04;1.9;2.03;1.619818;1.86779;2.00249;8.847547945;0.31814515;0.74847692;
23;2017-12-01T15:30:00+01:00;2.05;2.05;1.89;2.01;1.627618;1.89079;2.02649;9.045021916;0.61492368;0.766585106;
