;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-05-16T15:30:00+02:00;15.03;15.21;14.966;15.09;13.8664;14.7425;15.108;2.584159304;5.59583744;7.916354721;
1;2017-05-17T15:30:00+02:00;15.09;15.32;14.99;15.15;13.9022;14.7835;15.148;2.606820099;6.926001705;8.136087693;
2;2017-05-18T15:30:00+02:00;15.15;15.365;15.0565;15.21;13.9422;14.832;15.143;2.636931626;11.54194752;8.539495167;
3;2017-05-19T15:30:00+02:00;15.27;15.34;15.14;15.14;13.987;14.8745;15.082;2.648519421;12.11718684;9.018208764;
4;2017-05-22T15:30:00+02:00;15.18;15.29;15.11;15.16;14.0316;14.9205;15.011;2.5856988;7.5351112;9.268083446;
5;2017-05-23T15:30:00+02:00;15.23;15.35;15.2;15.25;14.0826;14.964;15.086;2.525885975;6.34868715;9.432335599;
6;2017-05-24T15:30:00+02:00;15.31;15.54;15.21;15.39;14.1416;15.015;15.131;2.533002647;8.34736425;9.653897236;
7;2017-05-25T15:30:00+02:00;15.5;15.63;15.35;15.63;14.1962;15.08;15.203;2.567214852;5.80173303;9.869092226;
8;2017-05-26T15:30:00+02:00;15.62;15.81;15.58;15.76;14.2526;15.1605;15.281;2.537677468;5.34063182;10.02939174;
9;2017-05-30T15:30:00+02:00;15.79;15.8113;15.54;15.57;14.2992;15.2205;15.335;2.511251201;4.050682014;10.09844346;
10;2017-05-31T15:30:00+02:00;15.54;15.65;15.22;15.33;14.3428;15.2335;15.359;2.391702816;6.518215935;10.0652717;
11;2017-06-01T15:30:00+02:00;15.34;15.77;15.281;15.75;14.3966;15.2835;15.419;2.411425761;4.011525267;10.08353563;
12;2017-06-02T15:30:00+02:00;15.84;16.37;15.79;16.2;14.4582;15.3305;15.518;2.37214553;9.4028604;10.26467738;
13;2017-06-05T15:30:00+02:00;16.19;16.31;16.001;16.25;14.5148;15.3555;15.629;2.288610312;6.846878611;10.25765287;
14;2017-06-06T15:30:00+02:00;16.28;16.4;16.15;16.19;14.5734;15.3715;15.732;2.150323418;3.789975525;10.21196079;
15;2017-06-07T15:30:00+02:00;16.24;16.33;16.1;16.13;14.6308;15.453;15.82;2.024246792;3.074055915;7.18066805;
16;2017-06-08T15:30:00+02:00;16.08;16.17;15.8;16.13;14.6902;15.5125;15.894;1.928130448;4.24232309;6.403183917;
17;2017-06-09T15:30:00+02:00;16.13;16.37;16.08;16.25;14.7512;15.5795;15.956;1.910196469;3.893464575;6.296547037;
18;2017-06-12T15:30:00+02:00;16.26;16.5;16.18;16.4;14.8126;15.6505;16.02;1.956424052;5.49728254;6.354004324;
19;2017-06-13T15:30:00+02:00;16.19;16.23;15.985;16.17;14.8718;15.7075;16.08;1.942878036;3.962976548;6.242237069;
20;2017-06-14T15:30:00+02:00;16.23;16.25;16.03;16.14;14.9294;15.76;16.161;1.929981263;3.3875439;6.131822392;
21;2017-06-15T15:30:00+02:00;16.03;16.26;16.03;16.11;14.9834;15.808;16.197;1.891648368;2.32752778;5.901898695;
22;2017-06-16T15:30:00+02:00;16.01;16.0615;15.6;15.97;15.0368;15.846;16.174;1.937117586;13.83259273;6.016430956;
23;2017-06-19T15:30:00+02:00;16.03;16.09;15.84;16.07;15.0902;15.8925;16.156;1.94998153;4.129267425;5.617034985;
24;2017-06-20T15:30:00+02:00;15.99;16.09;15.89;16.08;15.144;15.9385;16.145;1.953350988;3.70828887;5.425693869;
25;2017-06-21T15:30:00+02:00;16.05;16.26;16.0;16.23;15.1976;15.9875;16.155;1.985258883;5.57304404;5.386911713;
26;2017-06-22T15:30:00+02:00;16.23;16.2697;15.98;16.05;15.2422;16.0205;16.147;1.967422177;3.885121359;5.163799569;
27;2017-06-23T15:30:00+02:00;16.09;16.22;15.93;16.17;15.2892;16.0475;16.139;1.967240191;10.7584831;5.411637072;
28;2017-06-26T15:30:00+02:00;16.28;16.28;16.09;16.19;15.3398;16.069;16.118;1.952470495;4.11626631;5.350418797;
29;2017-06-27T15:30:00+02:00;16.17;16.21;15.89;16.0;15.3856;16.0905;16.101;1.965871892;3.37366185;5.316567789;
30;2017-06-28T15:30:00+02:00;16.01;16.14;15.87;16.12;15.4208;16.13;16.099;1.909676556;4.0431831;5.192816147;
31;2017-06-29T15:30:00+02:00;16.08;16.08;15.87;15.96;15.4534;16.1405;16.084;1.81583651;3.235400775;5.154009922;
32;2017-06-30T15:30:00+02:00;15.96;15.96;15.74;15.75;15.4836;16.118;16.062;1.702061607;3.08385525;4.838059665;
33;2017-07-03T15:30:00+02:00;15.85;15.97;15.72;15.93;15.5164;16.102;16.048;1.685021681;1.396118795;4.565521674;
34;2017-07-05T15:30:00+02:00;15.92;15.95;15.56;15.93;15.5502;16.089;16.033;1.732943637;4.68500133;4.610272964;
35;2017-07-06T15:30:00+02:00;15.8;15.8;15.37;15.43;15.5712;16.054;15.953;1.801397954;3.682532895;4.640696813;
36;2017-07-07T15:30:00+02:00;15.41;15.49;15.24;15.45;15.5928;16.02;15.893;1.766330344;3.88823617;4.622992467;
37;2017-07-10T15:30:00+02:00;15.45;15.49;15.13;15.14;15.609;15.9645;15.79;1.795125151;3.78201399;4.617419938;
38;2017-07-11T15:30:00+02:00;15.17;15.59;15.09;15.57;15.6374;15.923;15.728;1.861910266;5.14922382;4.600017002;
39;2017-07-12T15:30:00+02:00;15.65;15.95;15.61;15.87;15.6674;15.908;15.715;1.89418047;4.66778712;4.635257531;
40;2017-07-13T15:30:00+02:00;15.91;16.0;15.72;15.99;15.6858;15.9005;15.702;1.914617659;3.84159334;4.657960003;
41;2017-07-14T15:30:00+02:00;16.0;16.425;15.974;16.34;15.7176;15.912;15.74;1.984044068;5.397608602;4.811464044;
