;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-09-22T15:30:00+02:00;27.16;28.0;26.74;27.3;24.6008;25.039;27.188;11.09049745;0.16512321;2.192367705;
1;2017-09-25T15:30:00+02:00;26.88;29.8312;26.88;28.42;24.6708;25.571;27.426;10.80612245;0.57658277;2.207333904;
2;2017-09-26T15:30:00+02:00;28.98;30.38;28.6384;29.82;24.7688;26.229;27.93;10.69002165;0.526798238;2.222566888;
3;2017-09-27T15:30:00+02:00;29.82;31.3586;29.68;30.94;24.8948;26.838;28.49;9.525688444;0.609043151;2.243743568;
4;2017-09-28T15:30:00+02:00;30.66;31.514;29.8802;30.24;25.018;27.468;28.84;9.124477014;0.598562753;2.269665623;
5;2017-09-29T15:30:00+02:00;32.9;34.0186;31.2214;32.06;25.186;28.14;29.092;8.962202768;1.97233568;2.356504988;
6;2017-10-02T15:30:00+02:00;31.5;33.18;30.1;30.8;25.2924;28.203;29.33;8.449440431;0.59891356;1.178300996;
7;2017-10-03T15:30:00+02:00;30.66;31.64;30.24;31.36;25.396;28.252;29.61;7.827263376;0.33916428;0.810483507;
8;2017-10-04T15:30:00+02:00;31.08;34.2258;31.08;32.48;25.4996;28.518;30.072;7.414425538;0.974231924;0.727605435;
9;2017-10-05T15:30:00+02:00;39.2;53.9;37.8;38.22;25.7376;29.106;31.164;9.079739929;65.3753142;3.924195671;
10;2017-10-06T15:30:00+02:00;37.8;40.6;35.7;37.8;25.9616;29.701;32.214;9.488236661;2.92362525;4.027600493;
11;2017-10-09T15:30:00+02:00;38.22;38.626;35.0;35.28;26.1296;30.163;32.9;9.536623402;1.399703886;4.054088426;
12;2017-10-10T15:30:00+02:00;35.7;36.8494;34.3;36.82;26.3508;30.765;33.6;9.405903114;1.195772391;4.067271499;
13;2017-10-11T15:30:00+02:00;36.82;38.78;35.0;36.12;26.5608;31.304;34.118;9.595025921;1.00366623;4.089362964;
14;2017-10-12T15:30:00+02:00;35.7;35.84;34.3;34.58;26.7568;31.696;34.552;9.334283649;0.54863508;4.078884925;
15;2017-10-13T15:30:00+02:00;34.44;35.6986;32.9;34.02;26.9444;31.92;34.748;9.236042589;0.574684772;4.036381346;
16;2017-10-16T15:30:00+02:00;33.74;35.14;31.5;31.92;27.0592;32.095;34.86;9.540188526;0.90150592;4.054658518;
17;2017-10-17T15:30:00+02:00;31.64;35.0;31.5;33.74;27.2384;32.354;35.098;9.895744081;0.79091775;4.078669193;
18;2017-10-18T15:30:00+02:00;33.6;35.0;32.06;32.48;27.4064;32.585;35.098;10.10173411;0.6551762;4.095919209;
19;2017-10-19T15:30:00+02:00;32.48;33.8786;32.06;33.32;27.6192;32.886;34.608;10.11277371;0.491407417;4.111058233;
20;2017-10-20T15:30:00+02:00;33.46;34.58;32.76;33.04;27.79;33.173;34.132;10.15494939;0.48949446;4.127276796;
21;2017-10-23T15:30:00+02:00;32.76;33.18;32.06;32.34;27.9664;33.369;33.838;9.780663549;0.30688896;4.113792105;
22;2017-10-24T15:30:00+02:00;32.06;34.58;32.06;34.02;28.1708;33.579;33.558;9.869609384;0.52985464;4.113944925;
23;2017-10-25T15:30:00+02:00;34.3;36.12;33.32;33.88;28.3668;33.726;33.334;10.00699443;0.66044384;4.11651496;
24;2017-10-26T15:30:00+02:00;33.88;37.38;33.88;37.38;28.6328;34.083;33.614;10.25013161;1.25959176;4.14956641;
25;2017-10-27T15:30:00+02:00;36.4;40.6;35.56;38.92;28.9436;34.426;34.104;10.51083106;1.35572416;4.118735834;
26;2017-10-30T14:30:00+01:00;39.76;43.4;35.0;36.82;29.2124;34.727;34.594;11.19920315;2.0718376;4.192382036;
27;2017-10-31T14:30:00+01:00;36.54;40.32;35.42;39.97;29.5666;35.1575;35.217;11.65942127;0.84692468;4.217770056;
28;2017-11-01T14:30:00+01:00;39.9;41.146;38.64;38.78;29.911;35.4725;35.847;11.47761555;0.425937561;4.190355338;
29;2017-11-02T14:30:00+01:00;37.94;38.64;36.6814;37.38;30.2498;35.4305;36.253;9.614960467;0.281024143;0.935640835;
30;2017-11-03T14:30:00+01:00;36.82;39.48;36.4;38.92;30.653;35.4865;36.841;9.35176288;0.42098224;0.810508684;
31;2017-11-06T15:30:00+01:00;39.62;44.1;39.221;43.54;31.1682;35.8995;37.961;9.4557511;1.707288951;0.825887938;
32;2017-11-07T15:30:00+01:00;43.68;43.82;39.9;40.32;31.6414;36.0745;38.591;9.575346518;0.86436714;0.809317675;
33;2017-11-08T15:30:00+01:00;40.46;41.72;38.5;40.04;32.067;36.2705;39.207;9.453528336;0.50951733;0.78461023;
34;2017-11-09T15:30:00+01:00;40.18;43.2992;39.48;42.56;32.5654;36.6695;39.725;9.712726483;0.686115399;0.791484246;
35;2017-11-10T15:30:00+01:00;43.82;43.82;39.48;42.28;33.0386;37.0825;40.061;9.837052724;1.1311307;0.819306543;
36;2017-11-13T15:30:00+01:00;42.0;42.0;36.4;36.96;33.187;37.3345;40.075;10.02850572;1.3173944;0.840100967;
37;2017-11-14T15:30:00+01:00;37.1;38.08;36.4;36.82;33.3158;37.4885;39.76;9.703719391;0.45272668;0.823191413;
38;2017-11-15T15:30:00+01:00;36.54;41.3;35.56;38.5;33.5426;37.7895;39.732;10.05229072;0.88807887;0.834836547;
39;2017-11-16T15:30:00+01:00;38.22;40.46;37.94;39.9;33.8114;38.1185;39.984;10.10076959;0.4340224;0.831967296;
40;2017-11-17T15:30:00+01:00;39.48;41.02;39.48;40.18;34.097;38.4755;40.11;10.01802727;0.55871025;0.835428085;
41;2017-11-20T15:30:00+01:00;39.48;41.58;38.92;39.9;34.3742;38.8535;39.746;10.1850814;0.34755875;0.837461575;
42;2017-11-21T15:30:00+01:00;40.32;41.44;39.2;40.46;34.6878;39.1755;39.76;10.07778259;0.28316736;0.825127211;
43;2017-11-22T15:30:00+01:00;40.6;43.4;40.32;42.84;35.0378;39.6235;40.04;10.03955896;0.65109044;0.824659541;
44;2017-11-24T15:30:00+01:00;42.84;43.4;42.0;43.4;35.371;39.9245;40.124;9.689696704;0.1087569;0.767117798;
45;2017-11-27T15:30:00+01:00;43.26;43.26;41.16;41.58;35.6118;40.0575;40.054;9.236137328;0.34320951;0.716492065;
46;2017-11-28T15:30:00+01:00;42.0;42.28;41.3;41.58;35.875;40.2955;40.516;8.154781396;0.41255088;0.633527729;
47;2017-11-29T15:30:00+01:00;41.72;42.28;40.614;41.72;36.1382;40.383;41.006;7.66818348;0.34774033;0.608568512;
48;2017-11-30T15:30:00+01:00;42.56;43.12;41.44;42.14;36.4238;40.551;41.37;7.54661082;0.66333092;0.62043818;
49;2017-12-01T15:30:00+01:00;42.28;42.42;40.32;41.86;36.715;40.775;41.566;7.540052944;0.39946872;0.626360408;
50;2017-12-04T15:30:00+01:00;42.0;51.842;41.72;48.3;37.135;41.244;42.378;8.330063269;6.567958838;0.933709238;entry
51;2017-12-05T15:30:00+01:00;48.58;51.1;47.6;48.72;37.541;41.503;43.26;8.075722108;1.3556445;0.916127016;
52;2017-12-06T15:30:00+01:00;49.0;52.92;48.3;52.5;37.9946;42.112;44.464;8.062754907;1.48418886;0.947118102;
53;2017-12-07T15:30:00+01:00;51.94;54.32;49.994;52.78;38.4314;42.749;45.458;8.077225007;1.235182074;0.983401339;
54;2017-12-08T15:30:00+01:00;53.62;63.0;53.62;59.22;39.011;43.582;47.04;8.468210693;4.10514062;1.1543526;
55;2017-12-11T15:30:00+01:00;60.76;61.18;49.84;55.86;39.487;44.261;48.468;9.056205752;1.73213404;1.184402767;
56;2017-12-12T15:30:00+01:00;56.84;58.38;53.76;54.6;39.963;45.143;49.77;8.716662483;0.99625176;1.168345635;
57;2017-12-13T15:30:00+01:00;54.6;59.64;54.6;58.66;40.509;46.235;51.464;8.947431714;1.24395936;1.207907269;
58;2017-12-14T15:30:00+01:00;58.66;61.04;55.58;55.72;40.9738;47.096;52.822;8.631528979;0.93593381;1.210300016;
59;2017-12-15T15:30:00+01:00;56.7;59.5;56.0588;58.52;41.3798;48.027;54.488;8.606353384;0.537752876;1.21548654;
60;2017-12-18T15:30:00+01:00;59.36;59.5;54.88;56.98;41.7634;48.867;55.356;8.83223629;0.83251483;1.229176769;
