;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-09-15T15:30:00+02:00;5.12;5.12;4.95;5.01;4.9766;4.8785;4.866;6.494253008;0.21794501;0.341395657;
1;2020-09-16T15:30:00+02:00;5.06;5.19;4.96;5.09;4.9782;4.883;4.874;6.644971944;0.2925636;0.351071977;
2;2020-09-17T15:30:00+02:00;4.98;5.14;4.89;4.98;4.9816;4.8715;4.872;6.378283293;0.06885595;0.3348417;
3;2020-09-18T15:30:00+02:00;5.09;5.23;4.83;4.95;4.9884;4.8495;4.877;6.475999601;0.53488014;0.325355478;
4;2020-09-21T15:30:00+02:00;4.81;4.84;4.46;4.63;4.9854;4.8275;4.867;6.491186927;0.3383433;0.325046802;
5;2020-09-22T15:30:00+02:00;4.67;4.67;4.38;4.46;4.9788;4.8105;4.842;6.230270982;0.32019805;0.308330884;
6;2020-09-23T15:30:00+02:00;4.4;4.64;4.37;4.38;4.968;4.78;4.804;6.220724129;0.28041823;0.306499204;
7;2020-09-24T15:30:00+02:00;4.42;4.55;4.35;4.5;4.952;4.767;4.78;6.13426565;0.2450081;0.287401455;
8;2020-09-25T15:30:00+02:00;4.43;4.81;4.41;4.75;4.9412;4.773;4.776;6.250089757;0.16155745;0.280460928;
9;2020-09-28T15:30:00+02:00;4.75;4.97;4.66;4.93;4.9304;4.796;4.768;6.336071011;0.221254065;0.283089467;
10;2020-09-29T15:30:00+02:00;4.5601;4.96;4.5601;4.69;4.9196;4.801;4.736;6.334548238;0.171999647;0.265035575;
11;2020-09-30T15:30:00+02:00;4.71;4.85;4.69;4.71;4.905;4.786;4.698;5.727091894;0.15613641;0.235657887;
12;2020-10-01T15:30:00+02:00;4.75;4.99;4.72;4.85;4.8972;4.7785;4.685;5.77561375;0.3453847;0.241034011;
13;2020-10-02T15:30:00+02:00;4.76;5.26;4.76;5.16;4.8974;4.7915;4.706;6.115638649;0.29605593;0.24709585;
14;2020-10-05T15:30:00+02:00;5.1801;5.3;5.12;5.27;4.9006;4.8185;4.77;5.82643084;0.2702948;0.24934302;
15;2020-10-06T15:30:00+02:00;5.35;5.5697;5.21;5.21;4.9022;4.8435;4.845;5.933537137;0.40530594;0.260257344;
16;2020-10-07T15:30:00+02:00;5.23;5.49;5.23;5.45;4.903;4.878;4.952;6.000090255;0.20795192;0.262658694;
17;2020-10-08T15:30:00+02:00;5.49;5.65;5.35;5.59;4.9152;4.9205;5.061;6.118477046;0.226281;0.261032818;
18;2020-10-09T15:30:00+02:00;5.68;5.68;5.53;5.57;4.932;4.9595;5.143;6.101308503;0.15031489;0.258683527;
19;2020-10-12T15:30:00+02:00;5.52;5.62;5.52;5.57;4.9536;4.9875;5.207;5.851682027;0.131452;0.252110057;
20;2020-10-13T15:30:00+02:00;5.49;5.59;5.49;5.54;4.9714;5.014;5.292;5.771039537;0.13233952;0.247829782;
21;2020-10-14T15:30:00+02:00;5.54;5.6676;5.49;5.53;4.9838;5.036;5.374;5.700933332;0.128362609;0.239619733;
22;2020-10-15T15:30:00+02:00;5.49;5.87;5.46;5.84;5.0004;5.079;5.473;5.820767485;0.20066563;0.246210217;
23;2020-10-16T15:30:00+02:00;5.77;5.94;5.75;5.92;5.0192;5.1275;5.549;5.571906202;0.27990536;0.233461478;
24;2020-10-19T15:30:00+02:00;5.92;5.92;5.595;5.75;5.0342;5.1835;5.597;5.436335124;0.16514813;0.224801719;
25;2020-10-20T15:30:00+02:00;5.8;5.85;5.72;5.84;5.0482;5.2525;5.66;5.218921259;0.103672985;0.213975466;
26;2020-10-21T15:30:00+02:00;5.89;5.92;5.79;5.86;5.0616;5.3265;5.701;5.022259296;0.22804054;0.211356581;
27;2020-10-22T15:30:00+02:00;5.87;6.41;5.73;6.2;5.0812;5.4115;5.762;5.385742476;0.76557268;0.23738481;
28;2020-10-23T15:30:00+02:00;6.275;6.32;6.2;6.25;5.1034;5.4865;5.83;5.02900193;0.18796276;0.238705076;
29;2020-10-26T14:30:00+01:00;6.22;6.22;5.995;6.03;5.1226;5.5415;5.876;4.884040285;0.277634735;0.241524109;
30;2020-10-27T14:30:00+01:00;6.04;6.1;5.87;5.94;5.1402;5.604;5.916;4.641474472;0.19964763;0.242906508;
31;2020-10-28T14:30:00+01:00;5.94;6.0;5.695;5.78;5.1558;5.6575;5.941;4.738677533;0.325156085;0.251357492;
32;2020-10-29T14:30:00+01:00;5.71;5.95;5.4548;5.86;5.1688;5.708;5.943;4.906572734;0.239717491;0.246074132;
33;2020-10-30T14:30:00+01:00;5.88;6.13;5.73;6.02;5.1814;5.751;5.953;4.73040279;0.50770288;0.256656479;
34;2020-11-02T15:30:00+01:00;6.07;6.22;5.96;6.11;5.2022;5.793;5.989;4.772742345;0.31583349;0.258933414;
35;2020-11-03T15:30:00+01:00;6.25;6.4;6.12;6.29;5.232;5.847;6.034;4.65629898;0.3005113;0.253693682;
36;2020-11-04T15:30:00+01:00;6.15;6.2817;6.105;6.17;5.2556;5.883;6.065;4.552450459;0.185862434;0.252589207;
37;2020-11-05T15:30:00+01:00;6.17;6.26;6.03;6.16;5.2836;5.9115;6.061;4.462789728;0.199472845;0.2512488;
38;2020-11-06T15:30:00+01:00;6.24;6.24;5.98;5.98;5.3106;5.932;6.034;4.544557163;0.23881546;0.255673828;
39;2020-11-09T15:30:00+01:00;6.5;6.72;5.8619;6.32;5.3476;5.9695;6.063;5.185907373;0.912143713;0.294708414;
40;2020-11-10T15:30:00+01:00;6.48;7.29;6.2144;7.1;5.3978;6.0475;6.179;5.960242063;1.008684149;0.338525645;
41;2020-11-11T15:30:00+01:00;7.2;7.2;6.9046;7.15;5.4406;6.1285;6.316;6.01240879;0.317797795;0.347997405;
42;2020-11-12T15:30:00+01:00;7.0;7.0;6.4881;6.6;5.4726;6.1665;6.39;6.031442368;0.310246532;0.35347645;
43;2020-11-13T15:30:00+01:00;6.69;6.79;6.51;6.71;5.5088;6.206;6.459;6.08127874;0.2229346;0.350627912;
44;2020-11-16T15:30:00+01:00;6.86;7.01;6.5313;7.01;5.5544;6.269;6.549;6.157306944;0.375947112;0.361167861;
45;2020-11-17T15:30:00+01:00;7.0;7.06;6.67;6.79;5.596;6.3165;6.599;6.336024403;0.377705435;0.374869483;
46;2020-11-18T15:30:00+01:00;6.83;7.03;6.69;7.03;5.6414;6.375;6.685;6.477872494;0.56919478;0.391927195;
47;2020-11-19T15:30:00+01:00;6.94;7.03;6.93;6.98;5.6862;6.414;6.767;5.956654329;0.15891366;0.361594244;
48;2020-11-20T15:30:00+01:00;6.86;6.9;6.68;6.77;5.7258;6.44;6.846;6.024550794;0.36037246;0.370214729;
49;2020-11-23T15:30:00+01:00;6.78;6.92;6.77;6.88;5.7632;6.4825;6.902;5.947677279;0.24417484;0.368541735;
50;2020-11-24T15:30:00+01:00;7.1;7.74;6.935;7.56;5.8142;6.5635;6.948;6.332155195;1.69915955;0.443517331;entry
51;2020-11-25T15:30:00+01:00;7.56;7.75;7.45;7.63;5.865;6.656;6.996;6.265718724;0.4419172;0.449355386;
52;2020-11-27T15:30:00+01:00;7.63;7.73;7.5;7.73;5.92;6.7495;7.109;5.965139906;0.266791525;0.450709088;
53;2020-11-30T15:30:00+01:00;7.62;8.145;7.57;7.65;5.974;6.831;7.203;5.995888406;0.940369885;0.472342438;
54;2020-12-01T15:30:00+01:00;7.74;8.0;7.18;7.42;6.0298;6.8965;7.244;6.348798241;0.76964118;0.495032823;
55;2020-12-02T15:30:00+01:00;7.4;7.9;7.35;7.79;6.0964;6.9715;7.344;6.494189731;0.2853885;0.494276683;
56;2020-12-03T15:30:00+01:00;7.78;7.87;7.48;7.52;6.1592;7.039;7.393;6.610167474;0.215137925;0.495740457;
57;2020-12-04T15:30:00+01:00;7.66;7.875;7.59;7.81;6.2254;7.1215;7.476;6.607201408;0.39114078;0.505323854;
58;2020-12-07T15:30:00+01:00;7.99;8.05;7.83;7.87;6.2878;7.216;7.586;6.530295417;0.3999378;0.513379971;
59;2020-12-08T15:30:00+01:00;7.8;8.38;7.8;8.19;6.353;7.3095;7.717;6.170160368;0.86502325;0.511023948;
60;2020-12-09T15:30:00+01:00;8.27;8.27;8.0201;8.06;6.4204;7.3575;7.767;5.460547059;0.503812068;0.485780344;
61;2020-12-10T15:30:00+01:00;7.9;8.19;7.85;8.16;6.4894;7.408;7.82;5.463192207;0.23234742;0.481507825;
62;2020-12-11T15:30:00+01:00;8.02;8.145;7.82;7.9;6.5504;7.473;7.837;5.276501265;0.291728445;0.480581921;
63;2020-12-14T15:30:00+01:00;8.09;8.09;6.94;6.94;6.586;7.4845;7.766;5.889977761;0.49146597;0.494008489;exit
64;2020-12-15T15:30:00+01:00;6.95;6.95;6.54;6.67;6.614;7.4675;7.691;5.836967325;1.085547045;0.529488486;
65;2020-12-16T15:30:00+01:00;6.56;7.22;6.56;7.07;6.6512;7.4815;7.619;6.047662282;0.36603125;0.528904777;
66;2020-12-17T15:30:00+01:00;7.08;7.42;7.08;7.4;6.6902;7.5;7.607;6.033664664;0.27684125;0.5142871;
67;2020-12-18T15:30:00+01:00;7.54;7.61;6.69;6.88;6.716;7.495;7.514;6.649108014;1.0488478;0.558783807;
68;2020-12-21T15:30:00+01:00;6.64;6.86;6.25;6.79;6.7404;7.496;7.406;6.972437356;0.30038943;0.555784656;
69;2020-12-22T15:30:00+01:00;6.75;6.95;6.56;6.95;6.768;7.4995;7.282;7.158910588;0.236425;0.555397164;
