;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-10-07T15:30:00+02:00;1.12;1.27;1.09;1.15;0.993832;0.94666;0.95073;12.07641812;5.51189446;1.324830614;
1;2020-10-08T15:30:00+02:00;1.15;1.16;1.0;1.03;0.993632;0.95266;0.96723;12.40419589;1.74724884;1.39399192;
2;2020-10-09T15:30:00+02:00;0.9976;1.01;895;0.96;0.992974;0.955795;0.97474;12.71332066;1.22550555;1.448829908;
3;2020-10-12T15:30:00+02:00;0.93;0.94;0.89;0.9322;0.991818;0.95568;0.97493;12.40111609;0.746551245;1.473809459;
4;2020-10-13T15:30:00+02:00;0.9022;0.9602;0.9022;0.9601;0.98842;0.95602;0.97848;12.40446747;0.364592736;1.4862824;
5;2020-10-14T15:30:00+02:00;0.94;974;0.9213;0.95;0.98542;0.955515;0.98238;12.39308835;0.319668879;1.496257851;
6;2020-10-15T15:30:00+02:00;0.97;1.01;0.920749;1.0;0.98402;0.95726;0.99144;12.55860462;0.350609538;1.507375416;
7;2020-10-16T15:30:00+02:00;0.9835;1.0;0.97;0.9901;0.982222;0.954765;1.00224;12.30865747;0.199875215;1.495251515;
8;2020-10-19T15:30:00+02:00;0.9982;1.03;0.9802;1.01;0.981622;0.957635;1.00924;11.98373989;0.353352956;1.497110865;
9;2020-10-20T15:30:00+02:00;1.01;1.04;1.0;1.03;0.980822;0.963985;1.00124;11.64664133;0.21634914;1.495347969;
10;2020-10-21T15:30:00+02:00;1.02;1.05;0.97;0.9733;0.979888;0.96715;0.98357;11.6902417;0.19711766;1.495961495;
11;2020-10-22T15:30:00+02:00;0.96;1.03;0.9487;0.9899;0.978486;0.973395;0.97956;11.78519677;0.318999089;1.501916329;
12;2020-10-23T15:30:00+02:00;1.0;1.0;0.9148;0.9805;0.976896;0.978175;0.98161;11.81850239;0.570098191;1.522506875;
13;2020-10-26T14:30:00+01:00;968;0.98;0.94;0.9728;0.976152;0.9803;0.98567;11.65006166;0.6280656;1.547715653;
14;2020-10-27T14:30:00+01:00;0.98;0.9899;0.93;0.9397;0.974346;0.981055;0.98363;11.59166989;0.54985264;1.561447881;
15;2020-10-28T14:30:00+01:00;0.9308;0.9577;0.87;0.8994;0.972134;0.980475;0.97857;11.87580338;0.547601766;1.57679035;
16;2020-10-29T14:30:00+01:00;0.8965;0.9158;0.88;0.9;0.970442;0.980005;0.96857;11.85505516;0.15970229;1.579239465;
17;2020-10-30T14:30:00+01:00;0.9075;916;0.88;0.89;0.967442;0.9804;0.95856;11.57848003;0.229734442;1.58483813;
18;2020-11-02T15:30:00+01:00;0.9;0.92;0.8802;0.8983;0.965208;0.978315;0.94739;11.37102578;0.173083829;1.583259289;
19;2020-11-03T15:30:00+01:00;0.9005;0.9161;0.8813;0.9025;0.963258;0.96794;0.93464;7.426659467;0.171143935;0.7290524;
20;2020-11-04T15:30:00+01:00;0.9052;0.94;0.8876;0.9398;0.962446;0.95743;0.93129;6.896149401;0.124567388;0.459686046;
21;2020-11-05T15:30:00+01:00;0.94;0.94;0.8835;0.9177;0.960824;0.951815;0.92407;6.415900392;0.160913846;0.380369297;
22;2020-11-06T15:30:00+01:00;901;0.93;0.8878;0.9007;0.959422;0.94885;0.91609;6.011108432;0.151448189;0.326666429;
23;2020-11-09T15:30:00+01:00;0.9289;0.9289;0.88;0.8861;0.957544;0.946545;0.90742;6.008050465;0.383611614;0.308519447;
24;2020-11-10T15:30:00+01:00;0.91;0.9283;0.88;0.9148;0.956022;0.94428;0.90493;5.961045794;0.405914526;0.310585537;
25;2020-11-11T15:30:00+01:00;0.9038;1.03;885;0.97;0.955222;0.94528;0.91199;6.494245934;1.264822073;0.357843196;
26;2020-11-12T15:30:00+01:00;0.98;0.99;0.91;0.9351;0.951924;0.942035;0.9155;6.449141171;0.3963628;0.360130859;
27;2020-11-13T15:30:00+01:00;0.9266;0.99;0.8931;0.9721;0.950966;0.941135;0.92371;6.836994438;0.319005614;0.366087379;
28;2020-11-16T15:30:00+01:00;995;1.05;982;1.03;0.951366;0.942135;0.93688;6.929196827;0.554986952;0.376169079;
29;2020-11-17T15:30:00+01:00;1.02;1.02;0.9503;0.99;0.950966;0.940135;0.94563;7.095923124;0.223031064;0.376503175;
30;2020-11-18T15:30:00+01:00;0.9648;0.99;0.9534;0.98;0.951566;0.94047;0.94965;6.87549661;0.186643164;0.375979451;
31;2020-11-19T15:30:00+01:00;0.96;0.9951;0.89;905;0.951466;0.936225;0.94838;7.037464968;1.350807992;0.427569896;
32;2020-11-20T15:30:00+01:00;919;0.9515;0.9111;0.9301;0.952122;0.933705;0.95132;6.793499432;0.351463307;0.416638152;
33;2020-11-23T15:30:00+01:00;0.9283;0.9583;0.920101;0.9511;0.952454;0.93262;0.95782;6.788313946;0.490139626;0.409741853;
34;2020-11-24T15:30:00+01:00;1.0;1.25;0.99;1.15;0.956388;0.943135;0.98134;7.779402249;4.08211888;0.586355165;
35;2020-11-25T15:30:00+01:00;1.12;1.37;1.0322;1.265;0.962486;0.961415;1.01084;8.911690053;4.169281141;0.767439134;
36;2020-11-27T15:30:00+01:00;1.32;1.49;1.19;1.24;0.967984;0.978415;1.04133;9.968785164;3.698199;0.944363969;
37;2020-11-30T15:30:00+01:00;1.4;1.4;1.17;1.3;0.973184;0.998915;1.07412;10.74714569;1.59022091;1.012388292;
38;2020-12-01T15:30:00+01:00;1.3;1.3;1.1501;1.21;0.978332;1.0145;1.09212;11.17274317;1.838361482;1.095652175;
