;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-10-20T15:30:00+02:00;1.25;1.25;1.15;1.2;1.075082;1.01466;1.091;8.426261448;0.2852484;0.161374016;
1;2020-10-21T15:30:00+02:00;1.2;1.2;1.16;1.18;1.074482;1.02666;1.097;8.261890442;0.10226352;0.163297205;
2;2020-10-22T15:30:00+02:00;1.17;1.2;1.16;1.18;1.074082;1.04056;1.105;8.112796474;0.07588816;0.164461678;
3;2020-10-23T15:30:00+02:00;1.2;1.2;1.16;1.18;1.072882;1.052975;1.114;7.84274863;0.07310218;0.165507364;
4;2020-10-26T14:30:00+01:00;1.17;1.25;1.14;1.24;1.072282;1.069975;1.132;7.677596835;0.42889506;0.183884338;
5;2020-10-27T14:30:00+01:00;1.27;1.38;1.1646;1.19;1.071482;1.082975;1.148;8.028239945;0.484854445;0.201097032;
6;2020-10-28T14:30:00+01:00;1.15;1.22;1.1;1.11;1.068682;1.093475;1.154;8.243138935;0.34605468;0.215948666;
7;2020-10-29T14:30:00+01:00;1.1;1.23;1.05;1.2;1.068082;1.106975;1.171;8.849170681;0.38348574;0.229289999;
8;2020-10-30T14:30:00+01:00;1.24;1.24;1.11;1.17;1.067082;1.1165;1.185;8.817902334;0.242629275;0.237400016;
9;2020-11-02T15:30:00+01:00;1.19;1.24;1.12;1.16;1.065482;1.126;1.181;9.068542949;0.25256956;0.24258416;
10;2020-11-03T15:30:00+01:00;1.18;1.2327;1.17;1.2;1.064682;1.136;1.181;8.622205953;0.234875939;0.247228864;
11;2020-11-04T15:30:00+01:00;1.22;1.25;1.19;1.24;1.065282;1.142;1.187;8.274306793;2.86295204;0.378865661;
12;2020-11-05T15:30:00+01:00;1.26;1.32;1.2;1.32;1.068882;1.153;1.201;8.262111671;1.27503432;0.436634612;
13;2020-11-06T15:30:00+01:00;1.3;1.31;1.23;1.29;1.071882;1.163;1.212;8.198965408;0.46706917;0.451078608;
14;2020-11-09T15:30:00+01:00;1.37;1.37;1.27;1.3;1.075682;1.175;1.218;8.364032295;0.28106232;0.461881871;
15;2020-11-10T15:30:00+01:00;1.29;1.36;1.28;1.34;1.081282;1.1905;1.233;8.410998315;0.29242224;0.474554234;
16;2020-11-11T15:30:00+01:00;1.33;1.38;1.3;1.33;1.085682;1.2045;1.255;8.473592583;0.29015422;0.486017965;
17;2020-11-12T15:30:00+01:00;1.32;1.43;1.3124;1.39;1.091282;1.2225;1.274;8.622156666;0.259976778;0.495793829;
18;2020-11-13T15:30:00+01:00;1.45;1.46;1.3493;1.36;1.096282;1.239;1.293;8.782369369;0.254810533;0.50238948;
19;2020-11-16T15:30:00+01:00;1.32;1.44;1.32;1.4;1.102682;1.249;1.317;8.555096642;0.44419164;0.466877011;
20;2020-11-17T15:30:00+01:00;1.39;1.39;1.35;1.36;1.108682;1.257;1.333;8.268462181;0.17952617;0.461590899;
21;2020-11-18T15:30:00+01:00;1.37;1.41;1.34;1.37;1.115482;1.2665;1.346;8.357242418;0.219280875;0.467441767;
22;2020-11-19T15:30:00+01:00;1.4;1.4;1.3;1.34;1.121482;1.2745;1.348;8.569444009;0.10841175;0.469067947;
23;2020-11-20T15:30:00+01:00;1.34;1.375;1.32;1.36;1.128682;1.2835;1.355;8.60536355;0.151444178;0.472985047;
24;2020-11-23T15:30:00+01:00;1.36;1.38;1.34;1.34;1.135282;1.2885;1.359;8.272161141;0.18746104;0.460913346;
25;2020-11-24T15:30:00+01:00;1.36;1.39;1.25;1.32;1.141768;1.295;1.357;7.9073801;0.27224604;0.450282925;
