;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2021-08-11T15:30:00+02:00;66.94;69.72;66.24;69.24;60.6398;60.7275;64.349;4.433450518;18.18696132;21.81549122;
1;2021-08-12T15:30:00+02:00;69.24;70.07;68.08;69.9;60.4714;61.179;65.401;4.418634632;17.6561226;21.92286768;
2;2021-08-13T15:30:00+02:00;69.86;69.86;67.9;69.03;60.3146;61.773;66.393;4.12061293;11.84949528;20.90142386;
3;2021-08-16T15:30:00+02:00;68.5;68.95;67.16;68.87;60.2954;62.5305;67.255;4.045779918;17.27446871;20.12984633;
4;2021-08-17T15:30:00+02:00;68.29;68.41;67.0;68.37;60.4028;63.1245;67.648;3.883476124;10.7745737;19.46584774;
5;2021-08-18T15:30:00+02:00;68.16;69.25;66.7;66.79;60.4586;63.5705;67.805;3.935888011;16.70777918;19.49408759;
6;2021-08-19T15:30:00+02:00;65.8;66.84;61.7703;62.38;60.4858;63.875;67.532;4.157929531;26.70290645;19.97805346;
7;2021-08-20T15:30:00+02:00;62.35;64.62;61.63;64.48;60.6046;64.2145;67.211;4.225724675;12.41460438;19.8318805;
8;2021-08-23T15:30:00+02:00;65.0;67.75;64.9;66.43;60.7312;64.666;67.208;4.287037571;13.4416898;20.09865933;
9;2021-08-24T15:30:00+02:00;66.51;67.98;65.865;67.1;60.8932;65.149;67.259;4.319456102;8.99786397;20.16327669;
10;2021-08-25T15:30:00+02:00;66.83;67.8947;66.39;66.52;61.038;65.668;66.987;4.214336636;7.853439252;19.89733232;
11;2021-08-26T15:30:00+02:00;66.4;66.5749;64.98;65.45;61.177;65.9715;66.542;4.025237727;8.769581189;19.23793926;
12;2021-08-27T15:30:00+02:00;65.74;68.51;65.74;67.77;61.422;66.4045;66.416;4.098372905;13.94837363;18.57155346;
13;2021-08-30T15:30:00+02:00;68.4;69.29;67.03;68.8;61.715;66.832;66.409;3.964284523;8.69026368;17.35699467;
14;2021-08-31T15:30:00+02:00;68.4;68.74;66.16;66.73;61.9318;66.9465;66.245;3.737899431;13.18397935;15.78730863;
15;2021-09-01T15:30:00+02:00;67.24;70.05;65.54;68.91;62.1782;67.131;66.457;3.88825761;30.29968715;16.12138122;
16;2021-09-02T15:30:00+02:00;69.22;70.91;68.62;69.89;62.4322;67.37;67.208;3.833248535;12.96143006;15.76896419;
17;2021-09-03T15:30:00+02:00;69.84;70.0351;68.71;69.61;62.6584;67.466;67.721;3.7365425;10.59596329;15.05843761;
18;2021-09-07T15:30:00+02:00;69.77;70.83;69.155;69.48;62.8852;67.617;68.026;3.697041204;9.606190655;14.62049456;
19;2021-09-08T15:30:00+02:00;69.48;69.48;66.48;66.68;63.063;67.6215;67.984;3.780248731;17.2631811;14.35892774;
20;2021-09-09T15:30:00+02:00;66.17;67.005;65.296;66.12;63.212;67.4655;67.944;3.648433168;14.7776248;14.18846091;
21;2021-09-10T15:30:00+02:00;67.0;68.11;66.64;67.62;63.4006;67.3515;68.161;3.612575699;14.3117975;14.02124465;
22;2021-09-13T15:30:00+02:00;68.49;69.9;67.75;69.12;63.5796;67.356;68.296;3.626917389;19.01614103;14.37957694;
23;2021-09-14T15:30:00+02:00;69.33;69.65;67.0;67.92;63.7676;67.3085;68.208;3.691414736;13.12974195;14.1723406;
24;2021-09-15T15:30:00+02:00;67.92;72.47;67.605;71.61;64.041;67.4705;68.696;3.94600152;26.63000844;14.96511234;
25;2021-09-16T15:30:00+02:00;71.68;73.385;70.99;73.24;64.3132;67.793;69.129;3.923532828;29.76290625;15.61786869;
26;2021-09-17T15:30:00+02:00;73.34;75.39;73.33;73.87;64.6238;68.3675;69.527;3.653626639;52.83731596;16.92458917;
27;2021-09-20T15:30:00+02:00;71.12;74.23;69.13;73.89;64.8928;68.838;69.955;3.779920217;29.06867712;17.75729281;
28;2021-09-21T15:30:00+02:00;75.5;77.7;73.89;77.22;65.2164;69.3775;70.729;3.818167322;27.49433307;18.45992497;
29;2021-09-22T15:30:00+02:00;77.6;78.06;73.94;75.1;65.4986;69.7775;71.571;3.936215913;28.722224;19.44614297;
30;2021-09-23T15:30:00+02:00;75.81;76.86;75.0553;76.13;65.7916;70.258;72.572;3.943117811;23.89817563;20.24837979;
31;2021-09-24T15:30:00+02:00;75.85;77.6;75.33;76.46;66.1034;70.8085;73.456;3.971065819;11.27055868;20.37342867;
32;2021-09-27T15:30:00+02:00;76.89;80.46;76.68;79.21;66.5446;71.3805;74.465;4.006866262;24.96412467;20.92421622;
33;2021-09-28T15:30:00+02:00;78.81;79.39;76.92;77.69;67.024;71.825;75.442;3.998841452;19.88185045;21.48379556;
34;2021-09-29T15:30:00+02:00;77.99;79.03;74.5;76.78;67.4298;72.3275;75.959;4.107886435;15.32006782;21.59059998;
35;2021-09-30T15:30:00+02:00;79.5;83.4079;79.48;81.77;67.9078;72.9705;76.812;4.010921641;56.30366863;22.89079905;
36;2021-10-01T15:30:00+02:00;82.03;85.58;80.28;84.94;68.4808;73.723;77.919;4.174155337;59.64217791;25.22483645;
37;2021-10-04T15:30:00+02:00;85.0;85.69;83.1501;84.54;69.0178;74.4695;78.984;4.230458147;27.48041468;26.06905902;
38;2021-10-05T15:30:00+02:00;84.5;88.0;83.33;87.55;69.6208;75.373;80.017;4.389564591;42.16208571;27.69685377;
39;2021-10-06T15:30:00+02:00;87.19;89.48;85.87;89.29;70.2578;76.5035;81.436;4.374134289;32.82385418;28.47488742;
40;2021-10-07T15:30:00+02:00;91.12;91.33;86.58;88.62;70.9074;77.6285;82.685;4.517581467;45.99364902;30.03568863;
41;2021-10-08T15:30:00+02:00;88.81;89.46;86.8;87.59;71.4716;78.627;83.798;4.560513156;22.11340334;30.42576893;
42;2021-10-11T15:30:00+02:00;88.21;89.48;86.927;88.7;72.0634;79.606;84.747;4.548688924;16.41131962;30.29552786;
43;2021-10-12T15:30:00+02:00;88.7;88.9;86.25;86.68;72.592;80.544;85.646;4.504550918;30.90005057;31.18404329;
